gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
ACAD11|84129	294.3227	ACAD11|84129	592.9857
ACAD8|27034	472.6245	ACAD8|27034	578.2187
ACAD9|28976	971.3135	lowly_expressed	lowly_expressed
ACADL|33	261.1601	ACADL|33	132.9026
ACADM|34	3199.0404	ACADM|34	1328.1034
ACADSB|36	3205.2095	ACADSB|36	2095.0623
ACADS|35	421.9004	ACADS|35	832.0258
ACADVL|37	2020.036	ACADVL|37	4035.5238
ACAN|176	57.9213	lowly_expressed	lowly_expressed
ACAP1|9744	139.491	ACAP1|9744	115.3669
ACAP2|23527	1481.6211	ACAP2|23527	1611.9059
ACAP3|116983	594.0468	ACAP3|116983	320.2584
ACAT1|38	701.9107	ACAT1|38	1306.8759
ACAT2|39	636.3396	ACAT2|39	361.0245
ACBD3|64746	3353.9542	ACBD3|64746	1423.1657
ACBD4|79777	132.2937	ACBD4|79777	286.1098
ACBD5|91452	723.16	ACBD5|91452	801.569
ACBD6|84320	576.4716	ACBD6|84320	290.263
ACBD7|414149	6.5119	ACBD7|414149	30.9183
ACCN2|41	38.7285	ACCN2|41	152.7457
ACCN3|9311	99.7344	lowly_expressed	lowly_expressed
ACCS|84680	105.5608	ACCS|84680	305.4915
ACD|65057	187.1305	ACD|65057	357.1758
ACE2|59272	16.7938	ACE2|59272	10.1523
ACER2|340485	360.8945	ACER2|340485	167.5127
ACER3|55331	187.1305	ACER3|55331	420.8583
ACE|1636	699.5116	ACE|1636	623.904
ACHE|43	9.9392	ACHE|43	25.8422
ACIN1|22985	3792.6484	ACIN1|22985	2678.3572
ACLY|47	5698.5691	ACLY|47	5798.8002
ACN9|57001	186.7878	ACN9|57001	145.8237
ACO1|48	786.9077	ACO1|48	2831.1029
ACO2|50	2468.2923	ACO2|50	2965.0808
ACOT11|26027	9.0789	ACOT11|26027	37.8403
ACOT13|55856	500.7591	ACOT13|55856	472.5288
ACOT1|641371	709.4508	ACOT1|641371	691.2783
ACOT2|10965	665.5814	ACOT2|10965	517.7665
ACOT4|122970	371.8619	ACOT4|122970	144.4393
ACOT7|11332	226.8872	ACOT7|11332	239.9631
ACOT8|10005	413.5687	lowly_expressed	lowly_expressed
ACOT9|23597	312.9123	ACOT9|23597	391.3244
ACOX1|51	1337.8391	ACOX1|51	2258.4633
ACOX2|8309	151.8293	ACOX2|8309	262.1135
ACOX3|8310	1177.277	ACOX3|8310	609.1371
ACP1|52	1425.4134	ACP1|52	1047.5311
ACP2|53	853.0546	ACP2|53	818.1818
ACP5|54	1728.0439	ACP5|54	701.892
ACP6|51205	473.6526	ACP6|51205	159.6677
ACPL2|92370	476.0518	ACPL2|92370	329.9492
ACPP|55	113.4436	ACPP|55	20.766
ACRBP|84519	12.3383	ACRBP|84519	24.9192
ACRC|93953	13.3665	ACRC|93953	18.9202
ACSBG1|23205	7.8828	ACSBG1|23205	6.922
ACSBG2|81616	5.8264	lowly_expressed	lowly_expressed
ACSF2|80221	1117.2993	ACSF2|80221	851.8689
ACSF3|197322	484.2773	ACSF3|197322	380.2492
ACSL1|2180	12123.7255	ACSL1|2180	13387.6327
ACSL3|2181	18477.2513	ACSL3|2181	2955.6991
ACSL4|2182	695.7416	ACSL4|2182	2120.9045
ACSL5|51703	507.9256	ACSL5|51703	1230.2723
ACSL6|23305	8.2255	ACSL6|23305	14.3055
ACSM1|116285	1198.5263	ACSM1|116285	15.2284
ACSM3|6296	440.0617	ACSM3|6296	203.6917
ACSM5|54988	39.7567	ACSM5|54988	202.1228
ACSS1|84532	2020.0497	ACSS1|84532	870.3276
ACSS2|55902	1916.2026	ACSS2|55902	2969.0817
ACSS3|79611	1099.4773	ACSS3|79611	566.682
ACTA1|58	15.4228	lowly_expressed	lowly_expressed
ACTA2|59	6518.9033	ACTA2|59	20377.4942
ACTB|60	59562.6767	ACTB|60	68198.8925
ACTC1|70	5.8264	lowly_expressed	lowly_expressed
ACTG1|71	33071.0308	ACTG1|71	47316.1052
ACTG2|72	618.6274	ACTG2|72	3157.8219
ACTL6A|86	992.2029	ACTL6A|86	760.0369
ACTN1|87	3916.0312	ACTN1|87	8209.5062
ACTN4|81	8694.3981	ACTN4|81	10931.2413
ACTR10|55860	1250.2785	ACTR10|55860	904.4762
ACTR1A|10121	1739.0112	ACTR1A|10121	2266.7282
ACTR1B|10120	753.6629	ACTR1B|10120	1309.6447
ACTR2|10097	6093.0512	ACTR2|10097	5283.341
ACTR3B|57180	153.8857	ACTR3B|57180	150.4384
ACTR3C|653857	57.5786	ACTR3C|653857	29.9954
ACTR3|10096	3217.8905	ACTR3|10096	2949.7
ACTR5|79913	250.5355	ACTR5|79913	163.821
ACTR6|64431	996.6584	ACTR6|64431	460.0831
ACTR8|93973	526.0903	ACTR8|93973	449.4693
ACVR1B|91	2489.2469	ACVR1B|91	1205.8145
ACVR1C|130399	176.8486	ACVR1C|130399	1284.7254
ACVR1|90	787.2504	ACVR1|90	1194.7393
ACVR2A|92	345.8144	ACVR2A|92	515.4592
ACVR2B|93	415.7313	ACVR2B|93	476.2344
ACVRL1|94	546.6541	ACVRL1|94	955.6991
ACY1|95	533.8291	ACY1|95	571.7582
ACY3|91703	41.4703	ACY3|91703	22.6119
ACYP1|97	51.7522	ACYP1|97	25.8422
ACYP2|98	88.767	ACYP2|98	129.6724
lowly_expressed	lowly_expressed	ADAD2|161931	7.2358
ADAL|161823	134.0074	ADAL|161823	131.5182
ADAM10|102	1469.2828	ADAM10|102	2024.4578
lowly_expressed	lowly_expressed	ADAM11|4185	8.3064
ADAM12|8038	1371.2621	ADAM12|8038	563.9132
ADAM15|8751	6451.1147	ADAM15|8751	3298.5695
ADAM17|6868	606.9746	ADAM17|6868	725.8883
ADAM19|8728	227.2299	ADAM19|8728	230.7337
ADAM21|8747	8.911	lowly_expressed	lowly_expressed
ADAM22|53616	94.9362	ADAM22|53616	136.5944
ADAM23|8745	23.9911	ADAM23|8745	29.5339
ADAM28|10863	88.4243	ADAM28|10863	140.7476
ADAM2|2515	23.6484	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAM32|203102	15.6899
ADAM33|80332	103.1617	ADAM33|80332	566.682
ADAM6|8755	72147.7234	ADAM6|8755	167019.7831
ADAM8|101	138.1201	ADAM8|101	151.3613
ADAM9|8754	2099.563	ADAM9|8754	1821.4121
ADAMDEC1|27299	13.0237	ADAMDEC1|27299	18.4587
ADAMTS10|81794	178.5622	ADAMTS10|81794	93.6779
ADAMTS12|81792	288.5785	ADAMTS12|81792	249.6539
ADAMTS13|11093	57.9213	ADAMTS13|11093	49.377
ADAMTS14|140766	22.6202	ADAMTS14|140766	6.922
ADAMTS15|170689	613.8291	ADAMTS15|170689	438.8556
ADAMTS16|170690	141.8902	ADAMTS16|170690	70.6045
ADAMTS17|170691	129.8946	ADAMTS17|170691	30.9183
ADAMTS18|170692	24.3338	ADAMTS18|170692	47.5311
