gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
CHST6|4166	57.6533	CHST6|4166	7.4035
CHST7|56548	68.6155	CHST7|56548	150.1851
CHST8|64377	892.8136	CHST8|64377	22.2105
CHST9|83539	6.9022	CHST9|83539	249.0746
CHSY1|22856	1550.1421	CHSY1|22856	2514.0137
CHSY3|337876	218.4328	CHSY3|337876	78.7943
CHTF18|63922	200.1624	CHTF18|63922	117.927
CHTF8|54921	3327.2432	CHTF8|54921	2138.551
CHUK|1147	693.4633	CHUK|1147	614.4897
CHURC1|91612	1852.2777	CHURC1|91612	2035.431
CIAO1|9391	1948.0309	CIAO1|9391	1733.4744
CIAPIN1|57019	637.84	CIAPIN1|57019	632.4696
CIB1|10519	2034.1048	CIB1|10519	952.935
CIB2|10518	51.5631	CIB2|10518	113.6965
CIC|23152	1801.0556	CIC|23152	1748.2813
lowly_expressed	lowly_expressed	CIDEA|1149	1920.6769
CIDEB|27141	434.1007	CIDEB|27141	352.0095
CIDECP|152302	126.9915	CIDECP|152302	109.4659
lowly_expressed	lowly_expressed	CIDEC|63924	10790.587
CIITA|4261	99.4722	CIITA|4261	284.5056
CILP2|148113	1385.3025	CILP2|148113	57.6415
CILP|8483	1099.4722	CILP|8483	3113.1676
CINP|51550	463.6622	CINP|51550	383.9238
CIR1|9541	1045.067	CIR1|9541	722.3691
CIRBP|1153	3674.3808	CIRBP|1153	5078.7943
CIRH1A|84916	1135.201	CIRH1A|84916	959.2808
CISD1|55847	342.6715	CISD1|55847	213.6436
CISD2|493856	637.434	CISD2|493856	312.0042
CISD3|284106	1217.1011	CISD3|284106	555.4786
CISH|1154	1413.3171	CISH|1154	531.9937
CITED1|4435	18.2704	CITED1|4435	123.2152
CITED2|10370	898.4978	CITED2|10370	4168.6938
CITED4|163732	1356.0698	CITED4|163732	695.9281
CIT|11113	354.4458	CIT|11113	133.2628
CIZ1|25792	1972.3914	CIZ1|25792	1967.2131
CKAP2L|150468	98.6602	CKAP2L|150468	21.6816
CKAP2|26586	307.7548	CKAP2|26586	293.4955
CKAP4|10970	2436.8656	CKAP4|10970	1415.1243
CKAP5|9793	2110.8404	CKAP5|9793	2094.6589
CKB|1152	539.9919	CKB|1152	1726.5997
CKLF|51192	351.1977	CKLF|51192	214.7012
CKMT1A|548596	58.4653	CKMT1A|548596	26.9699
CKMT1B|1159	568.0065	CKMT1B|1159	302.4855
CKMT2|1160	25.1726	CKMT2|1160	218.9318
CKS1B|1163	436.4596	CKS1B|1163	479.1116
CKS2|1164	368.6561	CKS2|1164	103.6489
CLASP1|23332	1473.4064	CLASP1|23332	1979.376
CLASP2|23122	1259.4397	CLASP2|23122	1243.2575
CLCA2|9635	6.9022	CLCA2|9635	396.6155
lowly_expressed	lowly_expressed	CLCA4|22802	33.8445
CLCC1|23155	719.9026	CLCC1|23155	907.3982
CLCF1|23529	373.1222	CLCF1|23529	105.7641
CLCN2|1181	113.6825	CLCN2|1181	36.4886
CLCN3|1182	1749.0865	CLCN3|1182	1641.9884
CLCN4|1183	24.3605	CLCN4|1183	350.6081
CLCN5|1184	126.6748	CLCN5|1184	178.7414
CLCN6|1185	341.0475	CLCN6|1185	664.1988
CLCN7|1186	3876.5733	CLCN7|1186	1470.1216
CLCNKA|1187	53.5932	CLCNKA|1187	39.1327
CLCNKB|1188	6.9022	CLCNKB|1188	5.817
CLDN11|5010	128.7048	CLDN11|5010	556.3194
CLDN12|9069	750.3045	CLDN12|9069	864.0931
CLDN14|23562	12.1803	lowly_expressed	lowly_expressed
CLDN15|24146	95.0061	CLDN15|24146	173.982
CLDN19|149461	25.1726	CLDN19|149461	151.7715
CLDN1|9076	476.2485	CLDN1|9076	897.4088
CLDN23|137075	216.4028	CLDN23|137075	146.4833
lowly_expressed	lowly_expressed	CLDN2|9075	24.1618
CLDN3|1365	2041.8189	CLDN3|1365	920.1481
CLDN4|1364	3403.5729	CLDN4|1364	4997.8847
CLDN5|7122	153.8774	CLDN5|7122	2275.5156
CLDN7|1366	1310.1908	CLDN7|1366	851.4014
CLDN8|9073	51.1571	CLDN8|9073	884.7171
CLDN9|9080	21.1125	lowly_expressed	lowly_expressed
CLDND1|56650	1151.8473	CLDND1|56650	1196.7213
lowly_expressed	lowly_expressed	CLDND2|125875	5.2882
lowly_expressed	lowly_expressed	CLEC10A|10462	103.12
CLEC11A|6320	412.9111	CLEC11A|6320	104.7065
lowly_expressed	lowly_expressed	CLEC12A|160364	10.0476
CLEC14A|161198	430.3695	CLEC14A|161198	982.5489
CLEC16A|23274	780.7552	CLEC16A|23274	753.0407
CLEC18A|348174	68.5221	lowly_expressed	lowly_expressed
CLEC18B|497190	17.0524	lowly_expressed	lowly_expressed
CLEC18C|283971	42.3183	lowly_expressed	lowly_expressed
CLEC1A|51267	41.4129	CLEC1A|51267	254.8916
CLEC2B|9976	192.4482	CLEC2B|9976	249.6034
CLEC2D|29121	477.8725	CLEC2D|29121	253.3051
lowly_expressed	lowly_expressed	CLEC2L|154790	5.817
CLEC3B|7123	123.4267	CLEC3B|7123	3136.9646
CLEC4A|50856	21.9245	CLEC4A|50856	39.6616
lowly_expressed	lowly_expressed	CLEC4E|26253	47.065
CLEC4F|165530	30.8567	CLEC4F|165530	28.0275
lowly_expressed	lowly_expressed	CLEC4GP1|440508	13.7493
lowly_expressed	lowly_expressed	CLEC4G|339390	19.5664
CLEC5A|23601	130.7349	CLEC5A|23601	5.817
CLEC7A|64581	76.7357	CLEC7A|64581	96.2454
lowly_expressed	lowly_expressed	CLEC9A|283420	7.9323
CLECL1|160365	9.3382	CLECL1|160365	12.1629
CLGN|1047	363.37800000000004	CLGN|1047	27.4987
CLIC1|1192	5523.7515	CLIC1|1192	3955.0502
CLIC2|1193	114.0885	CLIC2|1193	516.129
CLIC3|9022	47.503	CLIC3|9022	15.3358
CLIC4|25932	6278.5221	CLIC4|25932	7805.9228
CLIC5|53405	90.54	CLIC5|53405	819.6721
CLIC6|54102	14185.1401	CLIC6|54102	480.69800000000004
CLINT1|9685	1859.1149	CLINT1|9685	1863.5643
CLIP1|6249	1905.3999	CLIP1|6249	2751.9831
CLIP2|7461	694.6813	CLIP2|7461	511.8985
CLIP3|25999	603.7353	CLIP3|25999	895.8223
CLIP4|79745	127.8928	CLIP4|79745	1236.3829
CLK1|1195	2084.4499	CLK1|1195	1498.1491
CLK2P|1197	20.7065	CLK2P|1197	7.4035
CLK2|1196	1070.2395	CLK2|1196	510.31199999999995
CLK3|1198	856.2728	CLK3|1198	790.0582
CLK4|57396	455.13599999999997	CLK4|57396	408.2496
CLMN|79789	409.663	CLMN|79789	2686.4093
CLN3|1201	1515.6313	CLN3|1201	751.4543
CLN5|1203	673.5688	CLN5|1203	722.8979
CLN6|54982	777.9131	CLN6|54982	584.3469
CLN8|2055	359.7239	CLN8|2055	754.0984
CLNS1A|1207	739.3423	CLNS1A|1207	1073.5061
CLOCK|9575	280.5522	CLOCK|9575	512.4273
CLP1|10978	118.1486	CLP1|10978	235.3252
CLPB|81570	134.795	CLPB|81570	307.7737
CLPP|8192	721.8839	CLPP|8192	559.4923
CLPTM1L|81037	2239.9513	CLPTM1L|81037	1979.376
CLPTM1|1209	3366.2201	CLPTM1|1209	2526.1766
CLPX|10845	647.5842	CLPX|10845	771.0206
CLRN3|119467	5.6841	lowly_expressed	lowly_expressed
CLSPN|63967	99.8782	CLSPN|63967	25.3834
CLSTN1|22883	6119.7726	CLSTN1|22883	4397.6732
CLSTN2|64084	1407.227	CLSTN2|64084	2169.2226
CLSTN3|9746	2244.0114	CLSTN3|9746	1111.0524
CLTA|1211	2663.4186	CLTA|1211	1685.3517
CLTB|1212	726.35	CLTB|1212	1061.872
CLTCL1|8218	77.5477	CLTCL1|8218	140.6663
CLTC|1213	20607.7954	CLTC|1213	9626.1237
CLUAP1|23059	554.3849	CLUAP1|23059	529.3496
CLUL1|27098	25.9846	CLUL1|27098	21.1528
CLU|1191	2079.9838	CLU|1191	21595.4521
CLVS1|157807	5.136	CLVS1|157807	23.0936
CLYBL|171425	21.9245	CLYBL|171425	111.0524
lowly_expressed	lowly_expressed	CMA1|1215	62.4008
CMAH|8418	136.825	CMAH|8418	280.275
CMAS|55907	608.6074	CMAS|55907	546.2718
CMBL|134147	1608.2014	CMBL|134147	958.2232
CMC1|152100	117.7426	CMC1|152100	91.486
CMIP|80790	1327.2432	CMIP|80790	1230.037
CMKLR1|1240	339.4235	CMKLR1|1240	466.9487
CMPK1|51727	3044.255	CMPK1|51727	4101.0048
CMPK2|129607	321.5591	CMPK2|129607	131.1475
CMTM1|113540	192.0422	CMTM1|113540	75.0925
CMTM3|123920	1868.4531	CMTM3|123920	913.2734
CMTM4|146223	715.7937	CMTM4|146223	1307.2448
lowly_expressed	lowly_expressed	CMTM5|116173	7.4035
CMTM6|54918	4408.445	CMTM6|54918	2037.5463
CMTM7|112616	145.3512	CMTM7|112616	839.7673
CMTM8|152189	95.8181	CMTM8|152189	117.3982
CMYA5|202333	274.056	CMYA5|202333	772.0783
CN5H6.4|150384	12.1803	lowly_expressed	lowly_expressed
CNBP|7555	5558.2623	CNBP|7555	6640.9307
CNDP2|55748	3409.257	CNDP2|55748	2852.9878
CNFN|84518	44.661	CNFN|84518	28.5563
lowly_expressed	lowly_expressed	CNGA1|1259	30.6716
CNGA3|1261	5.6841	lowly_expressed	lowly_expressed
CNGA4|1262	11.7743	lowly_expressed	lowly_expressed
CNIH2|254263	66.9915	CNIH2|254263	7.4035
CNIH3|149111	195.2903	CNIH3|149111	20.624000000000002
CNIH4|29097	752.7406	CNIH4|29097	643.5748
CNIH|10175	968.7373	CNIH|10175	1058.1703
CNKSR1|10256	827.4462	CNKSR1|10256	235.3252
lowly_expressed	lowly_expressed	CNKSR2|22866	32.7869
CNKSR3|154043	56.0292	CNKSR3|154043	277.1021
CNN1|1264	1218.4328	CNN1|1264	3660.4971
CNN2|1265	4360.9419	CNN2|1265	3551.56
CNN3|1266	3492.4888	CNN3|1266	5188.2602
lowly_expressed	lowly_expressed	CNNM1|26507	38.0751
CNNM2|54805	388.9566	CNNM2|54805	141.1951
CNNM3|26505	1187.5761	CNNM3|26505	681.1211
CNNM4|26504	1115.7125	CNNM4|26504	634.5849
CNOT10|25904	591.149	CNOT10|25904	438.9212
CNOT1|23019	2526.6464	CNOT1|23019	4397.652
CNOT2|4848	1467.7223	CNOT2|4848	1114.7541
CNOT3|4849	1354.8518	CNOT3|4849	748.8102
CNOT4|4850	419.4072	CNOT4|4850	544.1565
CNOT6L|246175	1114.0885	CNOT6L|246175	1388.1544
CNOT6|57472	1369.0621	CNOT6|57472	738.7626
CNOT7|29883	1043.0369	CNOT7|29883	1419.8837
CNOT8|9337	1854.6488	CNOT8|9337	1418.826
CNO|55330	346.7316	CNO|55330	193.0196
CNPY2|10330	1066.1795	CNPY2|10330	882.6018
CNPY3|10695	1812.8299	CNPY3|10695	818.6145
CNPY4|245812	455.542	CNPY4|245812	319.8784
CNP|1267	4713.9586	CNP|1267	1867.6626
lowly_expressed	lowly_expressed	CNR1|1268	152.8292
CNRIP1|25927	138.043	CNRIP1|25927	379.1645
CNST|163882	1183.922	CNST|163882	822.8451
CNTD1|124817	79.3301	CNTD1|124817	44.3416
CNTD2|79935	247.6654	CNTD2|79935	10.0476
CNTFR|1271	304.9127	CNTFR|1271	1105.2353
lowly_expressed	lowly_expressed	CNTF|1270	15.0185
CNTLN|54875	191.2302	CNTLN|54875	223.1623
CNTN1|1272	64.5554	CNTN1|1272	265.9968
lowly_expressed	lowly_expressed	CNTN2|6900	19.0375
CNTN3|5067	15.8343	CNTN3|5067	171.8667
CNTN4|152330	272.83799999999997	CNTN4|152330	322.5806
lowly_expressed	lowly_expressed	CNTN6|27255	8.99
CNTNAP1|8506	426.7154	CNTNAP1|8506	151.7715
CNTNAP2|26047	242.7933	CNTNAP2|26047	11.1052
CNTNAP3|79937	6.4961	CNTNAP3|79937	259.651
CNTROB|116840	555.4202	CNTROB|116840	573.2417
COASY|80347	3207.8766	COASY|80347	1149.6563
COBLL1|22837	381.2424	COBLL1|22837	2772.0783
COBL|23242	753.1466	COBL|23242	1092.5436
COBRA1|25920	1716.1998	COBRA1|25920	1172.3956
COCH|1690	876.1023	COCH|1690	21.7081
COG1|9382	1954.9614	COG1|9382	794.8281
COG2|22796	1140.0731	COG2|22796	544.1565
COG3|83548	605.7653	COG3|83548	674.2464
COG4|25839	2086.4799	COG4|25839	1162.8768
COG5|10466	891.2911	COG5|10466	948.9053
COG6|57511	717.8238	COG6|57511	615.5473
COG7|91949	1193.6663	COG7|91949	562.1364
COG8|84342	720.2558	COG8|84342	368.0592
COIL|8161	887.1295	COIL|8161	339.5029
COL10A1|1300	8464.0682	COL10A1|1300	7.9323
COL11A1|1301	8905.8059	COL11A1|1301	15.8646
COL11A2|1302	8.9322	COL11A2|1302	17.9799
COL12A1|1303	17527.8116	COL12A1|1303	4271.8139
COL13A1|1305	87.2919	COL13A1|1305	12.6917
COL14A1|7373	1818.108	COL14A1|7373	4880.4865
COL15A1|1306	3433.2115	COL15A1|1306	7387.6256
COL16A1|1307	3003.6541	COL16A1|1307	1928.0804
COL17A1|1308	2224.1169	COL17A1|1308	6896.88
COL18A1|80781	10839.6265	COL18A1|80781	4977.2607
COL1A1|1277	214292.3264	COL1A1|1277	19273.4003
COL1A2|1278	175228.583	COL1A2|1278	29383.9238
COL21A1|81578	19.4884	COL21A1|81578	43.8921
COL22A1|169044	273.244	COL22A1|169044	10.0476
COL23A1|91522	6.4961	COL23A1|91522	33.8445
COL24A1|255631	49.9391	COL24A1|255631	15.8646
COL25A1|84570	7.3082	COL25A1|84570	82.49600000000001
COL27A1|85301	677.2229	COL27A1|85301	623.4796
COL28A1|340267	5.6841	COL28A1|340267	26.441
COL2A1|1280	42.6309	COL2A1|1280	83.0249
COL3A1|1281	135533.9017	COL3A1|1281	26861.449
COL4A1|1282	25427.1214	COL4A1|1282	22418.2972
COL4A2|1284	24875.7613	COL4A2|1284	22826.017999999996
COL4A3BP|10087	814.0479	COL4A3BP|10087	2101.0048
lowly_expressed	lowly_expressed	COL4A3|1285	19.0375
COL4A4|1286	24.7665	COL4A4|1286	103.6489
COL4A5|1287	838.4084	lowly_expressed	lowly_expressed
COL4A6|1288	62.5254	COL4A6|1288	300.899
COL5A1|1289	19063.7434	COL5A1|1289	2508.7255
COL5A2|1290	19906.2119	COL5A2|1290	4187.7314
COL5A3|50509	1730.8161	COL5A3|50509	1819.6721
COL6A1|1291	22276.0861	COL6A1|1291	15557.377
COL6A2|1292	29298.8226	COL6A2|1292	18652.036
COL6A3|1293	41617.1336	COL6A3|1293	17002.6441
COL6A4P2|646300	8.9322	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	COL6A6|131873	582.2316
COL7A1|1294	1367.0321	COL7A1|1294	409.8361
COL8A1|1295	1826.2282	COL8A1|1295	1041.248
COL8A2|1296	3182.298	COL8A2|1296	861.9778
COL9A2|1298	1015.4283	COL9A2|1298	214.7012
COL9A3|1299	95.4121	COL9A3|1299	16.9223
lowly_expressed	lowly_expressed	COLEC11|78989	64.5161
COLEC12|81035	424.2793	COLEC12|81035	808.0381
COLQ|8292	34.1048	COLQ|8292	32.7869
COMMD10|51397	378.4003	COMMD10|51397	362.77099999999996
COMMD1|150684	158.3435	COMMD1|150684	250.1322
COMMD2|51122	855.4608	COMMD2|51122	728.1861
COMMD3|23412	614.8356	COMMD3|23412	478.2337
COMMD4|54939	1114.0885	COMMD4|54939	429.4024
COMMD5|28991	620.134	COMMD5|28991	343.1888
COMMD6|170622	1112.0585	COMMD6|170622	1201.4807
COMMD7|149951	1004.8721	COMMD7|149951	882.073
COMMD8|54951	170.5238	COMMD8|54951	179.2702
COMMD9|29099	892.8136	COMMD9|29099	618.7203
COMP|1311	9222.0869	COMP|1311	8.4611
COMTD1|118881	51.5631	COMTD1|118881	51.8244
COMT|1312	1969.9553	COMT|1312	1620.8355
COPA|1314	10445.3999	COPA|1314	5764.0085
COPB1|1315	3608.6074	COPB1|1315	2811.9038
COPB2|9276	4334.9574	COPB2|9276	3153.8868
COPE|11316	2563.3577	COPE|11316	1402.4326
COPG2|26958	694.6813	COPG2|26958	413.5378
COPG|22820	7892.0016	COPG|22820	3607.0862
COPS2|9318	1792.9354	COPS2|9318	1934.9551
COPS3|8533	512.3833	COPS3|8533	844.5267
COPS4|51138	710.9216	COPS4|51138	772.0783
COPS5|10987	907.836	COPS5|10987	922.7922
COPS6|10980	1736.5002	COPS6|10980	1380.2221
COPS7A|50813	2499.391	COPS7A|50813	1418.2972
COPS7B|64708	935.4446	COPS7B|64708	547.3295
COPS8|10920	1446.1754	COPS8|10920	884.6906
COPZ1|22818	4217.2148	COPZ1|22818	2459.5452
COPZ2|51226	354.4458	COPZ2|51226	716.0233
COQ10A|93058	132.7649	COQ10A|93058	140.1375
COQ10B|80219	732.4401	COQ10B|80219	657.3242
COQ2|27235	176.6139	COQ2|27235	163.9344
COQ3|51805	105.5623	COQ3|51805	128.5034
COQ4|51117	1017.0524	COQ4|51117	539.9259999999999
COQ5|84274	724.3199	COQ5|84274	519.302
COQ6|51004	383.7962	COQ6|51004	353.7864
COQ7|10229	507.9172	COQ7|10229	450.0264
COQ9|57017	543.646	COQ9|57017	796.9328
CORIN|10699	538.7739	CORIN|10699	17.4511
CORO1A|11151	570.0365	CORO1A|11151	428.8736
CORO1B|57175	8224.1169	CORO1B|57175	1455.3146
CORO1C|23603	2059.2773	CORO1C|23603	3832.8926
CORO2A|7464	940.3167	CORO2A|7464	327.34
CORO2B|10391	83.6378	CORO2B|10391	436.8059
CORO6|84940	461.6322	CORO6|84940	55.5262
CORO7|79585	996.1673	CORO7|79585	449.3072
lowly_expressed	lowly_expressed	CORT|1325	8.9212
COTL1|23406	1494.5189	COTL1|23406	1631.9408
COX10|1352	215.5907	COX10|1352	325.2247
COX11|1353	636.8616	COX11|1353	599.5664
COX15|1355	913.0329	COX15|1355	1112.5172
COX16|51241	830.2883	COX16|51241	506.0814
COX17|10063	559.4803	COX17|10063	347.964
COX18|285521	347.9497	COX18|285521	402.9614
COX19|90639	231.7702	COX19|90639	196.0762
COX4I1|1327	3869.2651	COX4I1|1327	3927.0227
COX4I2|84701	9.7442	COX4I2|84701	99.4183
COX4NB|10328	531.8717	COX4NB|10328	354.3099
COX5A|9377	1064.9614	COX5A|9377	1127.4458
COX5B|1329	1074.7056	COX5B|1329	1425.7007
COX6A1|1337	2391.3926	COX6A1|1337	1342.6758
COX6B1|1340	2492.0828	COX6B1|1340	1988.8948
lowly_expressed	lowly_expressed	COX6B2|125965	5.2882
COX6C|1345	14570.8486	COX6C|1345	1510.3120000000001
COX7A1|1346	127.0808	COX7A1|1346	829.7197
COX7A2L|9167	1706.8616	COX7A2L|9167	1349.0217
COX7A2|1347	1511.9773	COX7A2|1347	1020.6239999999999
COX7B|1349	886.7235	COX7B|1349	1149.1274
COX7C|1350	2434.0235	COX7C|1350	2433.633
COX8A|1351	1658.5465	COX8A|1351	1414.5955
CP110|9738	403.5729	CP110|9738	619.7779
lowly_expressed	lowly_expressed	CPA1|1357	53.4109
lowly_expressed	lowly_expressed	CPA2|1358	8.4611
CPA3|1359	43.0369	CPA3|1359	272.8715
CPA4|51200	17.4584	CPA4|51200	24.3258
CPAMD8|27151	145.7572	CPAMD8|27151	1196.1925
CPB1|1360	760.0487	CPB1|1360	21.6816
CPD|1362	6539.1799	CPD|1362	3652.5648
CPEB1|64506	19.4884	CPEB1|64506	38.0751
CPEB2|132864	714.5757	CPEB2|132864	726.5997
CPEB3|22849	136.013	CPEB3|22849	249.0746
CPEB4|80315	1592.3670000000002	CPEB4|80315	1354.3099
CPE|1363	5173.3658	CPE|1363	3635.6425
CPLX1|10815	258.2217	CPLX1|10815	70.3332
CPM|1368	382.4604	CPM|1368	6008.99
CPN2|1370	12.1803	lowly_expressed	lowly_expressed
CPNE1|8904	1844.8477	CPNE1|8904	1608.7203
CPNE2|221184	536.3378	CPNE2|221184	1315.7060000000001
CPNE3|8895	2614.2915	CPNE3|8895	3125.3305
CPNE4|131034	9.7442	lowly_expressed	lowly_expressed
CPNE5|57699	41.8189	CPNE5|57699	23.2681
CPNE7|27132	9.7442	CPNE7|27132	22.7393
CPNE8|144402	142.1031	CPNE8|144402	306.1872
CPOX|1371	271.62	CPOX|1371	270.2274
CPPED1|55313	585.4649	CPPED1|55313	686.4093
CPS1|1373	42.2249	CPS1|1373	315.70599999999996
CPSF1|29894	1546.894	CPSF1|29894	1202.0095
CPSF2|53981	1613.8855	CPSF2|53981	1126.3882
CPSF3L|54973	1946.0008	CPSF3L|54973	1115.8117
CPSF3|51692	807.5518	CPSF3|51692	652.036
CPSF4|10898	390.9866	CPSF4|10898	405.0767
CPSF6|11052	1899.3098	CPSF6|11052	1351.1370000000002
CPSF7|79869	1191.2302	CPSF7|79869	2034.9022
CPT1A|1374	4052.3752	CPT1A|1374	1560.55
CPT1B|1375	454.9127	CPT1B|1375	171.4966
CPT1C|126129	154.2834	CPT1C|126129	40.1904
CPT2|1376	479.0905	CPT2|1376	758.3289
CPVL|54504	136.825	CPVL|54504	519.302
CPXM1|56265	187.5761	CPXM1|56265	783.1835
CPXM2|119587	1404.3849	CPXM2|119587	1686.4093
CPZ|8532	421.0313	CPZ|8532	268.6409
CP|1356	15.0589	CP|1356	1338.0962
CR1|1378	7.7142	CR1|1378	66.6314
lowly_expressed	lowly_expressed	CR2|1380	8.4611
lowly_expressed	lowly_expressed	CRABP1|1381	238.4981
CRABP2|1382	15246.4474	CRABP2|1382	1061.872
CRADD|8738	111.2464	CRADD|8738	147.0122
CRAMP1L|57585	706.0577	CRAMP1L|57585	1010.074
CRAT|1384	624.0357	CRAT|1384	1533.0513
CRB1|23418	13.3983	CRB1|23418	5.817
CRB2|286204	12.5863	CRB2|286204	46.0074
CRB3|92359	209.9066	CRB3|92359	84.6113
CRBN|51185	709.2935	CRBN|51185	826.7953
CRCP|27297	822.1681	CRCP|27297	629.2967
CREB1|1385	1087.2919	CREB1|1385	1194.606
CREB3L1|90993	812.8299	CREB3L1|90993	309.8889
CREB3L2|64764	2588.3069	CREB3L2|64764	3879.9577
CREB3L4|148327	2663.8246	CREB3L4|148327	520.3596
CREB3|10488	1262.0016	CREB3|10488	874.9075
CREB5|9586	56.8413	CREB5|9586	755.6848
CREBBP|1387	2575.7207	CREBBP|1387	3167.1074
CREBL2|1389	1485.5867	CREBL2|1389	2574.8281
CREBZF|58487	779.5371	CREBZF|58487	993.1253
CREG1|8804	1857.4909	CREG1|8804	3529.8784
CRELD1|78987	1001.2180000000001	CRELD1|78987	1081.9672
CRELD2|79174	1022.7365	CRELD2|79174	354.3099
CREM|1390	239.9513	CREM|1390	342.6758
lowly_expressed	lowly_expressed	CRHBP|1393	252.7763
lowly_expressed	lowly_expressed	CRHR1|1394	60.386
lowly_expressed	lowly_expressed	CRHR2|1395	5.2882
CRIM1|51232	3854.6488	CRIM1|51232	9091.485999999999
CRIP1|1396	1876.5733	CRIP1|1396	800.1058
CRIP2|1397	2332.9273	CRIP2|1397	2395.5579
CRIP3|401262	33.6987	lowly_expressed	lowly_expressed
CRIPAK|285464	178.6439	CRIPAK|285464	188.2602
CRIPT|9419	275.2741	CRIPT|9419	333.1571
CRISPLD1|83690	137.231	CRISPLD1|83690	1114.2253
CRISPLD2|83716	2376.3703	CRISPLD2|83716	3214.7012
CRKL|1399	2201.3804	CRKL|1399	1823.3739
CRK|1398	681.689	CRK|1398	1763.0883
CRLF1|9244	123.8327	CRLF1|9244	64.5161
CRLF3|51379	421.8433	CRLF3|51379	290.3226
CRLS1|54675	678.0349	CRLS1|54675	893.707
CRMP1|1400	137.2351	CRMP1|1400	121.2903
CRNKL1|51340	1084.0438	CRNKL1|51340	767.8477
CROCCL1|84809	240.1868	CROCCL1|84809	215.3728
CROCCL2|114819	55.2172	CROCCL2|114819	44.4209
CROCC|9696	714.5757	CROCC|9696	469.5928
CROT|54677	323.9951	CROT|54677	287.6785
CRTAC1|55118	12.1803	CRTAC1|55118	147.541
CRTAM|56253	7.7142	CRTAM|56253	5.2882
CRTAP|10491	2773.853	CRTAP|10491	8682.1787
CRTC1|23373	360.1299	CRTC1|23373	433.1042
CRTC2|200186	1576.5327	CRTC2|200186	835.0079
CRTC3|64784	1207.4706	CRTC3|64784	1725.5420000000001
CRY1|1407	347.9497	CRY1|1407	650.9783
CRY2|1408	623.6297	CRY2|1408	2748.2813
CRYAB|1410	732.4401	CRYAB|1410	14843.4691
CRYBB1|1414	8.5262	CRYBB1|1414	9.5188
CRYBG3|131544	176.4028	CRYBG3|131544	1099.8414
CRYGS|1427	15.0223	CRYGS|1427	14.2782
CRYL1|51084	177.0199	CRYL1|51084	492.8609
CRYZL1|9946	270.8526	CRYZL1|9946	337.1444
CRYZ|1429	1556.8737	CRYZ|1429	572.3585
CSAD|51380	287.4543	CSAD|51380	639.8731
CSDAP1|440359	32.4807	CSDAP1|440359	65.5738
CSDA|8531	1787.2513	CSDA|8531	3527.7631
CSDC2|27254	147.3812	CSDC2|27254	25.3834
CSDE1|7812	11885.0995	CSDE1|7812	22797.4617
CSE1L|1434	1870.4832	CSE1L|1434	1710.7351
CSF1R|1436	1039.3829	CSF1R|1436	2071.9196
CSF1|1435	665.8546	CSF1|1435	1543.0989
CSF2RA|1438	54.4052	CSF2RA|1438	219.9894
CSF2RB|1439	101.5022	CSF2RB|1439	306.1872
CSF3R|1441	130.7349	CSF3R|1441	111.5812
lowly_expressed	lowly_expressed	CSF3|1440	171.3379
CSGALNACT1|55790	237.1092	CSGALNACT1|55790	540.4548
CSGALNACT2|55454	967.9253	CSGALNACT2|55454	615.0185
CSK|1445	1017.0524	CSK|1445	705.9757
CSMD1|64478	6.9022	CSMD1|64478	74.0349
CSMD2|114784	69.4275	CSMD2|114784	5.817
lowly_expressed	lowly_expressed	CSN1S1|1446	7.4035
CSNK1A1|1452	5516.0374	CSNK1A1|1452	6332.6282
CSNK1D|1453	5314.2509	CSNK1D|1453	3311.4754
CSNK1E|1454	3694.7341	CSNK1E|1454	2223.2470000000003
CSNK1G1|53944	1062.5254	CSNK1G1|53944	577.4722
CSNK1G2|1455	1326.4312	CSNK1G2|1455	968.2708
CSNK1G3|1456	957.7751	CSNK1G3|1456	717.0809
CSNK2A1P|283106	430.7755	CSNK2A1P|283106	443.6806
CSNK2A1|1457	1391.3926	CSNK2A1|1457	1095.1877
CSNK2A2|1459	309.3788	CSNK2A2|1459	622.9508
CSNK2B|1460	2624.5148	CSNK2B|1460	1607.8847
CSPG4|1464	1801.0556	CSPG4|1464	2336.8588
CSPG5|10675	26.3906	CSPG5|10675	21.1528
CSPP1|79848	313.7434	CSPP1|79848	275.5156
CSRNP1|64651	572.0666	CSRNP1|64651	5647.2766
CSRNP2|81566	1257.0037	CSRNP2|81566	776.8377
lowly_expressed	lowly_expressed	CSRNP3|80034	34.9022
CSRP1|1465	8093.3821	CSRP1|1465	15088.8419
CSRP2BP|57325	728.7860000000001	CSRP2BP|57325	604.4421
CSRP2|1466	191.2302	CSRP2|1466	379.1645
CST1|1469	762.0788	lowly_expressed	lowly_expressed
CST2|1470	86.8859	lowly_expressed	lowly_expressed
CST3|1471	4771.823	CST3|1471	5263.3527
CST4|1472	15.0223	lowly_expressed	lowly_expressed
CST5|1473	20.7065	lowly_expressed	lowly_expressed
CST6|1474	350.3857	CST6|1474	11.1052
CST7|8530	68.6155	CST7|8530	37.0175
CST9|128822	24.7665	lowly_expressed	lowly_expressed
CSTA|1475	29.2326	CSTA|1475	287.1497
CSTB|1476	2239.5453	CSTB|1476	2265.9968
