gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
lowly_expressed	lowly_expressed	ACADL|33	386.568
ACADM|34	689.8092	ACADM|34	1855.1031
ACADSB|36	3905.3999	ACADSB|36	1640.9307
ACADS|35	324.8071	ACADS|35	1487.0439
ACADVL|37	2434.4174	ACADVL|37	7023.2364
ACAN|176	208.2826	ACAN|176	7.4035
ACAP1|9744	39.3829	ACAP1|9744	43.3633
ACAP2|23527	977.2635	ACAP2|23527	1472.7657
ACAP3|116983	581.4495	ACAP3|116983	450.0687
ACAT1|38	710.1096	ACAT1|38	2344.2623
ACAT2|39	539.8498	ACAT2|39	291.3379
ACBD3|64746	2106.3743	ACBD3|64746	1358.0116
ACBD4|79777	615.9156	ACBD4|79777	305.1296
ACBD5|91452	963.8652	ACBD5|91452	791.6446
ACBD6|84320	549.3301	ACBD6|84320	317.8213
ACBD7|414149	21.5185	ACBD7|414149	68.7467
ACCN1|40	203.4105	lowly_expressed	lowly_expressed
ACCN2|41	149.8173	ACCN2|41	117.927
ACCN3|9311	77.9537	lowly_expressed	lowly_expressed
ACCN4|55515	5.2781	lowly_expressed	lowly_expressed
ACCS|84680	148.5993	ACCS|84680	242.1999
ACD|65057	498.985	ACD|65057	287.6785
lowly_expressed	lowly_expressed	ACE2|59272	36.4886
ACER1|125981	5.6841	lowly_expressed	lowly_expressed
ACER2|340485	153.8774	ACER2|340485	228.4506
ACER3|55331	146.1632	ACER3|55331	948.1756
ACE|1636	275.6801	ACE|1636	1042.8345
ACHE|43	8.5262	ACHE|43	17.4511
ACIN1|22985	3776.2891	ACIN1|22985	2590.1639
ACLY|47	8144.5392	ACLY|47	3682.1787
ACMSD|130013	25.5786	lowly_expressed	lowly_expressed
ACN9|57001	12.9923	ACN9|57001	123.7441
ACO1|48	784.8153	ACO1|48	6515.0714
ACO2|50	3396.5124	ACO2|50	4196.1343
ACOT11|26027	21.5185	ACOT11|26027	58.276
ACOT13|55856	843.1466	ACOT13|55856	497.5886
ACOT1|641371	753.9586	ACOT1|641371	1644.1036
ACOT2|10965	544.864	ACOT2|10965	1035.9598
ACOT4|122970	595.6151	ACOT4|122970	138.0222
ACOT6|641372	7.7142	ACOT6|641372	7.9323
ACOT7|11332	540.3979	ACOT7|11332	229.5082
ACOT8|10005	332.4482	ACOT8|10005	176.6261
ACOT9|23597	494.9249	ACOT9|23597	561.0788
ACOX1|51	2193.4754	ACOX1|51	4884.0402
ACOX2|8309	287.0483	ACOX2|8309	448.9688
ACOX3|8310	1238.3272	ACOX3|8310	622.422
ACP1|52	1401.9488	ACP1|52	927.0227
ACP2|53	809.9878	ACP2|53	943.4162
ACP5|54	724.7259	ACP5|54	650.4495
ACP6|51205	276.0861	ACP6|51205	183.5008
ACPL2|92370	311.8149	ACPL2|92370	229.5082
ACPP|55	32.8867	ACPP|55	9.5188
ACRBP|84519	24.7665	ACRBP|84519	16.3934
ACRC|93953	15.0223	ACRC|93953	15.3358
lowly_expressed	lowly_expressed	ACR|49	5.2882
ACSBG1|23205	8.5262	ACSBG1|23205	9.5188
ACSF2|80221	1093.4348	ACSF2|80221	1014.807
ACSF3|197322	514.0073	ACSF3|197322	326.2824
ACSL1|2180	477.4665	ACSL1|2180	31673.7176
ACSL3|2181	3128.7048	ACSL3|2181	2544.6854
ACSL4|2182	724.3199	ACSL4|2182	1868.3236
ACSL5|51703	98.2542	ACSL5|51703	927.5516
ACSL6|23305	11.3683	lowly_expressed	lowly_expressed
ACSM1|116285	7.3082	ACSM1|116285	37.5463
ACSM3|6296	17.6857	ACSM3|6296	162.3744
ACSM5|54988	13.8043	ACSM5|54988	818.0857
ACSS1|84532	1236.7032	ACSS1|84532	772.0783
ACSS2|55902	792.5294	ACSS2|55902	3633.5272
ACSS3|79611	199.7564	ACSS3|79611	996.8271
ACTA1|58	852.6188	ACTA1|58	26.9699
ACTA2|59	18809.2692	ACTA2|59	20935.394
lowly_expressed	lowly_expressed	ACTBL2|345651	7.4035
ACTB|60	92218.8388	ACTB|60	74926.4939
lowly_expressed	lowly_expressed	ACTC1|70	7.4035
ACTG1|71	84900.5278	ACTG1|71	40464.8334
ACTG2|72	3668.6967	ACTG2|72	4849.8149
ACTL6A|86	1223.3049	ACTL6A|86	561.0788
ACTN1|87	10218.8388	ACTN1|87	10822.3162
ACTN4|81	14188.4044	ACTN4|81	11801.4384
ACTR10|55860	1200.5684	ACTR10|55860	953.4638
ACTR1A|10121	3518.8794	ACTR1A|10121	2704.918
ACTR1B|10120	1144.5392	ACTR1B|10120	1416.1819
ACTR2|10097	6058.4653	ACTR2|10097	5071.3908
ACTR3B|57180	151.0353	ACTR3B|57180	124.2729
ACTR3C|653857	5.6841	ACTR3C|653857	43.3633
ACTR3|10096	3571.2546	ACTR3|10096	3040.1904
ACTR5|79913	222.0869	ACTR5|79913	156.5309
ACTR6|64431	570.4425	ACTR6|64431	529.8784
ACTR8|93973	598.8632	ACTR8|93973	424.1142
ACVR1B|91	1506.2931	ACVR1B|91	1147.541
ACVR1C|130399	5.6841	ACVR1C|130399	2342.6758
ACVR1|90	1339.0175	ACVR1|90	1153.358
ACVR2A|92	499.391	ACVR2A|92	379.1645
ACVR2B|93	515.6313	ACVR2B|93	193.0196
ACVRL1|94	527.8116	ACVRL1|94	1251.7187
ACY1|95	592.367	ACY1|95	840.2961
lowly_expressed	lowly_expressed	ACY3|91703	20.0952
ACYP1|97	103.5323	ACYP1|97	39.6616
ACYP2|98	48.3151	ACYP2|98	182.972
ADAL|161823	242.7933	ADAL|161823	191.9619
ADAM10|102	2298.8226	ADAM10|102	1632.4696
ADAM11|4185	28.8266	ADAM11|4185	7.4035
ADAM12|8038	3065.7734	ADAM12|8038	1015.8646
ADAM15|8751	1475.9115	ADAM15|8751	3271.9408
ADAM17|6868	765.3268	ADAM17|6868	979.9048
ADAM19|8728	830.6943	ADAM19|8728	82.496
ADAM22|53616	50.7511	ADAM22|53616	153.8868
ADAM23|8745	26.3906	ADAM23|8745	12.6917
