gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
ACAN|176	1437.9696	ACAN|176	7.9542
ACAP1|9744	66.7891	ACAP1|9744	103.0862
ACAP2|23527	2428.4522	ACAP2|23527	1601.6545
ACAP3|116983	316.6138	ACAP3|116983	469.615
ACAT1|38	1524.7955	ACAT1|38	1171.4922
ACAT2|39	337.0646	ACAT2|39	245.132
ACBD3|64746	3134.0791	ACBD3|64746	1739.1028
ACBD4|79777	152.2792	ACBD4|79777	266.9424
ACBD5|91452	1006.178	ACBD5|91452	745.7843
ACBD6|84320	565.3698	ACBD6|84320	343.9389
ACBD7|414149	78.1433	ACBD7|414149	62.0426
removed	removed	ACCN1|40	9.8632
ACCN2|41	172.6499	ACCN2|41	147.6297
ACCN3|9311	33.0606	ACCN3|9311	9.8632
ACCS|84680	281.1822	removed	removed
ACD|65057	332.9437	ACD|65057	329.6214
ACE2|59272	32.0588	ACE2|59272	34.3621
ACER2|340485	68.7928	ACER2|340485	125.3579
ACER3|55331	386.375	ACER3|55331	360.1654
ACE|1636	380.6979	ACE|1636	1065.5425
ACHE|43	11.0202	ACHE|43	29.9077
ACIN1|22985	2081.8167	ACIN1|22985	3541.839
ACLY|47	2997.8294	ACLY|47	2869.8696
ACN9|57001	206.0444	ACN9|57001	182.3099
ACO1|48	766.0711	ACO1|48	1557.111
ACO2|50	3952.8769	ACO2|50	1683.0608
ACOT11|26027	86.158	ACOT11|26027	41.5304
ACOT13|55856	811.6013	ACOT13|55856	452.2717
ACOT1|641371	311.2373	ACOT1|641371	345.2116
ACOT2|10965	213.3912	ACOT2|10965	228.4442
ACOT4|122970	62.7818	ACOT4|122970	42.6344
ACOT7|11332	967.4403	ACOT7|11332	220.1718
ACOT8|10005	326.8192	ACOT8|10005	224.1871
ACOT9|23597	641.1755	ACOT9|23597	508.1133
ACOX1|51	1839.8931	ACOX1|51	1322.9749
ACOX2|8309	24.0441	ACOX2|8309	308.6223
ACOX3|8310	262.4812	ACOX3|8310	557.7474
ACOXL|55289	5.0092	removed	removed
ACP1|52	1836.0327	ACP1|52	1046.1343
ACP2|53	921.0219	ACP2|53	683.7321
ACP5|54	883.62	ACP5|54	622.9717
ACP6|51205	293.2042	ACP6|51205	187.0824
ACPL2|92370	703.2894	ACPL2|92370	380.21
removed	removed	ACPP|55	29.9077
ACRBP|84519	18.701	ACRBP|84519	23.2262
ACRC|93953	18.0331	ACRC|93953	28.6351
ACR|49	21.3725	ACR|49	9.8632
ACSBG1|23205	7.3468	ACSBG1|23205	19.7264
ACSF2|80221	477.8761	ACSF2|80221	591.7913
ACSF3|197322	398.731	ACSF3|197322	378.9373
ACSL1|2180	2875.9392	ACSL1|2180	3657.3338
ACSL3|2181	2192.0187	ACSL3|2181	2596.2456
ACSL4|2182	4313.2409	ACSL4|2182	1733.3758
ACSL5|51703	186.6756	ACSL5|51703	1045.1798
ACSL6|23305	250.1252	ACSL6|23305	15.272
ACSM1|116285	5.3431	ACSM1|116285	46.7706
ACSM2A|123876	28.0514	removed	removed
ACSM2B|348158	13.6918	removed	removed
ACSM3|6296	23.296	ACSM3|6296	115.5743
removed	removed	ACSM5|54988	124.4034
ACSS1|84532	987.1431	ACSS1|84532	862.8699
ACSS2|55902	588.746	ACSS2|55902	1117.0856
ACSS3|79611	259.8097	ACSS3|79611	304.168
ACTA1|58	45.0827	ACTA1|58	32.1349
ACTA2|59	9446.8693	ACTA2|59	19654.3112
removed	removed	ACTBL2|345651	9.2269
ACTB|60	92465.1862	ACTB|60	82267.5787
ACTG1|71	85305.3932	ACTG1|71	56124.0853
ACTG2|72	1718.8178	ACTG2|72	6069.3605
ACTL6A|86	2447.4871	ACTL6A|86	884.8234
ACTL8|81569	314.5767	removed	removed
ACTN1|87	8945.7338	ACTN1|87	8576.5192
ACTN2|88	56.4368	removed	removed
ACTN4|81	14983.286	ACTN4|81	10965.1225
ACTR10|55860	1103.0222	ACTR10|55860	1144.7661
ACTR1A|10121	1744.5316	ACTR1A|10121	2226.8533
ACTR1B|10120	764.4014	ACTR1B|10120	1375.1193
ACTR2|10097	8419.7696	ACTR2|10097	5237.0347
ACTR3B|57180	444.1476	ACTR3B|57180	210.6268
ACTR3C|653857	32.0588	ACTR3C|653857	20.999
ACTR3|10096	5143.7636	ACTR3|10096	3246.2615
ACTR5|79913	170.6462	ACTR5|79913	210.945
ACTR6|64431	428.4522	ACTR6|64431	601.9726
ACTR8|93973	353.6484	ACTR8|93973	456.8883
ACVR1B|91	521.9569	ACVR1B|91	931.9122
ACVR1C|130399	37.4019	ACVR1C|130399	237.3528
ACVR1|90	1714.8105	ACVR1|90	1332.1667
ACVR2A|92	368.6759	ACVR2A|92	574.2921
ACVR2B|93	223.0756	ACVR2B|93	242.1254
ACVRL1|94	238.1032	ACVRL1|94	1399.9364
ACY1|95	343.9539	ACY1|95	427.181
ACY3|91703	5.3431	ACY3|91703	8.9087
ACYP1|97	118.5507	ACYP1|97	92.9049
ACYP2|98	188.3453	ACYP2|98	132.3576
removed	removed	ADAD2|161931	10.9736
ADAL|161823	52.4295	ADAL|161823	109.1314
ADAM10|102	1415.9292	ADAM10|102	1804.9634
ADAM11|4185	40.7414	ADAM11|4185	19.09
