gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
C6orf129|154467	554.3496	C6orf129|154467	87.49600000000001
C6orf130|221443	525.5969	C6orf130|221443	262.4531
C6orf132|647024	179.6627	C6orf132|647024	184.8552
C6orf134|79969	313.5749	C6orf134|79969	254.5339
C6orf136|221545	301.5528	C6orf136|221545	146.0388
C6orf138|442213	16.6973	C6orf138|442213	18.4537
C6orf141|135398	100.5176	C6orf141|135398	68.406
C6orf142|90523	6.345	C6orf142|90523	5.4088
C6orf145|221749	574.0524	C6orf145|221749	1840.28
C6orf147|387097	20.3707	removed	removed
C6orf150|115004	179.9967	C6orf150|115004	82.4053
C6orf153|88745	908.9998	C6orf153|88745	470.2514
C6orf154|221424	13.3578	C6orf154|221424	13.0449
C6orf155|79940	72.8001	C6orf155|79940	73.1785
C6orf15|29113	161.9636	C6orf15|29113	48.6796
C6orf162|57150	112.523	C6orf162|57150	158.6478
C6orf163|206412	6.345	C6orf163|206412	13.0449
C6orf164|63914	13.7085	C6orf164|63914	19.5259
removed	removed	C6orf165|154313	20.9736
C6orf167|253714	469.8614	C6orf167|253714	245.30700000000002
C6orf168|84553	510.9367	C6orf168|84553	150.175
C6orf170|221322	147.27	C6orf170|221322	119.6309
C6orf174|387104	118.1934	C6orf174|387104	119.3732
removed	removed	C6orf176|90632	25.8225
C6orf182|285753	176.3233	C6orf182|285753	149.8568
removed	removed	C6orf186|728464	12.4085
C6orf192|116843	552.346	C6orf192|116843	572.0649
C6orf1|221491	643.1792	C6orf1|221491	209.3541
removed	removed	C6orf201|404220	6.0484
C6orf203|51250	350.9768	C6orf203|51250	240.5345
C6orf204|387119	77.8093	C6orf204|387119	94.1775
removed	removed	C6orf208|80069	7.3306
C6orf211|79624	562.0304	C6orf211|79624	690.4232
removed	removed	C6orf217|100131814	9.8632
C6orf218|221718	18.0331	removed	removed
C6orf223|221416	10.6863	removed	removed
C6orf225|619208	283.8537	C6orf225|619208	161.3108
C6orf226|441150	72.4662	C6orf226|441150	44.2253
C6orf26|401251	36.3366	C6orf26|401251	28.8164
C6orf27|80737	91.5011	C6orf27|80737	50.2704
C6orf35|729515	385.7071	C6orf35|729515	355.0748
C6orf41|100133205	10.6863	C6orf41|100133205	5.727
C6orf47|57827	720.9885	C6orf47|57827	667.1969
C6orf48|50854	3548.1716	C6orf48|50854	1498.2501
C6orf52|347744	5.6771	C6orf52|347744	7.3178
C6orf57|135154	119.2186	C6orf57|135154	95.7684
C6orf59|79992	5.3431	C6orf59|79992	7.3178
C6orf62|81688	3848.2752	C6orf62|81688	2807.3528
C6orf64|55776	1096.0094	C6orf64|55776	617.881
C6orf70|55780	187.6774	C6orf70|55780	280.6236
C6orf72|116254	624.1443	C6orf72|116254	914.7311
C6orf81|221481	8.0147	removed	removed
C6orf89|221477	2934.7136	C6orf89|221477	2974.8648
C6orf97|80129	95.8424	C6orf97|80129	319.1219
removed	removed	C6|729	106.9042
C7orf10|79783	120.2204	C7orf10|79783	21.9535
C7orf11|136647	363.6667	C7orf11|136647	326.7579
C7orf13|129790	113.5415	C7orf13|129790	60.77
C7orf23|79161	254.7036	C7orf23|79161	382.8158
C7orf25|79020	268.8262	C7orf25|79020	267.286
C7orf26|79034	370.0117	C7orf26|79034	659.2428
C7orf27|221927	659.8764	C7orf27|221927	660.5154
C7orf28A|51622	1528.4689	C7orf28A|51622	990.7731
C7orf28B|221960	419.4356	C7orf28B|221960	245.6252
C7orf29|113763	131.2406	C7orf29|113763	97.6774
C7orf30|115416	309.5675	C7orf30|115416	319.44
C7orf31|136895	72.8001	C7orf31|136895	110.4041
C7orf36|57002	236.4335	C7orf36|57002	180.7191
C7orf40|285958	205.0426	C7orf40|285958	342.6662
C7orf41|222166	617.1314	C7orf41|222166	2412.6631
C7orf42|55069	3263.9840000000004	C7orf42|55069	3093.8594
C7orf43|55262	176.3233	C7orf43|55262	244.9889
C7orf44|55744	382.3677	C7orf44|55744	473.1149
C7orf46|340277	85.824	C7orf46|340277	267.8969
C7orf47|221908	193.3545	C7orf47|221908	123.7671
C7orf49|78996	649.1568	C7orf49|78996	377.3847
C7orf50|84310	625.814	C7orf50|84310	638.8801
C7orf51|222950	17.0312	C7orf51|222950	68.0878
C7orf53|286006	18.367	C7orf53|286006	25.7716
C7orf55|154791	215.3882	C7orf55|154791	206.0929
C7orf58|79974	115.2112	C7orf58|79974	816.0993
C7orf59|389541	1085.991	C7orf59|389541	809.4178
C7orf60|154743	293.2042	C7orf60|154743	419.0264
removed	removed	C7orf61|402573	8.2724
C7orf63|79846	19.7028	C7orf63|79846	202.0363
C7orf64|84060	241.7766	C7orf64|84060	272.9876
C7orf68|29923	442.4779	C7orf68|29923	132.0395
C7orf70|84792	565.3698	C7orf70|84792	383.3917
C7|730	53.0973	removed	removed
C8G|733	9.3505	removed	removed
C8ORFK29|340393	21.4126	removed	removed
C8orf30A|51236	728.3353	C8orf30A|51236	256.7611
C8orf31|286122	8.6826	C8orf31|286122	9.2269
C8orf33|65265	2410.0852	C8orf33|65265	901.3681
removed	removed	C8orf34|116328	13.6812
C8orf37|157657	118.8846	C8orf37|157657	118.9946
C8orf38|137682	258.1399	C8orf38|137682	136.4938
C8orf39|55472	7.0129	removed	removed
C8orf40|114926	806.1446	C8orf40|114926	527.8396
C8orf41|80185	198.013	C8orf41|80185	274.7502
C8orf42|157695	322.2575	C8orf42|157695	538.6573
C8orf44|56260	34.4532	C8orf44|56260	40.5154
C8orf45|157777	70.1286	C8orf45|157777	20.999000000000002
C8orf46|254778	1549.1735	C8orf46|254778	30.8622
C8orf47|203111	40.4074	C8orf47|203111	37.8619
C8orf48|157773	15.6954	C8orf48|157773	25.4534
C8orf4|56892	139.5892	C8orf4|56892	1218.8991
C8orf51|78998	70.1286	C8orf51|78998	26.4079
C8orf55|51337	793.4547	C8orf55|51337	456.5702
C8orf58|541565	108.1984	C8orf58|541565	224.6262
C8orf59|401466	731.0002	C8orf59|401466	505.9593
C8orf73|642475	96.1763	C8orf73|642475	43.2708
C8orf76|84933	674.57	removed	removed
C8orf77|286103	15.0276	removed	removed
C8orf79|57604	32.3927	C8orf79|57604	488.3869
removed	removed	C8orf80|389643	12.0904
C8orf83|286144	679.9132	C8orf83|286144	662.4244
C8orf84|157869	484.889	C8orf84|157869	322.6217
C8orf85|441376	1707.7976	C8orf85|441376	153.6748
C9orf100|84904	80.2438	C9orf100|84904	40.3945
C9orf102|375748	98.6609	C9orf102|375748	169.6914
C9orf103|414328	47.4203	C9orf103|414328	90.6777
C9orf109|286333	12.356	C9orf109|286333	25.7716
C9orf110|100128385	101.5195	C9orf110|100128385	164.4925
C9orf114|51490	269.2536	C9orf114|51490	413.923
C9orf116|138162	16.6973	C9orf116|138162	37.2256
C9orf117|286207	5.0092	C9orf117|286207	9.545
C9orf119|375757	262.4812	C9orf119|375757	187.0824
C9orf122|158228	33.0606	C9orf122|158228	27.6806
C9orf123|90871	1124.3947	C9orf123|90871	591.7913
C9orf125|84302	13.6918	C9orf125|84302	111.6767
C9orf129|445577	95.819	C9orf129|445577	77.3465
C9orf130|100128782	146.345	C9orf130|100128782	197.9446
removed	removed	C9orf131|138724	6.9997
C9orf139|401563	5.1494	removed	removed
C9orf140|89958	418.4338	C9orf140|89958	145.7206
C9orf142|286257	310.2354	C9orf142|286257	207.7633
C9orf150|286343	534.6469	C9orf150|286343	506.8406
C9orf152|401546	51.7616	C9orf152|401546	153.0385
C9orf156|51531	107.8644	C9orf156|51531	258.0337
C9orf163|158055	5.6771	removed	removed
C9orf167|54863	110.536	C9orf167|54863	115.4948
C9orf16|79095	780.4308	C9orf16|79095	419.3446
C9orf170|401535	25.7138	removed	removed
C9orf172|389813	7.0129	removed	removed
C9orf21|195827	226.74900000000002	C9orf21|195827	319.1219
C9orf23|138716	206.0444	C9orf23|138716	294.3048
C9orf24|84688	18.367	C9orf24|84688	5.727
C9orf25|203259	461.1788	C9orf25|203259	621.0627
C9orf30|91283	560.3941	C9orf30|91283	192.4276
C9orf37|85026	110.536	C9orf37|85026	101.4954
C9orf3|84909	294.9374	C9orf3|84909	388.4283
C9orf40|55071	194.6903	C9orf40|55071	209.9905
C9orf41|138199	156.9544	C9orf41|138199	188.0369
removed	removed	C9orf43|257169	8.9087
removed	removed	C9orf44|158314	5.4088
C9orf45|81571	101.5195	C9orf45|81571	163.8562
C9orf46|55848	552.346	C9orf46|55848	245.30700000000002
C9orf47|286223	5.3632	C9orf47|286223	9.9141
C9orf5|23731	1304.3914	C9orf5|23731	2696.4683
C9orf64|84267	345.6337	C9orf64|84267	340.1209
removed	removed	C9orf66|157983	26.7261
C9orf68|55064	10.6863	C9orf68|55064	106.5861
C9orf69|90120	1018.2	C9orf69|90120	733.0576
C9orf6|54942	300.551	C9orf6|54942	407.2542
C9orf72|203228	241.1087	C9orf72|203228	536.112
C9orf78|51759	1195.1912	C9orf78|51759	1441.9345
C9orf7|11094	454.166	C9orf7|11094	417.4356
C9orf80|58493	164.9691	C9orf80|58493	255.8066
C9orf82|79886	283.1858	C9orf82|79886	436.2074
C9orf85|138241	126.5654	C9orf85|138241	179.4464
C9orf86|55684	1601.6029	C9orf86|55684	1495.7047
C9orf89|84270	468.8596	C9orf89|84270	264.7152
C9orf91|203197	537.9863	C9orf91|203197	394.2094
C9orf93|203238	107.5305	C9orf93|203238	98.95
C9orf95|54981	373.3511	C9orf95|54981	354.4384
C9orf96|169436	8.6826	C9orf96|169436	13.6812
C9orf98|158067	11.3541	C9orf98|158067	20.6809
C9orf9|11092	163.2994	C9orf9|11092	135.2211
CA10|56934	17.6991	removed	removed
CA11|770	367.3401	CA11|770	319.1059
CA12|771	1135.7489	CA12|771	2420.2991
CA13|377677	305.0225	CA13|377677	178.2564
CA14|23632	6.011	CA14|23632	11.454
CA2|760	206.7123	CA2|760	219.2173
CA3|761	53.3011	CA3|761	401.7626
removed	removed	CA4|762	174.99200000000002
CA5BP|340591	259.1418	CA5BP|340591	216.3538
CA5B|11238	1040.5644	CA5B|11238	623.2517
removed	removed	CA6|765	9.545
CA8|767	1352.1456	CA8|767	287.6233
CA9|768	6.6188	removed	removed
CAB39L|81617	515.612	CAB39L|81617	2086.8597
CAB39|51719	2132.9103	CAB39|51719	1952.9112
CABC1|56997	1429.808	CABC1|56997	1360.0827
CABIN1|23523	1544.8322	CABIN1|23523	1323.8944
CABLES1|91768	1463.0155	CABLES1|91768	724.7852
CABLES2|81928	235.7656	CABLES2|81928	196.6274
removed	removed	CABP1|9478	9.8632
CABP4|57010	9.3505	CABP4|57010	23.5221
CABP7|164633	16.2865	removed	removed
CABYR|26256	325.5969	CABYR|26256	95.132
CACHD1|57685	254.1326	CACHD1|57685	1706.0134
CACNA1A|773	73.80199999999999	CACNA1A|773	8.9087
CACNA1B|774	7.6807	removed	removed
CACNA1C|775	133.2443	CACNA1C|775	469.615
CACNA1D|776	92.169	CACNA1D|776	76.3602
CACNA1E|777	5.6771	CACNA1E|777	7.3178
CACNA1F|778	6.011	CACNA1F|778	7.9542
CACNA1G|8913	31.0569	CACNA1G|8913	17.180999999999997
CACNA1H|8912	20.0367	CACNA1H|8912	175.9465
removed	removed	CACNA1I|8911	22.908
CACNA2D1|781	52.7634	CACNA2D1|781	178.8101
CACNA2D2|9254	12.356	CACNA2D2|9254	78.2692
removed	removed	CACNA2D3|55799	14.6357
CACNA2D4|93589	54.4331	CACNA2D4|93589	51.2249
CACNB1|782	164.6352	CACNB1|782	158.7655
CACNB2|783	71.7983	CACNB2|783	33.0894
CACNB3|784	508.93300000000005	CACNB3|784	391.0277
CACNB4|785	208.382	CACNB4|785	159.0837
CACNG4|27092	119.5525	CACNG4|27092	225.2625
CACYBP|27101	2790.7831	CACYBP|27101	1000.3182
CADM1|23705	1682.4178	CADM1|23705	749.2841
removed	removed	CADM2|253559	13.0449
CADM3|57863	14.0257	CADM3|57863	703.2039
CADM4|199731	1038.5707	CADM4|199731	634.4257
CADPS2|93664	253.4647	CADPS2|93664	961.1836
removed	removed	CADPS|8618	5.4088
CAD|790	1940.8916	CAD|790	1111.6767
CALB1|793	6.345	removed	removed
CALB2|794	949.4072	CALB2|794	478.5237
CALCB|797	8.0147	removed	removed
CALCOCO1|57658	610.7864	CALCOCO1|57658	3268.5332
CALCOCO2|10241	2043.4129	CALCOCO2|10241	3144.448
CALCRL|10203	232.4261	CALCRL|10203	911.2313
CALCR|799	7.3468	CALCR|799	13.6812
CALD1|800	10695.6086	CALD1|800	12850.7795
CALHM2|51063	575.3882	CALHM2|51063	1066.497
CALM1|801	5250.6261	CALM1|801	8341.3936
CALM2|805	14225.0793	CALM2|805	11733.0576
CALM3|808	5489.3972	CALM3|808	3686.9233
removed	removed	CALML3|810	366.847
CALML4|91860	367.6741	CALML4|91860	390.0732
CALML5|51806	678.9113	CALML5|51806	180.7191
CALN1|83698	28.3854	CALN1|83698	22.908
CALR|811	24433.1274	CALR|811	9514.7948
CALU|813	13175.1544	CALU|813	3926.1852
CAMK1D|57118	358.3236	CAMK1D|57118	114.8584
CAMK1|8536	171.1872	CAMK1|8536	406.7674
CAMK2A|815	8.3486	removed	removed
CAMK2B|816	14.0257	CAMK2B|816	70.9513
CAMK2D|817	1001.8367	CAMK2D|817	1250.3977
CAMK2G|818	557.3552	CAMK2G|818	665.9243
CAMK2N1|55450	460.5109	CAMK2N1|55450	1827.2351
CAMK2N2|94032	25.0459	removed	removed
CAMK4|814	11.0202	CAMK4|814	8.5905
CAMKK1|84254	136.2498	CAMKK1|84254	411.3904
CAMKK2|10645	1459.0082	CAMKK2|10645	1823.4171
CAMKV|79012	5.0092	removed	removed
CAMLG|819	827.8511	CAMLG|819	966.9106
CAMP|820	8.6826	removed	removed
CAMSAP1L1|23271	1764.5684	CAMSAP1L1|23271	1716.1947
CAMSAP1|157922	886.6255	CAMSAP1|157922	853.0067
CAMTA1|23261	908.3319	CAMTA1|23261	629.0169
CAMTA2|23125	840.207	CAMTA2|23125	1335.6666
CAND1|55832	4486.5587	CAND1|55832	2675.7875
CAND2|23066	254.1326	CAND2|23066	173.083
CANT1|124583	1984.3046	CANT1|124583	1209.6723
CANX|821	26480.5477	CANX|821	14017.4992
CAP1|10487	8850.8933	CAP1|10487	6009.8632
CAP2|10486	183.0022	CAP2|10486	375.7556
CAPG|822	3844.0474	CAPG|822	1012.7267
CAPN10|11132	213.3912	CAPN10|11132	312.2908
removed	removed	CAPN11|11131	94.8139
CAPN12|147968	79.3288	CAPN12|147968	57.1492
CAPN13|92291	72.8001	CAPN13|92291	98.6319
CAPN14|440854	22.3744	CAPN14|440854	6.3633
CAPN1|823	4171.648	CAPN1|823	3415.8447
CAPN2|824	10565.0359	CAPN2|824	5695.1957
CAPN3|825	39.3822	CAPN3|825	260.0891
CAPN5|726	180.9985	CAPN5|726	434.6166
CAPN6|827	976.7908	CAPN6|827	492.5231
CAPN7|23473	654.1994	CAPN7|23473	1065.5425
CAPN8|388743	24.712	CAPN8|388743	155.5838
CAPN9|10753	6.345	CAPN9|10753	32.4531
CAPNS1|826	5080.9818	CAPNS1|826	4899.4591
CAPRIN1|4076	7609.2837	CAPRIN1|4076	5264.3971
CAPRIN2|65981	488.5624	CAPRIN2|65981	346.4843
CAPS2|84698	54.0992	CAPS2|84698	59.4973
CAPS|828	2019.7028	CAPS|828	274.8966
CAPZA1|829	4530.6395	CAPZA1|829	2505.5679
CAPZA2|830	2194.3563	CAPZA2|830	2815.4629
CAPZA3|93661	8.3486	CAPZA3|93661	12.0904
CAPZB|832	5235.9325	CAPZB|832	4062.9971
CARD10|29775	336.6171	CARD10|29775	989.1823
CARD11|84433	115.2112	CARD11|84433	132.994
CARD14|79092	329.2703	CARD14|79092	147.3115
CARD16|114769	90.8332	CARD16|114769	193.7639
CARD6|84674	138.9214	CARD6|84674	561.2472
CARD8|22900	704.2912	CARD8|22900	1056.952
CARD9|64170	86.8258	CARD9|64170	131.085
CARHSP1|23589	1002.8051	CARHSP1|23589	1310.9768
CARKD|55739	1173.1508	CARKD|55739	918.8673
CARM1|10498	2042.745	CARM1|10498	799.2364
CARNS1|57571	24.0441	CARNS1|57571	35.6347
CARS2|79587	1353.9823	CARS2|79587	570.3341
CARS|833	1307.3969	CARS|833	784.6007
CASC1|55259	9.3505	CASC1|55259	29.2714
CASC2|255082	10.0184	CASC2|255082	23.2262
CASC3|22794	2207.7141	CASC3|22794	2744.5116
CASC4|113201	3231.9252	CASC4|113201	3428.5714
CASC5|57082	96.5103	CASC5|57082	16.5447
CASD1|64921	440.4742	CASD1|64921	833.2803
CASKIN1|57524	10.2288	CASKIN1|57524	12.959000000000001
CASKIN2|57513	792.2591	CASKIN2|57513	1569.79
CASK|8573	2121.2222	CASK|8573	1355.3929
CASP10|843	72.1322	CASP10|843	524.658
removed	removed	CASP12|120329	55.043
CASP1|834	257.1381	CASP1|834	617.881
CASP2|835	1601.269	CASP2|835	851.7339999999999
CASP3|836	573.7185	CASP3|836	698.3773
CASP4|837	490.566	CASP4|837	1161.9472
CASP6|839	605.4433	CASP6|839	314.9857
CASP7|840	703.9573	CASP7|840	1014.6357
CASP8AP2|9994	543.3294	CASP8AP2|9994	613.1085
CASP8|841	486.8926	CASP8|841	504.9316
CASP9|842	310.9033	CASP9|842	345.8479
removed	removed	CASQ1|844	5.727
removed	removed	CASQ2|845	201.7181
CASR|846	18.701	removed	removed
CASS4|57091	24.712	CASS4|57091	52.1794
CAST|831	3893.8320000000003	CAST|831	7302.8317
CASZ1|54897	371.3475	CASZ1|54897	879.4146
CATSPER2P1|440278	22.8218	CATSPER2P1|440278	22.9558
CATSPER2|117155	20.3707	CATSPER2|117155	57.5533
CATSPER3|347732	7.3468	CATSPER3|347732	5.0907
CATSPERB|79820	5.3431	CATSPERB|79820	36.2711
CATSPERG|57828	14.3597	CATSPERG|57828	18.7719
CAT|847	3102.3543	CAT|847	4122.4944
CAV1|857	1170.1453	CAV1|857	12334.7121
CAV2|858	1319.7529	CAV2|858	3607.0633
CBARA1|10367	1276.34	CBARA1|10367	987.2733
CBFA2T2|9139	489.8981	CBFA2T2|9139	773.4648
CBFA2T3|863	30.0551	CBFA2T3|863	265.9879
CBFB|865	1685.7572	CBFB|865	1077.951
CBLB|868	385.7071	CBLB|868	568.5651
CBLC|23624	484.2211	CBLC|23624	137.1301
CBLL1|79872	598.7644	CBLL1|79872	539.6118
removed	removed	CBLN1|869	8.5905
CBLN3|643866	34.3964	CBLN3|643866	47.0888
CBLN4|140689	6.6789	CBLN4|140689	28.3169
CBL|867	1287.0262	CBL|867	1087.8142
CBR1|873	1345.1528	CBR1|873	903.0099
CBR3|874	179.6627	CBR3|874	258.6701
CBR4|84869	369.0099	CBR4|84869	547.251
CBS|875	2274.5033	CBS|875	109.4496
CBWD1|55871	1043.9138	CBWD1|55871	493.1594
CBWD2|150472	432.1256	CBWD2|150472	760.7381
CBWD3|445571	328.4555	CBWD3|445571	316.7706
CBWD6|644019	73.80199999999999	CBWD6|644019	76.6783
CBX1|10951	2425.7806	CBX1|10951	1542.4753
CBX2|84733	749.7078	CBX2|84733	74.7693
CBX3|11335	3792.2859	CBX3|11335	2901.3681
CBX4|8535	934.3797	CBX4|8535	510.3404
CBX5|23468	1432.2925	CBX5|23468	2669.7423
CBX6|23466	504.2578	CBX6|23466	675.4693
CBX7|23492	770.4124	CBX7|23492	2533.2485
CBX8|57332	181.3324	CBX8|57332	64.2698
CBY1|25776	577.3151	CBY1|25776	600.2259
CC2D1A|54862	1292.0354	CC2D1A|54862	1197.5819
CC2D1B|200014	1193.8554	CC2D1B|200014	712.0585
CC2D2A|57545	361.99699999999996	CC2D2A|57545	565.0652
removed	removed	CC2D2B|387707	11.7308
CCAR1|55749	1570.2121	CCAR1|55749	1543.7479999999998
CCBE1|147372	14.3597	CCBE1|147372	57.2701
CCBL1|883	104.191	CCBL1|883	90.3595
CCBL2|56267	433.5749	CCBL2|56267	501.7913
CCBP2|1238	7.0129	CCBP2|1238	304.4862
CCDC101|112869	121.2222	CCDC101|112869	250.0795
CCDC102A|92922	336.9511	CCDC102A|92922	242.1254
CCDC102B|79839	32.3927	CCDC102B|79839	83.3598
CCDC103|388389	67.791	CCDC103|388389	101.1772
CCDC104|112942	984.1376	CCDC104|112942	908.686
CCDC106|29903	224.0775	CCDC106|29903	208.0815
CCDC107|203260	386.0077	CCDC107|203260	463.4839
CCDC109A|90550	686.5921	CCDC109A|90550	423.7989
CCDC109B|55013	473.8688	CCDC109B|55013	382.119
CCDC110|256309	41.0753	CCDC110|256309	95.7684
CCDC111|201973	147.7475	CCDC111|201973	268.5651
CCDC112|153733	267.4904	CCDC112|153733	261.8517
CCDC113|29070	447.1531	CCDC113|29070	173.4012
CCDC114|93233	43.4129	CCDC114|93233	17.180999999999997
CCDC115|84317	1129.7379	CCDC115|84317	824.0535
CCDC117|150275	1271.6647	CCDC117|150275	801.1454
CCDC11|220136	5.6771	CCDC11|220136	23.8626
CCDC120|90060	331.9419	CCDC120|90060	377.3465
CCDC121|79635	113.2075	CCDC121|79635	151.4477
CCDC122|160857	97.1782	CCDC122|160857	109.1314
CCDC123|84902	393.7218	CCDC123|84902	403.4362
CCDC124|115098	1379.5291	CCDC124|115098	699.0137
CCDC125|202243	213.3912	CCDC125|202243	372.8921
CCDC126|90693	236.4335	CCDC126|90693	427.2988
CCDC127|133957	424.7788	CCDC127|133957	365.8925
CCDC129|223075	10.0184	CCDC129|223075	103.0862
CCDC12|151903	376.3567	CCDC12|151903	523.7035
CCDC130|81576	505.9275	CCDC130|81576	389.4368
CCDC132|55610	405.4099	CCDC132|55610	536.112
CCDC134|79879	139.9232	CCDC134|79879	32.1349
CCDC136|64753	83.8203	CCDC136|64753	107.8587
CCDC137|339230	476.2064	CCDC137|339230	265.0334
CCDC138|165055	56.4368	CCDC138|165055	51.8613
CCDC13|152206	9.0165	CCDC13|152206	12.7267
removed	removed	CCDC141|285025	76.3602
CCDC142|84865	152.9905	CCDC142|84865	125.5297
CCDC144A|9720	80.3807	CCDC144A|9720	46.7706
CCDC144B|284047	141.643	CCDC144B|284047	106.0165
CCDC144C|348254	41.0753	removed	removed
CCDC146|57639	131.9085	CCDC146|57639	155.90200000000002
CCDC147|159686	12.6899	CCDC147|159686	12.4085
CCDC148|130940	11.3541	CCDC148|130940	24.8171
CCDC149|91050	460.17699999999996	CCDC149|91050	569.8377
CCDC14|64770	883.62	CCDC14|64770	1211.2631
CCDC150|284992	53.4313	CCDC150|284992	10.8177
CCDC151|115948	8.0147	removed	removed
CCDC152|100129792	35.2513	CCDC152|100129792	136.392
CCDC153|283152	31.3909	CCDC153|283152	9.8632
removed	removed	CCDC154|645811	5.0907
CCDC155|147872	5.6771	removed	removed
CCDC157|550631	29.444000000000003	CCDC157|550631	35.3357
CCDC158|339965	28.3854	CCDC158|339965	39.7709
CCDC159|126075	153.615	CCDC159|126075	200.7636
CCDC15|80071	69.1267	CCDC15|80071	49.9523
CCDC160|347475	13.3578	CCDC160|347475	20.999000000000002
CCDC163P|126661	38.7377	CCDC163P|126661	19.4082
removed	removed	CCDC17|149483	20.0445
CCDC18|343099	145.6303	CCDC18|343099	69.6787
CCDC19|25790	18.701	CCDC19|25790	28.3169
CCDC21|64793	577.3919	CCDC21|64793	287.9415
CCDC22|28952	448.6826	CCDC22|28952	349.9936
CCDC23|374969	351.6447	CCDC23|374969	296.8501
CCDC24|149473	125.1528	CCDC24|149473	123.5189
CCDC25|55246	756.7207	CCDC25|55246	983.4553
CCDC28A|25901	499.9165	CCDC28A|25901	526.567
CCDC28B|79140	128.569	CCDC28B|79140	73.8148
CCDC30|728621	43.07899999999999	CCDC30|728621	86.2234
CCDC34|91057	367.3401	CCDC34|91057	369.3923
CCDC36|339834	9.0165	CCDC36|339834	48.0433
CCDC39|339829	22.0404	CCDC39|339829	32.3608
CCDC3|83643	760.3941	CCDC3|83643	1517.3401
CCDC40|55036	82.1506	CCDC40|55036	136.4938
CCDC41|51134	142.5948	CCDC41|51134	174.99200000000002
removed	removed	CCDC42B|387885	6.6242
CCDC43|124808	606.4451	CCDC43|124808	393.2549
CCDC45|90799	610.1186	CCDC45|90799	615.6538
CCDC46|201134	91.4209	CCDC46|201134	431.7531
CCDC47|57003	5450.3256	CCDC47|57003	3074.4512
CCDC48|79825	22.3744	CCDC48|79825	121.2218
CCDC50|152137	3035.5652	CCDC50|152137	3475.342
CCDC51|79714	305.8941	CCDC51|79714	187.4006
CCDC52|152185	315.2446	CCDC52|152185	462.2972
CCDC53|51019	369.0099	CCDC53|51019	454.0248
CCDC55|84081	754.383	CCDC55|84081	1066.1788
CCDC56|28958	556.6138	CCDC56|28958	619.1791
CCDC57|284001	272.8335	CCDC57|284001	458.161
CCDC58|131076	191.3508	CCDC58|131076	167.6742
CCDC59|29080	550.6762	CCDC59|29080	575.8829
CCDC61|729440	81.1488	CCDC61|729440	164.1744
removed	removed	CCDC62|84660	6.9997
CCDC64B|146439	719.9866	CCDC64B|146439	545.9752
CCDC64|92558	190.015	CCDC64|92558	54.7248
removed	removed	CCDC65|85478	7.9542
CCDC66|285331	207.10299999999998	CCDC66|285331	386.9074
CCDC67|159989	52.0955	removed	removed
CCDC68|80323	45.0827	CCDC68|80323	101.4954
CCDC69|26112	143.2626	CCDC69|26112	1645.8797
CCDC6|8030	2951.4109	CCDC6|8030	2292.714
CCDC71|64925	270.16200000000003	CCDC71|64925	434.6166
CCDC72|51372	881.2824	CCDC72|51372	1002.2272
CCDC73|493860	43.1725	CCDC73|493860	43.3758
CCDC74A|90557	94.8405	CCDC74A|90557	111.0404
CCDC74B|91409	73.1341	CCDC74B|91409	68.406
CCDC75|253635	99.1818	CCDC75|253635	89.405
CCDC76|54482	297.6624	CCDC76|54482	331.7308
CCDC77|84318	612.1222	CCDC77|84318	168.9469
CCDC78|124093	33.0606	CCDC78|124093	12.0904
CCDC7|221016	48.6492	CCDC7|221016	38.2724
CCDC80|151887	876.6071	CCDC80|151887	15812.5994
CCDC81|60494	5.0092	CCDC81|60494	10.8177
CCDC82|79780	759.7262	CCDC82|79780	781.1009
CCDC84|338657	109.8681	CCDC84|338657	98.3137
CCDC85A|114800	10.6863	CCDC85A|114800	262.9367
CCDC85B|11007	163.2994	CCDC85B|11007	243.0799
CCDC85C|317762	518.1833	CCDC85C|317762	602.0235
CCDC86|79080	774.0791	CCDC86|79080	515.4184
CCDC87|55231	5.6771	CCDC87|55231	14.6357
CCDC88A|55704	2259.4757	CCDC88A|55704	902.959
CCDC88B|283234	164.6352	CCDC88B|283234	354.7566
CCDC88C|440193	751.3775	CCDC88C|440193	763.6017
CCDC89|220388	13.0239	CCDC89|220388	47.0888
CCDC8|83987	152.6131	CCDC8|83987	1193.7639
CCDC90A|63933	306.2281	CCDC90A|63933	221.4445
CCDC90B|60492	649.1568	CCDC90B|60492	689.1091
CCDC91|55297	1239.9399	CCDC91|55297	476.9329
CCDC92|80212	997.4954	CCDC92|80212	796.0547
CCDC93|54520	630.1553	CCDC93|54520	966.5924
CCDC94|55702	307.5639	CCDC94|55702	337.2574
CCDC96|257236	14.6936	CCDC96|257236	100.8591
CCDC97|90324	831.8584	CCDC97|90324	1065.5425
CCDC99|54908	202.0371	CCDC99|54908	143.8116
CCDC9|26093	439.4724	CCDC9|26093	453.7066
CCHCR1|54535	517.6156	CCHCR1|54535	380.8463
CCIN|881	12.356	CCIN|881	5.0907
CCKBR|887	78.4772	removed	removed
CCK|885	25.3799	removed	removed
CCL13|6357	254.4665	CCL13|6357	106.5861
CCL14|6358	18.0331	CCL14|6358	2829.4273
removed	removed	CCL16|6360	10.8177
CCL17|6361	36.4001	removed	removed
CCL18|6362	95.5084	CCL18|6362	584.1553
