gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
ACADM|34	743.4013	ACADM|34	968.1892
ACADSB|36	5895.4227	ACADSB|36	1143.9641
ACADS|35	1406.6154	ACADS|35	1721.8597
ACADVL|37	4879.716	ACADVL|37	11856.8312
ACAN|176	24.3902	lowly_expressed	lowly_expressed
ACAP1|9744	36.7524	ACAP1|9744	152.5285
ACAP2|23527	1279.9866	ACAP2|23527	560.7667
ACAP3|116983	924.6108	ACAP3|116983	841.7822
ACAT1|38	882.0581	ACAT1|38	1621.5334
ACAT2|39	335.6265	ACAT2|39	529.6248
ACBD3|64746	2319.7461	ACBD3|64746	791.1909
ACBD4|79777	618.1089	ACBD4|79777	699.429
ACBD5|91452	1005.0117	ACBD5|91452	422.9201
ACBD6|84320	528.2325	ACBD6|84320	554.6493
ACBD7|414149	57.8015	ACBD7|414149	34.6656
lowly_expressed	lowly_expressed	ACCN1|40	11.4192
ACCN2|41	207.15	ACCN2|41	106.0359
ACCN3|9311	106.582	ACCN3|9311	15.9054
ACCS|84680	110.9255	ACCS|84680	313.2137
ACD|65057	450.7183	ACD|65057	816.4763
lowly_expressed	lowly_expressed	ACE2|59272	7.3409
ACER2|340485	159.3719	ACER2|340485	17.9445
ACER3|55331	221.1828	ACER3|55331	155.3834
ACE|1636	405.6131	ACE|1636	425.7749
ACHE|43	13.0304	ACHE|43	46.0848
ACIN1|22985	3939.5256	ACIN1|22985	2866.2316
ACLY|47	7837.287	ACLY|47	2230.4241
lowly_expressed	lowly_expressed	ACMSD|130013	9.7879
ACN9|57001	106.582	ACN9|57001	192.0881
ACO1|48	391.2462	ACO1|48	1464.9266
ACO2|50	2237.7815	ACO2|50	2929.9592
ACOT11|26027	6.2245	ACOT11|26027	69.0212
ACOT13|55856	477.0999	ACOT13|55856	526.2113
ACOT1|641371	652.8567	ACOT1|641371	923.3279
ACOT2|10965	594.0528	ACOT2|10965	529.7716
ACOT4|122970	360.1737	ACOT4|122970	165.1713
ACOT7|11332	448.0454	ACOT7|11332	605.6281
ACOT8|10005	361.8443	ACOT8|10005	401.0726
ACOT9|23597	241.8978	ACOT9|23597	539.5595
ACOX1|51	1838.9576	ACOX1|51	1301.9984
ACOX2|8309	254.2599	ACOX2|8309	341.354
ACOX3|8310	501.8376	ACOX3|8310	572.186
ACP1|52	1141.6639	ACP1|52	1378.8744
ACP2|53	876.0441	ACP2|53	1125.2039
ACP5|54	728.7003	ACP5|54	1373.1648
ACP6|51205	200.4678	ACP6|51205	358.4829
ACPL2|92370	328.7671	ACPL2|92370	306.2806
ACPP|55	27.3973	ACPP|55	38.3361
ACRBP|84519	18.7103	ACRBP|84519	28.1403
ACRC|93953	9.3552	ACRC|93953	20.7993
lowly_expressed	lowly_expressed	ACR|49	6.5253
ACSBG1|23205	6.3481	ACSBG1|23205	13.8662
ACSBG2|81616	6.014	lowly_expressed	lowly_expressed
ACSF2|80221	347.1433	ACSF2|80221	1566.0685
ACSF3|197322	318.4096	ACSF3|197322	695.7586
ACSL1|2180	1040.4277	ACSL1|2180	3948.6134
ACSL3|2181	5027.7314	ACSL3|2181	1822.5938
ACSL4|2182	212.1617	ACSL4|2182	702.6917
ACSL5|51703	120.2807	ACSL5|51703	503.2626
ACSM1|116285	5.3458	ACSM1|116285	44.4535
ACSM3|6296	8.7838	ACSM3|6296	158.2055
ACSM5|54988	15.7033	ACSM5|54988	131.3214
ACSS1|84532	2845.9739	ACSS1|84532	960.0326
ACSS2|55902	453.0571	ACSS2|55902	1699.0212
ACSS3|79611	144.3368	ACSS3|79611	184.7471
lowly_expressed	lowly_expressed	ACTA1|58	14.2741
ACTA2|59	3757.2035	ACTA2|59	44420.7993
lowly_expressed	lowly_expressed	ACTBL2|345651	13.0506
ACTB|60	53991.9813	ACTB|60	144433.9315
ACTG1|71	122652.8567	ACTG1|71	111342.9853
ACTG2|72	236.552	ACTG2|72	11745.9217
ACTL6A|86	1889.4086	ACTL6A|86	716.5579
ACTL8|81569	16.0374	lowly_expressed	lowly_expressed
ACTN1|87	4360.842	ACTN1|87	12399.2659
ACTN4|81	9593.849	ACTN4|81	14035.2569
ACTR10|55860	1608.0855	ACTR10|55860	1232.4633
ACTR1A|10121	3038.0889	ACTR1A|10121	2934.7471
ACTR1B|10120	1231.5403	ACTR1B|10120	2504.4861
ACTR2|10097	4042.4323	ACTR2|10097	2531.4029
ACTR3B|57180	168.727	ACTR3B|57180	243.0669
ACTR3C|653857	14.3669	ACTR3C|653857	50.1631
ACTR3|10096	1756.4317	ACTR3|10096	2247.9608
ACTR5|79913	305.0451	ACTR5|79913	262.6427
ACTR6|64431	1001.6706	ACTR6|64431	559.5432
ACTR8|93973	854.3268	ACTR8|93973	352.7732
ACVR1B|91	2348.4798	ACVR1B|91	916.3948
ACVR1C|130399	18.7103	ACVR1C|130399	148.0424
ACVR1|90	374.5406	ACVR1|90	961.2561
ACVR2A|92	200.8019	ACVR2A|92	374.7961
ACVR2B|93	529.9031	ACVR2B|93	155.3834
ACVRL1|94	528.9008	ACVRL1|94	851.1419
ACY1|95	798.1958	ACY1|95	1173.1158
lowly_expressed	lowly_expressed	ACY3|91703	60.3589
ACYP1|97	102.5727	ACYP1|97	98.6949
ACYP2|98	36.7524	ACYP2|98	253.6705
ADAL|161823	132.3087	ADAL|161823	159.0538
ADAM10|102	1511.5269	ADAM10|102	566.0685
ADAM11|4185	11.3598	ADAM11|4185	26.509
ADAM12|8038	580.02	ADAM12|8038	240.6199
ADAM15|8751	1967.9619	ADAM15|8751	3900.4894
ADAM17|6868	365.8537	ADAM17|6868	393.9641
ADAM18|8749	8.0187	lowly_expressed	lowly_expressed
ADAM19|8728	95.8904	ADAM19|8728	59.9511
ADAM22|53616	34.0795	ADAM22|53616	11.0114
ADAM23|8745	9.6893	ADAM23|8745	8.5644
ADAM28|10863	15.3692	ADAM28|10863	109.7064
ADAM2|2515	175.4093	lowly_expressed	lowly_expressed
ADAM32|203102	13.6986	ADAM32|203102	14.6819
ADAM33|80332	37.0865	ADAM33|80332	635.6281
ADAM6|8755	16503.8323	ADAM6|8755	95560.2692
ADAM8|101	77.8483	ADAM8|101	155.7912
ADAM9|8754	4540.2606	ADAM9|8754	1104.8124
ADAMDEC1|27299	9.3552	lowly_expressed	lowly_expressed
ADAMTS10|81794	70.4978	ADAMTS10|81794	162.3165
ADAMTS12|81792	153.6919	ADAMTS12|81792	37.5204
ADAMTS13|11093	157.7013	ADAMTS13|11093	124.7961
ADAMTS14|140766	21.7173	lowly_expressed	lowly_expressed
ADAMTS15|170689	926.161	ADAMTS15|170689	121.1256
ADAMTS16|170690	32.409	ADAMTS16|170690	41.1909
ADAMTS17|170691	191.7808	ADAMTS17|170691	39.1517
ADAMTS18|170692	6.6823	ADAMTS18|170692	39.1517
ADAMTS19|171019	17.0398	lowly_expressed	lowly_expressed
ADAMTS1|9510	646.1744	ADAMTS1|9510	3272.0228
ADAMTS2|9509	328.7671	ADAMTS2|9509	307.5041
ADAMTS3|9508	8.3528	ADAMTS3|9508	60.7667
ADAMTS4|9507	330.7718	ADAMTS4|9507	326.2643
ADAMTS5|11096	58.1356	ADAMTS5|11096	804.2414
ADAMTS6|11174	17.708	ADAMTS6|11174	6.1175
ADAMTS7|11173	169.7294	ADAMTS7|11173	84.0131
ADAMTS8|11095	25.7267	ADAMTS8|11095	157.4225
ADAMTS9|56999	178.7504	ADAMTS9|56999	204.323
ADAMTSL1|92949	47.7781	ADAMTSL1|92949	101.5498
ADAMTSL2|9719	194.4537	ADAMTSL2|9719	126.4274
ADAMTSL3|57188	109.589	ADAMTSL3|57188	55.0571
ADAMTSL4|54507	36.0842	ADAMTSL4|54507	618.6786
ADAMTSL5|339366	11.0257	ADAMTSL5|339366	101.5498
ADAP1|11033	86.1844	ADAP1|11033	358.3279
ADAP2|55803	165.72	ADAP2|55803	236.5416
ADARB1|104	865.3525	ADARB1|104	601.1419
lowly_expressed	lowly_expressed	ADARB2|105	7.3409
ADAR|103	7910.7918	ADAR|103	3953.5073
ADAT1|23536	289.6759	ADAT1|23536	98.6949
ADAT2|134637	26.3949	ADAT2|134637	85.2365
ADAT3|113179	22.3856	ADAT3|113179	114.1925
ADA|100	48.4464	ADA|100	86.46
ADCK1|57143	1132.6428	ADCK1|57143	193.7194
ADCK2|90956	974.2733	ADCK2|90956	1171.6966
ADCK4|79934	447.3772	ADCK4|79934	934.7471
ADCK5|203054	517.5409	ADCK5|203054	248.7765
ADCY1|107	5790.5112	ADCY1|107	381.3214
ADCY2|108	14.3669	ADCY2|108	64.845
ADCY3|109	679.158	ADCY3|109	1338.7357
ADCY4|196883	203.4748	ADCY4|196883	336.46
ADCY5|111	434.0127	ADCY5|111	276.9168
ADCY6|112	4125.9606	ADCY6|112	2113.7847
ADCY7|113	256.9328	ADCY7|113	218.1892
ADCY9|115	2167.7247	ADCY9|115	598.2871
ADCYAP1|116	12.3622	ADCYAP1|116	37.5204
ADC|113451	172.0682	ADC|113451	285.8891
ADD1|118	9163.3812	ADD1|118	6207.9935
ADD2|119	13.0304	ADD2|119	26.509
ADD3|120	2306.7157	ADD3|120	1318.9233
lowly_expressed	lowly_expressed	ADH1A|124	19.168
ADH1B|125	496.8259	ADH1B|125	7693.3116
ADH1C|126	6.014	ADH1C|126	243.8825
lowly_expressed	lowly_expressed	ADH4|127	52.2023
ADH5|128	1734.7143	ADH5|128	3019.168
ADHFE1|137872	143.6686	ADHFE1|137872	153.3442
ADI1|55256	272.6362	ADI1|55256	1873.9804
ADIPOQ|9370	838.6235	ADIPOQ|9370	3912.3165
ADIPOR1|51094	3258.2693	ADIPOR1|51094	2030.5873
ADIPOR2|79602	5281.9913	ADIPOR2|79602	1724.7145
ADK|132	180.7551	ADK|132	429.4454
ADM2|79924	165.3859	ADM2|79924	135.3997
ADM|133	34.4136	ADM|133	591.354
ADNP2|22850	1293.017	ADNP2|22850	418.8418
ADNP|23394	2548.2793	ADNP|23394	1359.7064
ADORA1|134	1063.1473	ADORA1|134	508.5644
ADORA2A|135	534.9816	ADORA2A|135	130.0979
ADORA2B|136	50.4511	ADORA2B|136	138.2545
ADORA3|140	55.1286	ADORA3|140	175.7749
ADO|84890	875.71	ADO|84890	745.5139
ADPGK|83440	1071.293	ADPGK|83440	813.2137
ADPRHL1|113622	702.6395	ADPRHL1|113622	69.3312
ADPRHL2|54936	476.7792	ADPRHL2|54936	1159.8695
ADPRH|141	128.2994	ADPRH|141	354.4046
lowly_expressed	lowly_expressed	ADRA1A|148	11.4192
ADRA1B|147	23.3879	ADRA1B|147	27.7325
ADRA1D|146	20.0468	lowly_expressed	lowly_expressed
ADRA2A|150	248.2459	ADRA2A|150	582.3817
ADRA2B|151	27.0631	ADRA2B|151	348.2871
ADRA2C|152	707.9853	ADRA2C|152	106.8515
lowly_expressed	lowly_expressed	ADRB1|153	46.0848
ADRB2|154	30.4043	ADRB2|154	148.8581
lowly_expressed	lowly_expressed	ADRB3|155	9.7879
ADRBK1|156	5967.2569	ADRBK1|156	2719.4127
ADRBK2|157	225.8603	ADRBK2|157	604.8124
ADRM1|11047	1726.0274	ADRM1|11047	2826.6721
ADSL|158	509.5222	ADSL|158	1053.4258
ADSSL1|122622	114.2666	ADSSL1|122622	276.1011
ADSS|159	1412.2954	ADSS|159	1095.8401
AEBP1|165	5125.9606	AEBP1|165	7792.4144
AEBP2|121536	588.707	AEBP2|121536	495.9217
AEN|64782	429.3351	AEN|64782	763.4584
AES|166	4352.8233	AES|166	14863.7847
AFAP1L1|134265	245.9071	AFAP1L1|134265	199.429
AFAP1L2|84632	251.2529	AFAP1L2|84632	1313.2137
AFAP1|60312	1417.297	AFAP1|60312	594.6166
AFF1|4299	1552.9569	AFF1|4299	893.5563
AFF2|2334	6.6823	AFF2|2334	24.062
AFF3|3899	7013.0304	AFF3|3899	1202.6917
AFF4|27125	3334.1129	AFF4|27125	1160.6852
AFG3L1|172	290.01	AFG3L1|172	245.106
AFG3L2|10939	869.7862	AFG3L2|10939	1066.7822
AFMID|125061	531.9078	AFMID|125061	848.6949
