gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
ACAD10|80724	554.756	ACAD10|80724	555.5242
ACAD11|84129	259.4531	ACAD11|84129	600.2821
ACAD8|27034	559.5534	ACAD8|27034	602.5388
ACAD9|28976	716.6296	ACAD9|28976	1193.0343
lowly_expressed	lowly_expressed	ACADL|33	256.8876
ACADM|34	1430.0667	ACADM|34	1466.8547
ACADSB|36	4960.0942	ACADSB|36	1596.2388
ACADS|35	430.8954	ACADS|35	1645.8862
ACADVL|37	4174.0983	ACADVL|37	8381.6756
ACAN|176	39.2516	ACAN|176	7.1462
ACAP1|9744	10.9032	ACAP1|9744	189.5628
ACAP2|23527	1640.717	ACAP2|23527	1035.449
ACAP3|116983	452.2875	ACAP3|116983	584.1091
ACAT1|38	1396.4848	ACAT1|38	2214.1984
ACAT2|39	492.3067	ACAT2|39	318.4316
ACBD3|64746	3557.0675	ACBD3|64746	1149.4123
ACBD4|79777	159.6232	ACBD4|79777	398.3075
ACBD5|91452	942.9107	ACBD5|91452	679.6427
ACBD6|84320	617.1224	ACBD6|84320	454.3488
ACBD7|414149	39.2516	ACBD7|414149	19.9342
ACCN2|41	48.4103	ACCN2|41	68.8293
lowly_expressed	lowly_expressed	ACCN3|9311	8.6507
ACCS|84680	222.4257	ACCS|84680	450.2116
ACD|65057	139.1251	ACD|65057	356.1824
lowly_expressed	lowly_expressed	ACE2|59272	13.5402
ACER2|340485	270.8361	ACER2|340485	122.2379
ACER3|55331	507.6541	ACER3|55331	352.0451
ACE|1636	340.1806	ACE|1636	1177.6211
ACHE|43	13.52	ACHE|43	49.6474
ACIN1|22985	3793.4493	ACIN1|22985	2817.8655
ACLY|47	8156.0469	ACLY|47	3383.921
ACMSD|130013	57.569	ACMSD|130013	9.4029
ACN9|57001	105.9793	ACN9|57001	146.6855
ACO1|48	795.4991	ACO1|48	4737.9408
ACO2|50	2528.0475	ACO2|50	3772.0733
ACOT11|26027	21.3703	ACOT11|26027	42.0235
ACOT13|55856	545.4141	ACOT13|55856	700.1561
ACOT1|641371	844.3456	ACOT1|641371	1592.1016
ACOT2|10965	491.0812	ACOT2|10965	928.2558
ACOT4|122970	378.5599	ACOT4|122970	271.9323
ACOT6|641372	5.2335	ACOT6|641372	7.1462
ACOT7|11332	293.9509	ACOT7|11332	351.669
ACOT8|10005	282.6377	ACOT8|10005	253.8298
ACOT9|23597	273.0167	ACOT9|23597	593.1359
ACOX1|51	1509.4422	ACOX1|51	2953.0569
ACOX2|8309	505.4734	ACOX2|8309	399.0597
ACOX3|8310	921.9765	ACOX3|8310	780.8181
ACP1|52	1365.5196	ACP1|52	1117.8185
ACP2|53	1248.6371	ACP2|53	1545.4631
ACP5|54	873.1301	ACP5|54	2271.7442
ACP6|51205	460.116	ACP6|51205	555.9003
ACPL2|92370	815.5611	ACPL2|92370	344.8989
ACPP|55	42.7406	ACPP|55	56.0414
ACRBP|84519	17.4452	ACRBP|84519	33.0983
ACRC|93953	9.1587	ACRC|93953	14.6685
lowly_expressed	lowly_expressed	ACR|49	8.2746
lowly_expressed	lowly_expressed	ACSBG1|23205	78.9845
lowly_expressed	lowly_expressed	ACSBG2|81616	5.0776
ACSF2|80221	812.072	ACSF2|80221	1803.4791
ACSF3|197322	210.6503	ACSF3|197322	383.2628
ACSL1|2180	634.5676	ACSL1|2180	13601.8806
ACSL3|2181	3819.1809	ACSL3|2181	5552.2332
ACSL4|2182	518.1212	ACSL4|2182	1574.8002
ACSL5|51703	417.8115	ACSL5|51703	1032.4401
lowly_expressed	lowly_expressed	ACSL6|23305	5.6417
ACSM1|116285	126.9135	ACSM1|116285	5884.3441
lowly_expressed	lowly_expressed	ACSM2B|348158	6.7701
ACSM3|6296	11.287	ACSM3|6296	511.7931
ACSM5|54988	11.7755	ACSM5|54988	387.4001
ACSS1|84532	1112.5649	ACSS1|84532	992.9478
ACSS2|55902	624.9727	ACSS2|55902	2965.3032
ACSS3|79611	200.1832	ACSS3|79611	527.3155
ACTA1|58	27.9123	ACTA1|58	61.6831
ACTA2|59	3212.1636	ACTA2|59	16771.4227
lowly_expressed	lowly_expressed	ACTBL2|345651	9.0268
ACTB|60	67855.5541	ACTB|60	103656.9817
ACTG1|71	64076.9331	ACTG1|71	60421.6267
ACTG2|72	273.0167	ACTG2|72	4360.3197
ACTL6A|86	1127.3933	ACTL6A|86	615.7029
ACTN1|87	4811.3742	ACTN1|87	7675.7875
ACTN4|81	7410.611	ACTN4|81	11164.9459
ACTR10|55860	1161.8474	ACTR10|55860	1131.3587
ACTR1A|10121	2431.4187	ACTR1A|10121	3693.465
ACTR1B|10120	1139.6049	ACTR1B|10120	1599.6239
ACTR2|10097	8095.425	ACTR2|10097	4545.3691
ACTR3B|57180	199.747	ACTR3B|57180	130.5125
ACTR3C|653857	17.009	ACTR3C|653857	25.5759
ACTR3|10096	3724.1048	ACTR3|10096	2759.1913
ACTR5|79913	210.2141	ACTR5|79913	199.3418
ACTR6|64431	710.454	ACTR6|64431	484.4382
ACTR8|93973	621.4837	ACTR8|93973	404.3253
ACVR1B|91	1359.4138	ACVR1B|91	1012.882
ACVR1C|130399	16.5729	ACVR1C|130399	761.26
ACVR1|90	977.3649	ACVR1|90	998.2134
ACVR2A|92	502.4205	ACVR2A|92	344.5228
ACVR2B|93	360.6786	ACVR2B|93	230.1834
ACVRL1|94	282.1754	ACVRL1|94	1567.654
ACY1|95	662.916	ACY1|95	948.1899
lowly_expressed	lowly_expressed	ACY3|91703	19.9342
ACYP1|97	99.0013	ACYP1|97	50.7757
ACYP2|98	151.7729	ACYP2|98	220.0282
ADAL|161823	208.4696	ADAL|161823	216.267
ADAM10|102	2216.8433	ADAM10|102	1036.9535
ADAM11|4185	7.4142	ADAM11|4185	7.5223
ADAM12|8038	2184.5698	ADAM12|8038	914.3394
ADAM15|8751	4675.5201	ADAM15|8751	4621.1678
ADAM17|6868	734.4411	ADAM17|6868	561.5421
ADAM19|8728	282.1754	ADAM19|8728	227.5505
ADAM21|8747	12.2116	lowly_expressed	lowly_expressed
ADAM22|53616	18.7535	ADAM22|53616	31.2177
ADAM23|8745	23.551	ADAM23|8745	59.8025
ADAM28|10863	54.5161	ADAM28|10863	85.7546
ADAM32|203102	24.4232	ADAM32|203102	41.3728
ADAM33|80332	68.0361	ADAM33|80332	690.174
ADAM6|8755	1164.1502	ADAM6|8755	73793.0606
ADAM8|101	691.7005	ADAM8|101	225.67
ADAM9|8754	2857.5167	ADAM9|8754	1838.834
ADAMDEC1|27299	11.3394	ADAMDEC1|27299	48.519
ADAMTS10|81794	51.8993	ADAMTS10|81794	419.7461
ADAMTS12|81792	265.1664	ADAMTS12|81792	139.1631
ADAMTS13|11093	52.3355	ADAMTS13|11093	47.3907
ADAMTS14|140766	128.658	ADAMTS14|140766	5.2656
ADAMTS15|170689	403.8554	ADAMTS15|170689	429.9013
ADAMTS16|170690	152.209	ADAMTS16|170690	113.2111
ADAMTS17|170691	50.1548	ADAMTS17|170691	47.3907
ADAMTS18|170692	15.7006	ADAMTS18|170692	68.4532
ADAMTS19|171019	54.08	lowly_expressed	lowly_expressed
ADAMTS1|9510	522.4824	ADAMTS1|9510	4268.9234
ADAMTS2|9509	334.5109	ADAMTS2|9509	847.7668
ADAMTS3|9508	16.5729	ADAMTS3|9508	65.0682
ADAMTS4|9507	606.2192	ADAMTS4|9507	254.2548
ADAMTS5|11096	199.3109	ADAMTS5|11096	1906.1589
ADAMTS6|11174	65.4193	ADAMTS6|11174	24.8237
ADAMTS7|11173	105.9793	ADAMTS7|11173	217.3954
ADAMTS8|11095	10.9032	ADAMTS8|11095	47.7668
ADAMTS9|56999	189.7161	ADAMTS9|56999	547.6258
ADAMTSL1|92949	62.8026	ADAMTSL1|92949	175.6465
ADAMTSL2|9719	134.3277	ADAMTSL2|9719	72.5905
ADAMTSL3|57188	99.4374	ADAMTSL3|57188	148.5661
ADAMTSL4|54507	99.8735	ADAMTSL4|54507	1169.7226
ADAMTSL5|339366	143.9225	ADAMTSL5|339366	59.4264
ADAP1|11033	142.1301	ADAP1|11033	199.2929
ADAP2|55803	182.3019	ADAP2|55803	428.0207
ADARB1|104	492.3896	ADARB1|104	871.8383
lowly_expressed	lowly_expressed	ADARB2|105	10.5313
ADAR|103	14705.3949	ADAR|103	5575.9285
ADAT1|23536	264.2941	ADAT1|23536	204.9835
ADAT2|134637	40.56	ADAT2|134637	113.9633
ADAT3|113179	32.2735	ADAT3|113179	49.2713
ADA|100	50.1548	ADA|100	142.5482
ADCK1|57143	173.1432	ADCK1|57143	278.3263
ADCK2|90956	954.2501	ADCK2|90956	968.1241
ADCK4|79934	582.2321	ADCK4|79934	569.0644
ADCK5|203054	81.9922	ADCK5|203054	107.1932
ADCY10|55811	7.8503	ADCY10|55811	12.0357
ADCY1|107	218.9367	ADCY1|107	522.8021
ADCY2|108	256.4438	ADCY2|108	159.4734
ADCY3|109	503.6111	ADCY3|109	1401.0832
ADCY4|196883	198.8748	ADCY4|196883	646.1683
lowly_expressed	lowly_expressed	ADCY5|111	697.3202
ADCY6|112	1829.1247	ADCY6|112	2753.1735
ADCY7|113	390.7715	ADCY7|113	551.3869
ADCY9|115	559.9895	ADCY9|115	745.087
lowly_expressed	lowly_expressed	ADCYAP1R1|117	5.6417
ADC|113451	188.8438	ADC|113451	132.393
ADD1|118	4395.3073	ADD1|118	7323.7424
ADD2|119	9.1587	ADD2|119	50.0235
ADD3|120	3144.0534	ADD3|120	2528.6319
lowly_expressed	lowly_expressed	ADH1A|124	139.5393
lowly_expressed	lowly_expressed	ADH1B|125	15351.9511
lowly_expressed	lowly_expressed	ADH1C|126	450.9638
lowly_expressed	lowly_expressed	ADH4|127	90.268
ADH5|128	1558.2886	ADH5|128	3400.8463
lowly_expressed	lowly_expressed	ADH7|131	53.7847
ADHFE1|137872	73.7058	ADHFE1|137872	209.8731
ADI1|55256	1238.17	ADI1|55256	2754.3018
lowly_expressed	lowly_expressed	ADIPOQ|9370	23352.3272
ADIPOR1|51094	4412.7524	ADIPOR1|51094	2392.4777
ADIPOR2|79602	2183.6975	ADIPOR2|79602	3427.1744
ADK|132	341.9251	ADK|132	427.2685
ADM2|79924	303.1096	ADM2|79924	140.2915
ADM|133	64.5471	ADM|133	1141.1378
ADNP2|22850	790.2656	ADNP2|22850	560.7898
ADNP|23394	3826.5951	ADNP|23394	1890.7381
ADORA1|134	41.4322	ADORA1|134	247.8608
ADORA2A|135	452.7018	ADORA2A|135	165.8674
ADORA2B|136	7.8503	ADORA2B|136	44.0056
ADORA3|140	147.8477	ADORA3|140	166.2435
ADO|84890	691.7005	ADO|84890	570.1928
ADPGK|83440	892.7559	ADPGK|83440	804.5134
ADPRHL1|113622	142.6142	ADPRHL1|113622	97.7903
ADPRHL2|54936	696.4979	ADPRHL2|54936	722.1439
ADPRH|141	119.0632	ADPRH|141	484.4382
lowly_expressed	lowly_expressed	ADRA1A|148	46.2623
ADRA1B|147	37.5071	ADRA1B|147	76.3517
lowly_expressed	lowly_expressed	ADRA1D|146	10.1551
ADRA2A|150	513.7599	ADRA2A|150	2134.4617
ADRA2B|151	5.6697	ADRA2B|151	47.0146
ADRA2C|152	5.2335	ADRA2C|152	143.3004
lowly_expressed	lowly_expressed	ADRB1|153	113.5872
ADRB2|154	26.1677	ADRB2|154	307.6634
ADRBK1|156	1174.0591	ADRBK1|156	1826.0461
ADRBK2|157	1472.3712	ADRBK2|157	1155.0541
ADRM1|11047	1022.7223	ADRM1|11047	1677.8561
ADSL|158	701.7314	ADSL|158	867.701
ADSSL1|122622	92.8955	ADSSL1|122622	159.4734
ADSS|159	3994.9409	ADSS|159	1063.2816
AEBP1|165	14820.5329	AEBP1|165	13466.4786
AEBP2|121536	648.9598	AEBP2|121536	533.7094
AEN|64782	345.4141	AEN|64782	482.1815
AES|166	5093.1135	AES|166	10969.0644
AFAP1L1|134265	123.8606	AFAP1L1|134265	528.4438
AFAP1L2|84632	336.6915	AFAP1L2|84632	647.2967
AFAP1|60312	1065.8773	AFAP1|60312	1025.2863
AFF1|4299	3398.7527	AFF1|4299	1795.2045
AFF2|2334	30.9652	AFF2|2334	58.6742
AFF3|3899	3462.8636	AFF3|3899	793.9821
AFF4|27125	5031.6193	AFF4|27125	1775.2703
AFG3L1|172	123.4245	AFG3L1|172	256.1354
AFG3L2|10939	1477.3736	AFG3L2|10939	1273.1171
AFMID|125061	863.5353	AFMID|125061	1194.5463
lowly_expressed	lowly_expressed	AFP|174	75.5994
AFTPH|54812	2891.5347	lowly_expressed	lowly_expressed
AG2|387763	41.4322	AG2|387763	602.5388
AGAP11|119385	21.3703	AGAP11|119385	133.5214
AGAP1|116987	495.0063	AGAP1|116987	365.2092
AGAP2|116986	35.2349	AGAP2|116986	102.1345
AGAP3|116988	979.5456	AGAP3|116988	1376.9629
AGAP4|119016	145.6671	AGAP4|119016	192.9478
AGAP5|729092	35.7626	AGAP5|729092	27.4565
AGAP6|414189	86.3535	AGAP6|414189	101.1754
AGAP7|653268	5.6697	AGAP7|653268	7.8984
AGAP8|728404	34.8903	AGAP8|728404	28.961
AGA|175	910.2011	AGA|175	737.5646
AGBL2|79841	27.4761	AGBL2|79841	8.2746
AGBL3|340351	8.7226	lowly_expressed	lowly_expressed
AGBL4|84871	30.9652	AGBL4|84871	10.9074
AGBL5|60509	460.5958	AGBL5|60509	796.6751
AGER|177	11.7755	AGER|177	24.0715
AGFG1|3267	1898.9053	AGFG1|3267	1848.237
AGFG2|3268	423.0451	AGFG2|3268	605.5477
AGGF1|55109	1037.5507	AGGF1|55109	729.2901
AGK|55750	601.4218	AGK|55750	467.5129
AGL|178	1238.6061	AGL|178	642.031
AGMAT|79814	20.4981	AGMAT|79814	25.5759
AGPAT1|10554	1558.0836	AGPAT1|10554	1996.7654
AGPAT2|10555	614.5056	AGPAT2|10555	6380.0658
AGPAT3|56894	2453.6613	AGPAT3|56894	3474.5651
AGPAT4|56895	81.9922	AGPAT4|56895	272.6845
AGPAT5|55326	901.4785	AGPAT5|55326	641.6549
AGPAT6|137964	1668.6292	AGPAT6|137964	2002.0686
AGPAT9|84803	16.1368	AGPAT9|84803	150.8228
AGPHD1|123688	30.9652	AGPHD1|123688	41.7489
AGPS|8540	2248.2446	AGPS|8540	1127.2214
AGR2|10551	6884.7311	AGR2|10551	1226.5162
AGR3|155465	2929.9141	AGR3|155465	435.1669
AGRN|375790	4274.9357	AGRN|375790	3798.4015
AGTPBP1|23287	167.0374	AGTPBP1|23287	315.1857
AGTR1|185	269.0915	AGTR1|185	354.3018
AGTRAP|57085	691.2643	AGTRAP|57085	973.0136
AGT|183	894.0643	AGT|183	259.1443
AGXT2L1|64850	5.6697	lowly_expressed	lowly_expressed
AGXT2L2|85007	309.4596	AGXT2L2|85007	743.2402
lowly_expressed	lowly_expressed	AGXT|189	19.1819
AHCTF1|25909	2424.8768	AHCTF1|25909	922.9901
AHCYL1|10768	6412.8396	AHCYL1|10768	3921.7677
AHCYL2|23382	1005.7133	AHCYL2|23382	478.4203
AHCY|191	1914.1698	AHCY|191	2779.1255
AHDC1|27245	914.1262	AHDC1|27245	847.0146
AHI1|54806	402.547	AHI1|54806	237.3296
AHNAK2|113146	1033.6255	AHNAK2|113146	1779.4076
AHNAK|79026	42004.4485	AHNAK|79026	87593.418
AHRR|57491	25.2955	AHRR|57491	16.9252
