gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
CCDC74B|91409	93.7677	CCDC74B|91409	51.9041
CCDC75|253635	102.4903	CCDC75|253635	68.0771
CCDC76|54482	276.7064	CCDC76|54482	165.0287
CCDC77|84318	154.3896	CCDC77|84318	127.5035
CCDC78|124093	139.5613	CCDC78|124093	6.394
CCDC7|221016	39.4522	CCDC7|221016	32.1053
CCDC80|151887	2087.7491	CCDC80|151887	13105.0306
lowly_expressed	lowly_expressed	CCDC81|60494	17.6775
CCDC82|79780	84.609	CCDC82|79780	370.851
CCDC83|220047	6.1058	lowly_expressed	lowly_expressed
CCDC84|338657	91.1509	CCDC84|338657	128.2558
CCDC85A|114800	51.4632	CCDC85A|114800	220.2238
CCDC85B|11007	98.12899999999999	CCDC85B|11007	469.7696
CCDC85C|317762	620.1928	CCDC85C|317762	558.6798
CCDC86|79080	398.1813	CCDC86|79080	547.4001
CCDC87|55231	26.1677	CCDC87|55231	21.4386
CCDC88A|55704	355.8812	CCDC88A|55704	532.205
CCDC88B|283234	98.5651	CCDC88B|283234	294.8754
CCDC88C|440193	931.5714	CCDC88C|440193	740.1975
CCDC89|220388	9.5948	CCDC89|220388	41.7489
CCDC8|83987	211.0864	CCDC8|83987	889.1396
CCDC90A|63933	365.476	CCDC90A|63933	486.3188
CCDC90B|60492	571.3245	CCDC90B|60492	685.2844
CCDC91|55297	634.5676	CCDC91|55297	434.4147
CCDC92|80212	714.8153	CCDC92|80212	1984.7673
CCDC93|54520	631.5147	CCDC93|54520	868.4532
CCDC94|55702	339.7444	CCDC94|55702	438.1758
CCDC96|257236	250.338	CCDC96|257236	106.441
CCDC97|90324	775.4372	CCDC97|90324	1046.3564
CCDC99|54908	172.2709	CCDC99|54908	104.5604
CCDC9|26093	426.5341	CCDC9|26093	384.015
CCHCR1|54535	271.7083	CCHCR1|54535	379.8778
CCIN|881	13.9561	CCIN|881	10.5313
CCL11|6356	22.6787	lowly_expressed	lowly_expressed
CCL13|6357	6.1058	CCL13|6357	204.2313
CCL14|6358	98.12899999999999	CCL14|6358	4784.7109
lowly_expressed	lowly_expressed	CCL16|6360	7.1462
lowly_expressed	lowly_expressed	CCL17|6361	6.394
CCL18|6362	14.3923	CCL18|6362	574.33
CCL19|6363	29.6568	CCL19|6363	414.1044
CCL20|6364	10.031	CCL20|6364	6.7701
CCL21|6366	191.8967	CCL21|6366	2006.9582
CCL22|6367	102.4903	CCL22|6367	201.5985
lowly_expressed	lowly_expressed	CCL23|6368	10.1551
lowly_expressed	lowly_expressed	CCL24|6369	10.1551
lowly_expressed	lowly_expressed	CCL26|10344	13.1641
CCL28|56477	52.3355	CCL28|56477	518.6648
CCL2|6347	150.4645	CCL2|6347	520.9215
CCL3L1|6349	21.3703	CCL3L1|6349	15.7969
CCL3|6348	61.4942	CCL3|6348	311.0484
CCL4L2|388372	40.1239	CCL4L2|388372	56.0414
CCL4|6351	62.3664	CCL4|6351	278.3263
CCL5|6352	183.1741	CCL5|6352	577.7151
CCL8|6355	14.8284	CCL8|6355	81.9934
CCM2|83605	525.9715	CCM2|83605	1214.1044
CCNA1|8900	19.1897	lowly_expressed	lowly_expressed
CCNA2|890	217.1224	CCNA2|890	75.3173
CCNB1IP1|57820	261.6774	CCNB1IP1|57820	494.5933
CCNB1|891	520.7379	CCNB1|891	191.4433
CCNB2|9133	174.8877	CCNB2|9133	74.8472
CCNB3|85417	21.8064	CCNB3|85417	25.5759
CCNC|892	1604.9544	CCNC|892	1105.7828
CCND1|595	9803.1619	CCND1|595	8781.7132
CCND2|894	519.4295	CCND2|894	2318.7588
CCND3|896	818.1779	CCND3|896	1647.0146
CCNDBP1|23582	1085.0888	CCNDBP1|23582	1434.8848
CCNE1|898	35.3264	CCNE1|898	20.3103
CCNE2|9134	127.5285	CCNE2|9134	22.6385
CCNF|899	386.8464	CCNF|899	232.8162
CCNG1|900	1698.7221	CCNG1|900	2648.6131
CCNG2|901	8574.7307	CCNG2|901	1949.4123
CCNH|902	660.4998	CCNH|902	661.0776
CCNI2|645121	75.036	CCNI2|645121	12.7353
CCNI|10983	6792.2718	CCNI|10983	5282.9337
CCNJL|79616	124.7329	CCNJL|79616	59.0503
CCNJ|54619	129.0942	CCNJ|54619	116.9723
CCNK|8812	785.0146	CCNK|8812	830.3188
CCNL1|57018	858.7378	CCNL1|57018	1201.6925
CCNL2|81669	1356.3609	CCNL2|81669	1684.2501
CCNO|10309	73.2697	CCNO|10309	53.7847
CCNT1|904	235.9457	CCNT1|904	47.0146
CCNT2|905	1103.8423	CCNT2|905	538.599
CCNYL1|151195	305.2902	CCNYL1|151195	538.599
CCNY|219771	1440.97	CCNY|219771	1991.9135
CCPG1|9236	2580.7972	CCPG1|9236	2787.385
lowly_expressed	lowly_expressed	CCR10|2826	27.8326
CCR1|1230	112.0851	CCR1|1230	431.7819
CCR2|729230	45.7935	CCR2|729230	79.7367
CCR3|1232	15.7006	lowly_expressed	lowly_expressed
CCR4|1233	12.2116	CCR4|1233	16.5491
CCR5|1234	80.6839	CCR5|1234	157.2167
CCR6|1235	47.9	CCR6|1235	82.0799
CCR7|1236	13.0839	CCR7|1236	169.6286
lowly_expressed	lowly_expressed	CCR8|1237	6.0179
CCRL1|51554	72.8335	CCRL1|51554	228.3028
CCRL2|9034	56.2606	CCRL2|9034	143.6765
CCRN4L|25819	90.2787	CCRN4L|25819	106.441
CCS|9973	419.1199	CCS|9973	543.4885
CCT2|10576	2825.6793	CCT2|10576	2163.7988
CCT3|7203	8432.9888	CCT3|7203	4784.2031
CCT4|10575	3634.6984	CCT4|10575	3561.448
CCT5|22948	3338.5669	CCT5|22948	3380.1598
CCT6A|908	3395.6998	CCT6A|908	2914.1514
CCT6B|10693	96.3845	CCT6B|10693	68.8293
CCT6P1|643253	49.2826	CCT6P1|643253	37.9878
CCT7|10574	4267.0854	CCT7|10574	4315.9379
CCT8|10694	3480.3088	CCT8|10694	2654.2548
CD101|9398	19.6258	CD101|9398	15.7969
CD109|135228	531.1963	CD109|135228	830.4542
CD14|929	457.0631	CD14|929	2956.6526
CD151|977	6321.2526	CD151|977	15415.5148
CD160|11126	24.8593	CD160|11126	29.3371
CD163L1|283316	61.4942	CD163L1|283316	317.0663
CD163|9332	483.2308	CD163|9332	2510.2022
CD164L2|388611	16.5729	CD164L2|388611	36.4833
CD164|8763	16509.6603	CD164|8763	11911.6126
CD177|57126	242.0516	lowly_expressed	lowly_expressed
CD180|4064	68.0361	CD180|4064	204.2313
lowly_expressed	lowly_expressed	CD19|930	87.2591
CD1A|909	10.031	CD1A|909	11.2835
lowly_expressed	lowly_expressed	CD1B|910	10.1551
CD1C|911	19.6258	CD1C|911	73.7189
lowly_expressed	lowly_expressed	CD1D|912	47.7668
CD1E|913	11.3394	CD1E|913	16.5491
CD200R1|131450	6.5419	CD200R1|131450	60.1787
CD200|4345	156.1342	CD200|4345	421.6267
CD207|50489	31.8374	CD207|50489	39.4922
CD209|30835	33.1458	CD209|30835	882.7457
CD22|933	48.4103	CD22|933	300.8933
lowly_expressed	lowly_expressed	CD244|51744	27.8326
CD247|919	11.3394	CD247|919	145.5571
CD248|57124	333.6386	CD248|57124	7289.5157
CD24|100133941	14868.071000000002	CD24|100133941	6847.2026
CD274|29126	13.0839	CD274|29126	15.0447
CD276|80381	2329.3646	CD276|80381	2056.9817
CD27|939	24.2226	CD27|939	294.8115
CD28|940	23.1148	CD28|940	96.2858
CD2AP|23607	2634.2187	CD2AP|23607	787.9643
CD2BP2|10421	1775.0447	CD2BP2|10421	1756.4645
CD2|914	58.0051	CD2|914	210.2492
CD300A|11314	88.5342	CD300A|11314	287.3531
CD300C|10871	15.2645	CD300C|10871	67.3249
CD300LB|124599	6.5419	CD300LB|124599	113.2111
CD300LF|146722	14.3923	CD300LF|146722	27.8326
lowly_expressed	lowly_expressed	CD300LG|146894	1736.9064
CD302|9936	1040.6516	CD302|9936	1830.4692
CD320|51293	273.0167	CD320|51293	919.9812
CD33|945	31.4013	CD33|945	140.2915
CD34|947	677.7443	CD34|947	7341.0437
CD36|948	52.3355	CD36|948	40623.2252
CD37|951	122.1161	CD37|951	807.8984
lowly_expressed	lowly_expressed	CD38|952	69.2055
CD3D|915	16.1368	CD3D|915	82.3695
CD3EAP|10849	392.4201	CD3EAP|10849	318.5557
CD3E|916	59.3135	CD3E|916	308.4156
CD3G|917	6.1058	CD3G|917	25.5759
CD40LG|959	5.6697	CD40LG|959	40.6206
CD40|958	122.9884	CD40|958	541.2318
CD44|960	20456.1909	CD44|960	7870.991999999999
CD46|4179	16411.0951	CD46|4179	5791.8195
CD47|961	1950.3685	CD47|961	2058.4861
CD48|962	71.9613	CD48|962	434.7908
CD4|920	787.2127	CD4|920	2067.889
CD52|1043	78.0671	CD52|1043	986.1777
CD53|963	361.5509	CD53|963	1309.2619
CD55|1604	1359.85	CD55|1604	2071.6502
CD58|965	170.0903	CD58|965	188.8105
CD59|966	10218.9367	CD59|966	20132.0169
CD5|921	25.2955	CD5|921	101.1754
CD63|967	9355.4015	CD63|967	19458.7682
CD68|968	1072.0049	CD68|968	5574.4241
CD69|969	69.3445	CD69|969	119.229
CD6|923	45.7935	CD6|923	179.0315
lowly_expressed	lowly_expressed	CD70|970	10.1551
CD72|971	13.9561	CD72|971	65.4443
CD74|972	14857.6039	CD74|972	41233.2863
lowly_expressed	lowly_expressed	CD79A|973	588.2464
CD79B|974	8.7226	CD79B|974	332.4871
CD7|924	15.2645	CD7|924	106.8171
CD80|941	10.9032	CD80|941	5.2656
CD81|975	5867.6785	CD81|975	21531.1707
CD82|3732	879.672	CD82|3732	1355.5242
CD83|9308	219.3728	CD83|9308	436.2953
CD84|8832	93.3316	CD84|8832	104.5604
CD86|942	113.8296	CD86|942	250.8698
CD8A|925	56.6968	CD8A|925	91.3963
CD8B|926	7.4142	CD8B|926	31.2177
CD93|22918	1382.0925	CD93|22918	3508.7917
CD96|10225	27.4761	CD96|10225	138.787
CD97|976	192.3329	CD97|976	1895.2515
CD99L2|83692	917.6152	CD99L2|83692	3413.6342
CD99|4267	2731.9116	CD99|4267	5461.5891
CD9|928	6614.3312	CD9|928	4994.4523
CDADC1|81602	131.2748	CDADC1|81602	187.3061
CDAN1|146059	474.9444	CDAN1|146059	344.8989
CDA|978	22.2426	CDA|978	50.3996
CDC123|8872	886.3361	CDC123|8872	968.8387
CDC14A|8556	50.591	CDC14A|8556	153.8317
CDC14B|8555	238.9986	CDC14B|8555	730.4184
lowly_expressed	lowly_expressed	CDC14C|168448	6.7701
CDC16|8881	1562.2138	CDC16|8881	1669.9577
CDC20|991	214.5754	CDC20|991	101.5515
CDC23|8697	844.3456	CDC23|8697	637.5176
CDC25A|993	34.0181	CDC25A|993	33.8505
CDC25B|994	312.7044	CDC25B|994	693.559
CDC25C|995	42.7494	CDC25C|995	6.394
CDC26|246184	114.2658	CDC26|246184	134.0592
CDC27|996	1918.095	CDC27|996	1455.1951
CDC34|997	475.8167	CDC34|997	741.7019
CDC37L1|55664	483.2308	CDC37L1|55664	411.4716
CDC37|11140	2073.3569	CDC37|11140	3887.9173
CDC40|51362	836.9314	CDC40|51362	496.0978
CDC42BPA|8476	692.1366	CDC42BPA|8476	1474.0009
CDC42BPB|9578	3526.9746	CDC42BPB|9578	3480.9591
CDC42BPG|55561	326.2244	CDC42BPG|55561	357.3108
CDC42EP1|11135	776.3095	CDC42EP1|11135	2126.5632
CDC42EP2|10435	136.0722	CDC42EP2|10435	864.3159
CDC42EP3|10602	904.0953	CDC42EP3|10602	769.9107
CDC42EP4|23580	1749.3131	CDC42EP4|23580	3253.0324
CDC42EP5|148170	36.1987	CDC42EP5|148170	206.488
CDC42SE1|56882	4036.8965	CDC42SE1|56882	2068.6939
CDC42SE2|56990	1087.7055	CDC42SE2|56990	1258.11
CDC42|998	7397.6187	CDC42|998	6162.6704
CDC45|8318	53.6439	CDC45|8318	13.1641
CDC5L|988	1259.9764	CDC5L|988	850.7757
CDC6|990	215.0116	CDC6|990	55.2891
CDC73|79577	2188.4949	CDC73|79577	739.0691
CDC7|8317	154.8258	CDC7|8317	20.6864
CDCA2|157313	71.5251	CDCA2|157313	15.4208
CDCA3|83461	60.949	CDCA3|83461	23.9436
CDCA4|55038	276.9419	CDCA4|55038	223.0371
CDCA5|113130	192.3329	CDCA5|113130	78.9845
CDCA7L|55536	125.5833	CDCA7L|55536	397.0813
CDCA7|83879	27.04	CDCA7|83879	32.346
CDCA8|55143	191.0245	CDCA8|55143	52.6563
CDCP1|64866	1579.6589	CDCP1|64866	483.3098
CDH11|1009	3025.8624	CDH11|1009	562.6704
CDH12|1010	5.2335	CDH12|1010	8.2746
CDH13|1012	279.9948	CDH13|1012	787.5882
CDH1|999	9633.6517	CDH1|999	5492.8068
lowly_expressed	lowly_expressed	CDH20|28316	22.566999999999997
CDH22|64405	18.7535	CDH22|64405	29.3371
CDH23|64072	69.3445	CDH23|64072	620.5924
CDH24|64403	76.3226	CDH24|64403	138.0348
lowly_expressed	lowly_expressed	CDH26|60437	9.0268
CDH2|1000	130.8387	CDH2|1000	10.9074
CDH3|1001	276.9419	CDH3|1001	1084.3441
CDH5|1003	460.9883	CDH5|1003	3235.7311
CDH6|1004	62.8026	CDH6|1004	69.9577
CDH7|1005	54.5161	CDH7|1005	6.7701
CDH8|1006	6.9781	lowly_expressed	lowly_expressed
CDHR1|92211	7.8503	CDHR1|92211	9.0268
CDHR3|222256	164.4206	CDHR3|222256	48.015
CDIPT|10423	1670.8099	CDIPT|10423	2700.8933
CDK10|8558	378.1238	CDK10|8558	607.4283
CDK11A|728642	519.7479	CDK11A|728642	405.9765
CDK11B|984	611.5705	CDK11B|984	933.3747
CDK12|51755	1648.1312	CDK12|51755	869.2055
CDK13|8621	1156.6139	CDK13|8621	872.5905
CDK14|5218	803.7856	CDK14|5218	511.5186
CDK15|65061	6.5419	CDK15|65061	5.2656
CDK16|5127	1597.1041	CDK16|5127	1865.5383
CDK17|5128	971.6952	CDK17|5128	603.6671
CDK18|5129	144.3587	CDK18|5129	256.5115
CDK19|23097	634.7856	CDK19|23097	464.914
CDK1|983	414.7586	CDK1|983	111.7066
CDK20|23552	221.1174	CDK20|23552	117.3484
CDK2AP1|8099	1569.628	CDK2AP1|8099	1694.0291
CDK2AP2|10263	625.4089	CDK2AP2|10263	921.4857
CDK2|1017	656.3739999999999	CDK2|1017	503.9962
CDK3|1018	69.2006	CDK3|1018	148.1523
CDK4|1019	1606.2628	CDK4|1019	1801.5985
CDK5R1|8851	85.4813	CDK5R1|8851	69.9577
CDK5RAP1|51654	437.0012	CDK5RAP1|51654	495.7217
CDK5RAP2|55755	2526.0587	CDK5RAP2|55755	1501.8336
CDK5RAP3|80279	2010.9904	CDK5RAP3|80279	1861.0249
CDK5|1020	290.0257	CDK5|1020	239.5863
CDK6|1021	261.6774	CDK6|1021	453.9727
CDK7|1022	504.165	CDK7|1022	308.0395
CDK8|1024	100.7458	CDK8|1024	159.8496
CDK9|1025	1134.3713	CDK9|1025	1252.8444
CDKAL1|54901	267.347	CDKAL1|54901	260.6488
CDKL1|8814	17.8813	CDKL1|8814	19.1819
lowly_expressed	lowly_expressed	CDKL2|8999	9.0268
CDKL3|51265	36.6872	CDKL3|51265	20.8782
CDKL5|6792	107.2877	CDKL5|6792	7.8984
CDKN1A|1026	1007.0217	CDKN1A|1026	2885.5665
CDKN1B|1027	2774.2161	CDKN1B|1027	1577.8091
CDKN1C|1028	84.1729	CDKN1C|1028	1394.2642
CDKN2AIPNL|91368	350.2115	CDKN2AIPNL|91368	376.4927
CDKN2AIP|55602	478.8696	CDKN2AIP|55602	341.1378
CDKN2A|1029	54.9522	CDKN2A|1029	218.1476
CDKN2B|1030	348.467	CDKN2B|1030	1336.3423
CDKN2C|1031	204.9806	CDKN2C|1031	655.9473
CDKN2D|1032	106.8516	CDKN2D|1032	153.4556
CDKN3|1033	96.8206	CDKN3|1033	39.4922
CDNF|441549	27.9123	CDNF|441549	55.6653
CDO1|1036	20.9342	CDO1|1036	692.0545
CDON|50937	394.2605	CDON|50937	1021.5327
CDR1|1038	11.069	CDR1|1038	32.6018
CDR2L|30850	568.7121	CDR2L|30850	697.3202
CDR2|1039	1314.0564	CDR2|1039	535.2139
CDRT15P|94158	7.4142	lowly_expressed	lowly_expressed
CDRT4|284040	263.54400000000004	CDRT4|284040	289.2149
CDS1|1040	1488.5079999999998	CDS1|1040	441.93699999999995
CDS2|8760	961.6643	CDS2|8760	751.4810000000001
CDSN|1041	187.5354	CDSN|1041	37.9878
CDT1|81620	73.7058	CDT1|81620	66.1965
CDV3|55573	2564.0019	CDV3|55573	4423.1312
lowly_expressed	lowly_expressed	CDX2|1045	9.0268
CDYL2|124359	103.7987	CDYL2|124359	40.2445
CDYL|9425	638.0566	CDYL|9425	499.1067
CEACAM19|56971	7.4142	CEACAM19|56971	50.0235
CEACAM1|634	487.5921	CEACAM1|634	406.582
CEACAM21|90273	5.2335	CEACAM21|90273	33.4744
lowly_expressed	lowly_expressed	CEACAM4|1089	5.2656
CEACAM5|1048	407.7805	CEACAM5|1048	90.26799999999999
CEACAM6|4680	2335.9065	CEACAM6|4680	202.3507
CEACAM7|1087	10.4671	CEACAM7|1087	6.394
CEBPA|1050	382.9212	CEBPA|1050	5804.9835
CEBPB|1051	377.2515	CEBPB|1051	1939.2572
CEBPD|1052	251.6464	CEBPD|1052	2113.7753
CEBPG|1054	921.5404	CEBPG|1054	1168.5943
CEBPZ|10153	1408.2603	CEBPZ|10153	1088.4814
CECR1|51816	419.9921	CECR1|51816	2199.1537
lowly_expressed	lowly_expressed	CECR2|27443	26.7043
CECR5|27440	400.8025	CECR5|27440	605.9238
CECR6|27439	26.1677	CECR6|27439	53.7847
CECR7|100130418	100.7458	CECR7|100130418	177.1509
CELF1|10658	2215.0988	CELF1|10658	1668.0771
CELF2|10659	264.7303	CELF2|10659	2010.3432
CELF4|56853	6.5419	CELF4|56853	9.0268
lowly_expressed	lowly_expressed	CELF5|60680	33.8505
CELF6|60677	19.399	CELF6|60677	51.528
CELSR1|9620	9023.9435	CELSR1|9620	2086.6949
CELSR2|1952	1778.9699	CELSR2|1952	1023.7894
CELSR3|1951	26.6039	CELSR3|1951	48.8952
CEL|1056	6.9781	CEL|1056	51.9041
CEMP1|752014	192.97400000000002	CEMP1|752014	191.8872
CENPA|1058	23.551	CENPA|1058	17.3014
CENPBD1|92806	163.1122	CENPBD1|92806	312.92900000000003
CENPB|1059	1701.775	CENPB|1059	2470.7099
CENPC1|1060	392.51599999999996	CENPC1|1060	256.1354
CENPE|1062	146.5393	CENPE|1062	36.8594
CENPF|1063	1551.3106	CENPF|1063	210.6253
CENPH|64946	174.0154	CENPH|64946	104.5604
CENPI|2491	24.8593	CENPI|2491	9.4029
CENPJ|55835	139.5613	CENPJ|55835	122.2379
CENPK|64105	40.1239	CENPK|64105	8.6507
CENPL|91687	285.2283	CENPL|91687	71.086
CENPM|79019	77.1948	CENPM|79019	60.9309
CENPN|55839	89.7728	CENPN|55839	123.7988
CENPO|79172	74.2597	CENPO|79172	72.1655
CENPP|401541	128.3833	CENPP|401541	84.1674
CENPQ|55166	117.3187	CENPQ|55166	80.1128
CENPT|80152	218.9367	CENPT|80152	493.0889
CENPV|201161	118.6271	CENPV|201161	128.2558
CENPW|387103	56.2606	CENPW|387103	95.5336
CEP110|11064	481.9225	CEP110|11064	353.9257
CEP120|153241	471.4554	CEP120|153241	453.2205
CEP135|9662	247.2851	CEP135|9662	108.6977
CEP152|22995	55.3884	CEP152|22995	47.3907
CEP164|22897	560.8618	CEP164|22897	474.6591
CEP170|9859	1181.9094	CEP170|9859	566.0555
CEP192|55125	775.0011	CEP192|55125	393.418
CEP250|11190	571.765	CEP250|11190	558.9093
CEP290|80184	584.1293	CEP290|80184	284.9647
CEP350|9857	2616.7735	CEP350|9857	731.9229
CEP55|55165	167.0374	CEP55|55165	47.3907
CEP57|9702	657.2463	CEP57|9702	724.0244
CEP63|80254	668.9912	CEP63|80254	573.8223
CEP68|23177	759.0431	CEP68|23177	1266.3846
CEP70|80321	773.2566	CEP70|80321	321.5797
CEP72|55722	37.071	CEP72|55722	41.3728
CEP76|79959	219.3728	CEP76|79959	93.2769
CEP78|84131	316.1935	CEP78|84131	184.6732
CEP97|79598	240.7432	CEP97|79598	66.5726
CEPT1|10390	846.5262	CEPT1|10390	817.6775
CERCAM|51148	1355.4887	CERCAM|51148	1229.149
CERKL|375298	50.6433	CERKL|375298	44.8218
CERK|64781	587.9018	CERK|64781	1128.3498
CES1|1066	72.3974	CES1|1066	10474.4711
CES2|8824	685.5947	CES2|8824	1453.3145
CES3|23491	48.4103	CES3|23491	165.8674
lowly_expressed	lowly_expressed	CES4|51716	80.8651
CES8|283848	44.4851	CES8|283848	82.7457
CETN2|1069	1692.6163	CETN2|1069	1220.4984
CETN3|1070	354.5728	CETN3|1070	258.01599999999996
lowly_expressed	lowly_expressed	CETN4P|729338	7.5223
lowly_expressed	lowly_expressed	CETP|1071	131.2647
CFB|629	16694.3085	CFB|629	4497.0456
CFDP1|10428	421.7367	CFDP1|10428	850.0235
CFD|1675	58.0051	CFD|1675	15469.6756
CFH|3075	704.7843	CFH|3075	1894.8754
CFI|3426	195.3858	CFI|3426	776.6808
CFL1|1072	13648.2184	CFL1|1072	14957.0287
CFL2|1073	132.5832	CFL2|1073	1109.1678
CFLAR|8837	718.3043	CFLAR|8837	1252.8444
CFP|5199	10.031	CFP|5199	244.4758
CFTR|1080	10.031	CFTR|1080	12.4118
CG030|116828	29.2206	CG030|116828	46.2623
CGGBP1|8545	2888.9179999999997	CGGBP1|8545	2130.7005
CGNL1|84952	2495.5297	CGNL1|84952	1355.1481
CGN|57530	2456.2781	CGN|57530	790.5971
CGREF1|10669	208.9363	CGREF1|10669	249.0644
CGRRF1|10668	267.7832	CGRRF1|10668	243.7236
CH25H|9023	35.7626	CH25H|9023	74.8472
CHAC1|79094	13.9561	CHAC1|79094	35.7311
CHAC2|494143	40.9961	CHAC2|494143	45.13399999999999
CHADL|150356	85.4813	CHADL|150356	147.1105
CHAD|1101	452.2657	CHAD|1101	315.9379
CHAF1A|10036	338.436	CHAF1A|10036	294.8754
CHAF1B|8208	268.6554	CHAF1B|8208	148.1899
CHCHD10|400916	219.3728	CHCHD10|400916	963.6107
CHCHD1|118487	660.2992	CHCHD1|118487	529.9483
CHCHD2|51142	2841.3799	CHCHD2|51142	4045.5101
CHCHD3|54927	649.8321	CHCHD3|54927	725.905
CHCHD4|131474	238.9986	CHCHD4|131474	259.5205
CHCHD5|84269	350.6477	CHCHD5|84269	380.63
CHCHD6|84303	85.4813	CHCHD6|84303	198.2134
CHCHD7|79145	332.3302	CHCHD7|79145	487.8232
CHCHD8|51287	676.8721	CHCHD8|51287	623.6013
CHD1L|9557	1200.2268	CHD1L|9557	827.0804
CHD1|1105	1002.6604	CHD1|1105	612.6939
CHD2|1106	2779.0135	CHD2|1106	2123.1782
CHD3|1107	3783.8545	CHD3|1107	3203.385
CHD4|1108	8120.9822	CHD4|1108	4880.8011
CHD6|84181	2271.7955	CHD6|84181	1046.7325
CHD7|55636	584.8489	CHD7|55636	366.7137
CHD8|57680	2976.1437	CHD8|57680	1605.2656
CHD9|80205	902.3507	CHD9|80205	855.2891
CHDH|55349	805.9662	CHDH|55349	543.1124
CHEK1|1111	149.1561	CHEK1|1111	82.3695
CHEK2|11200	135.2	CHEK2|11200	133.1453
CHERP|10523	1074.6784	CHERP|10523	1226.6554
CHFR|55743	285.2283	CHFR|55743	347.5317
lowly_expressed	lowly_expressed	CHGA|1113	5.6417
lowly_expressed	lowly_expressed	CHGB|1114	23.3192
CHI3L1|1116	363.7315	CHI3L1|1116	2642.2191
CHI3L2|1117	1089.45	CHI3L2|1117	494.9694
CHIC1|53344	365.476	CHIC1|53344	237.3296
CHIC2|26511	99.4374	CHIC2|26511	173.3898
CHID1|66005	1328.0126	CHID1|66005	1827.1744
CHIT1|1118	71.5251	CHIT1|1118	973.0136
CHKA|1119	491.9534	CHKA|1119	635.2609
CHKB-CPT1B|386593	219.399	CHKB-CPT1B|386593	284.5999
CHKB|1120	176.1132	CHKB|1120	275.7424
CHL1|10752	408.2167	CHL1|10752	767.2779
CHML|1122	1038.423	CHML|1122	227.1744
CHMP1A|5119	955.9946	CHMP1A|5119	2248.8011
CHMP1B|57132	1536.4822	CHMP1B|57132	1594.3583
CHMP2A|27243	2406.5594	CHMP2A|27243	2565.4913
CHMP2B|25978	1117.7984	CHMP2B|25978	918.4767
CHMP4A|29082	1269.58	CHMP4A|29082	1412.8707
CHMP4B|128866	3541.3668	CHMP4B|128866	3523.0842
CHMP4C|92421	159.1871	CHMP4C|92421	113.5872
CHMP5|51510	1962.3403	CHMP5|51510	1250.4485
CHMP6|79643	310.9599	CHMP6|79643	552.1392
CHMP7|91782	1125.6487	CHMP7|91782	1154.3018
CHM|1121	718.7405	CHM|1121	380.2539
CHN1|1123	265.6025	CHN1|1123	295.2515
CHN2|1124	109.9045	CHN2|1124	113.9633
lowly_expressed	lowly_expressed	CHODL|140578	28.2087
CHORDC1|26973	582.2321	CHORDC1|26973	244.8519
CHPF2|54480	978.2372	CHPF2|54480	1191.5374
CHPF|79586	1810.3711	CHPF|79586	1875.3173
CHPT1|56994	2878.3898	CHPT1|56994	1946.2981
CHP|11261	2719.2638	CHP|11261	3467.795
CHRAC1|54108	566.9676	CHRAC1|54108	572.4495
lowly_expressed	lowly_expressed	CHRDL1|91851	6680.9591
CHRD|8646	382.9212	CHRD|8646	279.8307
CHRFAM7A|89832	7.8503	CHRFAM7A|89832	12.0357
CHRM1|1128	13.0839	CHRM1|1128	73.7189
lowly_expressed	lowly_expressed	CHRM3|1131	10.9074
lowly_expressed	lowly_expressed	CHRM4|1132	8.6507
CHRNA10|57053	6.1058	CHRNA10|57053	7.8984
CHRNA1|1134	41.8684	CHRNA1|1134	28.5849
lowly_expressed	lowly_expressed	CHRNA2|1135	106.0649
CHRNA3|1136	6.1058	CHRNA3|1136	6.7701
lowly_expressed	lowly_expressed	CHRNA5|1138	14.6685
CHRNA6|8973	13.9561	lowly_expressed	lowly_expressed
CHRNB1|1140	180.1212	CHRNB1|1140	212.1298
CHRNB2|1141	13.0839	CHRNB2|1141	25.951999999999998
CHRNE|1145	8.378	CHRNE|1145	24.3535
CHST10|9486	398.1857	CHST10|9486	227.1744
CHST11|50515	122.1161	CHST11|50515	100.04700000000001
CHST12|55501	124.7329	CHST12|55501	452.4683
CHST13|166012	5.6697	CHST13|166012	19.1819
CHST14|113189	583.5405	CHST14|113189	626.6102
CHST15|51363	1879.7156	CHST15|51363	1074.1889999999999
CHST1|8534	77.1948	CHST1|8534	584.8613
CHST2|9435	41.4322	CHST2|9435	329.4781
CHST3|9469	300.92900000000003	CHST3|9469	1415.7029
lowly_expressed	lowly_expressed	CHST4|10164	12.788
CHST6|4166	57.568999999999996	lowly_expressed	lowly_expressed
CHST7|56548	26.1677	CHST7|56548	198.2134
CHST8|64377	93.3316	CHST8|64377	166.2435
CHST9|83539	12.2116	CHST9|83539	107.5693
CHSY1|22856	1989.6201	CHSY1|22856	1352.5153
CHSY3|337876	112.5213	CHSY3|337876	45.5101
CHTF18|63922	193.6412	CHTF18|63922	129.00799999999998
CHTF8|54921	1778.9699	CHTF8|54921	2482.3695
CHUK|1147	674.6914	CHUK|1147	468.6413
CHURC1|91612	1802.6429	CHURC1|91612	1639.8082
CIAO1|9391	1742.7712	CIAO1|9391	1718.8528
CIAPIN1|57019	469.2747	CIAPIN1|57019	740.5736
CIB1|10519	2296.6549	CIB1|10519	1860.2727
