gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
ACAD8|27034	361.5788	ACAD8|27034	403.5462
ACAD9|28976	805.8572	ACAD9|28976	503.8373
lowly_expressed	lowly_expressed	ACADL|33	117.2269
ACADM|34	172.3362	ACADM|34	1563.9068
ACADSB|36	1517.7585	ACADSB|36	3738.0284
ACADS|35	301.3157	ACADS|35	187.8805
ACADVL|37	3193.6628	ACADVL|37	2348.2418
ACAN|176	62.99	ACAN|176	10.0556
ACAP1|9744	6.2717	ACAP1|9744	24.3451
ACAP2|23527	1790.7151	ACAP2|23527	2605.4529
ACAP3|116983	406.059	ACAP3|116983	175.9805
ACAT1|38	691.2537	ACAT1|38	1429.215
ACAT2|39	1217.7926	ACAT2|39	290.0637
ACBD3|64746	6033.9491	ACBD3|64746	2519.7159
ACBD4|79777	272.1385	ACBD4|79777	101.085
ACBD5|91452	1741.9047	ACBD5|91452	838.3176
ACBD6|84320	890.3129	ACBD6|84320	317.2799
ACBD7|414149	58.8997	ACBD7|414149	34.6653
lowly_expressed	lowly_expressed	ACCN1|40	12.9664
ACCN2|41	106.3467	ACCN2|41	84.6785
ACCN3|9311	34.3582	lowly_expressed	lowly_expressed
ACCS|84680	176.9718	ACCS|84680	223.6043
ACD|65057	390.2106	ACD|65057	215.9303
lowly_expressed	lowly_expressed	ACE2|59272	41.5454
ACER2|340485	748.79	ACER2|340485	207.727
ACER3|55331	277.5922	ACER3|55331	752.0513
ACE|1636	186.7885	ACE|1636	564.1708
lowly_expressed	lowly_expressed	ACHE|43	17.9942
ACIN1|22985	3528.2569	ACIN1|22985	2145.2779
ACLY|47	5871.7022	ACLY|47	2110.0834
ACMSD|130013	22.0874	lowly_expressed	lowly_expressed
ACN9|57001	119.7082	ACN9|57001	222.2812
ACO1|48	498.7388	ACO1|48	2051.0731
ACO2|50	2267.2275	ACO2|50	1093.5757
ACOT11|26027	35.4489	ACOT11|26027	14.1969
ACOT13|55856	482.3096	ACOT13|55856	508.2856
ACOT1|641371	930.6701	ACOT1|641371	446.6793
ACOT2|10965	496.2847	ACOT2|10965	305.6366
ACOT4|122970	586.8157	ACOT4|122970	98.968
ACOT7|11332	668.8936	ACOT7|11332	119.3438
ACOT8|10005	194.2764	ACOT8|10005	128.0101
ACOT9|23597	350.3988	ACOT9|23597	730.617
ACOX1|51	1470.9987	ACOX1|51	2786.4533
ACOX2|8309	1253.2552	ACOX2|8309	216.4595
ACOX3|8310	714.4318	ACOX3|8310	324.4247
ACOXL|55289	6.8171	lowly_expressed	lowly_expressed
ACP1|52	1980.2304	ACP1|52	1663.4041
ACP2|53	730.7928	ACP2|53	581.9004
ACP5|54	1092.099	ACP5|54	629.0028
ACP6|51205	1353.6028	ACP6|51205	217.2534
ACPL2|92370	937.2145	ACPL2|92370	490.3417
ACPP|55	34.6309	ACPP|55	60.3335
ACRBP|84519	48.5377	ACRBP|84519	7.4094
ACRC|93953	10.362	ACRC|93953	18.7881
