gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
ACADM|34	938.7475	ACADM|34	1343.9913
ACADSB|36	1454.5217	ACADSB|36	3857.3515
ACADS|35	574.8294	ACADS|35	543.5377
ACADVL|37	8809.129	ACADVL|37	5539.7331
ACAN|176	35.6632	ACAN|176	13.2472
ACAP1|9744	109.6739	ACAP1|9744	47.3689
ACAP2|23527	711.3467	ACAP2|23527	1370.0844
ACAP3|116983	306.4198	ACAP3|116983	305.5172
ACAT1|38	2236.8113	ACAT1|38	1172.1788
ACAT2|39	334.3099	ACAT2|39	366.3581
ACBD3|64746	1357.119	ACBD3|64746	1408.2203
ACBD4|79777	479.3441	ACBD4|79777	297.059
ACBD5|91452	411.8525	ACBD5|91452	682.8343
ACBD6|84320	686.4208	ACBD6|84320	279.396
ACBD7|414149	13.0382	ACBD7|414149	26.8959
lowly_expressed	lowly_expressed	ACCN1|40	6.4229
ACCN2|41	47.1675	ACCN2|41	88.3148
ACCN3|9311	68.2586	ACCN3|9311	8.0286
ACCS|84680	107.7566	ACCS|84680	249.2887
ACD|65057	230.4686	ACD|65057	401.0297
lowly_expressed	lowly_expressed	ACE2|59272	14.0501
ACER2|340485	42.9492	ACER2|340485	221.59
ACER3|55331	96.2523	ACER3|55331	260.1274
ACE|1636	326.3375	ACE|1636	444.7857
ACHE|43	13.8051	ACHE|43	24.4873
ACIN1|22985	4446.3959	ACIN1|22985	2834.9064
ACLY|47	7660.3023	ACLY|47	3207.4345
lowly_expressed	lowly_expressed	ACMSD|130013	8.8315
ACN9|57001	272.6509	ACN9|57001	193.4898
ACO1|48	643.855	ACO1|48	1106.7455
ACO2|50	1660.8353	ACO2|50	2009.7849
lowly_expressed	lowly_expressed	ACOT11|26027	54.703
ACOT13|55856	1267.9457	ACOT13|55856	582.5207
ACOT1|641371	4055.2511	ACOT1|641371	521.8604
ACOT2|10965	2242.5635	ACOT2|10965	360.0837
ACOT4|122970	1988.3193	ACOT4|122970	210.7513
ACOT6|641372	441.7635	lowly_expressed	lowly_expressed
ACOT7|11332	274.9518	ACOT7|11332	234.4358
ACOT8|10005	542.7134	ACOT8|10005	242.1031
ACOT9|23597	468.9903	ACOT9|23597	379.3524
ACOX1|51	1678.989	ACOX1|51	1615.5635
ACOX2|8309	459.0199	ACOX2|8309	248.4859
ACOX3|8310	301.4116	ACOX3|8310	733.4146
ACP1|52	1428.8289	ACP1|52	1296.6225
ACP2|53	2179.29	ACP2|53	917.2701
ACP5|54	755.8298	ACP5|54	684.8415
ACP6|51205	720.5501	ACP6|51205	412.2697
ACPL2|92370	587.1007	ACPL2|92370	437.1585
ACPP|55	34.8963	ACPP|55	50.5803
ACRBP|84519	23.392	ACRBP|84519	12.0429
ACRC|93953	11.5043	ACRC|93953	14.853
lowly_expressed	lowly_expressed	ACSBG1|23205	14.0501
lowly_expressed	lowly_expressed	ACSBG2|81616	7.6272
ACSF2|80221	2043.5398	ACSF2|80221	812.898
ACSF3|197322	461.7042	ACSF3|197322	309.5034
ACSL1|2180	340.1426	ACSL1|2180	1329.9412
ACSL3|2181	4113.1559	ACSL3|2181	3694.3704
ACSL4|2182	335.1574	ACSL4|2182	1129.2257
ACSL5|51703	1424.6107	ACSL5|51703	606.161
lowly_expressed	lowly_expressed	ACSL6|23305	7.2258
ACSM1|116285	40.2649	ACSM1|116285	90.322
ACSM3|6296	101.5328	ACSM3|6296	177.3804
lowly_expressed	lowly_expressed	ACSM5|54988	41.3474
ACSS1|84532	1767.8211	ACSS1|84532	1121.1971
ACSS2|55902	1257.032	ACSS2|55902	1135.6486
ACSS3|79611	268.4327	ACSS3|79611	413.0726
ACTA1|58	117.3434	lowly_expressed	lowly_expressed
ACTA2|59	6700.4406	ACTA2|59	34192.2313
lowly_expressed	lowly_expressed	ACTBL2|345651	15.6558
ACTB|60	108171.4748	ACTB|60	91412.6862
lowly_expressed	lowly_expressed	ACTC1|70	14.0501
ACTG1|71	74757.356	ACTG1|71	82248.0142
ACTG2|72	1065.6778	ACTG2|72	6832.3574
ACTL6A|86	1118.9809	ACTL6A|86	1031.6779
ACTL8|81569	6.5191	lowly_expressed	lowly_expressed
ACTN1|87	5353.315	ACTN1|87	10470.126
ACTN2|88	432.9436	lowly_expressed	lowly_expressed
ACTN4|81	11316.8081	ACTN4|81	11304.6892
ACTR10|55860	1826.8762	ACTR10|55860	1203.089
ACTR1A|10121	3140.2791	ACTR1A|10121	2524.6002
ACTR1B|10120	1151.5763	ACTR1B|10120	1508.1766
ACTR2|10097	5065.325	ACTR2|10097	5270.3889
ACTR3B|57180	113.1252	ACTR3B|57180	190.6798
ACTR3C|653857	82.4472	ACTR3C|653857	65.0318
ACTR3|10096	2838.484	ACTR3|10096	3317.8281
ACTR5|79913	323.6531	ACTR5|79913	226.0057
ACTR6|64431	560.2574	ACTR6|64431	724.5831
ACTR8|93973	565.2426	ACTR8|93973	513.8318
ACVR1B|91	1398.5344	ACVR1B|91	1127.62
lowly_expressed	lowly_expressed	ACVR1C|130399	25.2902
ACVR1|90	834.4422	ACVR1|90	1057.3695
ACVR2A|92	417.2211	ACVR2A|92	627.0354
ACVR2B|93	238.1382	ACVR2B|93	514.2332
ACVRL1|94	345.5112	ACVRL1|94	422.3055
ACY1|95	1845.6665	ACY1|95	611.3796
ACY3|91703	6.5191	ACY3|91703	27.2973
