gene_id	TCGA-BH-A204-01A-11R-A157-07	gene_id	TCGA-BH-A204-11A-53R-A157-07
?|100133144	17.746	?|100133144	6.1973
?|10357	158.3634	?|10357	107.9923
?|10431	1231.8693	?|10431	791.8762
?|155060	103.053	?|155060	137.3308
?|390284	5.6747	?|390284	8.8975
?|57714	870.9568	?|57714	503.2882
?|645851	7.9446	?|645851	6.5764
?|652919	76.7291	?|652919	114.3907
?|653553	292.1348	?|653553	188.0077
?|8225	160.2542	?|8225	368.2785
?|90288	24.5148	?|90288	13.1528
A1BG|1	28.4304	A1BG|1	30.1547
A2BP1|54715	9.9875	lowly_expressed	lowly_expressed
A2LD1|87769	167.2432	A2LD1|87769	102.5803
A2M|2	11944.5988	A2M|2	44992.3559
A4GALT|53947	59.6981	A4GALT|53947	549.7099
AAAS|8086	826.9209	AAAS|8086	538.4913
AACSL|729522	9.9875	lowly_expressed	lowly_expressed
AACS|65985	868.4599	AACS|65985	1178.3366
lowly_expressed	lowly_expressed	AADACL2|344752	11.2186
lowly_expressed	lowly_expressed	AADAC|13	450.677
AADAT|51166	68.0967	AADAT|51166	71.5667
AAGAB|79719	4402.6785	AAGAB|79719	694.3907
AAK1|22848	988.764	AAK1|22848	1231.3346
AAMP|14	1695.6078	AAMP|14	1674.6615
AARS2|57505	220.8557	AARS2|57505	217.795
AARSD1|80755	476.6769	AARSD1|80755	448.3559
AARS|16	2692.9974	AARS|16	2492.4565
AASDHPPT|60496	1018.9536	AASDHPPT|60496	658.4139
AASDH|132949	277.6075	AASDH|132949	310.6383
AASS|10157	79.6731	AASS|10157	1029.7872
AATF|26574	1337.8731	AATF|26574	879.3037
AATK|9625	27.023	AATK|9625	37.5242
ABAT|18	787.6518	ABAT|18	367.118
lowly_expressed	lowly_expressed	ABCA10|10349	438.2979
ABCA11P|79963	194.8882	ABCA11P|79963	95.6789
ABCA12|26154	34.2753	ABCA12|26154	5.8027
ABCA17P|650655	185.904	lowly_expressed	lowly_expressed
ABCA1|19	334.8088	ABCA1|19	3629.2456
ABCA2|20	1400.9761	ABCA2|20	1119.1489
ABCA3|21	4218.3634	ABCA3|21	918.7621
ABCA4|24	30.1895	ABCA4|24	32.1083
ABCA5|23461	371.127	ABCA5|23461	779.8839
ABCA6|23460	51.5265	ABCA6|23460	1716.0542
ABCA7|10347	113.0405	ABCA7|10347	163.6364
ABCA8|10351	15.4353	ABCA8|10351	5764.0232
ABCA9|10350	5.6747	ABCA9|10350	2068.8588
ABCB10|23456	663.4888	ABCB10|23456	425.5319
lowly_expressed	lowly_expressed	ABCB11|8647	50.2901
ABCB1|5243	51.9805	ABCB1|5243	209.2843
ABCB4|5244	35.6373	ABCB4|5244	55.3191
lowly_expressed	lowly_expressed	ABCB5|340273	144.6809
ABCB6|10058	19.9296	ABCB6|10058	554.7389
ABCB7|22	800.1362	lowly_expressed	lowly_expressed
ABCB8|11194	801.9521	ABCB8|11194	333.0754
ABCB9|23457	118.7402	ABCB9|23457	62.441
ABCC10|89845	223.8111	ABCC10|89845	252.6112
ABCC11|85320	7.9446	ABCC11|85320	40.619
ABCC13|150000	15.2083	lowly_expressed	lowly_expressed
ABCC1|4363	1256.3841	ABCC1|4363	1224.3714
ABCC2|1244	7.0367	ABCC2|1244	52.2244
ABCC3|8714	77.6302	ABCC3|8714	205.029
