gene_id	TCGA-BH-A203-01A-12R-A169-07	gene_id	TCGA-BH-A203-11A-42R-A169-07
?|100133144	9.3565	?|100133144	17.2795
?|100134869	8.5678	?|100134869	10.7474
?|10357	149.8692	?|10357	94.4918
?|10431	1492.0237	?|10431	560.5381
?|155060	164.5456	?|155060	173.7668
?|390284	8.9622	?|390284	10.0897
?|57714	543.4666	?|57714	687.2197
?|645851	22.9432	?|645851	17.9372
?|652919	60.2258	?|652919	65.0598
?|653553	192.8661	?|653553	102.3916
lowly_expressed	lowly_expressed	?|728788	5.9791
?|8225	277.1106	?|8225	269.0583
lowly_expressed	lowly_expressed	?|90288	16.8161
A1BG|1	85.5099	A1BG|1	44.3946
A2LD1|87769	94.3502	A2LD1|87769	69.8169
lowly_expressed	lowly_expressed	A2ML1|144568	18.3109
A2M|2	10554.1387	A2M|2	31389.8468
A4GALT|53947	104.3198	A4GALT|53947	173.3931
lowly_expressed	lowly_expressed	A4GNT|51146	12.3318
AAAS|8086	702.6349	AAAS|8086	578.1016
AACS|65985	1170.4607	AACS|65985	904.3348
AADAC|13	19.7168	AADAC|13	8.2212
AADAT|51166	10.7546	AADAT|51166	102.7653
AAGAB|79719	2462.09	AAGAB|79719	850.1495
AAK1|22848	1384.4775	AAK1|22848	1474.2152
AAMP|14	3228.8941	AAMP|14	1205.5306
AARS2|57505	421.9358	AARS2|57505	291.1024
AARSD1|80755	391.468	AARSD1|80755	371.0762
AARS|16	4702.2764	AARS|16	2119.2078
AASDHPPT|60496	1573.4003	AASDHPPT|60496	1116.2182
AASDH|132949	313.6763	AASDH|132949	455.9043
AASS|10157	145.5458	AASS|10157	1057.1749
AATF|26574	942.1043	AATF|26574	695.441
AATK|9625	16.8489	AATK|9625	22.0478
ABAT|18	470.3352	ABAT|18	495.142
ABCA10|10349	17.5659	ABCA10|10349	455.9043
ABCA11P|79963	46.8543	ABCA11P|79963	204.148
ABCA12|26154	1703.8896	ABCA12|26154	66.1435
lowly_expressed	lowly_expressed	ABCA13|154664	28.4006
lowly_expressed	lowly_expressed	ABCA17P|650655	7.1001
ABCA1|19	1042.1222	ABCA1|19	2977.8176
ABCA2|20	487.5426	ABCA2|20	1347.9073
ABCA3|21	319.4121	ABCA3|21	821.0015
ABCA4|24	64.1692	ABCA4|24	26.9058
ABCA5|23461	199.3189	ABCA5|23461	1660.6876
ABCA6|23460	71.3389	ABCA6|23460	578.1016
ABCA7|10347	312.6008	ABCA7|10347	227.9522
ABCA8|10351	61.6598	ABCA8|10351	1527.6532
ABCA9|10350	65.2447	ABCA9|10350	1015.3214
ABCB10|23456	456.7127	ABCB10|23456	547.8326
ABCB1|5243	59.5089	ABCB1|5243	384.1555
ABCB4|5244	15.0565	ABCB4|5244	17.9372
lowly_expressed	lowly_expressed	ABCB5|340273	40.7324
ABCB6|10058	1480.1147	ABCB6|10058	357.4215
ABCB7|22	435.9204	ABCB7|22	580.3438
ABCB8|11194	360.9966	ABCB8|11194	248.1315
ABCB9|23457	109.1558	ABCB9|23457	94.1704
ABCC10|89845	209.3565	ABCC10|89845	323.6173
ABCC11|85320	7740.0968	ABCC11|85320	320.6278
ABCC12|94160	203.9792	lowly_expressed	lowly_expressed
ABCC1|4363	917.0102	ABCC1|4363	903.2138
ABCC2|1244	966.8399	ABCC2|1244	17.9372
ABCC3|8714	358.1287	ABCC3|8714	386.3976
ABCC4|10257	713.748	ABCC4|10257	154.3348
ABCC5|10057	3878.4728	ABCC5|10057	917.0404
ABCC6P1|653190	11.4716	ABCC6P1|653190	26.5321
ABCC6P2|730013	13.6225	ABCC6P2|730013	17.9372
ABCC6|368	57.3579	lowly_expressed	lowly_expressed
ABCC8|6833	8.9622	ABCC8|6833	82.5859
ABCC9|10060	271.3748	ABCC9|10060	1468.2362
ABCD1|215	241.9788	ABCD1|215	260.4634
ABCD2|225	18.6413	ABCD2|225	565.0224
ABCD3|5825	1853.0203	ABCD3|5825	1781.0164
ABCD4|5826	426.9582	ABCD4|5826	597.1599
ABCE1|6059	2794.7661	ABCE1|6059	1711.136
ABCF1|23	1611.3999	ABCF1|23	1139.0135
ABCF2|10061	1477.6842	ABCF2|10061	889.3871
ABCF3|55324	3159.3476	ABCF3|55324	611.7339
ABCG1|9619	1126.0082	ABCG1|9619	414.4245
ABCG2|9429	21.5092	ABCG2|9429	727.9522
lowly_expressed	lowly_expressed	ABCG4|64137	5.2317
ABHD10|55347	641.6921	ABHD10|55347	776.5321
ABHD11|83451	1395.5906	ABHD11|83451	250
lowly_expressed	lowly_expressed	ABHD12B|145447	8.2212
ABHD12|26090	2138.7345	ABHD12|26090	524.29
ABHD13|84945	647.0694	ABHD13|84945	742.5262
ABHD14A|25864	185.6964	ABHD14A|25864	215.994
ABHD14B|84836	1572.6833	ABHD14B|84836	2689.4619
ABHD15|116236	681.1256	ABHD15|116236	760.0897
ABHD1|84696	16.4904	ABHD1|84696	32.5112
ABHD2|11057	2595.0887	ABHD2|11057	3157.3244
ABHD3|171586	775.7663	ABHD3|171586	334.0807
ABHD4|63874	738.8421	ABHD4|63874	1176.7564
ABHD5|51099	1907.1518	ABHD5|51099	1698.0568
ABHD6|57406	149.1307	ABHD6|57406	358.3707
ABHD8|79575	246.2807	ABHD8|79575	150.9716
ABI1|10006	1188.9299	ABI1|10006	1816.2593
ABI2|10152	1098.0462	ABI2|10152	2155.8296
ABI3BP|25890	378.5625	ABI3BP|25890	1031.0164
ABI3|51225	154.8665	ABI3|51225	131.1659
ABL1|25	2650.6542	ABL1|25	1899.8505
ABL2|27	929.9158	ABL2|27	983.1839
ABLIM1|3983	3748.7005	ABLIM1|3983	8406.9507
ABLIM2|84448	16.1319	ABLIM2|84448	45.9641
ABLIM3|22885	391.468	ABLIM3|22885	2167.7877
lowly_expressed	lowly_expressed	ABO|28	41.4798
ABP1|26	11.4716	lowly_expressed	lowly_expressed
ABR|29	1420.3262	ABR|29	1778.0269
ABT1|29777	492.9199	ABT1|29777	442.0777
ABTB1|80325	129.7724	ABTB1|80325	479.8206
ABTB2|25841	70.9805	ABTB2|25841	92.6756
ACAA1|30	2171.3569	ACAA1|30	829.5964
ACAA2|10449	757.1249	ACAA2|10449	2760.8371
ACACA|31	1738.3044	ACACA|31	2352.3916
ACACB|32	238.0355	ACACB|32	8624.4395
ACAD10|80724	530.2025	ACAD10|80724	547.8326
ACAD11|84129	224.413	ACAD11|84129	980.5605
ACAD8|27034	1212.4037	ACAD8|27034	665.5456
ACAD9|28976	677.1823	ACAD9|28976	883.4081
ACADL|33	5.0188	ACADL|33	417.4141
ACADM|34	524.4668	ACADM|34	2232.4365
ACADSB|36	1446.1373	ACADSB|36	2299.701
ACADS|35	85.3199	ACADS|35	648.3558
ACADVL|37	2736.3219	ACADVL|37	5266.0575
ACAN|176	32.6223	lowly_expressed	lowly_expressed
ACAP1|9744	107.5462	ACAP1|9744	35.5007
ACAP2|23527	5524.646	ACAP2|23527	2084.4544
ACAP3|116983	536.7234	ACAP3|116983	279.8954
ACAT1|38	1103.4236	ACAT1|38	1959.6413
ACAT2|39	2389.1809	ACAT2|39	259.3759
ACBD3|64746	2059.5089	ACBD3|64746	1533.2586
ACBD4|79777	45.5279	ACBD4|79777	205.9043
ACBD5|91452	637.0317	ACBD5|91452	1056.0538
ACBD6|84320	429.8261	ACBD6|84320	231.6891
ACBD7|414149	274.6012	ACBD7|414149	48.2063
lowly_expressed	lowly_expressed	ACCN1|40	5.6054
ACCN2|41	146.2628	ACCN2|41	114.7235
ACCN3|9311	8.2452	ACCN3|9311	5.9791
ACCS|84680	98.2255	ACCS|84680	396.861
ACD|65057	268.5069	ACD|65057	237.6682
ACE2|59272	22.9432	ACE2|59272	24.6637
ACER1|125981	5.0188	lowly_expressed	lowly_expressed
ACER2|340485	106.8292	ACER2|340485	341.9283
ACER3|55331	354.5438	ACER3|55331	677.5037
ACE|1636	385.3737	ACE|1636	381.1659
ACHE|43	16.8489	ACHE|43	11.5845
ACIN1|22985	2158.0928	ACIN1|22985	2625.1868
ACLY|47	4835.6336	ACLY|47	2248.8789
ACN9|57001	204.3377	ACN9|57001	194.3199
ACO1|48	1403.4773	ACO1|48	4758.9686
ACO2|50	3819.6702	ACO2|50	2553.6136
ACOT11|26027	17.9244	ACOT11|26027	25.8146
ACOT13|55856	718.0283	ACOT13|55856	752.4514
ACOT1|641371	224.413	ACOT1|641371	1022.4215
ACOT2|10965	107.5462	ACOT2|10965	528.7743
