gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
ACADSB|36	2878.7946	ACADSB|36	3340.1414
ACADS|35	750.2863	ACADS|35	1009.8999
ACADVL|37	4728.8911	ACADVL|37	4429.9915
ACAN|176	194.207	lowly_expressed	lowly_expressed
ACAP1|9744	6.4736	ACAP1|9744	142.0665
ACAP2|23527	1449.755	ACAP2|23527	1348.4041
ACAP3|116983	312.6797	ACAP3|116983	325.5322
ACAT1|38	3415.4532	ACAT1|38	1450.4815
ACAT2|39	598.8437	ACAT2|39	435.0217
ACBD3|64746	2610.4653	ACBD3|64746	1456.7956
ACBD4|79777	148.2447	ACBD4|79777	391.1214
ACBD5|91452	992.0739	ACBD5|91452	572.8262
ACBD6|84320	426.608	ACBD6|84320	423.744
ACBD7|414149	48.8754	ACBD7|414149	56.8266
ACCN2|41	11.9761	ACCN2|41	342.012
lowly_expressed	lowly_expressed	ACCN3|9311	7.0156
ACCS|84680	75.7407	ACCS|84680	331.4885
ACD|65057	147.921	ACD|65057	423.3933
lowly_expressed	lowly_expressed	ACE2|59272	17.8899
ACER2|340485	172.8442	ACER2|340485	182.7572
ACER3|55331	912.7727	ACER3|55331	267.9971
ACE|1636	1709.6687	ACE|1636	397.0847
ACHE|43	5.1789	ACHE|43	49.811
ACIN1|22985	2380.3301	ACIN1|22985	3053.5529
ACLY|47	5745.9368	ACLY|47	2983.7474
ACN9|57001	59.5568	ACN9|57001	198.1915
ACO1|48	1015.0551	ACO1|48	1450.1307
ACO2|50	3487.4684	ACO2|50	2455.4354
ACOT11|26027	133.0318	ACOT11|26027	52.6172
ACOT13|55856	709.4348	ACOT13|55856	508.8051
ACOT1|641371	1665.3248	ACOT1|641371	638.0715
ACOT2|10965	785.5672	ACOT2|10965	380.9487
ACOT4|122970	722.4499	ACOT4|122970	95.7633
ACOT7|11332	230.1353	ACOT7|11332	256.0705
ACOT8|10005	297.5639	ACOT8|10005	317.4362
ACOT9|23597	436.9657	ACOT9|23597	356.394
ACOX1|51	1791.2356	ACOX1|51	1536.6229
ACOX2|8309	594.597	ACOX2|8309	176.0923
ACOX3|8310	1602.5312	ACOX3|8310	759.0912
ACP1|52	1343.5885	ACP1|52	1371.5557
ACP2|53	2442.4763	ACP2|53	776.981
ACP5|54	1340.6754	ACP5|54	766.4576
ACP6|51205	230.7826	ACP6|51205	248.3533
ACPL2|92370	693.3189	ACPL2|92370	494.2511
ACPP|55	19.097	ACPP|55	36.4813
ACRBP|84519	18.7733	ACRBP|84519	15.4344
lowly_expressed	lowly_expressed	ACRC|93953	12.2774
lowly_expressed	lowly_expressed	ACR|49	5.9633
lowly_expressed	lowly_expressed	ACSBG1|23205	7.3664
lowly_expressed	lowly_expressed	ACSBG2|81616	5.9633
ACSF2|80221	1061.9884	ACSF2|80221	938.3405
ACSF3|197322	159.8971	ACSF3|197322	471.4503
ACSL1|2180	1650.7592	ACSL1|2180	6234.4396
ACSL3|2181	4857.1163	ACSL3|2181	4317.4187
ACSL4|2182	363.4907	ACSL4|2182	1054.0984
ACSL5|51703	350.8673	ACSL5|51703	1141.7938
ACSM1|116285	17.1549	ACSM1|116285	27.7117
ACSM3|6296	26.6128	ACSM3|6296	264.4963
ACSM5|54988	6.7972	ACSM5|54988	123.8259
ACSS1|84532	2679.7325	ACSS1|84532	1296.8392
ACSS2|55902	1240.3352	ACSS2|55902	1851.074
ACSS3|79611	205.5357	ACSS3|79611	380.9487
lowly_expressed	lowly_expressed	ACTA1|58	10.8742
ACTA2|59	4438.7135	ACTA2|59	40555.6975
lowly_expressed	lowly_expressed	ACTBL2|345651	5.9633
ACTB|60	74267.334	ACTB|60	83659.2824
ACTG1|71	75919.0642	ACTG1|71	61103.3306
ACTG2|72	274.8029	ACTG2|72	8258.7996
ACTL6A|86	1376.6037	ACTL6A|86	1110.5742
ACTN1|87	3008.9133	ACTN1|87	9546.5184
ACTN4|81	7867.525	ACTN4|81	13258.2673
ACTR10|55860	1342.2938	ACTR10|55860	1196.8665
ACTR1A|10121	3686.6956	ACTR1A|10121	2197.2953
ACTR1B|10120	1247.4561	ACTR1B|10120	1731.1067
ACTR2|10097	9859.8878	ACTR2|10097	4531.3954
ACTR3B|57180	97.1035	ACTR3B|57180	528.6277
ACTR3C|653857	74.446	ACTR3C|653857	41.3922
ACTR3|10096	4755.1576	ACTR3|10096	2964.1037
ACTR5|79913	143.3895	ACTR5|79913	274.3111
ACTR6|64431	695.2609	ACTR6|64431	755.9341
ACTR8|93973	605.6021	ACTR8|93973	528.2769
ACVR1B|91	1331.2888	ACVR1B|91	1363.1369
ACVR1C|130399	21.6864	ACVR1C|130399	367.9698
ACVR1|90	1046.7756	ACVR1|90	1054.4492
ACVR2A|92	124.9398	ACVR2A|92	638.4223
ACVR2B|93	410.4241	ACVR2B|93	353.5877
ACVRL1|94	255.0585	ACVRL1|94	448.6495
ACY1|95	824.0849	ACY1|95	763.6513
ACY3|91703	5.8262	ACY3|91703	32.6227
ACYP1|97	33.0152	ACYP1|97	75.418
ACYP2|98	125.5872	ACYP2|98	135.7524
ADAL|161823	180.9362	ADAL|161823	206.2595
ADAM10|102	2409.7848	ADAM10|102	1800.5614
lowly_expressed	lowly_expressed	ADAM11|4185	17.1883
ADAM12|8038	402.9795	ADAM12|8038	170.8306
ADAM15|8751	7810.6806	ADAM15|8751	2642.437
ADAM17|6868	705.6187	ADAM17|6868	821.1795
ADAM19|8728	90.9536	ADAM19|8728	76.1196
ADAM21|8747	9.7103	lowly_expressed	lowly_expressed
ADAM22|53616	9.063	ADAM22|53616	38.9367
lowly_expressed	lowly_expressed	ADAM23|8745	37.5336
ADAM28|10863	40.4598	ADAM28|10863	98.5696
ADAM32|203102	7.1209	ADAM32|203102	36.1305
ADAM33|80332	11.3287	ADAM33|80332	239.9345
ADAM6|8755	941.9847	ADAM6|8755	76375.701
ADAM8|101	700.7635	ADAM8|101	78.5751
ADAM9|8754	390.6797	ADAM9|8754	1178.275
ADAMDEC1|27299	12.2998	ADAMDEC1|27299	37.1828
ADAMTS10|81794	19.097	ADAMTS10|81794	95.7633
ADAMTS12|81792	164.4286	ADAMTS12|81792	49.1094
ADAMTS13|11093	18.126	ADAMTS13|11093	57.5282
ADAMTS14|140766	16.8313	lowly_expressed	lowly_expressed
ADAMTS15|170689	3837.206	ADAMTS15|170689	246.2486
ADAMTS16|170690	18.126	ADAMTS16|170690	102.0774
ADAMTS17|170691	6.1499	ADAMTS17|170691	40.6907
lowly_expressed	lowly_expressed	ADAMTS18|170692	36.1305
ADAMTS19|171019	22.3338	ADAMTS19|171019	5.2617
ADAMTS1|9510	423.6949	ADAMTS1|9510	1974.549
ADAMTS2|9509	99.6929	ADAMTS2|9509	209.7673
ADAMTS3|9508	8.7393	ADAMTS3|9508	50.5125
ADAMTS4|9507	314.6153	ADAMTS4|9507	35.7797
ADAMTS5|11096	213.304	ADAMTS5|11096	2482.4807
ADAMTS6|11174	18.4497	ADAMTS6|11174	8.4188
ADAMTS7|11173	51.4648	ADAMTS7|11173	18.2406
ADAMTS8|11095	37.5467	ADAMTS8|11095	58.9313
ADAMTS9|56999	223.6617	ADAMTS9|56999	496.3558
ADAMTSL1|92949	25.5706	ADAMTSL1|92949	77.8735
ADAMTSL2|9719	175.7573	ADAMTSL2|9719	38.2352
ADAMTSL3|57188	235.3141	ADAMTSL3|57188	63.4915
ADAMTSL4|54507	83.1853	ADAMTSL4|54507	168.0243
ADAMTSL5|339366	116.2005	ADAMTSL5|339366	22.45
ADAP1|11033	215.8157	ADAP1|11033	125.436
ADAP2|55803	164.7522	ADAP2|55803	112.2501
ADARB1|104	213.6277	ADARB1|104	501.9683
lowly_expressed	lowly_expressed	ADARB2|105	9.4711
ADAR|103	10848.4012	ADAR|103	6179.0161
ADAT1|23536	336.3017	ADAT1|23536	340.9596
ADAT2|134637	32.3678	ADAT2|134637	115.7579
ADAT3|113179	12.9471	ADAT3|113179	19.293
ADA|100	52.7596	ADA|100	64.193
ADCK1|57143	154.3945	ADCK1|57143	204.8564
ADCK2|90956	1545.5638	ADCK2|90956	905.0163
ADCK4|79934	584.563	ADCK4|79934	674.9036
ADCK5|203054	72.1803	ADCK5|203054	103.4805
ADCY1|107	1652.3776	ADCY1|107	407.9589
ADCY2|108	11.0051	ADCY2|108	272.2064
ADCY3|109	386.8765	ADCY3|109	735.3853
ADCY4|196883	58.5858	ADCY4|196883	328.3315
ADCY5|111	15.8602	ADCY5|111	432.8644
ADCY6|112	2280.3135	ADCY6|112	2219.7453
ADCY7|113	107.4612	ADCY7|113	299.9182
ADCY9|115	1451.6971	ADCY9|115	722.6099
lowly_expressed	lowly_expressed	ADCYAP1R1|117	11.225
ADC|113451	55.349	ADC|113451	193.9822
ADD1|118	6617.2788	ADD1|118	6186.0317
ADD2|119	15.8602	ADD2|119	48.7586
ADD3|120	1495.07	ADD3|120	1797.0536
lowly_expressed	lowly_expressed	ADH1A|124	49.611
ADH1B|125	568.7027	ADH1B|125	8154.2667
ADH1C|126	10.6814	ADH1C|126	115.7579
ADH5|128	2353.7885	ADH5|128	3458.7056
ADHFE1|137872	27.8363	ADHFE1|137872	224.8509
ADI1|55256	928.9567	ADI1|55256	2205.0125
ADIPOQ|9370	573.8816	ADIPOQ|9370	7151.7332
ADIPOR1|51094	5640.094	ADIPOR1|51094	2399.6962
ADIPOR2|79602	5226.1095	ADIPOR2|79602	2356.9009
ADK|132	316.5574	ADK|132	401.6448
ADM2|79924	391.327	ADM2|79924	106.2868
ADM|133	129.795	ADM|133	261.683
ADNP2|22850	826.027	ADNP2|22850	788.9076
ADNP|23394	3736.8657	ADNP|23394	2759.2473
ADORA1|134	22.6575	ADORA1|134	901.1577
ADORA2A|135	71.5329	ADORA2A|135	62.4391
ADORA2B|136	7.4446	ADORA2B|136	87.6954
ADORA3|140	79.6249	ADORA3|140	68.0516
ADO|84890	687.169	ADO|84890	665.0817
ADPGK|83440	938.3433	ADPGK|83440	893.0897
ADPRHL1|113622	226.8985	ADPRHL1|113622	116.8102
ADPRHL2|54936	650.2697	ADPRHL2|54936	851.6975
ADPRH|141	260.561	ADPRH|141	397.4354
lowly_expressed	lowly_expressed	ADRA1A|148	10.8742
ADRA1B|147	59.2331	ADRA1B|147	8.7695
ADRA2A|150	84.1564	ADRA2A|150	791.3631
ADRA2B|151	25.2469	ADRA2B|151	43.8477
ADRA2C|152	5.1789	ADRA2C|152	48.0571
lowly_expressed	lowly_expressed	ADRB1|153	17.5391
ADRB2|154	44.3439	ADRB2|154	266.9447
ADRBK1|156	1096.9457	ADRBK1|156	1328.7603
ADRBK2|157	546.3689	ADRBK2|157	775.5779
ADRM1|11047	929.9277	ADRM1|11047	1093.3859
ADSL|158	903.7098	ADSL|158	1071.6375
ADSSL1|122622	90.6299	ADSSL1|122622	111.1977
ADSS|159	2964.893	ADSS|159	1262.8134
AEBP1|165	2577.1265	AEBP1|165	2655.0652
AEBP2|121536	483.2517	AEBP2|121536	954.1257
AEN|64782	247.6139	AEN|64782	710.3325
AES|166	5883.5001	AES|166	5935.9245
AFAP1L1|134265	174.4626	AFAP1L1|134265	223.4478
AFAP1L2|84632	1948.2196	AFAP1L2|84632	1118.6422
AFAP1|60312	1212.4891	AFAP1|60312	1331.9068
AFF1|4299	2688.7955	AFF1|4299	2018.7475
AFF2|2334	21.0391	AFF2|2334	28.7641
AFF3|3899	4476.1469	AFF3|3899	1650.4269
AFF4|27125	4623.4206	AFF4|27125	3066.8826
AFG3L1|172	53.0832	AFG3L1|172	273.6096
AFG3L2|10939	1422.757	AFG3L2|10939	1676.1778
AFMID|125061	928.3093	AFMID|125061	802.2373
lowly_expressed	lowly_expressed	AFP|174	284.4838
AFTPH|54812	2705.9504	AFTPH|54812	2074.5218
AG2|387763	93.543	AG2|387763	79.2766
AGAP11|119385	16.8313	AGAP11|119385	112.4009
AGAP1|116987	528.5666	AGAP1|116987	532.1355
AGAP2|116986	19.6376	AGAP2|116986	89.4107
AGAP3|116988	405.5689	AGAP3|116988	1493.6276
AGAP4|119016	30.4258	AGAP4|119016	195.7361
AGAP5|729092	16.582	AGAP5|729092	54.2133
AGAP6|414189	25.5706	AGAP6|414189	103.4805
AGAP7|653268	7.1209	AGAP7|653268	31.5703
lowly_expressed	lowly_expressed	AGAP8|728404	33.675
AGA|175	1242.6009	AGA|175	600.1871
AGBL2|79841	18.126	AGBL2|79841	10.1727
lowly_expressed	lowly_expressed	AGBL3|340351	5.6125
AGBL4|84871	13.5945	AGBL4|84871	7.0156
AGBL5|60509	760.9741	AGBL5|60509	933.8084
lowly_expressed	lowly_expressed	AGER|177	12.6281
AGFG1|3267	1733.2972	AGFG1|3267	1780.5669
AGFG2|3268	249.2323	AGFG2|3268	532.8371
AGGF1|55109	934.4592	AGGF1|55109	744.7091
AGK|55750	442.7919	AGK|55750	626.4958
AGL|178	1406.7058	AGL|178	1194.7618
AGMAT|79814	46.286	AGMAT|79814	17.8899
AGPAT1|10554	1440.5237	AGPAT1|10554	1604.664
AGPAT2|10555	785.8909	AGPAT2|10555	1724.4418
AGPAT3|56894	3070.4122	AGPAT3|56894	1493.9784
AGPAT4|56895	33.3389	AGPAT4|56895	219.2384
AGPAT5|55326	423.6949	AGPAT5|55326	662.6262
AGPAT6|137964	2064.4201	AGPAT6|137964	1548.7003
AGPAT9|84803	19.097	AGPAT9|84803	91.9048
AGPHD1|123688	25.8943	AGPHD1|123688	55.0727
AGPS|8540	5310.9132	AGPS|8540	879.76
AGR2|10551	2111.6771	AGR2|10551	1462.4081
AGR3|155465	3569.5241	AGR3|155465	246.2486
AGRN|375790	4242.1275	AGRN|375790	4401.2554
AGTPBP1|23287	364.4617	AGTPBP1|23287	349.3784
AGTR1|185	2471.2837	AGTR1|185	225.5525
AGTRAP|57085	1040.6257	AGTRAP|57085	632.1083
AGT|183	202.2989	AGT|183	17.8899
AGXT2L1|64850	93.543	lowly_expressed	lowly_expressed
AGXT2L2|85007	237.6867	AGXT2L2|85007	491.5571
AHCTF1|25909	1851.7634	AHCTF1|25909	1408.0369
AHCYL1|10768	7487.9733	AHCYL1|10768	3757.9222
AHCYL2|23382	522.7404	AHCYL2|23382	550.0254
AHCY|191	3423.2215	AHCY|191	4266.5554
AHDC1|27245	440.2025	AHDC1|27245	1201.7774
AHI1|54806	391.0034	AHI1|54806	336.7502
AHNAK2|113146	1873.4499	AHNAK2|113146	478.8167
AHNAK|79026	55254.4718	AHNAK|79026	56687.6931
AHRR|57491	12.6235	AHRR|57491	21.0469
AHR|196	717.9184	AHR|196	2483.1822
AHSA1|10598	1519.6695	AHSA1|10598	1881.592
AHSA2|130872	142.4184	AHSA2|130872	228.3588
AIDA|64853	2119.1767	AIDA|64853	859.1796
AIF1L|83543	385.5008	AIF1L|83543	2591.9245
AIF1|199	209.7435	AIF1|199	300.269
AIFM1|9131	1324.8152	AIFM1|9131	720.856
AIFM2|84883	401.3611	AIFM2|84883	866.7811
AIFM3|150209	12.3742	AIFM3|150209	14.382
AIG1|51390	1027.6785	AIG1|51390	969.2093
AIM1L|55057	11.9761	lowly_expressed	lowly_expressed
AIM1|202	3022.8315	AIM1|202	2253.0696
lowly_expressed	lowly_expressed	AIM2|9447	11.5758
AIMP1|9255	1134.1687	AIMP1|9255	1266.3212
AIMP2|7965	367.103	AIMP2|7965	287.3848
AIP|9049	493.2857	AIP|9049	951.3194
lowly_expressed	lowly_expressed	AJAP1|55966	5.6125
AK1|203	577.7657	AK1|203	550.0254
AK2|204	2165.084	AK2|204	2177.3008
AK3L1|205	465.773	AK3L1|205	440.2308
AK3|50808	1355.8883	AK3|50808	1564.8363
AK5|26289	1692.19	AK5|26289	1757.4153
AK7|122481	13.9182	AK7|122481	26.3086
AKAP10|11216	479.0439	AKAP10|11216	538.4496
AKAP11|11215	1731.0314	AKAP11|11215	1525.198
AKAP12|9590	319.7941	AKAP12|9590	932.728
AKAP13|11214	3341.0072	AKAP13|11214	3501.8517
AKAP1|8165	1703.8425	AKAP1|8165	3226.1374
AKAP2|11217	271.4496	AKAP2|11217	1323.7476
AKAP3|10566	12.2998	AKAP3|10566	36.1305
AKAP5|9495	600.7469	AKAP5|9495	92.9571
AKAP6|9472	47.5807	AKAP6|9472	344.8182
AKAP7|9465	84.8037	AKAP7|9465	221.6939
AKAP8L|26993	421.1054	AKAP8L|26993	917.2936
AKAP8|10270	327.8861	AKAP8|10270	784.3474
AKAP9|10142	3032.8655	AKAP9|10142	1833.8857
AKD1|221264	177.3757	AKD1|221264	181.0033
AKIRIN1|79647	1653.996	AKIRIN1|79647	1198.9712
AKIRIN2|55122	455.4153	AKIRIN2|55122	673.8513
lowly_expressed	lowly_expressed	AKNAD1|254268	5.6125
AKNA|80709	186.4387	AKNA|80709	606.5012
AKR1A1|10327	3980.2718	AKR1A1|10327	1969.9889
lowly_expressed	lowly_expressed	AKR1B10|57016	6.6648
AKR1B1|231	216.5408	AKR1B1|231	929.2202
AKR1C1|1645	144.3605	AKR1C1|1645	1161.7883
AKR1C2|1646	88.0405	AKR1C2|1646	1293.6822
AKR1C3|8644	293.2525	AKR1C3|8644	1042.8734
AKR1E2|83592	34.3099	AKR1E2|83592	38.9367
AKR7A2|8574	1716.7896	AKR7A2|8574	1426.6283
AKR7A3|22977	795.9249	AKR7A3|22977	382.0011
AKR7L|246181	22.0101	AKR7L|246181	31.9211
AKT1S1|84335	756.7598	AKT1S1|84335	738.7458
AKT1|207	4376.7777	AKT1|207	3257.357
AKT2|208	2094.5221	AKT2|208	2392.3298
AKT3|10000	263.7978	AKT3|10000	718.0497
AKTIP|64400	380.9175	AKTIP|64400	613.808
ALAD|210	1843.0241	ALAD|210	2516.1557
ALAS1|211	1163.2997	ALAS1|211	764.7037
ALB|213	35.6046	ALB|213	9484.4301
ALCAM|214	3832.9982	ALCAM|214	3634.7979
ALDH16A1|126133	387.1192	ALDH16A1|126133	413.2206
ALDH18A1|5832	3332.2679	ALDH18A1|5832	1746.5411
ALDH1A1|216	133.6791	ALDH1A1|216	1168.8039
ALDH1A2|8854	21.0391	ALDH1A2|8854	187.3173
ALDH1A3|220	551.2986	ALDH1A3|220	2128.0896
ALDH1B1|219	715.329	ALDH1B1|219	665.4325
ALDH1L1|10840	5.8262	ALDH1L1|10840	338.1534
ALDH1L2|160428	61.4989	ALDH1L2|160428	106.2868
ALDH2|217	3549.4559999999997	ALDH2|217	6326.3443
lowly_expressed	lowly_expressed	ALDH3A1|218	45.6016
ALDH3A2|224	1373.0433	ALDH3A2|224	2561.7573
ALDH3B1|221	57.2911	ALDH3B1|221	155.747
ALDH3B2|222	3444.5843	ALDH3B2|222	1820.2052
ALDH4A1|8659	1068.1383	ALDH4A1|8659	1482.0518
ALDH5A1|7915	559.6397	ALDH5A1|7915	594.5746
ALDH6A1|4329	806.3409	ALDH6A1|4329	644.105
ALDH7A1|501	2140.1608	ALDH7A1|501	2532.9932
ALDH9A1|223	4335.0232	ALDH9A1|223	4099.9341
ALDOA|226	31235.2777	ALDOA|226	18179.2511
ALDOC|230	59.8805	ALDOC|230	1440.3088
ALG10B|144245	408.8057	ALG10B|144245	300.9705
ALG10|84920	231.7536	ALG10|84920	98.2188
ALG11|440138	13.5945	ALG11|440138	6.6648
ALG12|79087	551.5478	ALG12|79087	539.8527
ALG13|79868	345.6884	ALG13|79868	486.1832
ALG14|199857	352.4856	ALG14|199857	173.6368
ALG1L|200810	6.8555	ALG1L|200810	15.3677
ALG1|56052	687.4732	ALG1|56052	471.2364
ALG2|85365	1238.7168	ALG2|85365	745.4107
ALG3|10195	617.9018	ALG3|10195	559.1457
ALG5|29880	1082.3802	ALG5|29880	640.8778
ALG6|29929	578.0894	ALG6|29929	365.5143
ALG8|79053	1442.3104	ALG8|79053	833.4568
ALG9|79796	787.5093	ALG9|79796	593.5223
ALKBH1|8846	246.6428	ALKBH1|8846	371.1268
ALKBH2|121642	173.4916	ALKBH2|121642	458.8222
ALKBH3|221120	149.2157	ALKBH3|221120	449.0003
ALKBH4|54784	168.5652	ALKBH4|54784	292.2255
ALKBH5|54890	1808.9861	ALKBH5|54890	1946.0972
ALKBH6|84964	61.4989	ALKBH6|84964	49.4602
ALKBH7|84266	379.9983	ALKBH7|84266	580.5434
ALKBH8|91801	288.3973	ALKBH8|91801	315.3526
ALMS1P|200420	10.3577	ALMS1P|200420	5.6125
ALMS1|7840	1273.9977	ALMS1|7840	634.9145
lowly_expressed	lowly_expressed	ALOX12B|242	7.7172
ALOX12P2|245	6.7972	ALOX12P2|245	23.8531
lowly_expressed	lowly_expressed	ALOX12|239	5.9633
lowly_expressed	lowly_expressed	ALOX15B|247	674.5528
lowly_expressed	lowly_expressed	ALOX15|246	36.1305
ALOX5AP|241	339.8622	ALOX5AP|241	237.8299
ALOX5|240	228.5169	ALOX5|240	487.5863
lowly_expressed	lowly_expressed	ALOXE3|59344	24.5547
ALPK1|80216	624.3754	ALPK1|80216	769.9654
lowly_expressed	lowly_expressed	ALPK2|115701	6.6648
ALPK3|57538	108.7559	ALPK3|57538	179.2493
ALPL|249	140.4764	ALPL|249	954.4765
ALS2CL|259173	83.8327	ALS2CL|259173	367.2682
ALS2CR4|65062	327.2387	ALS2CR4|65062	1479.9471
ALS2CR8|79800	99.3692	ALS2CR8|79800	196.0869
ALS2|57679	512.059	ALS2|57679	642.2809
ALX3|257	15.2129	ALX3|257	35.4289
