gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
C1orf170|84808	28.4837	C1orf170|84808	25.9578
C1orf172|126695	409.7767	C1orf172|126695	568.266
C1orf173|127254	11.0051	C1orf173|127254	53.6696
C1orf174|339448	318.8231	C1orf174|339448	351.8338
lowly_expressed	lowly_expressed	C1orf175|374977	33.675
C1orf182|128229	7.1209	lowly_expressed	lowly_expressed
C1orf183|55924	33.3389	C1orf183|55924	88.3969
C1orf190|541468	6.7357	C1orf190|541468	91.4838
C1orf192|257177	55.9963	C1orf192|257177	28.4133
C1orf198|84886	1106.3324	C1orf198|84886	2269.5563
C1orf201|90529	328.8571	C1orf201|90529	278.5205
C1orf203|84852	75.1063	C1orf203|84852	181.7259
C1orf204|284677	11.3805	C1orf204|284677	46.7241
C1orf210|149466	375.1431	C1orf210|149466	293.6041
C1orf212|113444	734.7497	C1orf212|113444	576.3340000000001
C1orf213|148898	20.0033	C1orf213|148898	44.3563
C1orf216|127703	608.8388	C1orf216|127703	339.9073
C1orf21|81563	5262.0378	C1orf21|81563	2219.3945
C1orf220|400798	6.1499	lowly_expressed	lowly_expressed
C1orf226|400793	419.8107	C1orf226|400793	1408.7385
C1orf228|339541	9.7103	C1orf228|339541	11.9266
C1orf229|388759	11.6524	C1orf229|388759	12.2774
C1orf25|81627	945.4643	C1orf25|81627	485.1308
C1orf26|54823	299.7261	C1orf26|54823	170.8306
C1orf27|54953	1187.2519	C1orf27|54953	673.5005
C1orf31|388753	288.721	C1orf31|388753	255.3689
C1orf35|79169	174.1389	C1orf35|79169	252.9135
C1orf38|9473	65.7067	C1orf38|9473	180.6525
C1orf43|25912	7215.7599	C1orf43|25912	3918.9309
C1orf50|79078	146.6263	C1orf50|79078	177.1447
C1orf51|148523	41.4308	C1orf51|148523	103.8313
C1orf52|148423	169.6074	C1orf52|148423	369.3729
C1orf53|388722	43.0492	C1orf53|388722	5.2617
C1orf54|79630	81.5669	C1orf54|79630	72.6118
C1orf55|163859	889.7916	C1orf55|163859	784.6982
C1orf56|54964	187.2123	C1orf56|54964	134.5142
C1orf57|84284	771.6489999999999	C1orf57|84284	584.4019999999999
C1orf58|148362	814.3195	C1orf58|148362	294.1864
C1orf59|113802	202.9463	C1orf59|113802	247.6517
lowly_expressed	lowly_expressed	C1orf61|10485	6.3141
C1orf63|57035	136.9159	C1orf63|57035	323.0698
C1orf64|149563	43.0492	C1orf64|149563	540.9051
C1orf66|51093	589.7418	C1orf66|51093	717.3482
C1orf69|200205	230.4589	C1orf69|200205	269.751
lowly_expressed	lowly_expressed	C1orf70|339453	7.0156
C1orf74|148304	141.7711	C1orf74|148304	93.6587
C1orf77|26097	1065.2252	C1orf77|26097	2199.0492
C1orf83|127428	269.9477	C1orf83|127428	211.1705
C1orf84|149469	15.6304	C1orf84|149469	10.5726
C1orf85|112770	851.5976	C1orf85|112770	717.3482
C1orf86|199990	267.8923	C1orf86|199990	255.6285
C1orf88|128344	504.2908	C1orf88|128344	351.1323
C1orf89|79363	67.6488	C1orf89|79363	66.2977
C1orf91|56063	157.3044	C1orf91|56063	145.5322
C1orf93|127281	2459.9743	C1orf93|127281	913.7402
lowly_expressed	lowly_expressed	C1orf95|375057	68.7532
C1orf96|126731	276.7449	C1orf96|126731	562.3027
C1orf97|84791	214.275	C1orf97|84791	94.711
C1orf9|51430	4086.1146	C1orf9|51430	1336.1267
C20orf103|24141	130.4423	C20orf103|24141	9.1203
C20orf108|116151	3375.3171	C20orf108|116151	4765.3666
C20orf111|51526	712.4159	C20orf111|51526	967.1046
C20orf112|140688	1046.4519	C20orf112|140688	793.4677
C20orf114|92747	77.6828	C20orf114|92747	34.0258
C20orf117|140710	618.2255	C20orf117|140710	347.6245
lowly_expressed	lowly_expressed	C20orf118|140711	17.048
C20orf11|54994	1808.7142	C20orf11|54994	2240.7922
C20orf12|55184	140.1527	C20orf12|55184	269.4002
C20orf132|140699	33.9862	C20orf132|140699	29.4692
C20orf134|170487	24.2759	C20orf134|170487	21.3977
C20orf135|140701	17.8023	C20orf135|140701	54.3711
C20orf151|140893	100.6639	C20orf151|140893	102.0774
C20orf160|140706	34.6336	C20orf160|140706	159.6056
lowly_expressed	lowly_expressed	C20orf165|128497	8.7695
C20orf177|63939	175.1391	C20orf177|63939	180.6665
C20orf194|25943	353.13300000000004	C20orf194|25943	646.1395
C20orf195|79025	6.1499	lowly_expressed	lowly_expressed
C20orf196|149840	52.7596	C20orf196|149840	104.1821
C20orf199|441951	952.5852	C20orf199|441951	2588.7675
lowly_expressed	lowly_expressed	C20orf203|284805	14.7328
C20orf20|55257	170.9021	C20orf20|55257	255.0181
C20orf24|55969	1099.2697	C20orf24|55969	873.0145
C20orf26|26074	21.0391	C20orf26|26074	11.225
C20orf27|54976	194.8543	C20orf27|54976	513.8949
C20orf29|55317	178.6704	C20orf29|55317	213.6259
C20orf30|29058	3090.8039	C20orf30|29058	2704.5253
C20orf3|57136	11705.1776	C20orf3|57136	3202.6351
C20orf43|51507	1750.1285	C20orf43|51507	2428.4603
C20orf46|55321	6.7972	C20orf46|55321	14.0313
C20orf4|25980	1038.0362	C20orf4|25980	1363.4877
C20orf54|113278	479.6912	C20orf54|113278	284.8346
C20orf72|92667	296.1656	C20orf72|92667	741.2013
C20orf7|79133	112.3164	C20orf7|79133	166.972
C20orf94|128710	59.5568	C20orf94|128710	22.45
C20orf96|140680	515.6195	C20orf96|140680	398.13699999999994
C21orf119|84996	59.8805	C21orf119|84996	114.00399999999999
C21orf122|728039	15.8602	C21orf122|728039	44.5493
C21orf15|54094	39.1651	C21orf15|54094	41.3922
C21orf2|755	192.5886	C21orf2|755	405.1526
C21orf33|8209	1563.3661	C21orf33|8209	2206.0648
C21orf34|388815	16.8313	C21orf34|388815	96.8157
C21orf45|54069	190.6465	C21orf45|54069	193.6314
lowly_expressed	lowly_expressed	C21orf49|54067	9.1203
C21orf56|84221	95.8088	C21orf56|84221	171.8829
C21orf57|54059	198.4148	C21orf57|54059	310.0908
C21orf58|54058	37.223	C21orf58|54058	40.6907
C21orf59|56683	799.3009	C21orf59|56683	690.0012
C21orf63|59271	393.2691	C21orf63|59271	875.9014
C21orf67|84536	67.9724	C21orf67|84536	75.0672
C21orf70|85395	55.0253	C21orf70|85395	149.4329
C21orf7|56911	183.5256	C21orf7|56911	71.9102
lowly_expressed	lowly_expressed	C21orf82|114036	9.4711
lowly_expressed	lowly_expressed	C21orf88|114041	139.2603
C21orf91|54149	343.7463	C21orf91|54149	513.8949
C22orf13|83606	2842.643	C22orf13|83606	1933.2375
C22orf23|84645	21.0391	C22orf23|84645	98.2188
C22orf25|128989	457.0337	C22orf25|128989	378.1425
C22orf26|55267	7.4446	C22orf26|55267	9.1203
C22orf27|150291	91.9246	C22orf27|150291	113.3024
C22orf28|51493	2379.359	C22orf28|51493	2257.6297
C22orf29|79680	696.2838	C22orf29|79680	830.6751
C22orf30|253143	1433.5711	C22orf30|253143	946.4085
C22orf32|91689	878.4629	C22orf32|91689	939.7436
C22orf36|388886	116.2005	C22orf36|388886	294.6565
C22orf39|128977	412.6898	C22orf39|128977	747.8662
C22orf40|150383	83.509	C22orf40|150383	199.5947
C22orf41|644186	26.8653	lowly_expressed	lowly_expressed
C22orf46|79640	393.2691	C22orf46|79640	520.5597
C22orf9|23313	1740.7418	C22orf9|23313	1935.2615
C2CD2L|9854	392.8807	C2CD2L|9854	300.5671
C2CD2|25966	527.2719	C2CD2|25966	983.2405
C2CD3|26005	787.8329	C2CD3|26005	725.7669
C2CD4A|145741	42.7255	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C2CD4B|388125	8.7695
lowly_expressed	lowly_expressed	C2CD4C|126567	18.5914
C2CD4D|100191040	10.033999999999999	C2CD4D|100191040	11.225
C2orf14|100132708	13.5945	lowly_expressed	lowly_expressed
C2orf15|150590	183.4544	C2orf15|150590	99.2606
C2orf16|84226	85.1274	C2orf16|84226	47.0047
C2orf18|54978	1907.7598	C2orf18|54978	955.5288
C2orf24|27013	1911.9676	C2orf24|27013	1455.0417
lowly_expressed	lowly_expressed	C2orf27A|29798	24.5547
C2orf28|51374	2511.9668	C2orf28|51374	1987.4789
C2orf29|55571	1407.0295	C2orf29|55571	802.9388
C2orf34|79823	128.1766	C2orf34|79823	91.2032
C2orf3|6936	320.4415	C2orf3|6936	479.5183
C2orf40|84417	25.5706	C2orf40|84417	902.21
C2orf42|54980	185.7913	C2orf42|54980	244.1439
C2orf43|60526	275.4502	C2orf43|60526	255.0181
C2orf44|80304	237.2562	C2orf44|80304	308.6877
C2orf47|79568	360.9013	C2orf47|79568	300.269
C2orf49|79074	127.8529	C2orf49|79074	84.1876
C2orf50|130813	7.7683	C2orf50|130813	11.225
C2orf54|79919	65.383	C2orf54|79919	14.0313
C2orf55|343990	880.0812	C2orf55|343990	398.13699999999994
C2orf56|55471	186.115	C2orf56|55471	215.0291
lowly_expressed	lowly_expressed	C2orf58|285154	8.7695
C2orf60|129450	187.7334	C2orf60|129450	251.8611
C2orf63|130162	40.7835	C2orf63|130162	91.554
C2orf64|493753	424.3422	C2orf64|493753	557.0409999999999
C2orf65|130951	237.9035	C2orf65|130951	26.3086
C2orf67|151050	185.5065	C2orf67|151050	471.0715
C2orf68|388969	672.9271	C2orf68|388969	743.306
C2orf69|205327	762.586	C2orf69|205327	398.4878
lowly_expressed	lowly_expressed	C2orf70|339778	5.6125
lowly_expressed	lowly_expressed	C2orf71|388939	10.5234
C2orf72|257407	19.097	C2orf72|257407	603.3442
C2orf73|129852	18.4497	C2orf73|129852	15.7852
C2orf74|339804	202.9463	C2orf74|339804	478.1152
C2orf76|130355	111.3453	C2orf76|130355	66.6485
C2orf77|129881	167.6653	C2orf77|129881	150.1345
C2orf79|391356	362.19599999999997	C2orf79|391356	409.0112
C2orf7|84279	405.8926	C2orf7|84279	279.9236
C2orf81|388963	49.8011	C2orf81|388963	98.2048
lowly_expressed	lowly_expressed	C2orf82|389084	51.5649
lowly_expressed	lowly_expressed	C2orf84|653140	10.1727
C2orf86|51057	91.2773	C2orf86|51057	138.9095
C2orf88|84281	14.2418	C2orf88|84281	1007.4445
lowly_expressed	lowly_expressed	C2orf89|129293	37.1828
C2|717	238.5962	C2|717	147.2475
C3AR1|719	184.4966	C3AR1|719	191.5267
C3orf10|55845	4849.9953	C3orf10|55845	3302.6078
C3orf14|57415	869.7235	C3orf14|57415	414.6237
C3orf15|89876	88.3642	C3orf15|89876	254.3166
C3orf17|25871	783.3014	C3orf17|25871	1102.857
C3orf18|51161	313.9679	C3orf18|51161	280.2744
C3orf19|51244	297.1367	C3orf19|51244	578.4387
C3orf1|51300	1019.5866	C3orf1|51300	1060.4125
C3orf21|152002	256.6769	C3orf21|152002	205.2072
C3orf23|285343	525.6535	C3orf23|285343	455.3144
C3orf26|84319	286.1316	C3orf26|84319	394.6292
C3orf31|132001	145.9789	C3orf31|132001	201.3486
C3orf32|51066	5.8262	C3orf32|51066	9.4711
C3orf33|285315	132.0607	C3orf33|285315	178.197
C3orf34|84984	65.7067	C3orf34|84984	44.9
lowly_expressed	lowly_expressed	C3orf35|339883	11.225
C3orf36|80111	32.6915	lowly_expressed	lowly_expressed
C3orf37|56941	856.1291	C3orf37|56941	1102.857
C3orf38|285237	650.5901	C3orf38|285237	365.8511
C3orf39|84892	501.05400000000003	C3orf39|84892	650.6997
lowly_expressed	lowly_expressed	C3orf42|84657	17.8899
C3orf47|339942	6.7972	C3orf47|339942	34.7274
C3orf52|79669	333.065	C3orf52|79669	166.2704
C3orf54|389119	18.4497	C3orf54|389119	51.2141
C3orf55|152078	8.4156	C3orf55|152078	75.418
lowly_expressed	lowly_expressed	C3orf57|165679	194.3329
C3orf58|205428	113.6111	C3orf58|205428	933.7803
C3orf59|151963	52.4359	C3orf59|151963	348.6768
C3orf62|375341	100.3403	C3orf62|375341	114.7055
C3orf63|23272	2474.1094	C3orf63|23272	1723.2106
C3orf64|285203	269.624	C3orf64|285203	1057.9569999999999
C3orf67|200844	32.6915	C3orf67|200844	15.4344
C3orf70|285382	70.5619	C3orf70|285382	105.2344
C3orf71|646450	13.9441	C3orf71|646450	56.4758
C3orf75|54859	578.4131	C3orf75|54859	478.466
C3|718	4121.0719	C3|718	8594.1467
C4A|720	66432.7951	C4A|720	9551.938
C4BPA|722	24.2759	C4BPA|722	73.3133
C4orf10|317648	295.8937	C4orf10|317648	336.8555
C4orf12|404201	13.9182	C4orf12|404201	39.6383
C4orf14|84273	567.408	C4orf14|84273	862.5717
C4orf19|55286	5.6061	C4orf19|55286	237.7667
C4orf21|55345	40.7835	C4orf21|55345	63.4915
C4orf23|152992	234.9904	C4orf23|152992	499.8636
C4orf27|54969	382.5877	C4orf27|54969	403.7495
C4orf29|80167	136.5922	C4orf29|80167	87.6954
C4orf31|79625	232.0773	C4orf31|79625	77.8735
C4orf32|132720	1776.6701	C4orf32|132720	922.9061
C4orf33|132321	288.0737	C4orf33|132321	172.5845
C4orf34|201895	2946.4434	C4orf34|201895	841.8756
C4orf36|132989	18.125999999999998	C4orf36|132989	19.6438
lowly_expressed	lowly_expressed	C4orf38|152641	15.0836
lowly_expressed	lowly_expressed	C4orf39|152756	45.9524
C4orf3|401152	3360.1042	C4orf3|401152	3503.6056
C4orf41|60684	1175.5995	C4orf41|60684	1081.8101
C4orf42|92070	366.7275	C4orf42|92070	364.462
C4orf43|55319	242.1114	C4orf43|55319	424.4456
C4orf46|201725	157.955	C4orf46|201725	150.1345
C4orf47|441054	15.8602	C4orf47|441054	11.9266
C4orf48|401115	19.4207	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C4orf49|84709	40.3399
C4orf52|389203	204.5647	C4orf52|389203	467.241
C4orf7|260436	46.6097	C4orf7|260436	586.5067
C5AR1|728	71.2092	C5AR1|728	73.6641
C5orf13|9315	608.5152	C5orf13|9315	538.4496
C5orf15|56951	2511.0961	C5orf15|56951	1892.817
lowly_expressed	lowly_expressed	C5orf20|140947	9.8219
C5orf22|55322	705.9423	C5orf22|55322	523.7168
C5orf23|79614	48.5517	C5orf23|79614	405.8542
C5orf24|134553	1647.5224	C5orf24|134553	1271.5829
C5orf25|375484	145.9789	C5orf25|375484	191.8775
lowly_expressed	lowly_expressed	C5orf27|202299	47.0047
C5orf28|64417	413.9845	C5orf28|64417	444.0894
C5orf30|90355	978.8031	C5orf30|90355	457.4191
C5orf32|84418	1087.8827	C5orf32|84418	760.8451
C5orf33|133686	811.1378	C5orf33|133686	989.5546
C5orf34|375444	32.3678	C5orf34|375444	50.8633
C5orf35|133383	230.1353	C5orf35|133383	166.6212
C5orf36|285600	183.2019	C5orf36|285600	88.3969
C5orf38|153571	1147.1158	C5orf38|153571	73.6641
C5orf39|389289	16.1839	C5orf39|389289	37.1828
C5orf41|153222	375.1431	C5orf41|153222	557.0409999999999
C5orf42|65250	1008.5815	C5orf42|65250	435.6706
C5orf43|643155	1508.9881	C5orf43|643155	1267.0228
C5orf44|80006	616.9243	C5orf44|80006	469.279
C5orf45|51149	111.42299999999999	C5orf45|51149	260.6131
C5orf46|389336	8.092	C5orf46|389336	26.3086
C5orf49|134121	19.097	C5orf49|134121	41.0414
C5orf4|10826	632.4674	C5orf4|10826	1636.7465
C5orf51|285636	1054.2202	C5orf51|285636	880.8123
C5orf53|492311	199.7095	C5orf53|492311	313.5987
C5orf54|63920	131.0897	C5orf54|63920	159.9564
C5orf55|116349	43.3729	C5orf55|116349	72.6118
C5orf56|441108	30.4452	C5orf56|441108	75.4285
C5orf62|85027	183.5256	C5orf62|85027	802.2373
C5|727	147.5973	C5|727	443.3878
lowly_expressed	lowly_expressed	C6orf105|84830	68.7532
C6orf106|64771	3092.7459999999996	C6orf106|64771	3282.9640000000004
C6orf108|10591	145.6552	C6orf108|10591	309.3893
C6orf114|85411	16.8313	C6orf114|85411	10.1727
C6orf115|58527	1131.5793	C6orf115|58527	357.0956
C6orf120|387263	1333.3862	C6orf120|387263	948.5588
C6orf122|401288	8.092	C6orf122|401288	10.9374
lowly_expressed	lowly_expressed	C6orf123|26238	14.7328
C6orf124|653483	9.062999999999999	C6orf124|653483	41.0414
C6orf125|84300	887.678	C6orf125|84300	437.7753
C6orf126|389383	13.2708	lowly_expressed	lowly_expressed
C6orf129|154467	492.3147	C6orf129|154467	142.7681
C6orf130|221443	483.5754	C6orf130|221443	696.2872
C6orf132|647024	347.9542	C6orf132|647024	281.6775
C6orf134|79969	140.8001	C6orf134|79969	248.0025
C6orf136|221545	163.7812	C6orf136|221545	192.9298
lowly_expressed	lowly_expressed	C6orf138|442213	52.6172
C6orf141|135398	22.6575	C6orf141|135398	57.8789
lowly_expressed	lowly_expressed	C6orf142|90523	5.9633
C6orf145|221749	170.2548	C6orf145|221749	1232.6462
C6orf150|115004	45.315	C6orf150|115004	32.2719
C6orf153|88745	736.6918	C6orf153|88745	543.0098
C6orf154|221424	19.4207	C6orf154|221424	22.0992
C6orf155|79940	68.9435	C6orf155|79940	109.09299999999999
lowly_expressed	lowly_expressed	C6orf15|29113	30.1672
C6orf162|57150	102.48299999999999	C6orf162|57150	220.8906
lowly_expressed	lowly_expressed	C6orf163|206412	6.6648
lowly_expressed	lowly_expressed	C6orf164|63914	13.0806
C6orf165|154313	77.7087	C6orf165|154313	22.5973
C6orf167|253714	216.8644	C6orf167|253714	269.0494
C6orf168|84553	113.6111	C6orf168|84553	231.5158
C6orf170|221322	164.1049	C6orf170|221322	128.7368
C6orf174|387104	5.5414	C6orf174|387104	106.3499
C6orf182|285753	153.7472	C6orf182|285753	97.5173
C6orf192|116843	304.2576	C6orf192|116843	492.4972
C6orf1|221491	455.73900000000003	C6orf1|221491	332.1901
lowly_expressed	lowly_expressed	C6orf201|404220	7.3734
C6orf203|51250	301.0208	C6orf203|51250	216.783
C6orf204|387119	5.5025	C6orf204|387119	31.2196
C6orf211|79624	3607.3944	C6orf211|79624	1143.8985
C6orf217|100131814	13.5945	C6orf217|100131814	14.0313
C6orf223|221416	12.3192	lowly_expressed	lowly_expressed
C6orf225|619208	152.4525	C6orf225|619208	208.715
C6orf226|441150	50.1701	C6orf226|441150	45.2508
lowly_expressed	lowly_expressed	C6orf26|401251	25.0458
C6orf27|80737	24.9232	C6orf27|80737	35.7797
C6orf35|729515	432.4342	C6orf35|729515	554.5855
lowly_expressed	lowly_expressed	C6orf41|100133205	8.4188
C6orf47|57827	603.66	C6orf47|57827	706.4739
C6orf48|50854	731.5129	C6orf48|50854	1807.5771
C6orf52|347744	25.8943	C6orf52|347744	20.3453
C6orf57|135154	64.7357	C6orf57|135154	107.6899
C6orf62|81688	3524.6008	C6orf62|81688	2735.2222
C6orf64|55776	933.8118	C6orf64|55776	772.0701
C6orf70|55780	569.3501	C6orf70|55780	388.3151
C6orf72|116254	964.2376	C6orf72|116254	824.6873
C6orf89|221477	3291.8081	C6orf89|221477	3078.4584
C6orf97|80129	1001.1369	C6orf97|80129	233.9713
C6|729	14.5655	C6|729	31.5703
C7orf10|79783	28.16	C7orf10|79783	61.036
C7orf11|136647	264.4452	C7orf11|136647	371.1268
C7orf13|129790	80.2722	C7orf13|129790	112.6009
C7orf23|79161	168.5975	C7orf23|79161	324.0695
C7orf25|79020	370.6084	C7orf25|79020	308.3685
C7orf26|79034	453.1496	C7orf26|79034	631.7575
C7orf27|221927	595.8917	C7orf27|221927	806.4467
C7orf28A|51622	819.8771	C7orf28A|51622	631.0559
C7orf28B|221960	849.6555	C7orf28B|221960	573.8785
C7orf29|113763	117.4952	C7orf29|113763	182.4064
C7orf30|115416	214.9224	C7orf30|115416	250.1072
C7orf31|136895	13.5945	C7orf31|136895	155.747
C7orf36|57002	189.6755	C7orf36|57002	216.4322
C7orf40|285958	64.7357	C7orf40|285958	443.7386
C7orf41|222166	961.9718	C7orf41|222166	3035.6631
C7orf42|55069	3261.3823	C7orf42|55069	3210.3523
C7orf43|55262	197.7674	C7orf43|55262	269.4002
C7orf44|55744	735.7207	C7orf44|55744	709.6310000000001
C7orf46|340277	56.6437	C7orf46|340277	143.1189
C7orf47|221908	104.5481	C7orf47|221908	126.6321
C7orf49|78996	440.3837	C7orf49|78996	579.8804
C7orf50|84310	498.4646	C7orf50|84310	743.6568
lowly_expressed	lowly_expressed	C7orf51|222950	18.2406
lowly_expressed	lowly_expressed	C7orf53|286006	10.8742
C7orf55|154791	179.9651	C7orf55|154791	248.7041
C7orf58|79974	139.5053	C7orf58|79974	412.1683
C7orf59|389541	946.7589999999999	C7orf59|389541	1140.3906
C7orf60|154743	191.2939	C7orf60|154743	438.8277
lowly_expressed	lowly_expressed	C7orf61|402573	9.4711
C7orf63|79846	208.1251	C7orf63|79846	159.6056
C7orf64|84060	155.3656	C7orf64|84060	299.2166
C7orf68|29923	495.5514	C7orf68|29923	256.7721
C7orf70|84792	479.6912	C7orf70|84792	503.0207
C7|730	134.9738	C7|730	724.013
C8orf30A|51236	494.9041	C8orf30A|51236	505.8269
C8orf33|65265	933.8118	C8orf33|65265	1342.7916
C8orf34|116328	1306.6892	C8orf34|116328	22.8008
C8orf37|157657	81.2432	C8orf37|157657	79.9782
C8orf38|137682	405.5689	C8orf38|137682	244.4947
lowly_expressed	lowly_expressed	C8orf39|55472	6.6648
C8orf40|114926	614.0177	C8orf40|114926	605.7996
C8orf41|80185	293.7186	C8orf41|80185	305.4605
C8orf42|157695	52.4359	C8orf42|157695	532.1355
C8orf44|56260	19.2135	C8orf44|56260	29.1394
C8orf45|157777	27.189	C8orf45|157777	55.7743
lowly_expressed	lowly_expressed	C8orf46|254778	32.9735
lowly_expressed	lowly_expressed	C8orf47|203111	52.2664
C8orf48|157773	5.8262	C8orf48|157773	21.0469
C8orf4|56892	1182.0731	C8orf4|56892	1423.1205
C8orf51|78998	110.698	C8orf51|78998	46.3032
C8orf55|51337	679.4007	C8orf55|51337	942.5499
C8orf58|541565	138.5343	C8orf58|541565	253.615
C8orf59|401466	687.0848	C8orf59|401466	544.4409
C8orf73|642475	97.4272	C8orf73|642475	48.0571
C8orf76|84933	394.5638	C8orf76|84933	249.0549
C8orf79|57604	57.6147	C8orf79|57604	419.1839
lowly_expressed	lowly_expressed	C8orf80|389643	13.3297
C8orf83|286144	552.8425	C8orf83|286144	642.2809
C8orf84|157869	3497.6675	C8orf84|157869	323.0698
C8orf85|441376	543.1322	C8orf85|441376	537.0465
C9orf100|84904	63.5316	C9orf100|84904	44.2862
C9orf102|375748	76.7344	C9orf102|375748	122.3
C9orf103|414328	114.9058	C9orf103|414328	106.2868
C9orf109|286333	31.7205	C9orf109|286333	19.6438
C9orf110|100128385	174.1389	C9orf110|100128385	123.1243
C9orf114|51490	396.4282	C9orf114|51490	579.3367
C9orf116|138162	316.881	C9orf116|138162	45.9524
C9orf117|286207	28.4837	C9orf117|286207	8.7695
C9orf119|375757	220.4249	C9orf119|375757	382.3518
C9orf122|158228	64.41199999999999	C9orf122|158228	44.5493
C9orf123|90871	561.5818	C9orf123|90871	868.8858
C9orf125|84302	17.1549	C9orf125|84302	91.2032
lowly_expressed	lowly_expressed	C9orf128|392307	8.7695
C9orf129|445577	129.1379	C9orf129|445577	76.765
C9orf130|100128782	49.8303	C9orf130|100128782	211.3108
C9orf140|89958	237.2562	C9orf140|89958	239.233
C9orf142|286257	202.6226	C9orf142|286257	238.8822
C9orf150|286343	370.288	C9orf150|286343	1203.1805
C9orf152|401546	1329.6704	C9orf152|401546	756.2849
C9orf156|51531	223.338	C9orf156|51531	316.4049
C9orf163|158055	7.7683	lowly_expressed	lowly_expressed
C9orf167|54863	54.0543	C9orf167|54863	47.7063
C9orf169|375791	15.3488	lowly_expressed	lowly_expressed
C9orf16|79095	447.6471	C9orf16|79095	531.0832
C9orf172|389813	44.3439	lowly_expressed	lowly_expressed
C9orf21|195827	223.6617	C9orf21|195827	194.6837
C9orf23|138716	268.0056	C9orf23|138716	494.6019
C9orf25|203259	346.9831	C9orf25|203259	364.1112
C9orf30|91283	131.9636	C9orf30|91283	173.7175
C9orf37|85026	63.1173	C9orf37|85026	127.3337
C9orf3|84909	87.8495	C9orf3|84909	493.2479
C9orf40|55071	55.6727	C9orf40|55071	142.0665
C9orf41|138199	206.1831	C9orf41|138199	160.6579
C9orf43|257169	9.3867	lowly_expressed	lowly_expressed
C9orf45|81571	63.7646	C9orf45|81571	197.1392
C9orf46|55848	736.6918	C9orf46|55848	406.5558
lowly_expressed	lowly_expressed	C9orf47|286223	29.8585
C9orf5|23731	2613.0548	C9orf5|23731	2936.0411
C9orf64|84267	895.2941	C9orf64|84267	383.755
C9orf66|157983	26.5416	C9orf66|157983	42.0938
C9orf68|55064	25.8943	C9orf68|55064	75.418
C9orf69|90120	604.9547	C9orf69|90120	789.9599
C9orf6|54942	563.8476	C9orf6|54942	450.0527
C9orf72|203228	160.5444	C9orf72|203228	277.8189
C9orf78|51759	1135.1397	C9orf78|51759	1566.5902
C9orf7|11094	1064.2542	C9orf7|11094	629.6528
C9orf80|58493	329.8282	C9orf80|58493	307.9862
C9orf82|79886	605.9257	C9orf82|79886	524.7691
C9orf85|138241	84.8037	C9orf85|138241	210.4689
C9orf86|55684	1602.2075	C9orf86|55684	1331.5666
C9orf89|84270	572.5869	C9orf89|84270	220.9923
C9orf91|203197	1557.8636	C9orf91|203197	727.5208
C9orf93|203238	77.6828	C9orf93|203238	103.8313
C9orf95|54981	653.5064	C9orf95|54981	502.3191
C9orf96|169436	7.4446	C9orf96|169436	15.4344
C9orf98|158067	176.4047	C9orf98|158067	67.7008
C9orf9|11092	259.9137	C9orf9|11092	196.0869
CA11|770	209.4198	CA11|770	342.7135
CA12|771	12979.1753	CA12|771	2995.3232
CA13|377677	163.4575	CA13|377677	143.9607
CA14|23632	9.062999999999999	CA14|23632	23.8531
CA2|760	403.3031	CA2|760	681.9192
CA3|761	6.4736	CA3|761	66.1574
lowly_expressed	lowly_expressed	CA4|762	193.6314
CA5BP|340591	140.4764	CA5BP|340591	183.4587
CA5B|11238	97.6214	CA5B|11238	403.3356
lowly_expressed	lowly_expressed	CA6|765	209.7673
CA8|767	661.9221	CA8|767	547.2191
CA9|768	51.8953	lowly_expressed	lowly_expressed
CAB39L|81617	1456.8759	CAB39L|81617	2396.1884
CAB39|51719	2101.6431	CAB39|51719	2147.1335
CABC1|56997	445.3684	CABC1|56997	2156.6152
CABIN1|23523	1941.746	CABIN1|23523	1317.8861
CABLES1|91768	844.153	CABLES1|91768	949.2147
CABLES2|81928	203.5936	CABLES2|81928	179.2493
lowly_expressed	lowly_expressed	CABP1|9478	19.9945
CABP4|57010	16.0221	CABP4|57010	20.6961
CABYR|26256	173.1679	CABYR|26256	124.5274
CACHD1|57685	256.3532	CACHD1|57685	1238.2587
CACNA1A|773	15.5366	CACNA1A|773	12.9789
CACNA1C|775	638.6172	CACNA1C|775	478.1152
CACNA1D|776	536.3349	CACNA1D|776	230.8142
CACNA1F|778	12.2998	CACNA1F|778	12.2774
lowly_expressed	lowly_expressed	CACNA1G|8913	17.1883
CACNA1H|8912	80.9196	CACNA1H|8912	39.6383
lowly_expressed	lowly_expressed	CACNA1I|8911	15.4344
CACNA2D1|781	30.4258	CACNA2D1|781	116.4595
CACNA2D2|9254	791.7171	CACNA2D2|9254	289.3947
lowly_expressed	lowly_expressed	CACNA2D3|55799	9.4711
CACNA2D4|93589	49.1991	CACNA2D4|93589	47.0047
CACNB1|782	22.6575	CACNB1|782	106.6376
CACNB2|783	17.1549	CACNB2|783	16.4867
CACNB3|784	961.3245	CACNB3|784	411.4667
CACNB4|785	16.1839	CACNB4|785	138.5587
lowly_expressed	lowly_expressed	CACNG1|786	5.2617
CACNG4|27092	136.2686	CACNG4|27092	595.9778
