gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
ACAD9|28976	829.0199	ACAD9|28976	936.5359
ACADL|33	11.0194	ACADL|33	150.7272
ACADM|34	1152.6255	ACADM|34	1157.7788
ACADSB|36	1672.3722	ACADSB|36	2940.9431
ACADS|35	315.8885	ACADS|35	844.8656
ACADVL|37	4967.7867	ACADVL|37	5704.6673
ACAN|176	23.8753	ACAN|176	7.4923
ACAP1|9744	64.6469	ACAP1|9744	69.6342
ACAP2|23527	1364.932	ACAP2|23527	1525.7823
ACAP3|116983	507.2911	ACAP3|116983	390.0397
ACAT1|38	950.9712	ACAT1|38	1354.3411
ACAT2|39	634.7338	ACAT2|39	318.0961
ACBD3|64746	2484.1321	ACBD3|64746	1382.9881
ACBD4|79777	179.983	ACBD4|79777	279.4182
ACBD5|91452	908.363	ACBD5|91452	806.5227
ACBD6|84320	338.2945	ACBD6|84320	303.658
ACBD7|414149	37.0985	ACBD7|414149	39.6651
ACCN1|40	17.631	ACCN1|40	6.1701
ACCN2|41	38.5678	ACCN2|41	75.8043
ACCN3|9311	22.0387	ACCN3|9311	11.0181
ACCS|84680	173.3713	ACCS|84680	251.212
ACD|65057	167.127	ACD|65057	332.7457
lowly_expressed	lowly_expressed	ACE2|59272	18.0696
ACER2|340485	219.6527	ACER2|340485	216.8356
ACER3|55331	427.5514	ACER3|55331	720.141
ACE|1636	350.7831	ACE|1636	657.1177
ACHE|43	6.9789	ACHE|43	30.8506
ACIN1|22985	3241.8971	ACIN1|22985	3398.4134
ACLY|47	4347.5067	ACLY|47	3356.9855
ACMSD|130013	6.6116	lowly_expressed	lowly_expressed
ACN9|57001	150.2307	ACN9|57001	100.4848
ACO1|48	1168.0527	ACO1|48	3045.8352
ACO2|50	2155.0461	ACO2|50	2549.9207
ACOT11|26027	34.6082	ACOT11|26027	31.3486
ACOT13|55856	441.6414	ACOT13|55856	497.5672
ACOT1|641371	527.4603	ACOT1|641371	788.0123
ACOT2|10965	382.7393	ACOT2|10965	499.3389
ACOT4|122970	292.0132	ACOT4|122970	99.6033
ACOT7|11332	509.8293	ACOT7|11332	264.4337
ACOT8|10005	219.4029	ACOT8|10005	205.2314
ACOT9|23597	307.8076	ACOT9|23597	430.1454
ACOX1|51	1657.8744	ACOX1|51	2798.6999
ACOX2|8309	120.1111	ACOX2|8309	312.0317
ACOX3|8310	879.7126	ACOX3|8310	623.182
ACP1|52	1292.2042	ACP1|52	949.3169
ACP2|53	1325.9969	ACP2|53	756.721
ACP5|54	551.7029	ACP5|54	614.8083
ACP6|51205	217.0815	ACP6|51205	223.0057
ACPL2|92370	531.5007	ACPL2|92370	420.0088
ACPP|55	19.8349	ACPP|55	29.0877
ACRBP|84519	38.2005	ACRBP|84519	26.0026
ACRC|93953	13.5905	ACRC|93953	36.1393
lowly_expressed	lowly_expressed	ACR|49	10.1366
lowly_expressed	lowly_expressed	ACSBG1|23205	10.1366
lowly_expressed	lowly_expressed	ACSBG2|81616	5.2887
ACSF2|80221	583.659	ACSF2|80221	878.3605
ACSF3|197322	207.5314	ACSF3|197322	346.8488
ACSL1|2180	2140.6952	ACSL1|2180	10664.61
ACSL3|2181	3889.1011	ACSL3|2181	2529.7488
ACSL4|2182	893.6705	ACSL4|2182	1636.8444
ACSL5|51703	675.1197	ACSL5|51703	837.814
ACSL6|23305	21.3041	ACSL6|23305	12.3402
ACSM1|116285	18.7329	ACSM1|116285	26.8841
ACSM3|6296	48.5109	ACSM3|6296	94.015
ACSM5|54988	27.5484	ACSM5|54988	193.4773
ACSS1|84532	454.7324	ACSS1|84532	773.4685
ACSS2|55902	819.8407	ACSS2|55902	2495.3724
ACSS3|79611	867.5913	ACSS3|79611	603.3495
ACTA1|58	28.283	ACTA1|58	61.7012
ACTA2|59	14985.1936	ACTA2|59	20993.1071
ACTBL2|345651	5.5097	ACTBL2|345651	14.9846
ACTB|60	98848.4764	ACTB|60	78987.219
ACTG1|71	89459.243	ACTG1|71	66296.6064
ACTG2|72	278.4226	ACTG2|72	2851.0357
ACTL6A|86	1129.8522	ACTL6A|86	655.7955
ACTL8|81569	5.877	lowly_expressed	lowly_expressed
ACTN1|87	11011.2838	ACTN1|87	8603.7902
ACTN4|81	10891.4923	ACTN4|81	12001.7364
ACTR10|55860	966.7656	ACTR10|55860	1023.799
ACTR1A|10121	2775.778	ACTR1A|10121	2430.1454
ACTR1B|10120	1253.2691	ACTR1B|10120	1278.9775
ACTR2|10097	7339.9988	ACTR2|10097	5055.9718
ACTR3B|57180	155.7404	ACTR3B|57180	125.606
ACTR3C|653857	24.2426	ACTR3C|653857	31.732
ACTR3|10096	3735.5646	ACTR3|10096	2769.9427
ACTR5|79913	197.9813	ACTR5|79913	191.7144
ACTR6|64431	571.905	ACTR6|64431	496.2539
ACTR8|93973	673.6505	ACTR8|93973	549.5813
ACVR1B|91	1139.035	ACVR1B|91	1073.6007
ACVR1C|130399	115.336	ACVR1C|130399	1141.0313
ACVR1|90	1159.6045	ACVR1|90	1267.9595
ACVR2A|92	385.3105	ACVR2A|92	522.2565
ACVR2B|93	408.8184	ACVR2B|93	396.6505
ACVRL1|94	495.1368	ACVRL1|94	995.152
ACY1|95	568.9114	ACY1|95	520.9343
ACYP1|97	60.9738	ACYP1|97	52.446
ACYP2|98	100.2762	ACYP2|98	147.6421
ADAL|161823	153.9038	ADAL|161823	148.5236
ADAM10|102	1630.866	ADAM10|102	2378.5809
ADAM11|4185	9.5501	ADAM11|4185	28.2063
ADAM12|8038	3906.3648	ADAM12|8038	2028.647
ADAM15|8751	3181.6579	ADAM15|8751	2742.6179
ADAM17|6868	722.1357	ADAM17|6868	839.5769
ADAM19|8728	568.5992	ADAM19|8728	227.413
ADAM21|8747	17.2637	lowly_expressed	lowly_expressed
ADAM22|53616	70.1566	ADAM22|53616	107.9771
ADAM23|8745	60.6065	ADAM23|8745	48.4795
ADAM28|10863	107.6225	ADAM28|10863	86.8224
ADAM32|203102	20.5695	ADAM32|203102	15.4253
ADAM33|80332	142.9432	ADAM33|80332	590.4231
ADAM6|8755	26487.4967	ADAM6|8755	30723.6712
ADAM8|101	251.2415	ADAM8|101	154.6937
ADAM9|8754	2151.7146	ADAM9|8754	1814.8964
ADAMDEC1|27299	13.5905	ADAMDEC1|27299	7.4923
ADAMTS10|81794	110.9283	ADAMTS10|81794	155.1344
ADAMTS12|81792	692.0161	ADAMTS12|81792	372.4108
ADAMTS13|11093	64.2796	ADAMTS13|11093	86.8224
ADAMTS14|140766	245.7318	ADAMTS14|140766	72.2785
ADAMTS15|170689	340.4984	ADAMTS15|170689	450.4187
ADAMTS16|170690	295.6863	ADAMTS16|170690	157.338
ADAMTS17|170691	37.0985	ADAMTS17|170691	29.5284
ADAMTS18|170692	107.9898	ADAMTS18|170692	231.3795
ADAMTS19|171019	140.3132	ADAMTS19|171019	35.2578
ADAMTS1|9510	1771.5465	ADAMTS1|9510	13500.2204
ADAMTS2|9509	852.5315	ADAMTS2|9509	741.2957
ADAMTS3|9508	51.4237	ADAMTS3|9508	86.3817
ADAMTS4|9507	765.8458	ADAMTS4|9507	2039.2243
ADAMTS5|11096	325.4386	ADAMTS5|11096	1987.219
ADAMTS6|11174	127.09	ADAMTS6|11174	47.5981
ADAMTS7|11173	177.0445	ADAMTS7|11173	137.0648
ADAMTS8|11095	17.2637	ADAMTS8|11095	59.0569
ADAMTS9|56999	321.3981	ADAMTS9|56999	787.5716
ADAMTSL1|92949	253.4454	ADAMTSL1|92949	314.2353
ADAMTSL2|9719	173.7387	ADAMTSL2|9719	55.9718
ADAMTSL3|57188	162.352	ADAMTSL3|57188	224.7686
ADAMTSL4|54507	188.4311	ADAMTSL4|54507	779.1979
ADAMTSL5|339366	149.496	ADAMTSL5|339366	79.7708
ADAP1|11033	186.9472	ADAP1|11033	110.5201
ADAP2|55803	235.8144	ADAP2|55803	234.9052
ADARB1|104	506.1562	ADARB1|104	981.9304
ADAR|103	12225.6178	ADAR|103	7931.2472
ADAT1|23536	297.5228	ADAT1|23536	265.3151
ADAT2|134637	77.5029	ADAT2|134637	134.8612
ADAT3|113179	22.7734	ADAT3|113179	15.4253
ADA|100	103.582	ADA|100	100.9255
