gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
EPAS1|2034	2086.0574	EPAS1|2034	25212.7383
EPB41L1|2036	3460.6404	EPB41L1|2036	5602.6863
EPB41L2|2037	1340.2268	EPB41L2|2037	9334.921999999999
EPB41L3|23136	444.9633	EPB41L3|23136	1641.2478
EPB41L4A|64097	1025.3502	EPB41L4A|64097	699.3068
EPB41L4B|54566	355.9039	EPB41L4B|54566	3641.6811
EPB41L5|57669	1355.2368	EPB41L5|57669	793.7608
EPB41|2035	1345.0067	EPB41|2035	1968.2972
lowly_expressed	lowly_expressed	EPB42|2038	206.6724
EPB49|2039	706.471	EPB49|2039	2075.8232
EPC1|80314	838.8926	EPC1|80314	385.18199999999996
EPC2|26122	846.8979	EPC2|26122	670.7106
EPCAM|4072	4117.4116	lowly_expressed	lowly_expressed
EPDR1|54749	84.7231	EPDR1|54749	2544.1941
EPHA10|284656	140.42700000000002	lowly_expressed	lowly_expressed
EPHA1|2041	298.8659	lowly_expressed	lowly_expressed
EPHA2|1969	193.7959	EPHA2|1969	265.5979
EPHA3|2042	25.3502	EPHA3|2042	217.9376
EPHA4|2043	107.0714	EPHA4|2043	272.0971
lowly_expressed	lowly_expressed	EPHA7|2045	15.1646
EPHB1|2047	24.6831	EPHB1|2047	15.5979
EPHB2|2048	334.5564	EPHB2|2048	308.9255
EPHB3|2049	1165.4436	EPHB3|2049	25.5633
EPHB4|2050	2614.0761	EPHB4|2050	1006.9324
EPHB6|2051	41.6945	EPHB6|2051	281.1958
EPHX1|2052	3014.3429	EPHX1|2052	16297.226999999999
EPHX2|2053	635.7572	EPHX2|2053	740.9012
EPHX3|79852	5.3369	lowly_expressed	lowly_expressed
EPHX4|253152	65.7105	lowly_expressed	lowly_expressed
EPM2AIP1|9852	1066.0439999999999	EPM2AIP1|9852	786.3951
EPM2A|7957	87.7252	EPM2A|7957	627.8163
EPN1|29924	1961.9746	EPN1|29924	1481.8024
EPN2|22905	1206.8045	EPN2|22905	730.5026
EPN3|55040	598.2021	lowly_expressed	lowly_expressed
EPOR|2057	230.4303	EPOR|2057	59.2374
EPPK1|83481	861.9079	lowly_expressed	lowly_expressed
EPR1|8475	307.008	lowly_expressed	lowly_expressed
EPRS|2058	4378.2522	EPRS|2058	3510.8319
EPS15L1|58513	1511.3409	EPS15L1|58513	770.7972
EPS15|2060	1681.1207	EPS15|2060	3122.617
EPS8L1|54869	694.4630000000001	lowly_expressed	lowly_expressed
EPS8L2|64787	1158.1054	EPS8L2|64787	58.4922
EPS8|2059	1895.2635	EPS8|2059	3422.8769
EPSTI1|94240	228.1521	EPSTI1|94240	93.5875
EPT1|85465	1146.7578	EPT1|85465	311.5251
ERAL1|26284	824.8833	ERAL1|26284	897.747
ERAP1|51752	2735.5537	ERAP1|51752	5231.1828
ERAP2|64167	255.1701	ERAP2|64167	99.2201
ERBB2IP|55914	3540.0267	ERBB2IP|55914	1490.0347
ERBB2|2064	7943.2955	ERBB2|2064	453.2062
ERBB3|2065	16701.1341	ERBB3|2065	16.8977
ERBB4|2066	2260.507	ERBB4|2066	181.1092
ERC1|23085	2628.0854	ERC1|23085	1747.4003
ERC2|26059	18.3456	ERC2|26059	8.6655
ERCC1|2067	1226.9713	ERCC1|2067	775.9402
ERCC2|2068	435.6237	ERCC2|2068	243.5009
ERCC3|2071	1243.4957	ERCC3|2071	948.4402
ERCC4|2072	365.2435	ERCC4|2072	268.1976
ERCC5|2073	1350.567	ERCC5|2073	1910.3120000000001
ERCC6L|54821	242.495	lowly_expressed	lowly_expressed
ERCC6|2074	440.3202	ERCC6|2074	149.5234
ERCC8|1161	184.1227	ERCC8|1161	262.9983
EREG|2069	7.6718	lowly_expressed	lowly_expressed
ERF|2077	1197.1314	ERF|2077	346.1872
ERGIC1|57222	8979.9867	ERGIC1|57222	4967.0711
ERGIC2|51290	712.1414	ERGIC2|51290	794.6274
ERGIC3|51614	4186.4576	ERGIC3|51614	2623.9168
ERG|2078	330.5537	ERG|2078	1282.0624
ERH|2079	1683.4556	ERH|2079	1180.2426
ERI1|90459	477.6518	ERI1|90459	424.6101
ERI2|112479	663.936	ERI2|112479	305.8059
ERI3|79033	864.9099	ERI3|79033	720.5373
ERICH1|157697	254.1694	ERICH1|157697	354.8527
ERLEC1|27248	1706.471	ERLEC1|27248	1660.7452
ERLIN1|10613	1209.473	ERLIN1|10613	1242.201
ERLIN2|11160	1637.0914	ERLIN2|11160	1650.3466
ERMAP|114625	484.3229	ERMAP|114625	522.9636
ERMN|57471	16.3442	lowly_expressed	lowly_expressed
ERMP1|79956	1743.3689	ERMP1|79956	887.9289
ERN1|2081	114.0761	ERN1|2081	42.8943
ERO1LB|56605	686.7912	ERO1LB|56605	310.2253
ERO1L|30001	573.7158	ERO1L|30001	466.6378
ERP27|121506	831.8879	ERP27|121506	9.5321
ERP29|10961	3103.4023	ERP29|10961	1602.6863
ERP44|23071	1056.7045	ERP44|23071	1806.7591
ERRFI1|54206	1521.6811	ERRFI1|54206	3619.1508
ERVFRDE1|405754	6.004	ERVFRDE1|405754	7.7989999999999995
ESAM|90952	458.6391	ESAM|90952	1781.1958
ESCO1|114799	727.1514	ESCO1|114799	328.8562
ESCO2|157570	381.2542	lowly_expressed	lowly_expressed
ESD|2098	1375.9173	ESD|2098	3017.3309999999997
ESF1|51575	414.9433	ESF1|51575	606.1525
ESM1|11082	118.4123	lowly_expressed	lowly_expressed
ESPL1|9700	892.5951	ESPL1|9700	6.9324
ESPNL|339768	7.3382	lowly_expressed	lowly_expressed
ESPNP|284729	7.0047	lowly_expressed	lowly_expressed
ESPN|83715	294.1961	lowly_expressed	lowly_expressed
ESR1|2099	3590.3936	ESR1|2099	609.6187
ESR2|2100	6.3376	ESR2|2100	195.4073
ESRP1|54845	2499.6664	lowly_expressed	lowly_expressed
ESRP2|80004	1576.3843	ESRP2|80004	168.9775
ESRRA|2101	416.6111	ESRRA|2101	683.2756
ESRRB|2103	5.6704	lowly_expressed	lowly_expressed
ESRRG|2104	315.5437	ESRRG|2104	53.7262
ESYT1|23344	2893.9293	ESYT1|23344	18191.0745
ESYT2|57488	3612.4083	ESYT2|57488	4908.1456
ESYT3|83850	32.0213	lowly_expressed	lowly_expressed
ETAA1|54465	293.529	ETAA1|54465	188.9081
ETF1|2107	2777.5183	ETF1|2107	5417.2444
ETFA|2108	1068.3789	ETFA|2108	3444.5407
ETFB|2109	565.3769	ETFB|2109	2705.3726
ETFDH|2110	353.9026	ETFDH|2110	1899.9133
ETHE1|23474	478.986	ETHE1|23474	293.3276
ETNK1|55500	1296.8646	ETNK1|55500	578.4229
ETNK2|55224	1755.5037	ETNK2|55224	55.026
ETS1|2113	2107.0714	ETS1|2113	4290.7279
ETS2|2114	986.9913	ETS2|2114	1792.0277
ETV1|2115	293.1955	ETV1|2115	172.8769
ETV2|2116	13.3422	ETV2|2116	17.7643
ETV3L|440695	11.3409	lowly_expressed	lowly_expressed
ETV3|2117	590.7272	ETV3|2117	202.773
ETV4|2118	74.0494	lowly_expressed	lowly_expressed
ETV5|2119	272.515	ETV5|2119	249.5667
ETV6|2120	2277.8519	ETV6|2120	386.9151
ETV7|51513	184.7899	ETV7|51513	7.3657
EVC2|132884	101.7345	EVC2|132884	147.747
EVC|2121	1167.1114	EVC|2121	727.5347
EVI2A|2123	230.487	EVI2A|2123	85.7886
EVI2B|2124	389.9266	EVI2B|2124	127.383
EVI5L|115704	481.98800000000006	EVI5L|115704	351.8198
EVI5|7813	354.2362	EVI5|7813	704.0728
EVL|51466	5105.07	EVL|51466	957.1057
lowly_expressed	lowly_expressed	EVPLL|645027	6.4991
EVPL|2125	1075.3836	EVPL|2125	12.9983
EWSR1|2130	4069.3796	EWSR1|2130	3643.8475
EXD2|55218	619.4129	EXD2|55218	1004.3328
EXD3|54932	210.8072	EXD3|54932	113.9515
EXO1|9156	374.5831	lowly_expressed	lowly_expressed
EXOC1|55763	899.9333	EXOC1|55763	1208.8388
EXOC2|55770	1316.2108	EXOC2|55770	717.5043
EXOC3L2|90332	30.02	EXOC3L2|90332	32.0624
EXOC3L|283849	51.2308	EXOC3L|283849	90.6759
EXOC3|11336	1392.2615	EXOC3|11336	1491.3345
EXOC4|60412	2249.1661	EXOC4|60412	1498.7002
EXOC5|10640	1074.7165	EXOC5|10640	2117.4177
EXOC6B|23233	236.1574	EXOC6B|23233	285.5286
EXOC6|54536	1152.1014	EXOC6|54536	308.4922
EXOC7|23265	2936.6211	EXOC7|23265	3115.6846
EXOC8|149371	561.7078	EXOC8|149371	456.2392
EXOG|9941	101.0674	EXOG|9941	110.052
EXOSC10|5394	1873.9159	EXOSC10|5394	1324.9567
EXOSC1|51013	396.2642	EXOSC1|51013	266.8977
EXOSC2|23404	408.6057	EXOSC2|23404	321.9237
EXOSC3|51010	395.5971	EXOSC3|51010	228.7695
EXOSC4|54512	208.4723	EXOSC4|54512	151.6464
EXOSC5|56915	345.2302	EXOSC5|56915	162.4783
EXOSC6|118460	150.7672	EXOSC6|118460	357.4523
EXOSC7|23016	445.6304	EXOSC7|23016	388.6482
EXOSC8|11340	331.441	EXOSC8|11340	273.9775
EXOSC9|5393	414.0794	EXOSC9|5393	373.0416
EXPH5|23086	350.9006	EXPH5|23086	44.6274
EXT1|2131	1408.6057	EXT1|2131	1341.8544
EXT2|2132	1465.6438	EXT2|2132	2126.0832
EXTL1|2134	10.3402	lowly_expressed	lowly_expressed
EXTL2|2135	273.1821	EXTL2|2135	502.5997
EXTL3|2137	1047.0314	EXTL3|2137	1031.6291
EYA1|2138	276.1841	EYA1|2138	40.7279
EYA2|2139	134.7565	EYA2|2139	461.0052
EYA3|2140	204.1361	EYA3|2140	89.2548
lowly_expressed	lowly_expressed	EYA4|2070	175.0433
EYS|346007	7.6718	EYS|346007	180.2426
EZH1|2145	803.8692	EZH1|2145	2768.1976
EZH2|2146	801.8679	EZH2|2146	15.5979
EZR|7430	4729.8199	EZR|7430	662.9116
F10|2159	24.3496	F10|2159	350.0867
F11R|50848	6408.2722	F11R|50848	2901.2132
F12|2161	118.7458	lowly_expressed	lowly_expressed
F13A1|2162	865.5771	F13A1|2162	2080.5893
F2RL1|2150	176.451	lowly_expressed	lowly_expressed
F2RL2|2151	1685.457	lowly_expressed	lowly_expressed
F2RL3|9002	138.0921	F2RL3|9002	98.3536
F2R|2149	2759.1728	F2R|2149	273.3969
F3|2152	472.98199999999997	F3|2152	3980.9359
F5|2153	86.7245	F5|2153	17.7643
F7|2155	1168.7792	lowly_expressed	lowly_expressed
F8A1|8263	80.7205	F8A1|8263	152.513
F8|2157	556.3709	F8|2157	1551.9931
FA2H|79152	80.7205	lowly_expressed	lowly_expressed
FAAH2|158584	313.2088	lowly_expressed	lowly_expressed
FAAH|2166	869.2462	FAAH|2166	217.9376
FABP3|2170	89.0594	FABP3|2170	110.052
FABP4|2167	902.9353	FABP4|2167	138702.77300000002
FABP5|2171	68.0454	FABP5|2171	947.5737
FABP6|2172	6.004	lowly_expressed	lowly_expressed
FADD|8772	417.9453	FADD|8772	288.9948
FADS1|3992	178.1187	FADS1|3992	7603.9861
FADS2|9415	392.2615	FADS2|9415	4805.026
FADS3|3995	268.1788	FADS3|3995	4120.0173
FAF1|11124	842.8953	FAF1|11124	1123.4835
FAF2|23197	2337.8919	FAF2|23197	1220.9705
FAHD1|81889	414.2428	FAHD1|81889	565.8579
FAHD2A|51011	203.1354	FAHD2A|51011	519.9307
FAHD2B|151313	282.8552	FAHD2B|151313	185.8752
FAH|2184	1323.549	FAH|2184	6256.0659
FAIM2|23017	42.3616	FAIM2|23017	71.9237
FAIM3|9214	211.7645	FAIM3|9214	45.9272
FAIM|55179	218.479	FAIM|55179	614.818
FAM100A|124402	472.98199999999997	FAM100A|124402	159.4454
FAM100B|283991	434.2895	FAM100B|283991	731.8024
FAM101A|144347	28.6858	lowly_expressed	lowly_expressed
FAM101B|359845	438.6258	FAM101B|359845	1347.9203
FAM102A|399665	3313.2088	FAM102A|399665	461.8718
FAM102B|284611	842.8953	FAM102B|284611	474.4367
FAM103A1|83640	281.1875	FAM103A1|83640	181.1092
FAM104A|84923	664.8899	FAM104A|84923	705.0433
FAM104B|90736	137.4249	FAM104B|90736	194.97400000000002
FAM105A|54491	722.8152	FAM105A|54491	135.18200000000002
FAM105B|90268	635.0901	FAM105B|90268	431.1092
lowly_expressed	lowly_expressed	FAM106C|100129396	7.3657
FAM107A|11170	102.7352	FAM107A|11170	1871.7504
FAM107B|83641	1800.2001	FAM107B|83641	3462.305
FAM108A1|81926	237.4917	FAM108A1|81926	281.6291
FAM108B1|51104	173.1154	FAM108B1|51104	287.2617
FAM108C1|58489	270.8472	FAM108C1|58489	62.825
FAM109A|144717	378.9193	FAM109A|144717	191.0745
FAM109B|150368	431.9546	FAM109B|150368	267.33099999999996
FAM10A4|145165	181.7879	FAM10A4|145165	516.8977
FAM110A|83541	502.3349	FAM110A|83541	56.3258
FAM110B|90362	593.062	FAM110B|90362	226.6031
FAM110C|642273	21.014	lowly_expressed	lowly_expressed
FAM111A|63901	1603.7358	FAM111A|63901	386.9151
FAM111B|374393	447.9653	lowly_expressed	lowly_expressed
FAM113A|64773	654.7698	FAM113A|64773	341.8544
FAM113B|91523	205.4736	FAM113B|91523	136.4818
FAM114A1|92689	881.5877	FAM114A1|92689	1032.9289
FAM114A2|10827	585.7238	FAM114A2|10827	539.4281
FAM115A|9747	671.7812	FAM115A|9747	781.1958
FAM115C|285966	502.3649	FAM115C|285966	128.3709
FAM116A|201627	1104.4029	FAM116A|201627	612.6516
FAM116B|414918	278.519	FAM116B|414918	55.026
FAM117A|81558	358.5724	FAM117A|81558	340.1213
FAM117B|150864	623.7492	FAM117B|150864	275.9965
FAM118A|55007	337.5584	FAM118A|55007	195.4073
FAM118B|79607	234.8232	FAM118B|79607	388.6482
FAM119A|151194	166.1107	FAM119A|151194	187.6083
FAM119B|25895	275.1835	FAM119B|25895	265.1646
FAM120AOS|158293	1075.2468	FAM120AOS|158293	1580.2556
FAM120A|23196	5169.9166	FAM120A|23196	4570.090999999999
FAM120B|84498	607.4049	FAM120B|84498	759.9653
FAM120C|54954	305.53700000000003	FAM120C|54954	465.338
FAM122A|116224	435.6237	FAM122A|116224	683.7088
FAM122B|159090	1042.028	FAM122B|159090	432.8423
FAM122C|159091	31.3542	FAM122C|159091	19.9307
FAM123B|139285	240.8272	FAM123B|139285	176.7764
FAM124A|220108	33.3556	FAM124A|220108	61.5251
FAM124B|79843	28.3522	FAM124B|79843	99.2201
FAM125A|93343	609.4063	FAM125A|93343	393.4142
FAM125B|89853	404.9366	FAM125B|89853	445.4073
FAM126A|84668	253.8359	FAM126A|84668	820.6239
FAM126B|285172	480.3202	FAM126B|285172	638.2149
FAM127A|8933	847.8986	FAM127A|8933	2909.8787
FAM127B|26071	568.3789	FAM127B|26071	767.331
FAM127C|441518	173.7825	FAM127C|441518	361.3518
FAM128A|653784	425.2835	FAM128A|653784	97.0537
FAM128B|80097	1189.7932	FAM128B|80097	447.1404
FAM129A|116496	2641.7612	FAM129A|116496	1372.6170000000002
FAM129B|64855	3243.8292	FAM129B|64855	894.2808
FAM131A|131408	166.7779	FAM131A|131408	252.1664
FAM131B|9715	62.3749	FAM131B|9715	9.5321
FAM131C|348487	5.3369	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FAM133A|286499	6.4991
FAM133B|257415	108.7392	FAM133B|257415	83.6222
FAM134A|79137	2914.2762	FAM134A|79137	2192.3744
FAM134B|54463	1049.0327	FAM134B|54463	1606.5858
FAM134C|162427	1531.6878	FAM134C|162427	1973.5702
FAM135A|57579	101.7345	FAM135A|57579	223.1369
FAM135B|51059	7.6718	FAM135B|51059	5.1993
FAM136A|84908	703.1354	FAM136A|84908	515.5979
FAM13AOS|285512	55.6171	FAM13AOS|285512	51.5555
FAM13A|10144	533.7759	FAM13A|10144	4604.857
FAM13B|51306	1157.485	FAM13B|51306	892.9809
FAM13C|220965	43.5524	FAM13C|220965	304.6057
FAM149A|25854	72.048	FAM149A|25854	820.6239
FAM149B1|317662	505.6704	FAM149B1|317662	564.5581
lowly_expressed	lowly_expressed	FAM151A|338094	16.4558
FAM151B|167555	17.0113	FAM151B|167555	23.8302
lowly_expressed	lowly_expressed	FAM153A|285596	6.0659
FAM154B|283726	242.8286	lowly_expressed	lowly_expressed
FAM155A|728215	532.6885	FAM155A|728215	49.8267
FAM155B|27112	10.3402	lowly_expressed	lowly_expressed
FAM156A|29057	601.4009	FAM156A|29057	946.2738
FAM157A|728262	16.0107	FAM157A|728262	22.5303
FAM158A|51016	86.0574	FAM158A|51016	61.9584
FAM159A|348378	8.0053	lowly_expressed	lowly_expressed
FAM160A1|729830	159.4396	lowly_expressed	lowly_expressed
FAM160A2|84067	786.8579	FAM160A2|84067	501.2998
FAM160B1|57700	889.9266	FAM160B1|57700	1374.7834
FAM160B2|64760	1323.549	FAM160B2|64760	1146.8804
FAM161A|84140	146.431	FAM161A|84140	80.5893
FAM161B|145483	283.8459	FAM161B|145483	61.0919
FAM162A|26355	784.523	FAM162A|26355	816.7244
lowly_expressed	lowly_expressed	FAM162B|221303	71.4905
FAM163A|148753	5.0033	lowly_expressed	lowly_expressed
FAM164A|51101	152.1014	FAM164A|51101	192.8076
FAM164C|79696	52.0347	FAM164C|79696	21.2305
FAM165B|54065	221.1474	FAM165B|54065	248.2669
FAM166B|730112	55.0367	FAM166B|730112	317.591
FAM167A|83648	134.0894	lowly_expressed	lowly_expressed
FAM167B|84734	35.3569	FAM167B|84734	61.5251
FAM168A|23201	597.0647	FAM168A|23201	148.6135
FAM168B|130074	2559.3729	FAM168B|130074	4459.7054
FAM169A|26049	145.0967	FAM169A|26049	19.0641
FAM171A1|221061	230.1534	FAM171A1|221061	1218.8042
FAM171A2|284069	33.3556	FAM171A2|284069	81.4558
FAM171B|165215	626.0841	FAM171B|165215	100.5199
FAM172A|83989	511.0073	FAM172A|83989	895.1473
FAM173A|65990	137.0914	FAM173A|65990	60.2253
FAM173B|134145	266.8446	FAM173B|134145	454.5061
FAM174A|345757	457.3049	FAM174A|345757	320.1906
FAM174B|400451	1216.4777	FAM174B|400451	93.1542
FAM175A|84142	261.7812	FAM175A|84142	231.4991
FAM175B|23172	548.6991	FAM175B|23172	584.4887
FAM176A|84141	146.0974	FAM176A|84141	13.4315
FAM176B|55194	188.9026	FAM176B|55194	67.9289
FAM177A1|283635	657.1047	FAM177A1|283635	868.7175
FAM178A|55719	1261.8412	FAM178A|55719	763.4315
lowly_expressed	lowly_expressed	FAM178B|51252	60.2253
FAM179A|165186	48.3656	FAM179A|165186	6.4991
FAM179B|23116	893.9293	FAM179B|23116	537.2617
FAM180A|389558	35.0233	FAM180A|389558	58.0589
lowly_expressed	lowly_expressed	FAM180B|399888	228.7695
FAM182B|728882	52.7018	FAM182B|728882	14.2981
FAM183A|440585	108.072	lowly_expressed	lowly_expressed
FAM184A|79632	18.6791	FAM184A|79632	157.279
FAM184B|27146	22.2849	lowly_expressed	lowly_expressed
FAM185A|222234	116.0774	FAM185A|222234	117.851
FAM186B|84070	8.0053	FAM186B|84070	6.4991
FAM188A|80013	441.9613	FAM188A|80013	714.4714
FAM188B|84182	251.8346	FAM188B|84182	124.3501
FAM189A1|23359	14.0093	lowly_expressed	lowly_expressed
FAM189A2|9413	222.1481	FAM189A2|9413	117.851
FAM189B|10712	744.8299	FAM189B|10712	460.5719
FAM18A|780776	13.4223	FAM18A|780776	10.6282
FAM18B2|201158	179.1194	FAM18B2|201158	175.4766
FAM18B|51030	493.996	FAM18B|51030	672.8769
FAM190A|401145	58.3722	FAM190A|401145	18.1976
FAM190B|54462	1020.3469	FAM190B|54462	2153.3795
FAM192A|80011	1005.6704	FAM192A|80011	1136.9151
FAM193A|8603	1048.3656	FAM193A|8603	652.9463
FAM193B|54540	1383.5891	FAM193B|54540	500.0
FAM195A|84331	308.2055	FAM195A|84331	149.9133
FAM195B|348262	741.8279	FAM195B|348262	1219.6707
FAM196A|642938	32.6885	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	FAM196B|100131897	14.2981
FAM198A|729085	255.1701	FAM198A|729085	101.3865
FAM198B|51313	4231.8212	FAM198B|51313	5539.4281
FAM199X|139231	762.1748	FAM199X|139231	477.0364
FAM19A2|338811	13.6758	FAM19A2|338811	16.0312
FAM19A5|25817	37.0247	FAM19A5|25817	30.3293
FAM200A|221786	182.1214	FAM200A|221786	149.9133
FAM200B|285550	243.1621	FAM200B|285550	569.3241
FAM20A|54757	184.4563	FAM20A|54757	200.6066
FAM20B|9917	2758.8392	FAM20B|9917	3303.7262
FAM20C|56975	928.2855	FAM20C|56975	871.3172
FAM21A|387680	800.8672	FAM21A|387680	856.1525
FAM21B|55747	527.6851	FAM21B|55747	582.7556
FAM21C|253725	1624.4163	FAM21C|253725	1500.0
FAM22A|728118	22.6818	FAM22A|728118	14.2981
FAM22D|728130	58.7058	FAM22D|728130	44.1941
FAM23A|653567	6.004	FAM23A|653567	12.565
FAM24B|196792	25.2535	FAM24B|196792	5.0347
FAM26E|254228	124.4163	FAM26E|254228	483.9688
FAM26F|441168	59.0394	FAM26F|441168	34.662
FAM27A|548321	5.0033	lowly_expressed	lowly_expressed
FAM32A|26017	1570.7138	FAM32A|26017	1892.1144
FAM35A|54537	693.7959	FAM35A|54537	1421.5771
FAM35B2|439965	76.7178	FAM35B2|439965	107.4523
FAM35B|414241	235.8239	FAM35B|414241	448.8735
FAM36A|116228	628.1221	FAM36A|116228	672.3007
FAM38A|9780	3213.8259	FAM38A|9780	5125.8492
FAM38B|63895	409.94	FAM38B|63895	68.8908
FAM3A|60343	401.6011	FAM3A|60343	559.7919999999999
FAM3B|54097	52.7018	FAM3B|54097	15.5979
FAM3C|10447	629.7532	FAM3C|10447	774.6967
FAM40A|85369	633.7558	FAM40A|85369	670.2773
FAM40B|57464	153.4356	FAM40B|57464	10.8319
FAM41C|284593	12.6751	FAM41C|284593	22.9636
FAM43A|131583	109.4063	FAM43A|131583	202.773
FAM43B|163933	13.3422	FAM43B|163933	12.565
FAM45A|404636	363.2422	FAM45A|404636	687.175
FAM45B|55855	171.4476	FAM45B|55855	315.8579
FAM46A|55603	343.8959	FAM46A|55603	511.6984
FAM46B|115572	302.2015	FAM46B|115572	55.4593
FAM46C|54855	470.9807	FAM46C|54855	48.5269
FAM47E|100129583	189.2495	FAM47E|100129583	293.1239
FAM48A|55578	1214.5897	FAM48A|55578	608.6049
FAM49A|81553	72.7151	FAM49A|81553	301.1265
FAM49B|51571	1634.4229	FAM49B|51571	1614.3847
FAM50A|9130	721.8145	FAM50A|9130	1288.9948
FAM50B|26240	89.0594	FAM50B|26240	174.1768
FAM53A|152877	24.6831	FAM53A|152877	9.9653
FAM53B|9679	1347.5584	FAM53B|9679	999.2504
FAM53C|51307	1169.7765	FAM53C|51307	1012.1317
FAM54A|113115	64.0427	FAM54A|113115	7.7989999999999995
FAM54B|56181	587.5817	FAM54B|56181	1504.7877
FAM55C|91775	870.2468	FAM55C|91775	438.4749
FAM57A|79850	210.1401	FAM57A|79850	136.4818
FAM57B|83723	38.6925	lowly_expressed	lowly_expressed
FAM58A|92002	198.7992	FAM58A|92002	246.1005
FAM59A|64762	743.1621	FAM59A|64762	159.8787
FAM5B|57795	23.3489	FAM5B|57795	7.3657
FAM60A|58516	1430.2869	FAM60A|58516	155.1127
FAM63A|55793	1314.2095	FAM63A|55793	979.6360000000001
FAM63B|54629	316.5444	FAM63B|54629	277.7296
FAM64A|54478	136.0907	lowly_expressed	lowly_expressed
FAM65A|79567	1274.8499	FAM65A|79567	1526.4298
FAM65B|9750	106.7378	FAM65B|9750	110.052
FAM65C|140876	77.3849	FAM65C|140876	102.25299999999999
FAM66C|440078	20.0133	FAM66C|440078	8.6655
FAM66D|100132923	5.3369	lowly_expressed	lowly_expressed
FAM69A|388650	266.1775	FAM69A|388650	1215.7712
FAM69B|138311	184.95	FAM69B|138311	254.2938
lowly_expressed	lowly_expressed	FAM69C|125704	11.2652
FAM70A|55026	62.7085	FAM70A|55026	105.286
FAM70B|348013	31.0207	FAM70B|348013	28.5962
lowly_expressed	lowly_expressed	FAM71A|149647	7.3657
FAM71D|161142	29.0193	FAM71D|161142	14.7314
FAM71E1|112703	61.1574	FAM71E1|112703	6.4991
FAM71F2|346653	12.3416	FAM71F2|346653	16.4645
FAM72A|729533	30.3536	lowly_expressed	lowly_expressed
FAM72B|653820	92.3949	FAM72B|653820	19.9307
FAM72D|728833	74.0494	FAM72D|728833	6.0659
FAM73A|374986	581.7211	FAM73A|374986	674.1768
FAM73B|84895	524.6831	FAM73B|84895	475.7366
FAM76A|199870	274.5163	FAM76A|199870	464.4714
FAM76B|143684	299.1995	FAM76B|143684	219.6707
FAM78A|286336	166.7779	FAM78A|286336	123.0503
FAM78B|149297	24.016	FAM78B|149297	24.6967
lowly_expressed	lowly_expressed	FAM7A2|100288380	10.8319
FAM7A3|89837	7.0047	FAM7A3|89837	48.9601
FAM81A|145773	72.3816	FAM81A|145773	5.1993
FAM81B|153643	198.7992	lowly_expressed	lowly_expressed
FAM82A1|151393	60.3736	FAM82A1|151393	175.9099
FAM82A2|55177	1074.3829	FAM82A2|55177	2474.87
FAM82B|51115	515.01	FAM82B|51115	1891.6811
FAM83A|84985	6.3376	lowly_expressed	lowly_expressed
FAM83B|222584	618.4123	lowly_expressed	lowly_expressed
FAM83D|81610	487.6584	FAM83D|81610	7.7989999999999995
FAM83E|54854	53.7025	lowly_expressed	lowly_expressed
FAM83F|113828	107.4049	FAM83F|113828	58.0589
FAM83G|644815	119.9867	FAM83G|644815	19.9307
FAM83H|286077	2328.2188	FAM83H|286077	86.2218
FAM84A|151354	216.8112	lowly_expressed	lowly_expressed
FAM84B|157638	1860.9073	FAM84B|157638	405.1127
FAM86A|196483	356.8746	FAM86A|196483	250.1733
FAM86B1|85002	84.056	FAM86B1|85002	25.5633
FAM86C|55199	125.4169	FAM86C|55199	98.7868
FAM86D|692099	139.0927	FAM86D|692099	220.104
FAM89A|375061	51.3676	FAM89A|375061	2967.9376
FAM89B|23625	751.5010000000001	FAM89B|23625	781.6291
FAM8A1|51439	716.8112	FAM8A1|51439	1559.3588
FAM90A1|55138	6.004	FAM90A1|55138	12.9983
FAM91A1|157769	1109.7398	FAM91A1|157769	759.0988
FAM92A1|137392	70.0467	FAM92A1|137392	479.63599999999997
FAM92B|339145	43.6958	lowly_expressed	lowly_expressed
FAM95B1|100133036	14.6765	FAM95B1|100133036	9.9653
FAM96A|84191	655.1034	FAM96A|84191	381.2825
FAM96B|51647	339.8933	FAM96B|51647	471.8371
FAM98A|25940	750.5003	FAM98A|25940	1798.0936
FAM98B|283742	356.57099999999997	FAM98B|283742	400.7799
FAM98C|147965	238.4923	FAM98C|147965	114.818
FANCA|2175	274.7965	FANCA|2175	14.2201
FANCB|2187	56.7045	lowly_expressed	lowly_expressed
FANCC|2176	405.9373	FANCC|2176	139.0815
FANCD2|2177	1067.0447	FANCD2|2177	17.331
FANCE|2178	132.0881	FANCE|2178	201.9064
FANCF|2188	421.94800000000004	FANCF|2188	126.0832
FANCG|2189	440.6271	FANCG|2189	96.6205
FANCI|55215	1674.1828	FANCI|55215	82.617
FANCL|55120	528.6791	FANCL|55120	149.4584
FANCM|57697	247.8319	FANCM|57697	150.7799
FANK1|92565	473.6491	FANK1|92565	10.8319
FAP|2191	1416.6111	FAP|2191	328.4229
FAR1|84188	1285.1901	FAR1|84188	1299.3934
FAR2|55711	233.6524	FAR2|55711	98.7218
FARP1|10160	3410.6071	FARP1|10160	695.4073
FARP2|9855	591.0607	FARP2|9855	318.8908
