gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
ACADL|33	26.1146	ACADL|33	37.1001
ACADM|34	1077.707	ACADM|34	908.1097
ACADSB|36	2300	ACADSB|36	1861.3299
ACADS|35	349.6815	ACADS|35	513.0778
ACADVL|37	3112.707	ACADVL|37	5540.5656
ACAN|176	65.6051	ACAN|176	8.0103
ACAP1|9744	33.121	ACAP1|9744	88.1128
ACAP2|23527	989.8089	ACAP2|23527	1018.5669
ACAP3|116983	337.6051	ACAP3|116983	341.9282
ACAT1|38	773.2484	ACAT1|38	998.7521
ACAT2|39	361.4777	ACAT2|39	405.6814
ACBD3|64746	1664.3312	ACBD3|64746	1192.6845
ACBD4|79777	296.8153	ACBD4|79777	323.7829
ACBD5|91452	536.3057	ACBD5|91452	497.0573
ACBD6|84320	470.7006	ACBD6|84320	297.6441
ACBD7|414149	14.6497	ACBD7|414149	81.3673
ACCN2|41	105.7325	ACCN2|41	108.3492
ACCN3|9311	6.3694	ACCN3|9311	7.5887
ACCS|84680	372.6115	ACCS|84680	503.8028
ACD|65057	188.535	ACD|65057	439.7207
ACE2|59272	6.3694	ACE2|59272	30.3546
ACER2|340485	101.9108	ACER2|340485	147.5573
ACER3|55331	226.1146	ACER3|55331	260.9656
ACE|1636	314.6497	ACE|1636	349.5
ACHE|43	43.949	ACHE|43	40.0513
ACIN1|22985	3287.2611	ACIN1|22985	3102.4975
ACLY|47	3666.242	ACLY|47	2401.3896
lowly_expressed	lowly_expressed	ACMSD|130013	7.5887
ACN9|57001	194.2675	ACN9|57001	200.6779
ACO1|48	1231.2102	ACO1|48	1059.883
ACO2|50	1999.7006	ACO2|50	1928.2787
ACOT11|26027	19.1019	ACOT11|26027	51.4343
ACOT13|55856	635.5287	ACOT13|55856	584.3311
ACOT1|641371	703.1847	ACOT1|641371	340.6466
ACOT2|10965	429.2994	ACOT2|10965	253.377
ACOT4|122970	524.2038	ACOT4|122970	77.1514
ACOT7|11332	210.828	ACOT7|11332	422.857
ACOT8|10005	361.6051	ACOT8|10005	241.9054
ACOT9|23597	289.172	ACOT9|23597	352.0295
ACOX1|51	1596.8153	ACOX1|51	1361.0095
ACOX2|8309	242.0382	ACOX2|8309	260.9656
ACOX3|8310	1128.0255	ACOX3|8310	494.9493
ACP1|52	1925.4777	ACP1|52	1198.5868
ACP2|53	1383.4395	ACP2|53	629.4373
ACP5|54	886.6242	ACP5|54	519.8233
ACP6|51205	317.1975	ACP6|51205	254.6417
ACPL2|92370	740.7643	ACPL2|92370	468.389
ACPP|55	15.9236	ACPP|55	36.2569
ACRBP|84519	8.9172	ACRBP|84519	10.9614
ACRC|93953	28.6624	ACRC|93953	34.5706
ACSBG1|23205	5.7325	ACSBG1|23205	21.9228
lowly_expressed	lowly_expressed	ACSBG2|81616	10.9614
ACSF2|80221	1198.7261	ACSF2|80221	912.7473
ACSF3|197322	210.828	ACSF3|197322	409.3661
ACSL1|2180	5776.4331	ACSL1|2180	2317.0711
ACSL3|2181	4407.6433	ACSL3|2181	2435.9601
ACSL4|2182	771.3376	ACSL4|2182	1497.9173
ACSL5|51703	737.5796	ACSL5|51703	638.2907
ACSM1|116285	124.2038	ACSM1|116285	37.9433
ACSM3|6296	37.8153	ACSM3|6296	145.1837
ACSM5|54988	88.535	ACSM5|54988	61.5525
ACSS1|84532	1576.4331	ACSS1|84532	1033.3227
ACSS2|55902	1296.1783	ACSS2|55902	1484.0048
ACSS3|79611	189.8089	ACSS3|79611	175.804
ACTA1|58	65.6051	lowly_expressed	lowly_expressed
ACTA2|59	15353.8344	ACTA2|59	57810.1654
lowly_expressed	lowly_expressed	ACTBL2|345651	11.8046
ACTB|60	105068.1529	ACTB|60	106142.1778
ACTG1|71	71900.6369	ACTG1|71	76989.9155
ACTG2|72	2155.414	ACTG2|72	16617.9025
ACTL6A|86	1230.5732	ACTL6A|86	983.1532
ACTN1|87	6451.5924	ACTN1|87	17408.388
ACTN2|88	17.8344	lowly_expressed	lowly_expressed
ACTN4|81	9265.3185	ACTN4|81	17188.7342
ACTR10|55860	1024.8408	ACTR10|55860	1088.9728
ACTR1A|10121	2489.8089	ACTR1A|10121	2214.6242
ACTR1B|10120	1227.3885	ACTR1B|10120	1381.1363
ACTR2|10097	6582.8025	ACTR2|10097	3906.0524
ACTR3B|57180	371.9745	ACTR3B|57180	178.7551
ACTR3C|653857	36.3057	ACTR3C|653857	23.1876
ACTR3|10096	4413.3758	ACTR3|10096	3123.9987
ACTR5|79913	192.9936	ACTR5|79913	225.9735
ACTR6|64431	612.1019	ACTR6|64431	602.4554
ACTR8|93973	392.3567	ACTR8|93973	407.2581
ACVR1B|91	1429.2994	ACVR1B|91	1043.4409
ACVR1C|130399	304.4586	ACVR1C|130399	192.6677
ACVR1|90	838.8535	ACVR1|90	1207.4403
ACVR2A|92	419.1083	ACVR2A|92	715.8637
ACVR2B|93	466.879	ACVR2B|93	676.6556
ACVRL1|94	478.9809	ACVRL1|94	283.31
ACY1|95	785.3503	ACY1|95	458.6924
ACY3|91703	26.7516	ACY3|91703	39.2081
ACYP1|97	122.9299	ACYP1|97	93.1719
ACYP2|98	239.4904	ACYP2|98	185.9222
lowly_expressed	lowly_expressed	ADAD2|161931	8.7565
ADAL|161823	147.7707	ADAL|161823	175.3824
ADAM10|102	1148.4076	ADAM10|102	1645.053
lowly_expressed	lowly_expressed	ADAM11|4185	17.2853
ADAM12|8038	1589.8089	ADAM12|8038	63.2388
ADAM15|8751	4397.1592	ADAM15|8751	1993.7098
ADAM17|6868	523.5669	ADAM17|6868	819.5754
ADAM19|8728	156.6879	ADAM19|8728	69.9843
ADAM21|8747	24.8408	lowly_expressed	lowly_expressed
ADAM22|53616	29.9363	ADAM22|53616	30.7762
ADAM23|8745	7.0064	ADAM23|8745	29.0899
ADAM28|10863	35.0318	ADAM28|10863	43.0024
ADAM32|203102	15.2866	ADAM32|203102	13.9125
ADAM33|80332	82.1656	ADAM33|80332	68.7195
ADAM6|8755	52890.1847	ADAM6|8755	8944.3583
ADAM8|101	192.9936	ADAM8|101	70.4059
ADAM9|8754	411.465	ADAM9|8754	1130.2889
ADAMDEC1|27299	8.2803	lowly_expressed	lowly_expressed
ADAMTS10|81794	115.2866	ADAMTS10|81794	63.2388
ADAMTS12|81792	63.6943	ADAMTS12|81792	25.2955
