gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
ACADS|35	336.2803	ACADS|35	898.8504
ACADVL|37	1616.1357	ACADVL|37	4946.7646
ACAN|176	28.6128	removed	removed
ACAP1|9744	29.2557	ACAP1|9744	11.2066
ACAP2|23527	1471.7891	ACAP2|23527	2363.4431
ACAP3|116983	366.1951	ACAP3|116983	202.4925
ACAT1|38	1468.8957	ACAT1|38	4711.8153
ACAT2|39	289.2332	ACAT2|39	264.187
ACBD3|64746	1959.1706	ACBD3|64746	1649.3092
ACBD4|79777	346.8896	ACBD4|79777	195.5367
ACBD5|91452	867.0632	ACBD5|91452	1440.6338
ACBD6|84320	390.9339	ACBD6|84320	268.5731
ACBD7|414149	63.9769	removed	removed
ACCN1|40	45.3303	removed	removed
ACCN2|41	110.5932	ACCN2|41	32.0742
ACCN3|9311	25.7193	removed	removed
ACCS|84680	165.5682	ACCS|84680	219.4957
ACD|65057	204.1472	ACD|65057	161.9167
removed	removed	ACE2|59272	217.1771
ACER2|340485	258.8008	ACER2|340485	449.0387
ACER3|55331	443.6586	ACER3|55331	1943.7735
ACE|1636	391.2554	ACE|1636	415.4188
ACHE|43	18.968	removed	removed
ACIN1|22985	2846.4877	ACIN1|22985	1759.4435
ACLY|47	6309.5965	ACLY|47	2606.8979
ACN9|57001	184.8577	ACN9|57001	197.8553
ACO1|48	888.9246	ACO1|48	12614.8198
ACO2|50	1338.579	ACO2|50	3457.664
ACOT11|26027	14.4671	ACOT11|26027	9.1122
ACOT13|55856	698.9359	ACOT13|55856	1018.6842
ACOT1|641371	694.4221	ACOT1|641371	1869.9643
ACOT2|10965	420.8327	ACOT2|10965	928.2195
ACOT4|122970	436.2643	ACOT4|122970	299.8744
removed	removed	ACOT6|641372	16.6168
ACOT7|11332	213.149	ACOT7|11332	137.9577
ACOT8|10005	269.9662	ACOT8|10005	181.0414
ACOT9|23597	594.7597	ACOT9|23597	795.2855
ACOX1|51	2072.0141	ACOX1|51	6927.207
ACOX2|8309	183.8933	ACOX2|8309	501.2076
ACOX3|8310	745.8608	ACOX3|8310	435.8999
ACP1|52	1726.0891	ACP1|52	1288.3779
ACP2|53	1078.9262	ACP2|53	756.2554
ACP5|54	1101.1091	ACP5|54	274.3696
ACP6|51205	427.9055	ACP6|51205	158.8252
ACPL2|92370	837.8074	ACPL2|92370	252.7292
ACPP|55	11.2522	ACPP|55	13.1388
ACRBP|84519	17.682	ACRBP|84519	24.3455
ACRC|93953	16.0746	ACRC|93953	26.2777
removed	removed	ACR|49	6.183
removed	removed	ACSBG1|23205	15.8439
ACSF2|80221	1530.9436	ACSF2|80221	538.3055
ACSF3|197322	167.8187	removed	removed
ACSL1|2180	4097.0905	ACSL1|2180	26851.8984
ACSL3|2181	6561.3245	ACSL3|2181	2280.3594
ACSL4|2182	1038.4183	ACSL4|2182	4576.1762
ACSL5|51703	243.0477	ACSL5|51703	1046.8554
ACSL6|23305	12.5382	removed	removed
ACSM1|116285	152.7086	removed	removed
ACSM3|6296	125.0185	removed	removed
ACSM5|54988	17.3606	ACSM5|54988	1231.1854
ACSS1|84532	1321.6525	ACSS1|84532	374.4566
ACSS2|55902	584.1505	ACSS2|55902	6013.7185
ACSS3|79611	709.5322	ACSS3|79611	2506.0381
ACTA1|58	16.0746	removed	removed
ACTA2|59	16764.1858	ACTA2|59	5847.0641
ACTB|60	79370.8407	ACTB|60	65400.4444
ACTG1|71	81314.2582	ACTG1|71	27106.5598
ACTG2|72	836.5215	ACTG2|72	357.067
ACTL6A|86	1235.8142	ACTL6A|86	690.9477
ACTL8|81569	19.9325	removed	removed
ACTN1|87	8896.6404	ACTN1|87	5438.3151
ACTN4|81	8878.1996	ACTN4|81	6831.5448
