gene_id	TCGA-E9-A1RI-01A-11R-A169-07	gene_id	TCGA-E9-A1RI-11A-41R-A169-07
C5orf36|285600	191.2876	C5orf36|285600	71.1042
C5orf38|153571	45.9733	C5orf38|153571	12.366
C5orf39|389289	33.1136	C5orf39|389289	66.8534
C5orf41|153222	694.7436	C5orf41|153222	1192.5418
C5orf42|65250	781.8679	C5orf42|65250	619.4571
C5orf43|643155	2106.7353	C5orf43|643155	1096.3192
C5orf44|80006	590.5642	C5orf44|80006	499.9092
C5orf45|51149	180.7169	C5orf45|51149	153.0828
C5orf46|389336	72.3356	removed	removed
C5orf49|134121	23.4689	removed	removed
C5orf4|10826	269.0886	C5orf4|10826	4054.4875
C5orf51|285636	1554.734	C5orf51|285636	1191.3825
C5orf53|492311	539.1416	C5orf53|492311	1335.5231
C5orf54|63920	247.2271	C5orf54|63920	197.4688
C5orf55|116349	86.1598	C5orf55|116349	53.3282
C5orf56|441108	74.3	C5orf56|441108	183.2325
C5orf58|133874	10.9307	removed	removed
C5orf62|85027	717.8910000000001	C5orf62|85027	3096.8989
C5|727	262.9802	C5|727	378.7074
C6orf105|84830	23.1474	C6orf105|84830	6.9558
C6orf106|64771	2263.6232	C6orf106|64771	6059.3179
C6orf108|10591	170.0691	C6orf108|10591	134.0933
C6orf114|85411	6.7513	C6orf114|85411	22.0269
C6orf115|58527	435.2998	C6orf115|58527	163.8489
C6orf120|387263	839.9711	C6orf120|387263	1967.5316
C6orf122|401288	19.2059	C6orf122|401288	7.3191
removed	removed	C6orf123|26238	9.2745
C6orf124|653483	8.0373	C6orf124|653483	5.4101
C6orf125|84300	979.6110000000001	C6orf125|84300	225.8912
C6orf126|389383	7.0728	removed	removed
C6orf129|154467	191.9306	C6orf129|154467	40.1894
C6orf130|221443	617.5502	C6orf130|221443	505.0565
C6orf132|647024	197.3959	C6orf132|647024	14.2981
C6orf134|79969	323.7422	C6orf134|79969	79.6058
C6orf136|221545	222.7938	C6orf136|221545	169.25900000000001
removed	removed	C6orf138|442213	16.2303
C6orf141|135398	54.0106	C6orf141|135398	48.6909
removed	removed	C6orf142|90523	10.0473
C6orf145|221749	533.3548	C6orf145|221749	2291.1796
C6orf147|387097	5.8222	removed	removed
C6orf150|115004	82.9449	C6orf150|115004	44.0537
C6orf153|88745	676.4186	C6orf153|88745	541.0105
C6orf154|221424	24.4334	removed	removed
C6orf155|79940	193.53799999999998	C6orf155|79940	36.325
C6orf162|57150	82.588	C6orf162|57150	168.66
C6orf163|206412	8.0373	C6orf163|206412	12.7524
C6orf164|63914	5.8222	C6orf164|63914	6.782
C6orf165|154313	33.7791	C6orf165|154313	7.5819
C6orf167|253714	220.5433	C6orf167|253714	219.8821
C6orf168|84553	171.6766	C6orf168|84553	18.1625
C6orf170|221322	127.9537	C6orf170|221322	71.8771
C6orf174|387104	40.1543	C6orf174|387104	81.5651
C6orf182|285753	138.5629	C6orf182|285753	216.4042
C6orf186|728464	8.3588	C6orf186|728464	9.6609
C6orf192|116843	246.2627	C6orf192|116843	523.6209
C6orf1|221491	335.9588	C6orf1|221491	209.4484
C6orf201|404220	14.4768	C6orf201|404220	19.7198
C6orf203|51250	175.856	C6orf203|51250	343.9281
C6orf204|387119	29.8987	C6orf204|387119	81.538
C6orf211|79624	1200.7716	C6orf211|79624	962.6123
removed	removed	C6orf217|100131814	11.2066
C6orf225|619208	170.7121	C6orf225|619208	248.4784
C6orf226|441150	51.1172	C6orf226|441150	52.1689
C6orf26|401251	17.0391	C6orf26|401251	9.6609
C6orf27|80737	13.5027	removed	removed
C6orf35|729515	347.85400000000004	C6orf35|729515	557.2408
C6orf41|100133205	9.3233	C6orf41|100133205	6.183
C6orf47|57827	402.1861	C6orf47|57827	266.2545
C6orf48|50854	955.4734	C6orf48|50854	1249.7343
C6orf52|347744	17.682000000000002	C6orf52|347744	14.6846
C6orf57|135154	63.6554	C6orf57|135154	156.8931
removed	removed	C6orf59|79992	7.3423
C6orf62|81688	4746.4909	C6orf62|81688	4423.4953
C6orf64|55776	946.4716	C6orf64|55776	565.7424
C6orf70|55780	357.1773	C6orf70|55780	403.0528
C6orf72|116254	717.248	C6orf72|116254	1840.5951
C6orf89|221477	3239.6721	C6orf89|221477	4971.5003
C6orf97|80129	513.4223	C6orf97|80129	1219.5923
removed	removed	C6|729	141.0492
C7orf10|79783	157.8524	C7orf10|79783	54.1011
C7orf11|136647	430.4774	C7orf11|136647	314.1725
C7orf13|129790	72.0141	C7orf13|129790	103.1784
C7orf23|79161	363.44	C7orf23|79161	331.1332
C7orf25|79020	367.7865	C7orf25|79020	381.7989
C7orf26|79034	422.7616	C7orf26|79034	404.985
C7orf27|221927	556.1807	C7orf27|221927	408.8494
C7orf28A|51622	1061.8872	C7orf28A|51622	1265.9646
C7orf28B|221960	687.9923	C7orf28B|221960	693.2664
C7orf29|113763	123.1313	C7orf29|113763	120.1816
C7orf30|115416	221.1863	C7orf30|115416	289.4406
C7orf31|136895	119.2734	C7orf31|136895	161.9167
C7orf36|57002	216.6854	C7orf36|57002	169.25900000000001
C7orf40|285958	250.7635	C7orf40|285958	145.6864
C7orf41|222166	555.5377	C7orf41|222166	24873.3456
C7orf42|55069	4105.7708	C7orf42|55069	3492.9958
C7orf43|55262	322.1347	C7orf43|55262	81.1516
C7orf44|55744	576.1132	C7orf44|55744	599.7488
C7orf46|340277	160.4244	C7orf46|340277	62.9891
C7orf47|221908	142.7423	C7orf47|221908	44.8266
C7orf49|78996	514.5121	C7orf49|78996	555.9927
C7orf50|84310	450.7314	C7orf50|84310	297.9422
removed	removed	C7orf51|222950	8.5016
C7orf53|286006	9.3233	C7orf53|286006	25.1183
C7orf55|154791	185.4814	C7orf55|154791	199.4319
C7orf58|79974	391.2554	C7orf58|79974	8438.605
C7orf59|389541	670.3102	C7orf59|389541	500.4347
C7orf60|154743	432.7279	C7orf60|154743	360.5449
C7orf63|79846	199.0034	C7orf63|79846	205.584
C7orf64|84060	322.7777	C7orf64|84060	326.1521
C7orf68|29923	427.584	C7orf68|29923	604.386
C7orf70|84792	606.3334	C7orf70|84792	496.1839
C7|730	66.8703	C7|730	673.1717
C8orf30A|51236	529.8184	C8orf30A|51236	239.2039
C8orf31|286122	5.1439	C8orf31|286122	10.8202
C8orf33|65265	1352.8372	C8orf33|65265	1595.9811
C8orf34|116328	11.2522	C8orf34|116328	166.1675
C8orf37|157657	112.8436	C8orf37|157657	69.1721
C8orf38|137682	520.1736	C8orf38|137682	165.7811
C8orf39|55472	13.1812	C8orf39|55472	5.4101
C8orf40|114926	635.2676	C8orf40|114926	1192.9282
C8orf41|80185	401.0416	C8orf41|80185	254.6691
C8orf42|157695	286.4491	C8orf42|157695	357.4534
C8orf44|56260	54.5636	C8orf44|56260	45.3831
C8orf45|157777	69.4422	C8orf45|157777	62.9891
C8orf46|254778	47.2593	C8orf46|254778	27.0505
C8orf48|157773	96.126	C8orf48|157773	37.4843
C8orf4|56892	4021.5399	C8orf4|56892	604.386
C8orf51|78998	65.5843	C8orf51|78998	7.7287
C8orf55|51337	317.3123	C8orf55|51337	387.209
C8orf58|541565	193.2165	C8orf58|541565	177.3742
C8orf59|401466	554.1199	C8orf59|401466	577.2428
C8orf73|642475	63.0124	C8orf73|642475	42.8944
C8orf76|84933	351.7119	C8orf76|84933	328.0842
C8orf77|286103	12.2167	removed	removed
C8orf79|57604	97.412	C8orf79|57604	104.7242
C8orf80|389643	12.2167	C8orf80|389643	12.7524
C8orf83|286144	914.6439	C8orf83|286144	829.6783
C8orf84|157869	519.8521	C8orf84|157869	96.2226
C8orf85|441376	292.879	C8orf85|441376	15.8439
C9orf100|84904	70.1431	C9orf100|84904	32.6886
C9orf102|375748	149.8376	C9orf102|375748	203.2808
C9orf103|414328	112.2006	C9orf103|414328	233.7938
C9orf109|286333	24.1119	C9orf109|286333	25.8912
C9orf110|100128385	138.2414	C9orf110|100128385	193.9909
C9orf114|51490	384.9188	C9orf114|51490	217.1037
C9orf116|138162	185.5007	C9orf116|138162	25.8912
C9orf117|286207	24.4334	removed	removed
C9orf119|375757	320.2058	C9orf119|375757	209.8348
C9orf122|158228	56.5825	removed	removed
C9orf123|90871	671.5962	C9orf123|90871	640.711
C9orf125|84302	26.0408	C9orf125|84302	376.7752
C9orf128|392307	6.7513	removed	removed
C9orf129|445577	103.7068	C9orf129|445577	74.1416
C9orf130|100128782	81.1156	C9orf130|100128782	66.9269
removed	removed	C9orf131|138724	6.5694
C9orf140|89958	242.4048	removed	removed
C9orf142|286257	205.4332	C9orf142|286257	56.8061
C9orf150|286343	1116.2193	C9orf150|286343	637.2331
C9orf152|401546	1073.4609	C9orf152|401546	62.9891
C9orf156|51531	305.0956	C9orf156|51531	289.4406
C9orf163|158055	14.1456	removed	removed
C9orf167|54863	78.7655	C9orf167|54863	98.5412
C9orf169|375791	14.3932	removed	removed
C9orf16|79095	325.9926	C9orf16|79095	313.3997
C9orf21|195827	220.8648	C9orf21|195827	353.9755
C9orf23|138716	289.664	C9orf23|138716	201.3332
removed	removed	C9orf24|84688	22.4133
C9orf25|203259	275.5184	C9orf25|203259	382.1853
C9orf30|91283	271.7312	C9orf30|91283	197.6466
C9orf37|85026	109.9502	C9orf37|85026	64.5348
C9orf3|84909	384.2212	C9orf3|84909	509.6126
C9orf40|55071	95.8045	C9orf40|55071	214.8585
C9orf41|138199	166.5327	C9orf41|138199	178.1393
C9orf43|257169	29.5772	C9orf43|257169	9.6609
C9orf45|81571	71.3712	C9orf45|81571	117.4766
C9orf46|55848	871.5641	C9orf46|55848	462.9504
C9orf47|286223	13.8241	removed	removed
C9orf5|23731	2600.5465	C9orf5|23731	5941.4549
C9orf64|84267	638.4826	C9orf64|84267	433.9677
C9orf66|157983	28.2913	C9orf66|157983	28.9827
C9orf68|55064	166.2112	C9orf68|55064	28.5963
C9orf69|90120	373.5734	C9orf69|90120	284.8034
C9orf6|54942	576.7561	C9orf6|54942	486.9095
C9orf72|203228	265.5522	C9orf72|203228	393.0055
C9orf78|51759	1399.4535	C9orf78|51759	1043.7639
C9orf7|11094	520.4951	C9orf7|11094	65.6941
C9orf80|58493	465.1985	C9orf80|58493	278.6204
C9orf82|79886	619.1931	C9orf82|79886	343.1553
C9orf85|138241	166.8542	C9orf85|138241	162.6896
C9orf86|55684	757.113	C9orf86|55684	777.8959
C9orf89|84270	440.4437	C9orf89|84270	74.5822
C9orf91|203197	1356.6951	C9orf91|203197	1183.6538
C9orf93|203238	126.0248	C9orf93|203238	74.5822
C9orf95|54981	319.5628	C9orf95|54981	919.3315
C9orf96|169436	15.7531	removed	removed
C9orf98|158067	131.4901	C9orf98|158067	30.142
C9orf9|11092	84.8738	C9orf9|11092	74.1957
CA11|770	148.2077	CA11|770	51.7824
CA12|771	15052.5639	CA12|771	362.8635
CA13|377677	74.57	CA13|377677	21.6404
CA14|23632	20.254	CA14|23632	5.4101
CA2|760	326.6356	CA2|760	107.0428
CA3|761	11.9113	CA3|761	108.5885
removed	removed	CA4|762	1513.2837
CA5BP|340591	238.5469	CA5BP|340591	127.5239
CA5B|11238	351.3905	CA5B|11238	381.7989
CA8|767	121.2024	CA8|767	188.5808
CAB39L|81617	595.7242	CAB39L|81617	1985.5086
CAB39|51719	2334.3514	CAB39|51719	3554.8256
CABC1|56997	385.4364	CABC1|56997	3102.2123
CABIN1|23523	1843.755	CABIN1|23523	623.7079
CABLES1|91768	858.0614	CABLES1|91768	1736.6438
CABLES2|81928	207.0407	CABLES2|81928	83.4702
removed	removed	CABP1|9478	45.213
CABP4|57010	6.7513	removed	removed
CABYR|26256	119.2734	CABYR|26256	29.3691
CACHD1|57685	290.6285	CACHD1|57685	1232.3447
CACNA1A|773	15.7531	CACNA1A|773	15.8439
CACNA1C|775	365.5361	CACNA1C|775	154.9609
CACNA1D|776	811.1236	CACNA1D|776	34.3928
CACNA1E|777	9.3233	removed	removed
CACNA1F|778	19.9325	removed	removed
CACNA1G|8913	11.5737	removed	removed
CACNA1H|8912	108.0212	CACNA1H|8912	59.8976
removed	removed	CACNA1I|8911	16.2303
CACNA2D1|781	119.9164	CACNA2D1|781	1672.4954
CACNA2D2|9254	238.5469	CACNA2D2|9254	24.3455
CACNA2D3|55799	10.6092	CACNA2D3|55799	10.4338
CACNA2D4|93589	107.0567	CACNA2D4|93589	143.3678
CACNB1|782	132.1331	CACNB1|782	20.0947
CACNB2|783	28.9343	CACNB2|783	17.7761
CACNB3|784	560.6816	CACNB3|784	73.4229
CACNB4|785	56.903999999999996	CACNB4|785	58.7383
CACNG1|786	27.9698	removed	removed
CACNG4|27092	9316.5086	CACNG4|27092	56.0332
CACYBP|27101	1554.734	CACYBP|27101	1388.8513
CADM1|23705	1597.8139	CADM1|23705	503.1398
CADM2|253559	10.9307	CADM2|253559	453.2895
CADM3|57863	22.1347	CADM3|57863	225.9646
CADM4|199731	601.1895	CADM4|199731	76.9008
CADPS2|93664	1276.6436	CADPS2|93664	622.935
CADPS|8618	9.3233	removed	removed
CAD|790	732.0367	CAD|790	528.2581
CALB2|794	23.7904	CALB2|794	3699.7392
CALCOCO1|57658	1466.6452	CALCOCO1|57658	3784.7551
CALCOCO2|10241	3475.647	CALCOCO2|10241	6509.1296
CALCRL|10203	879.6014	CALCRL|10203	1912.4722
CALCR|799	7.0728	CALCR|799	25.5048
CALD1|800	15999.0355	CALD1|800	16655.7821
CALHM2|51063	563.8965	CALHM2|51063	583.9049
CALM1|801	6650.3778	CALM1|801	20341.2231
CALM2|805	11588.1691	CALM2|805	11834.2189
CALM3|808	5076.0328	CALM3|808	3042.7978
CALML3|810	166.8542	CALML3|810	13.5253
CALML4|91860	237.2609	CALML4|91860	262.7765
CALML5|51806	25.3978	removed	removed
CALR|811	9940.8455	CALR|811	5961.5496
CALU|813	7368.9118	CALU|813	6998.7441
CAMK1D|57118	91.9466	CAMK1D|57118	88.1074
CAMK1|8536	132.2906	CAMK1|8536	749.4967
CAMK2A|815	29.2557	removed	removed
CAMK2B|816	45.3303	CAMK2B|816	5.0237
CAMK2D|817	1017.5213	CAMK2D|817	1474.6401
CAMK2G|818	607.9408	CAMK2G|818	1018.6455
CAMK2N1|55450	1823.8225	CAMK2N1|55450	367.5007
CAMK2N2|94032	10.9307	removed	removed
CAMK4|814	26.6838	removed	removed
CAMKK1|84254	98.698	CAMKK1|84254	88.4939
CAMKK2|10645	1617.7463	CAMKK2|10645	2397.4495
CAMLG|819	952.2585	CAMLG|819	1485.0739
CAMSAP1L1|23271	1654.3964	CAMSAP1L1|23271	2215.4381
CAMSAP1|157922	665.1664	CAMSAP1|157922	891.1216
CAMTA1|23261	404.7581	CAMTA1|23261	522.8480000000001
CAMTA2|23125	829.4486	CAMTA2|23125	1253.9851
CAND1|55832	3817.7142	CAND1|55832	3292.8219
CAND2|23066	84.5523	CAND2|23066	101.2463
CANT1|124583	3923.485	CANT1|124583	818.4716
CANX|821	15203.665	CANX|821	18846.8747
CAP1|10487	8259.4438	CAP1|10487	7200.4637
CAP2|10486	2323.4207	CAP2|10486	2419.0899
CAPG|822	2533.9977	CAPG|822	407.6901
CAPN10|11132	96.2225	CAPN10|11132	39.3044
CAPN11|11131	10.2877	CAPN11|11131	78.833
CAPN12|147968	81.1317	CAPN12|147968	67.4988
CAPN13|92291	227.2946	CAPN13|92291	15.4574
CAPN1|823	3151.2619	CAPN1|823	1602.5505
CAPN2|824	4174.2485	CAPN2|824	7013.8151
CAPN3|825	67.1725	CAPN3|825	84.1426
CAPN5|726	162.9963	CAPN5|726	262.7765
CAPN6|827	25.7193	CAPN6|827	144.5271
CAPN7|23473	935.8624	CAPN7|23473	1373.7803
CAPN8|388743	44.0444	CAPN8|388743	13.1388
CAPN9|10753	27.6483	removed	removed
CAPNS1|826	8380.3247	CAPNS1|826	9980.485
CAPRIN1|4076	8298.0228	CAPRIN1|4076	6756.0622
CAPRIN2|65981	390.9339	CAPRIN2|65981	482.2722
CAPS2|84698	64.6198	CAPS2|84698	121.3409
CAPSL|133690	9.9662	removed	removed
CAPS|828	95.1615	CAPS|828	17.0032
CAPZA1|829	4704.0669	CAPZA1|829	3393.6818
CAPZA2|830	2669.0243	CAPZA2|830	5019.032
CAPZB|832	6521.4596	CAPZB|832	3743.7929
CARD10|29775	71.6927	CARD10|29775	329.63
CARD11|84433	93.2326	CARD11|84433	8.5016
CARD14|79092	168.1402	CARD14|79092	5.7965
CARD16|114769	86.4813	CARD16|114769	131.0018
CARD6|84674	216.3639	CARD6|84674	713.7475
CARD8|22900	1189.5194	CARD8|22900	1771.4231
CARD9|64170	19.611	CARD9|64170	5.7965
CARHSP1|23589	857.9939	CARHSP1|23589	1087.0872
CARKD|55739	1213.6312	CARKD|55739	773.6451
CARM1|10498	754.8626	CARM1|10498	624.8672
CARNS1|57571	9.0018	CARNS1|57571	15.071
CARS2|79587	598.0968	CARS2|79587	653.1891
CARS|833	715.6309	CARS|833	1133.0306
CASC1|55259	95.48299999999999	CASC1|55259	13.9117
CASC2|255082	69.4422	CASC2|255082	73.0364
CASC3|22794	3511.6541	CASC3|22794	3922.3263
CASC4|113201	4611.7987	CASC4|113201	4170.8048
CASC5|57082	53.0461	removed	removed
CASD1|64921	1232.9208	CASD1|64921	1048.0147
CASKIN1|57524	10.9789	removed	removed
CASKIN2|57513	618.8008	CASKIN2|57513	935.3917
CASK|8573	1751.8084	CASK|8573	962.6123
CASP10|843	185.1792	CASP10|843	567.2882
removed	removed	CASP12|120329	5.4101
CASP1|834	266.1951	CASP1|834	481.1129
CASP2|835	1237.4216	CASP2|835	651.5313
CASP3|836	1083.1056	CASP3|836	557.6273
CASP4|837	609.5483	CASP4|837	730.3642
CASP6|839	705.3528	CASP6|839	229.1566
CASP7|840	1066.7095	CASP7|840	746.9810000000001
CASP8AP2|9994	483.5235	CASP8AP2|9994	638.3924
CASP8|841	405.7226	CASP8|841	678.9682
CASP9|842	261.6943	CASP9|842	190.8994
CASQ1|844	76.515	CASQ1|844	13.5253
CASQ2|845	15.4316	CASQ2|845	431.6491
CASS4|57091	30.2202	CASS4|57091	23.959
CAST|831	5152.0206	CAST|831	10204.5136
CASZ1|54897	1023.9511	CASZ1|54897	113.6122
CATSPER1|117144	7.7158	removed	removed
CATSPER2P1|440278	16.4668	CATSPER2P1|440278	69.3228
CATSPER2|117155	26.0408	CATSPER2|117155	17.7761
removed	removed	CATSPER3|347732	6.5694
CATSPERB|79820	75.5506	removed	removed
CATSPERG|57828	57.547	removed	removed
CAT|847	1593.6345	CAT|847	25070.8144
CAV1|857	1685.9026	CAV1|857	53754.4199
CAV2|858	671.9177	CAV2|858	13053.4248
CBARA1|10367	1776.8847	CBARA1|10367	1593.276
CBFA2T2|9139	755.1841	CBFA2T2|9139	551.8307
CBFA2T3|863	191.6091	CBFA2T3|863	313.3997
CBFB|865	1048.063	CBFB|865	687.8562
CBLB|868	469.0564	CBLB|868	859.0474
CBLC|23624	264.2662	CBLC|23624	8.888
CBLL1|79872	1268.9278	CBLL1|79872	875.2778
removed	removed	CBLN1|869	132.5476
CBLN2|147381	3006.5906	removed	removed
CBLN3|643866	45.6518	CBLN3|643866	92.3582
CBLN4|140689	26.3623	CBLN4|140689	19.3218
CBL|867	899.8553	CBL|867	1959.6174
CBR1|873	551.6798	CBR1|873	517.0167
CBR3|874	71.3712	CBR3|874	284.0305
CBR4|84869	793.7631	CBR4|84869	558.7982
CBS|875	48.2238	CBS|875	5.7965
CBWD1|55871	569.3618	CBWD1|55871	370.5922
CBWD2|150472	760.0064	CBWD2|150472	697.9036
CBWD3|445571	2050.7957	CBWD3|445571	214.472
CBWD6|644019	726.5713	CBWD6|644019	47.5316
CBX1|10951	2851.3101	CBX1|10951	993.9136
CBX2|84733	31.5062	CBX2|84733	66.467
CBX3|11335	4243.6907	CBX3|11335	2356.4873
CBX4|8535	557.1452	CBX4|8535	110.1343
CBX5|23468	3316.1871	CBX5|23468	3025.7946
CBX6|23466	249.7991	CBX6|23466	372.13800000000003
CBX7|23492	314.4189	CBX7|23492	1450.2947
CBX8|57332	98.055	CBX8|57332	12.366
CBY1|25776	398.4858	CBY1|25776	581.1458
CC2D1A|54862	393.1844	CC2D1A|54862	322.6741
CC2D1B|200014	658.415	CC2D1B|200014	626.0265
CC2D2A|57545	442.0511	CC2D2A|57545	558.4002
CC2D2B|387707	9.0018	removed	removed
CCAR1|55749	2018.6465	CCAR1|55749	870.6405
removed	removed	CCBE1|147372	159.9845
CCBL1|883	115.094	CCBL1|883	72.2635
CCBL2|56267	739.7171	CCBL2|56267	676.4216
CCBP2|1238	18.325	CCBP2|1238	82.6973
CCDC101|112869	248.1916	CCDC101|112869	208.6755
CCDC102A|92922	83.5878	CCDC102A|92922	74.5822
CCDC102B|79839	75.2291	CCDC102B|79839	113.9986
CCDC103|388389	314.0974	CCDC103|388389	40.1894
CCDC104|112942	931.3615	CCDC104|112942	505.07199999999995
CCDC106|29903	372.9304	CCDC106|29903	165.0082
CCDC107|203260	152.9722	CCDC107|203260	849.1585
CCDC108|255101	28.2913	removed	removed
CCDC109A|90550	849.7026	CCDC109A|90550	591.6337
CCDC109B|55013	419.5467	CCDC109B|55013	226.4516
CCDC110|256309	113.4866	CCDC110|256309	22.0269
CCDC111|201973	315.2966	CCDC111|201973	334.1358
CCDC112|153733	332.1009	CCDC112|153733	185.8758
CCDC113|29070	353.3194	CCDC113|29070	273.9832
CCDC114|93233	17.3606	removed	removed
CCDC115|84317	815.6245	CCDC115|84317	966.0902
CCDC117|150275	1275.0362	CCDC117|150275	1073.133
CCDC11|220136	50.7957	removed	removed
CCDC120|90060	359.1063	CCDC120|90060	71.1042
CCDC121|79635	153.673	CCDC121|79635	211.767
CCDC122|160857	79.7299	CCDC122|160857	67.6263
CCDC123|84902	583.186	CCDC123|84902	224.9058
CCDC124|115098	316.6693	CCDC124|115098	229.543
CCDC125|202243	903.0702	CCDC125|202243	394.9377
CCDC126|90693	480.9516	CCDC126|90693	283.2577
CCDC127|133957	348.1755	CCDC127|133957	396.4834
CCDC12|151903	302.5237	CCDC12|151903	171.5776
CCDC130|81576	226.9732	CCDC130|81576	139.8899
CCDC132|55610	742.0029	CCDC132|55610	645.3483
CCDC134|79879	20.254	CCDC134|79879	24.3455
CCDC136|64753	17.0391	CCDC136|64753	19.3218
CCDC137|339230	423.0831	CCDC137|339230	108.2021
CCDC138|165055	57.2255	CCDC138|165055	16.6168
CCDC13|152206	7.3943	removed	removed
removed	removed	CCDC140|151278	6.183
CCDC141|285025	7.7158	CCDC141|285025	80.3787
CCDC142|84865	93.8756	CCDC142|84865	78.4465
CCDC144A|9720	39.9357	CCDC144A|9720	76.1434
CCDC144B|284047	30.8632	CCDC144B|284047	73.6354
removed	removed	CCDC144C|348254	6.183
CCDC146|57639	200.2893	CCDC146|57639	217.1771
CCDC147|159686	9.3233	CCDC147|159686	27.436999999999998
CCDC148|130940	22.5044	CCDC148|130940	5.4101
CCDC149|91050	570.0048	CCDC149|91050	417.351
CCDC14|64770	1433.5316	CCDC14|64770	511.255
CCDC150|284992	13.1812	CCDC150|284992	7.7287
CCDC151|115948	6.4298	removed	removed
CCDC152|100129792	84.0347	CCDC152|100129792	415.1367
CCDC153|283152	12.8597	CCDC153|283152	7.3423
CCDC157|550631	31.8341	removed	removed
CCDC158|339965	14.7886	CCDC158|339965	55.2604
CCDC159|126075	138.8844	CCDC159|126075	73.8093
CCDC15|80071	96.4475	CCDC15|80071	59.8976
CCDC160|347475	119.5949	CCDC160|347475	12.7524
CCDC163P|126661	44.0444	CCDC163P|126661	22.0269
CCDC17|149483	6.4298	CCDC17|149483	13.5253
CCDC18|343099	90.6607	CCDC18|343099	82.3109
CCDC19|25790	59.1545	removed	removed
CCDC21|64793	398.9712	CCDC21|64793	94.2904
CCDC22|28952	407.7865	CCDC22|28952	221.8027
CCDC23|374969	244.9767	CCDC23|374969	415.4188
CCDC24|149473	265.5522	CCDC24|149473	26.9578
CCDC25|55246	1277.9296	CCDC25|55246	1482.3689
CCDC28A|25901	358.1418	CCDC28A|25901	566.5153
CCDC28B|79140	53.3676	CCDC28B|79140	9.2745
CCDC30|728621	212.50599999999997	CCDC30|728621	47.1452
CCDC34|91057	266.8381	CCDC34|91057	142.5949
CCDC36|339834	39.865	CCDC36|339834	158.8252
CCDC39|339829	65.2564	CCDC39|339829	31.1699
CCDC3|83643	339.1738	CCDC3|83643	11379.3836
CCDC40|55036	439.1577	CCDC40|55036	19.7082
CCDC41|51134	484.1665	CCDC41|51134	105.4971
CCDC43|124808	1264.4269	CCDC43|124808	335.4265
CCDC45|90799	876.0649	CCDC45|90799	274.7561
CCDC46|201134	167.1757	CCDC46|201134	761.6655
CCDC47|57003	4929.1111	CCDC47|57003	3006.0864
CCDC48|79825	111.8791	CCDC48|79825	35.1657
CCDC50|152137	1674.6504	CCDC50|152137	6685.3444
CCDC51|79714	283.5557	CCDC51|79714	176.9877
CCDC52|152185	820.1254	CCDC52|152185	181.2385
CCDC53|51019	503.45599999999996	CCDC53|51019	627.1858
CCDC55|84081	1244.8159	CCDC55|84081	681.6733
CCDC56|28958	1596.7369	CCDC56|28958	681.2482
CCDC57|284001	668.7028	CCDC57|284001	76.9008
CCDC58|131076	201.5753	CCDC58|131076	125.5917
CCDC59|29080	458.1257	CCDC59|29080	406.5308
CCDC61|729440	97.7335	CCDC61|729440	50.6231
removed	removed	CCDC62|84660	6.5694
CCDC64B|146439	259.1223	CCDC64B|146439	10.8202
CCDC64|92558	175.5345	CCDC64|92558	6.9558
CCDC65|85478	74.2646	removed	removed
CCDC66|285331	460.2701	CCDC66|285331	260.4811
CCDC67|159989	11.8952	removed	removed
CCDC68|80323	16.0746	CCDC68|80323	166.9404
CCDC69|26112	151.7441	CCDC69|26112	10570.9593
CCDC6|8030	3634.7854	CCDC6|8030	1883.876
CCDC71|64925	438.5147	CCDC71|64925	221.4279
CCDC72|51372	1128.7574	CCDC72|51372	783.306
CCDC73|493860	57.7238	CCDC73|493860	48.8533
CCDC74A|90557	140.1704	CCDC74A|90557	38.6436
CCDC74B|91409	116.0585	CCDC74B|91409	9.2745
CCDC75|253635	89.0532	CCDC75|253635	438.9914
CCDC76|54482	492.8243	CCDC76|54482	276.468
CCDC77|84318	220.5433	CCDC77|84318	153.4151
CCDC78|124093	87.1243	removed	removed
CCDC7|221016	54.4736	CCDC7|221016	56.0332
CCDC80|151887	10435.9428	CCDC80|151887	24091.5854
CCDC81|60494	10.6092	removed	removed
CCDC82|79780	295.4509	CCDC82|79780	957.9751
CCDC84|338657	109.3072	CCDC84|338657	69.5585
CCDC85A|114800	62.9802	CCDC85A|114800	1039.6599
CCDC85B|11007	59.476000000000006	CCDC85B|11007	52.1689
CCDC85C|317762	361.4724	CCDC85C|317762	177.5751
CCDC86|79080	433.3644	CCDC86|79080	467.1008
CCDC87|55231	57.8685	CCDC87|55231	8.1152
CCDC88A|55704	806.3012	CCDC88A|55704	1104.8208
CCDC88B|283234	43.7229	CCDC88B|283234	10.4338
CCDC88C|440193	1467.2882	CCDC88C|440193	433.9677
CCDC89|220388	20.897	CCDC89|220388	28.5963
CCDC8|83987	258.4793	CCDC8|83987	73.4229
CCDC90A|63933	244.3337	CCDC90A|63933	880.6879
CCDC90B|60492	702.7648	CCDC90B|60492	942.1273
CCDC91|55297	816.2675	CCDC91|55297	719.544
CCDC92|80212	978.6208	CCDC92|80212	1432.1322
CCDC93|54520	662.5944	CCDC93|54520	1240.8463
CCDC94|55702	221.8293	CCDC94|55702	146.0728
CCDC96|257236	99.9839	CCDC96|257236	33.6199
CCDC97|90324	1208.1659	CCDC97|90324	556.8544
CCDC99|54908	273.9109	CCDC99|54908	99.7005
CCDC9|26093	235.9749	CCDC9|26093	83.4702
