gene_id	TCGA-BH-A0B7-01A-12R-A115-07	gene_id	TCGA-BH-A0B7-11A-34R-A115-07
lowly_expressed	lowly_expressed	?|100133144	12.8787
?|100134869	5.3431	lowly_expressed	lowly_expressed
?|10357	68.9135	?|10357	112.9866
?|10431	1030.3788	?|10431	593.8714
?|155060	78.6276	?|155060	342.6845
?|340602	12.5089	lowly_expressed	lowly_expressed
?|390284	9.2924	lowly_expressed	lowly_expressed
?|57714	1023.5883	?|57714	595.5978
?|645851	8.2202	?|645851	16.8321
?|653553	121.158	?|653553	42.7277
lowly_expressed	lowly_expressed	?|728603	8.2003
?|729884	1377.055	?|729884	5.6107
?|8225	341.6726	?|8225	391.8861
?|90288	22.8735	?|90288	29.7799
A1BG|1	126.669	A1BG|1	88.7959
A2LD1|87769	42.8091	A2LD1|87769	67.7687
lowly_expressed	lowly_expressed	A2ML1|144568	8.2003
A2M|2	22113.574	A2M|2	22698.6534
A4GALT|53947	300.5718	A4GALT|53947	221.407
AAAS|8086	505.0036	AAAS|8086	656.8839
AACS|65985	1220.8721	AACS|65985	1443.2456
AADAT|51166	187.634	AADAT|51166	89.7713
AAGAB|79719	2187.2766	AAGAB|79719	1018.1269
AAK1|22848	1481.4153	AAK1|22848	877.4277
AAMP|14	3663.331	AAMP|14	1933.9663
AARS2|57505	339.1673	AARS2|57505	510.9754
AARSD1|80755	230.1644	AARSD1|80755	516.1847
AARS|16	1648.3202	AARS|16	2202.8485
AASDHPPT|60496	777.341	AASDHPPT|60496	989.6418
AASDH|132949	310.9364	AASDH|132949	567.5442
AASS|10157	131.1651	AASS|10157	858.006
AATF|26574	1076.8406	AATF|26574	887.7859
AATK|9625	48.2487	AATK|9625	41.0401
ABAT|18	389.564	ABAT|18	1245.5762
ABCA10|10349	27.8771	ABCA10|10349	298.2305
ABCA11P|79963	58.6598	ABCA11P|79963	191.0876
ABCA12|26154	12102.9307	ABCA12|26154	216.6595
lowly_expressed	lowly_expressed	ABCA13|154664	71.2128
ABCA17P|650655	6.7906	ABCA17P|650655	10.3582
ABCA1|19	852.0264	ABCA1|19	874.8123
ABCA2|20	1159.3996	ABCA2|20	1511.0056
ABCA3|21	1969.9786	ABCA3|21	1235.218
ABCA4|24	13.5811	ABCA4|24	28.4851
ABCA5|23461	124.732	ABCA5|23461	1573.1549
