gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
lowly_expressed	lowly_expressed	ACADL|33	84.9146
ACADM|34	1198.5846	ACADM|34	1296.0152
ACADSB|36	5765.2897	ACADSB|36	1266.6034
ACADS|35	252.7805	ACADS|35	997.6281
ACADVL|37	1877.4276	ACADVL|37	7869.9763
ACAN|176	25.8006	ACAN|176	7.1157
ACAP1|9744	13.7168	ACAP1|9744	96.7742
ACAP2|23527	1298.8476	ACAP2|23527	1439.7533
ACAP3|116983	192.0381	ACAP3|116983	478.278
ACAT1|38	1585.9201	ACAT1|38	1512.334
ACAT2|39	267.7938	ACAT2|39	275.1708
ACBD3|64746	3792.3607	ACBD3|64746	1511.3852
ACBD4|79777	345.532	ACBD4|79777	333.4915
ACBD5|91452	1125.1019	ACBD5|91452	850.0949
ACBD6|84320	539.8529	ACBD6|84320	358.1594
lowly_expressed	lowly_expressed	ACBD7|414149	36.0531
ACCN2|41	171.7862	ACCN2|41	49.8102
ACCN3|9311	5.552	ACCN3|9311	12.8083
ACCS|84680	153.4972	ACCS|84680	536.0531
ACD|65057	364.1476	ACD|65057	278.463
lowly_expressed	lowly_expressed	ACE2|59272	12.8083
ACER2|340485	108.4278	ACER2|340485	172.2011
ACER3|55331	472.902	ACER3|55331	589.1841
ACE|1636	1503.946	ACE|1636	597.723
ACHE|43	8.4913	ACHE|43	55.9772
ACIN1|22985	2960.8631	ACIN1|22985	3068.3112
ACLY|47	10445.9747	ACLY|47	2611.4801
ACMSD|130013	51.9278	lowly_expressed	lowly_expressed
ACN9|57001	155.7833	ACN9|57001	161.7647
ACO1|48	1226.9979	ACO1|48	2747.1537
ACO2|50	2564.6411	ACO2|50	2493.0361
ACOT11|26027	8.1647	ACOT11|26027	21.3994
ACOT13|55856	660.0445	ACOT13|55856	511.4374
ACOT1|641371	604.8443	ACOT1|641371	849.1461
ACOT2|10965	432.0783	ACOT2|10965	494.3074
ACOT4|122970	474.2084	ACOT4|122970	140.4175
ACOT7|11332	429.7922	ACOT7|11332	278.463
ACOT8|10005	222.9433	ACOT8|10005	271.7932
ACOT9|23597	318.4251	ACOT9|23597	587.7609
ACOX1|51	2738.7886	ACOX1|51	2802.1822
ACOX2|8309	551.2836	ACOX2|8309	230.5503
ACOX3|8310	659.0582	ACOX3|8310	561.1954
ACP1|52	1876.9116	ACP1|52	1053.6053
ACP2|53	1843.926	ACP2|53	1256.167
ACP5|54	1395.8448	ACP5|54	3158.444
ACP6|51205	718.171	ACP6|51205	306.926
ACPL2|92370	858.9312	ACPL2|92370	262.334
ACPP|55	8.1647	ACPP|55	32.2581
ACRBP|84519	81.3209	ACRBP|84519	16.129
lowly_expressed	lowly_expressed	ACRC|93953	19.9241
lowly_expressed	lowly_expressed	ACR|49	8.0645
lowly_expressed	lowly_expressed	ACSBG1|23205	27.9886
ACSF2|80221	2279.1298	ACSF2|80221	985.2941
ACSF3|197322	438.9367	ACSF3|197322	417.9317
ACSL1|2180	1062.3966	ACSL1|2180	13086.8121
ACSL3|2181	3931.488	ACSL3|2181	2513.2827
ACSL4|2182	198.8932	ACSL4|2182	1867.6471
ACSL5|51703	167.5406	ACSL5|51703	945.9203
ACSL6|23305	5.8786	ACSL6|23305	7.1157
ACSM1|116285	211.9568	ACSM1|116285	833.9658
ACSM3|6296	26.3362	ACSM3|6296	59.3169
ACSM5|54988	15.0231	ACSM5|54988	202.0873
ACSS1|84532	479.4338	ACSS1|84532	794.1176
ACSS2|55902	1031.6972	ACSS2|55902	1939.7533
ACSS3|79611	690.0842	ACSS3|79611	498.5769
lowly_expressed	lowly_expressed	ACTA1|58	8.5389
ACTA2|59	1943.7906	ACTA2|59	14511.8169
lowly_expressed	lowly_expressed	ACTBL2|345651	12.334
ACTB|60	40482.765	ACTB|60	76104.3643
ACTG1|71	40548.7362	ACTG1|71	60680.74
ACTG2|72	16.0029	ACTG2|72	3693.074
ACTL6A|86	1377.8824	ACTL6A|86	694.9715
ACTN1|87	1772.0762	ACTN1|87	8023.2448
ACTN4|81	6090.6646	ACTN4|81	11424.1698
ACTR10|55860	1216.547	ACTR10|55860	1027.0398
ACTR1A|10121	2290.0477	ACTR1A|10121	2545.5408
ACTR1B|10120	1045.0874	ACTR1B|10120	1406.0721
ACTR2|10097	5892.3331	ACTR2|10097	5467.2676
ACTR3B|57180	207.0579	ACTR3B|57180	131.4042
ACTR3C|653857	18.6156	ACTR3C|653857	42.6945
ACTR3|10096	3506.2681	ACTR3|10096	3629.5066
ACTR5|79913	227.6331	ACTR5|79913	221.537
ACTR6|64431	824.3127	ACTR6|64431	530.8349
ACTR8|93973	574.4715	ACTR8|93973	417.4573
ACVR1B|91	1260.9632	ACVR1B|91	1122.3909
ACVR1C|130399	29.7197	ACVR1C|130399	1069.7343
ACVR1|90	916.411	ACVR1|90	957.3055
ACVR2A|92	146.9654	ACVR2A|92	582.0683
