gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
CEP110|11064	221.1013	CEP110|11064	554.0797
CEP120|153241	542.4657	CEP120|153241	767.0778
CEP135|9662	182.8903	CEP135|9662	215.8444
CEP152|22995	30.6994	CEP152|22995	88.2353
CEP164|22897	458.8587	CEP164|22897	619.0702
CEP170|9859	746.5843	CEP170|9859	874.7628
CEP192|55125	588.5148	CEP192|55125	704.9336
CEP250|11190	694.3299	CEP250|11190	670.778
CEP290|80184	523.2426	CEP290|80184	408.1926
CEP350|9857	2941.2677	CEP350|9857	1272.296
CEP55|55165	79.3613	CEP55|55165	28.9374
CEP57|9702	1065.6625	CEP57|9702	841.556
CEP63|80254	632.9702	CEP63|80254	624.3074
CEP68|23177	829.2115	CEP68|23177	1655.6546
CEP70|80321	514.7055	CEP70|80321	284.1556
CEP72|55722	50.2948	CEP72|55722	64.0417
CEP76|79959	200.1995	CEP76|79959	130.4554
CEP78|84131	233.8383	CEP78|84131	198.2922
CEP97|79598	232.5319	CEP97|79598	137.5712
CEPT1|10390	1420.6656	CEPT1|10390	783.2068
CERCAM|51148	1137.8389	CERCAM|51148	671.7268
CERKL|375298	72.4148	CERKL|375298	36.6793
CERK|64781	992.5064	CERK|64781	927.8937
CES1|1066	187.136	CES1|1066	7009.0133
CES2|8824	852.7260000000001	CES2|8824	1122.3909
CES3|23491	321.691	CES3|23491	51.7078
lowly_expressed	lowly_expressed	CES4|51716	61.6698
CES8|283848	257.3528	CES8|283848	91.556
CETN2|1069	1948.1081	CETN2|1069	877.1347
CETN3|1070	390.6014	CETN3|1070	281.3093
lowly_expressed	lowly_expressed	CETP|1071	253.7951
CFB|629	14603.0154	CFB|629	4213.9469
CFDP1|10428	709.0265	CFDP1|10428	651.3283
CFD|1675	114.633	CFD|1675	3132.8273
CFH|3075	306.9944	CFH|3075	2040.3226
CFI|3426	77.0752	CFI|3426	1274.6679
CFL1|1072	11323.8481	CFL1|1072	10327.3245
CFL2|1073	245.9221	CFL2|1073	949.2410000000001
CFLAR|8837	533.9743	CFLAR|8837	1441.1765
lowly_expressed	lowly_expressed	CFP|5199	43.1689
lowly_expressed	lowly_expressed	CFTR|1080	199.24099999999999
CG030|116828	13.3902	CG030|116828	42.6945
CGGBP1|8545	3136.895	CGGBP1|8545	2187.3814
CGNL1|84952	1608.7813	CGNL1|84952	1152.7514
CGN|57530	4349.5229	CGN|57530	1218.6907
CGREF1|10669	278.9534	CGREF1|10669	157.0588
CGRRF1|10668	408.5638	CGRRF1|10668	243.3586
CH25H|9023	20.2486	CH25H|9023	325.9013
lowly_expressed	lowly_expressed	CHAC1|79094	5.6926
CHAC2|494143	46.3758	CHAC2|494143	21.8216
CHADL|150356	257.4017	CHADL|150356	81.5939
CHAD|1101	1279.7193	CHAD|1101	193.074
CHAF1A|10036	291.6447	CHAF1A|10036	221.0626
CHAF1B|8208	216.52900000000002	CHAF1B|8208	111.0057
CHCHD10|400916	205.7516	CHCHD10|400916	603.4156
CHCHD1|118487	657.7519	CHCHD1|118487	425.9962
CHCHD2|51142	3305.4153	CHCHD2|51142	2486.7173
CHCHD3|54927	939.9254	CHCHD3|54927	716.7932
CHCHD4|131474	400.7257	CHCHD4|131474	222.0114
CHCHD5|84269	422.6072	CHCHD5|84269	285.5787
CHCHD6|84303	145.0059	CHCHD6|84303	195.4459
CHCHD7|79145	307.6476	CHCHD7|79145	409.8672
CHCHD8|51287	944.8243	CHCHD8|51287	550.2846
CHD1L|9557	1201.8505	CHD1L|9557	473.4345
CHD1|1105	1029.7376	CHD1|1105	1767.5522
CHD2|1106	2057.8423	CHD2|1106	2917.4573
CHD3|1107	1012.1018	CHD3|1107	3661.2903
CHD4|1108	6928.9977	CHD4|1108	5584.9763
lowly_expressed	lowly_expressed	CHD5|26038	7.5901
CHD6|84181	1803.4289	CHD6|84181	1842.9791
CHD7|55636	381.7835	CHD7|55636	666.9829
CHD8|57680	2213.9522	CHD8|57680	1995.2562
CHD9|80205	1579.0617	CHD9|80205	1811.1954
CHDH|55349	1598.0039	CHDH|55349	710.1518
CHEK1|1111	178.6446	CHEK1|1111	60.2467
CHEK2|11200	134.8816	CHEK2|11200	75.9013
CHERP|10523	1182.8625	CHERP|10523	1002.6518
CHFR|55743	213.5897	CHFR|55743	374.7628
CHGB|1114	15.0231	CHGB|1114	6.6414
CHI3L1|1116	817.7809	CHI3L1|1116	5934.0607
CHI3L2|1117	715.5582	CHI3L2|1117	1035.5787
CHIC1|53344	333.1216	CHIC1|53344	318.7856
CHIC2|26511	131.2891	CHIC2|26511	386.6224
CHID1|66005	1945.1688	CHID1|66005	1259.962
CHIT1|1118	1932.1052	CHIT1|1118	12274.6679
CHKA|1119	593.7403	CHKA|1119	578.2732
CHKB-CPT1B|386593	117.6409	CHKB-CPT1B|386593	477.13
CHKB|1120	260.733	CHKB|1120	259.1129
CHL1|10752	12.0838	CHL1|10752	831.1195
CHML|1122	1213.2811	CHML|1122	384.2505
CHMP1A|5119	2169.536	CHMP1A|5119	1758.5389
CHMP1B|57132	1314.5239	CHMP1B|57132	1661.2903
CHMP2A|27243	2653.8687	CHMP2A|27243	1679.3169
CHMP2B|25978	1333.1396	CHMP2B|25978	1166.9829
CHMP4A|29082	1086.0123	CHMP4A|29082	984.1698
CHMP4B|128866	5083.6968	CHMP4B|128866	2722.9602
CHMP4C|92421	670.8154	CHMP4C|92421	359.5825
CHMP5|51510	2389.7131	CHMP5|51510	1376.8596
CHMP6|79643	446.4483	CHMP6|79643	436.907
CHMP7|91782	907.5930000000001	CHMP7|91782	1039.8482
CHM|1121	926.5353	CHM|1121	568.7856
CHN1|1123	67.9307	CHN1|1123	218.2163
CHN2|1124	136.5145	CHN2|1124	93.9279
CHODL|140578	5.5520000000000005	CHODL|140578	32.2581
CHORDC1|26973	418.6881	CHORDC1|26973	398.9564
CHPF2|54480	877.5468	CHPF2|54480	997.1537
CHPF|79586	2148.3077	CHPF|79586	861.8596
CHPT1|56994	819.0872	CHPT1|56994	1728.1784
CHP|11261	3324.031	CHP|11261	2866.2239
CHRAC1|54108	462.1246	CHRAC1|54108	518.9753
CHRDL1|91851	12.0838	CHRDL1|91851	6665.5598
CHRD|8646	836.0699	CHRD|8646	161.2903
lowly_expressed	lowly_expressed	CHRFAM7A|89832	23.2448
lowly_expressed	lowly_expressed	CHRM1|1128	24.1935
lowly_expressed	lowly_expressed	CHRM3|1131	9.0133
CHRNA10|57053	7.8382	CHRNA10|57053	7.5901
CHRNA1|1134	26.4538	CHRNA1|1134	237.666
CHRNA2|1135	45.0694	CHRNA2|1135	9.4877
CHRNA5|1138	48.3353	CHRNA5|1138	27.5142
CHRNA6|8973	12.737	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CHRNA7|1139	7.5901
CHRNB1|1140	91.1186	CHRNB1|1140	133.7761
CHRNB2|1141	17.9624	CHRNB2|1141	41.2713
CHRNE|1145	7.6487	CHRNE|1145	54.0465
CHST10|9486	644.6883	CHST10|9486	249.0512
CHST11|50515	62.7052	CHST11|50515	160.8159
CHST12|55501	112.0203	CHST12|55501	227.2296
CHST14|113189	559.4483	CHST14|113189	416.5085
CHST15|51363	1614.0068	CHST15|51363	878.5579
CHST1|8534	499.3558	CHST1|8534	139.9431
CHST2|9435	37.5578	CHST2|9435	261.8596
CHST3|9469	70.87	CHST3|9469	1244.3074
CHST4|10164	6.5318	CHST4|10164	9.962
lowly_expressed	lowly_expressed	CHST6|4166	57.4004
CHST7|56548	19.5954	CHST7|56548	92.5047
CHST8|64377	33.9653	CHST8|64377	22.296
lowly_expressed	lowly_expressed	CHST9|83539	261.3852
CHSY1|22856	1808.3277	CHSY1|22856	1989.5636
CHSY3|337876	32.0058	CHSY3|337876	64.0417
CHTF18|63922	52.2544	CHTF18|63922	129.0323
CHTF8|54921	3333.5021	CHTF8|54921	2054.0797
CHUK|1147	781.5294	CHUK|1147	685.9583
CHURC1|91612	1255.114	CHURC1|91612	1346.0674
CIAO1|9391	2171.4956	CIAO1|9391	1664.611
CIAPIN1|57019	829.5381	CIAPIN1|57019	644.6869
CIB1|10519	2592.1432	CIB1|10519	1228.6528
CIB2|10518	5.8786	CIB2|10518	93.9279
CIB3|117286	22.8613	lowly_expressed	lowly_expressed
CIC|23152	952.0093	CIC|23152	2153.7002
lowly_expressed	lowly_expressed	CIDEA|1149	1065.9393
CIDEB|27141	538.4584	CIDEB|27141	330.0569
CIDECP|152302	100.9162	CIDECP|152302	99.1461
CIDEC|63924	8.1647	CIDEC|63924	5606.7362
CIITA|4261	63.685	CIITA|4261	325.9013
CILP2|148113	131.2891	CILP2|148113	30.8349
CILP|8483	395.1737	CILP|8483	467.2676
CINP|51550	508.5003	CINP|51550	352.9412
CIR1|9541	1131.9602	CIR1|9541	1009.962
CIRBP|1153	7110.5131	CIRBP|1153	6646.5844
CIRH1A|84916	976.5035	CIRH1A|84916	816.4137
CISD1|55847	284.1331	CISD1|55847	240.03799999999998
CISD2|493856	694.0033	CISD2|493856	447.8131
CISD3|284106	1087.998	CISD3|284106	555.9488
CISH|1154	2210.0332	CISH|1154	670.778
CITED1|4435	63.3584	CITED1|4435	59.2979
CITED2|10370	2029.1024	CITED2|10370	1992.8843
CITED4|163732	1344.8968	CITED4|163732	937.3814
CIT|11113	121.1648	CIT|11113	79.222
CIZ1|25792	1546.7293	CIZ1|25792	1773.2448
CKAP2L|150468	31.6792	CKAP2L|150468	15.1803
CKAP2|26586	166.5608	CKAP2|26586	236.2429
CKAP4|10970	1910.5503	CKAP4|10970	1323.055
CKAP5|9793	3052.3083	CKAP5|9793	1702.0873
CKB|1152	82.9538	CKB|1152	621.4421
CKLF|51192	401.7055	CKLF|51192	256.16700000000003
lowly_expressed	lowly_expressed	CKMT1A|548596	98.1973
lowly_expressed	lowly_expressed	CKMT1B|1159	183.112
lowly_expressed	lowly_expressed	CKMT2|1160	162.7135
CKS1B|1163	568.2662	CKS1B|1163	325.4269
CKS2|1164	220.7747	CKS2|1164	131.8786
CLASP1|23332	924.5757	CLASP1|23332	1441.1765
CLASP2|23122	1346.8563	CLASP2|23122	1225.3321
CLCA2|9635	6.5318	CLCA2|9635	333.4915
lowly_expressed	lowly_expressed	CLCA4|22802	45.5408
CLCC1|23155	1229.3754	CLCC1|23155	862.334
CLCF1|23529	113.6532	CLCF1|23529	179.7913
lowly_expressed	lowly_expressed	CLCN1|1180	24.1935
CLCN2|1181	163.2949	CLCN2|1181	74.0038
CLCN3|1182	2273.3916	CLCN3|1182	1459.6774
CLCN4|1183	15.3497	CLCN4|1183	131.8786
CLCN5|1184	72.5029	CLCN5|1184	144.2125
CLCN6|1185	274.0088	CLCN6|1185	522.7704
CLCN7|1186	1227.3245	CLCN7|1186	1345.351
lowly_expressed	lowly_expressed	CLCNKA|1187	26.5655
lowly_expressed	lowly_expressed	CLCNKB|1188	8.0645
lowly_expressed	lowly_expressed	CLDN10|9071	33.5199
CLDN11|5010	13.0636	CLDN11|5010	546.0152
CLDN12|9069	1812.2468	CLDN12|9069	1227.704
CLDN15|24146	54.5405	CLDN15|24146	154.649
lowly_expressed	lowly_expressed	CLDN18|51208	5.6926
lowly_expressed	lowly_expressed	CLDN19|149461	45.0664
CLDN1|9076	183.5435	CLDN1|9076	2097.723
CLDN23|137075	72.5029	CLDN23|137075	173.6243
lowly_expressed	lowly_expressed	CLDN2|9075	9.4877
CLDN3|1365	531.035	CLDN3|1365	467.7419
CLDN4|1364	2061.4348	CLDN4|1364	8683.5863
CLDN5|7122	54.2139	CLDN5|7122	1896.5844
CLDN7|1366	1296.2349	CLDN7|1366	1195.4459
CLDN8|9073	146.3122	CLDN8|9073	644.2125
lowly_expressed	lowly_expressed	CLDN9|9080	13.2827
CLDND1|56650	799.4918	CLDND1|56650	1234.8197
lowly_expressed	lowly_expressed	CLDND2|125875	26.0911
CLEC10A|10462	22.8613	CLEC10A|10462	146.5844
CLEC11A|6320	48.3353	CLEC11A|6320	86.3378
CLEC12A|160364	6.8584	CLEC12A|160364	22.7704
CLEC14A|161198	228.6129	CLEC14A|161198	969.6395
CLEC16A|23274	465.7171	CLEC16A|23274	714.4213
CLEC17A|388512	8.4913	CLEC17A|388512	6.167000000000001
lowly_expressed	lowly_expressed	CLEC18A|348174	7.1157
CLEC1A|51267	28.7399	CLEC1A|51267	232.4478
CLEC2B|9976	88.5058	CLEC2B|9976	374.7628
CLEC2D|29121	295.8904	CLEC2D|29121	403.7002
lowly_expressed	lowly_expressed	CLEC2L|154790	6.6414
CLEC3A|10143	3547.4184	CLEC3A|10143	45.0664
CLEC3B|7123	107.448	CLEC3B|7123	1868.1214
CLEC4A|50856	33.9653	CLEC4A|50856	57.8748
CLEC4E|26253	23.1879	CLEC4E|26253	54.0797
lowly_expressed	lowly_expressed	CLEC4F|165530	11.3852
lowly_expressed	lowly_expressed	CLEC4GP1|440508	7.1157
lowly_expressed	lowly_expressed	CLEC4G|339390	19.9241
CLEC5A|23601	129.6561	CLEC5A|23601	47.9127
CLEC7A|64581	87.5261	CLEC7A|64581	210.6262
CLEC9A|283420	5.2254	CLEC9A|283420	5.6926
CLECL1|160365	6.5318	CLECL1|160365	9.0133
CLGN|1047	2630.3542	CLGN|1047	99.1461
CLIC1|1192	6231.3334	CLIC1|1192	5481.9734
CLIC2|1193	120.8382	CLIC2|1193	544.592
CLIC3|9022	32.0058	CLIC3|9022	9.4877
CLIC4|25932	3053.288	CLIC4|25932	6980.5503
CLIC5|53405	107.1215	CLIC5|53405	667.9317
CLIC6|54102	13.0636	CLIC6|54102	486.2429
CLINT1|9685	1990.2382	CLINT1|9685	1953.9848
CLIP1|6249	1849.4779999999998	CLIP1|6249	2498.1025
CLIP2|7461	129.3296	CLIP2|7461	469.1651
CLIP3|25999	68.9104	CLIP3|25999	382.8273
CLIP4|79745	39.1908	CLIP4|79745	1276.0911
CLK1|1195	1552.2813	CLK1|1195	3202.5617
CLK2P|1197	19.2688	CLK2P|1197	16.129
CLK2|1196	1069.5816	CLK2|1196	639.9431
CLK3|1198	732.2143	CLK3|1198	862.9032
CLK4|57396	371.6592	CLK4|57396	717.2676
CLMN|79789	1732.8855	CLMN|79789	1705.408
CLN3|1201	2101.9319	CLN3|1201	861.0057
CLN5|1203	538.8732	CLN5|1203	799.3359
CLN6|54982	820.3936	CLN6|54982	738.1404
CLN8|2055	107.448	CLN8|2055	519.4497
CLNS1A|1207	1921.6544	CLNS1A|1207	1096.2998
CLOCK|9575	458.2055	CLOCK|9575	362.9032
CLP1|10978	265.1909	CLP1|10978	205.8824
CLPB|81570	294.2574	CLPB|81570	190.2277
CLPP|8192	750.1768	CLPP|8192	444.9715
CLPTM1L|81037	2204.4811	CLPTM1L|81037	1570.2087
CLPTM1|1209	3656.8259999999996	CLPTM1|1209	1894.6869
CLPX|10845	810.5959	CLPX|10845	569.26
lowly_expressed	lowly_expressed	CLRN3|119467	7.1157
CLSPN|63967	24.1676	CLSPN|63967	10.4364
CLSTN1|22883	6720.8915	CLSTN1|22883	3892.7894
CLSTN2|64084	434.0378	CLSTN2|64084	1103.4156
CLSTN3|9746	2068.9464	CLSTN3|9746	1052.6565
CLTA|1211	1965.0908	CLTA|1211	1814.9905
CLTB|1212	692.3704	CLTB|1212	1062.6186
CLTCL1|8218	7.185	CLTCL1|8218	98.6717
CLTC|1213	17248.5136	CLTC|1213	8123.3397
CLUAP1|23059	576.7576	CLUAP1|23059	487.1917
CLUL1|27098	114.9596	CLUL1|27098	37.9507
CLU|1191	44069.3742	CLU|1191	19061.6698
lowly_expressed	lowly_expressed	CLVS1|157807	14.5351
CLYBL|171425	71.1966	CLYBL|171425	67.8368
lowly_expressed	lowly_expressed	CMA1|1215	19.4497
CMAH|8418	127.37	CMAH|8418	418.4061
CMAS|55907	628.6854	CMAS|55907	534.63
CMBL|134147	3559.8288	CMBL|134147	782.2581
CMC1|152100	235.7978	CMC1|152100	123.3397
CMIP|80790	1239.7349	CMIP|80790	1588.2353
CMKLR1|1240	163.9481	CMKLR1|1240	439.7533
CMPK1|51727	3511.4935	CMPK1|51727	3693.074
CMPK2|129607	113.0001	CMPK2|129607	152.7514
CMTM1|113540	45.7226	CMTM1|113540	66.4137
CMTM3|123920	692.3704	CMTM3|123920	1280.3605
CMTM4|146223	543.7719999999999	CMTM4|146223	1167.9317
CMTM6|54918	2230.2817	CMTM6|54918	2949.241
CMTM7|112616	95.3642	CMTM7|112616	1015.1803
CMTM8|152189	173.0926	CMTM8|152189	205.8824
CMYA5|202333	666.2432	CMYA5|202333	1411.7647
CN5H6.4|150384	30.3729	CN5H6.4|150384	5.6926
CNBP|7555	7793.0858	CNBP|7555	7316.4137
CNDP2|55748	3376.6119	CNDP2|55748	3221.0626
CNFN|84518	50.6214	CNFN|84518	32.2581
lowly_expressed	lowly_expressed	CNGA1|1259	70.6831
lowly_expressed	lowly_expressed	CNGA3|1261	22.7704
CNGA4|1262	6.2052	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	CNGB1|1258	9.0133
CNIH2|254263	7.185	CNIH2|254263	10.4364
CNIH3|149111	31.3526	CNIH3|149111	93.9279
CNIH4|29097	1120.8562	CNIH4|29097	509.962
CNIH|10175	1760.9722	CNIH|10175	1018.5009
CNKSR1|10256	735.4802	CNKSR1|10256	439.7533
lowly_expressed	lowly_expressed	CNKSR2|22866	21.8216
CNKSR3|154043	873.9543	CNKSR3|154043	212.9981
CNN1|1264	60.4191	CNN1|1264	4099.6205
CNN2|1265	1318.1164	CNN2|1265	2974.8577
CNN3|1266	7777.4095	CNN3|1266	5667.4573
lowly_expressed	lowly_expressed	CNNM1|26507	13.7571
CNNM2|54805	177.9914	CNNM2|54805	104.8387
CNNM3|26505	1124.1221	CNNM3|26505	755.6926
CNNM4|26504	2027.7961	CNNM4|26504	1107.2106
CNOT10|25904	713.5987	CNOT10|25904	481.4991
CNOT1|23019	4335.7474	CNOT1|23019	3667.5
CNOT2|4848	1459.8564	CNOT2|4848	1354.3643
CNOT3|4849	1128.6943	CNOT3|4849	795.5408
CNOT4|4850	635.2172	CNOT4|4850	457.3055
CNOT6L|246175	1360.8997	CNOT6L|246175	1304.0797
CNOT6|57472	1306.6858	CNOT6|57472	770.8729
CNOT7|29883	1784.8132	CNOT7|29883	1455.408
CNOT8|9337	1448.0992	CNOT8|9337	1297.4383
CNO|55330	381.7835	CNO|55330	203.9848
CNPY2|10330	1679.6513	CNPY2|10330	747.1537
CNPY3|10695	1290.0297	CNPY3|10695	989.5636
CNPY4|245812	263.8846	CNPY4|245812	190.7021
CNP|1267	2531.9005	CNP|1267	1885.4744
lowly_expressed	lowly_expressed	CNR1|1268	80.1708
CNRIP1|25927	80.9943	CNRIP1|25927	382.3529
CNST|163882	1890.6283	CNST|163882	711.1006
CNTD1|124817	115.8055	CNTD1|124817	37.0398
CNTD2|79935	55.8469	CNTD2|79935	14.2315
CNTFR|1271	11.4306	CNTFR|1271	387.5712
CNTF|1270	9.4286	CNTF|1270	15.6546
CNTLN|54875	304.0551	CNTLN|54875	230.0759
CNTN1|1272	30.6994	CNTN1|1272	154.1746
CNTN2|6900	10.1243	CNTN2|6900	24.6679
CNTN3|5067	15.0231	CNTN3|5067	88.7097
CNTN4|152330	8.8179	CNTN4|152330	156.5465
lowly_expressed	lowly_expressed	CNTN6|27255	11.8596
CNTNAP1|8506	59.1128	CNTNAP1|8506	135.6736
CNTNAP2|26047	20.9017	CNTNAP2|26047	63.093
CNTNAP3|79937	42.1301	CNTNAP3|79937	349.6205
CNTROB|116840	478.4541	CNTROB|116840	857.685
COASY|80347	1902.7122	COASY|80347	1013.2827
COBLL1|22837	546.0581	COBLL1|22837	1485.2941
COBL|23242	989.5671	COBL|23242	1090.1328
COBRA1|25920	1103.2203	COBRA1|25920	1106.2619
lowly_expressed	lowly_expressed	COCH|1690	17.9269
COG1|9382	1351.1967	COG1|9382	802.0398
COG2|22796	2337.0766	COG2|22796	663.6622
COG3|83548	626.7258	COG3|83548	892.7894
COG4|25839	1407.602	COG4|25839	1043.6433
COG5|10466	1047.4061	COG5|10466	925.2704
COG6|57511	393.8673	COG6|57511	596.2998
COG7|91949	1021.2463	COG7|91949	588.2353
COG8|84342	530.1761	COG8|84342	369.4307
COIL|8161	956.5815	COIL|8161	398.0076
COL10A1|1300	955.2752	lowly_expressed	lowly_expressed
COL11A1|1301	1189.44	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	COL11A2|1302	13.7571
COL12A1|1303	3210.3777	COL12A1|1303	2846.2998
COL13A1|1305	8.8179	COL13A1|1305	6.6414
COL14A1|7373	587.8616	COL14A1|7373	3236.2429
COL15A1|1306	570.879	COL15A1|1306	3126.1859999999997
COL16A1|1307	468.3298	COL16A1|1307	1896.1101
lowly_expressed	lowly_expressed	COL17A1|1308	4510.4364
COL18A1|80781	1163.9660000000001	COL18A1|80781	2743.833
COL1A1|1277	13579.6038	COL1A1|1277	4890.8918
COL1A2|1278	15360.8246	COL1A2|1278	9052.1822
COL21A1|81578	40.1705	COL21A1|81578	121.4421
lowly_expressed	lowly_expressed	COL22A1|169044	20.3985
lowly_expressed	lowly_expressed	COL23A1|91522	15.6546
COL24A1|255631	50.2948	COL24A1|255631	5.2182
lowly_expressed	lowly_expressed	COL25A1|84570	46.9639
COL27A1|85301	279.5609	COL27A1|85301	301.7078
COL28A1|340267	9.4711	COL28A1|340267	9.962
lowly_expressed	lowly_expressed	COL2A1|1280	9.0133
COL3A1|1281	10303.5815	COL3A1|1281	11838.2353
COL4A1|1282	4258.0778	COL4A1|1282	11707.7799
COL4A2|1284	3454.6669	COL4A2|1284	10851.0436
COL4A3BP|10087	1093.7492	COL4A3BP|10087	1728.6528
lowly_expressed	lowly_expressed	COL4A3|1285	20.8729
lowly_expressed	lowly_expressed	COL4A4|1286	43.6433
COL4A5|1287	717.8444	COL4A5|1287	901.3283
COL4A6|1288	55.1937	COL4A6|1288	246.2049
COL5A1|1289	943.5179	COL5A1|1289	1153.2258
COL5A2|1290	1722.4346	COL5A2|1290	1698.7666
COL5A3|50509	102.2226	COL5A3|50509	1098.6717
COL6A1|1291	1418.0529	COL6A1|1291	7246.2049
COL6A2|1292	2005.2614	COL6A2|1292	9181.2144
COL6A3|1293	2809.3254	COL6A3|1293	5524.1935
lowly_expressed	lowly_expressed	COL6A6|131873	222.9602
COL7A1|1294	29.0665	COL7A1|1294	982.9222
COL8A1|1295	382.7632	COL8A1|1295	178.3681
COL8A2|1296	435.6708	COL8A2|1296	855.3131
COL9A2|1298	2095.4001	COL9A2|1298	411.2903
COL9A3|1299	5.5520000000000005	COL9A3|1299	44.1176
lowly_expressed	lowly_expressed	COLEC11|78989	10.9108
COLEC12|81035	298.1765	COLEC12|81035	511.8596
COLQ|8292	22.7306	COLQ|8292	79.9099
COMMD10|51397	578.7171	COMMD10|51397	434.5351
COMMD1|150684	339.3268	COMMD1|150684	304.0797
COMMD2|51122	597.6593	COMMD2|51122	750.4744
COMMD3|23412	2087.0264	COMMD3|23412	569.26
COMMD4|54939	776.304	COMMD4|54939	714.4213
COMMD5|28991	402.8191	COMMD5|28991	349.5493
COMMD6|170622	1382.128	COMMD6|170622	1585.8634
COMMD7|149951	957.2347	COMMD7|149951	947.8178
COMMD8|54951	172.1128	COMMD8|54951	228.1784
COMMD9|29099	623.4599	COMMD9|29099	636.6224
COMP|1311	865.4630000000001	COMP|1311	116.2239
COMTD1|118881	168.8469	COMTD1|118881	51.7078
COMT|1312	1420.0124	COMT|1312	1692.5996
COPA|1314	12358.6315	COPA|1314	4468.6907
COPB1|1315	5865.445	COPB1|1315	2854.1793
COPB2|9276	6546.1659	COPB2|9276	2906.5465
COPE|11316	2159.2387	COPE|11316	1375.7116
COPG2|26958	661.0178	COPG2|26958	631.4042
COPG|22820	6247.9894	COPG|22820	3023.7192
COPS2|9318	2098.3395	COPS2|9318	1814.0417
COPS3|8533	817.1277	COPS3|8533	990.5123
COPS4|51138	1290.6829	COPS4|51138	821.1575
COPS5|10987	1235.1626	COPS5|10987	964.8956
COPS6|10980	2133.9377	COPS6|10980	1363.3776
COPS7A|50813	2231.2615	COPS7A|50813	1224.8577
COPS7B|64708	591.1275	COPS7B|64708	552.6565
COPS8|10920	1154.152	COPS8|10920	933.5674
COPZ1|22818	5795.6626	COPZ1|22818	2566.888
COPZ2|51226	174.399	COPZ2|51226	407.0209
COQ10A|93058	150.8845	COQ10A|93058	102.9412
COQ10B|80219	709.6796	COQ10B|80219	827.7989
COQ2|27235	144.6793	COQ2|27235	163.6622
COQ3|51805	113.9798	COQ3|51805	143.2638
COQ4|51117	1162.6597	COQ4|51117	729.6015
COQ5|84274	742.3386	COQ5|84274	459.6774
COQ6|51004	496.9913	COQ6|51004	340.9345
COQ7|10229	504.5812	COQ7|10229	374.2884
COQ9|57017	887.0179	COQ9|57017	619.0702
CORIN|10699	56.8266	CORIN|10699	9.0133
CORO1A|11151	445.7951	CORO1A|11151	691.6509
CORO1B|57175	2273.7182	CORO1B|57175	1425.9962
CORO1C|23603	1052.9255	CORO1C|23603	3079.6964
CORO2A|7464	1204.4632	CORO2A|7464	472.0114
CORO2B|10391	10.1243	CORO2B|10391	175.9962
lowly_expressed	lowly_expressed	CORO6|84940	51.2334
CORO7|79585	438.8714	CORO7|79585	573.5152
lowly_expressed	lowly_expressed	CORT|1325	7.8131
COTL1|23406	973.8908	COTL1|23406	2432.1632
COX10|1352	157.4163	COX10|1352	267.0778
COX11|1353	821.824	COX11|1353	709.6442
COX15|1355	1241.9263	COX15|1355	979.962
COX16|51241	1043.781	COX16|51241	706.3567
COX17|10063	694.0033	COX17|10063	490.5123
COX18|285521	596.3530000000001	COX18|285521	271.8216
COX19|90639	186.0484	COX19|90639	195.4032
COX4I1|1327	3521.2912	COX4I1|1327	4605.7875
COX4I2|84701	22.2081	COX4I2|84701	38.8994
COX4NB|10328	452.0003	COX4NB|10328	361.4801
COX5A|9377	1386.7003	COX5A|9377	967.2676
COX5B|1329	1073.8273	COX5B|1329	1032.7324
COX6A1|1337	2407.2934	COX6A1|1337	1446.3947
COX6B1|1340	2490.9004	COX6B1|1340	2121.9165
lowly_expressed	lowly_expressed	COX6B2|125965	45.0664
COX6C|1345	22264.2797	COX6C|1345	1634.2505
COX7A1|1346	393.8673	COX7A1|1346	676.4706
COX7A2L|9167	2184.2326	COX7A2L|9167	1601.0436
COX7A2|1347	800.145	COX7A2|1347	1031.3093
COX7B|1349	1374.9431	COX7B|1349	1113.3776
COX7C|1350	2950.4122	COX7C|1350	2703.5104
COX8A|1351	1767.8306	COX8A|1351	1201.6129
CP110|9738	673.1016	CP110|9738	649.4307
lowly_expressed	lowly_expressed	CPA1|1357	34.63
CPA3|1359	149.2515	CPA3|1359	99.6205
lowly_expressed	lowly_expressed	CPA4|51200	65.9393
CPAMD8|27151	17.3093	CPAMD8|27151	595.351
CPB1|1360	9372.8006	CPB1|1360	2282.2581
CPD|1362	4157.8147	CPD|1362	3578.2732
CPEB1|64506	5.5520000000000005	CPEB1|64506	44.592
CPEB2|132864	1506.2321	CPEB2|132864	1224.8577
CPEB3|22849	254.74	CPEB3|22849	237.666
CPEB4|80315	1200.5441	CPEB4|80315	1729.1271
CPE|1363	1713.9433	CPE|1363	2684.5351
CPLX1|10815	98.3035	CPLX1|10815	106.2619
CPM|1368	458.8587	CPM|1368	2632.8273
lowly_expressed	lowly_expressed	CPN2|1370	9.0133
CPNE1|8904	1280.8983	CPNE1|8904	1590.6072
CPNE2|221184	218.8152	CPNE2|221184	915.5598
CPNE3|8895	6041.2581	CPNE3|8895	2871.9165
lowly_expressed	lowly_expressed	CPNE4|131034	6.167000000000001
