gene_id	TCGA-E9-A1N6-01A-11R-A144-07	gene_id	TCGA-E9-A1N6-11A-32R-A144-07
lowly_expressed	lowly_expressed	C15orf56|644809	7.9033
C15orf57|90416	329.2874	C15orf57|90416	419.5212
C15orf58|390637	41.8052	C15orf58|390637	34.4026
C15orf59|388135	50.3563	C15orf59|388135	32.0781
C15orf61|145853	67.9335	C15orf61|145853	66.4807
C15orf62|643338	22.8029	C15orf62|643338	95.7694
C15orf63|25764	790.9739	C15orf63|25764	401.2831
C16orf13|84326	645.1306	C16orf13|84326	225.0116
C16orf42|115939	821.6485	C16orf42|115939	486.0158
C16orf45|89927	305.9382	C16orf45|89927	521.153
C16orf46|123775	59.3824	C16orf46|123775	51.138999999999996
C16orf48|84080	260.3325	C16orf48|84080	242.6778
C16orf52|730094	231.829	C16orf52|730094	420.2696
C16orf53|79447	1204.2518	C16orf53|79447	671.7527
C16orf54|283897	26.1283	C16orf54|283897	125.0581
C16orf55|124045	211.4014	C16orf55|124045	79.033
C16orf57|79650	1224.7031	C16orf57|79650	697.815
C16orf58|64755	2211.8765	C16orf58|64755	1814.04
C16orf59|80178	260.3325	C16orf59|80178	25.5695
C16orf5|29965	376.24699999999996	C16orf5|29965	892.1432
C16orf61|56942	352.6746	C16orf61|56942	237.8475
C16orf62|57020	1167.6960000000001	C16orf62|57020	1119.4793
C16orf63|123811	883.6105	C16orf63|123811	791.7248
C16orf68|79091	204.2755	C16orf68|79091	196.1878
C16orf70|80262	558.6413	C16orf70|80262	404.1609
C16orf71|146562	45.1306	C16orf71|146562	11.6225
C16orf72|29035	2130.1663	C16orf72|29035	1337.0525
C16orf74|404550	172.9216	C16orf74|404550	62.7615
C16orf75|116028	208.076	C16orf75|116028	84.6118
C16orf79|283870	16.2708	C16orf79|283870	10.6974
C16orf7|9605	258.5036	C16orf7|9605	232.8731
C16orf80|29105	722.5653	C16orf80|29105	558.8099
C16orf86|388284	11.8765	C16orf86|388284	48.8145
C16orf87|388272	181.4727	C16orf87|388272	97.1641
C16orf88|400506	728.7411	C16orf88|400506	265.4579
lowly_expressed	lowly_expressed	C16orf89|146556	427.2431
C16orf91|283951	241.3302	C16orf91|283951	162.715
C16orf93|90835	157.7197	C16orf93|90835	33.0079
C17orf100|388327	18.5273	C17orf100|388327	39.0516
C17orf101|79701	290.7363	C17orf101|79701	305.9042
C17orf103|256302	256.057	C17orf103|256302	894.9326
C17orf104|284071	10.4513	C17orf104|284071	9.7629
C17orf106|100134934	224.304	C17orf106|100134934	252.8033
C17orf107|100130311	42.1093	C17orf107|100130311	255.9135
C17orf108|201229	356.2945	C17orf108|201229	391.4458
C17orf28|283987	2574.8219	C17orf28|283987	1286.3784
C17orf37|84299	2766.2708	C17orf37|84299	466.2947
C17orf39|79018	252.2565	C17orf39|79018	456.9967
C17orf42|79736	258.4323	C17orf42|79736	120.874
C17orf44|284029	10.4513	C17orf44|284029	46.49
C17orf48|56985	86.9359	C17orf48|56985	245.0023
C17orf49|124944	726.0048	C17orf49|124944	546.1925
C17orf51|339263	96.4371	C17orf51|339263	363.5518
C17orf53|78995	88.8361	C17orf53|78995	58.1125
lowly_expressed	lowly_expressed	C17orf55|284185	14.4119
C17orf56|146705	210.0143	C17orf56|146705	275.2906
C17orf57|124989	9.0261	C17orf57|124989	85.0767
C17orf58|284018	392.8741	C17orf58|284018	229.6606
C17orf59|54785	134.9169	C17orf59|54785	134.3561
C17orf60|284021	21.3777	C17orf60|284021	17.2013
C17orf61|254863	409.1496	C17orf61|254863	371.6411
C17orf62|79415	1610.4513	C17orf62|79415	848.4426
C17orf63|55731	1481.7102	C17orf63|55731	733.1474
C17orf65|339201	99.2589	C17orf65|339201	119.0144
C17orf67|339210	24.7031	C17orf67|339210	21.8503
C17orf68|80169	515.9145	C17orf68|80169	887.4942
C17orf69|147081	25.1781	C17orf69|147081	67.8754
C17orf70|80233	737.7672	C17orf70|80233	648.0707
C17orf71|55181	355.3444	C17orf71|55181	389.1213
C17orf72|92340	48.4846	C17orf72|92340	66.5365
C17orf75|64149	124.9406	C17orf75|64149	175.7322
C17orf76|388341	30.4038	C17orf76|388341	46.0251
C17orf77|146723	79.81	lowly_expressed	lowly_expressed
C17orf79|55352	526.8409	C17orf79|55352	626.6853
C17orf80|55028	229.4537	C17orf80|55028	492.3291
C17orf81|23587	383.848	C17orf81|23587	506.7411
C17orf85|55421	614.2518	C17orf85|55421	758.7169
C17orf86|654434	115.9145	C17orf86|654434	104.6025
C17orf87|388325	8.1378	C17orf87|388325	24.1748
C17orf89|284184	194.7743	C17orf89|284184	151.0925
C17orf90|339229	200.9501	C17orf90|339229	156.2064
C17orf91|84981	105.9382	C17orf91|84981	386.3319
C17orf95|124512	468.4086	C17orf95|124512	284.9837
C17orf96|100170841	601.4252	C17orf96|100170841	139.0051
C17orf97|400566	133.4917	C17orf97|400566	116.225
C18orf10|25941	1612.8266	C18orf10|25941	1006.9735
C18orf18|147525	12.3515	C18orf18|147525	45.5602
C18orf19|125228	284.5606	C18orf19|125228	280.7996
C18orf1|753	1094.5368	C18orf1|753	1238.0288
C18orf21|83608	262.2328	C18orf21|83608	162.2501
C18orf22|79863	446.0808	C18orf22|79863	390.0511
C18orf25|147339	695.4869	C18orf25|147339	839.1446
C18orf32|497661	1725.1164	C18orf32|497661	774.6211
lowly_expressed	lowly_expressed	C18orf34|374864	66.9456
C18orf45|85019	832.304	C18orf45|85019	352.8591
C18orf54|162681	276.0095	C18orf54|162681	64.1562
C18orf55|29090	316.8646	C18orf55|29090	283.1241
C18orf8|29919	600.9549	C18orf8|29919	439.5258
C19orf10|56005	1722.0903	C19orf10|56005	973.9656
C19orf12|83636	447.0309	C19orf12|83636	1179.4514
C19orf18|147685	21.3777	C19orf18|147685	7.4384
C19orf20|91978	19.9525	C19orf20|91978	11.1576
C19orf21|126353	343.4679	C19orf21|126353	52.0688
C19orf22|91300	1447.0309	C19orf22|91300	1071.5946
C19orf23|148046	17.1021	C19orf23|148046	10.6927
C19orf24|55009	554.8694	C19orf24|55009	302.185
C19orf25|148223	543.4679	C19orf25|148223	271.5016
C19orf26|255057	11.4014	C19orf26|255057	8.3682
C19orf28|126321	1308.7886	C19orf28|126321	592.7476
C19orf29|58509	364.3705	C19orf29|58509	438.8656
C19orf2|8725	1439.905	C19orf2|8725	1421.6643
C19orf33|64073	476.11400000000003	C19orf33|64073	53.431000000000004
lowly_expressed	lowly_expressed	C19orf35|374872	9.7629
C19orf36|113177	8.076	C19orf36|113177	19.9907
C19orf38|255809	11.4014	C19orf38|255809	13.4821
C19orf39|126074	64.6081	C19orf39|126074	45.0953
C19orf40|91442	43.7055	C19orf40|91442	26.4993
C19orf42|79086	1017.5772	C19orf42|79086	993.0265
C19orf43|79002	1449.8812	C19orf43|79002	1190.1441
C19orf44|84167	101.7055	C19orf44|84167	197.6848
C19orf46|163183	294.0618	C19orf46|163183	130.6369
C19orf47|126526	396.1995	C19orf47|126526	316.5969
C19orf48|84798	1094.5368	C19orf48|84798	669.4561
C19orf50|79036	1033.2542	C19orf50|79036	1112.0409
C19orf51|352909	57.9572	C19orf51|352909	6.0437
C19orf52|90580	240.8551	C19orf52|90580	179.9163
C19orf53|28974	1243.7055	C19orf53|28974	827.0572
C19orf54|284325	183.3729	C19orf54|284325	215.2487
C19orf55|148137	84.0855	C19orf55|148137	82.2873
C19orf56|51398	1517.8147	C19orf56|51398	1299.8559
C19orf57|79173	62.2328	C19orf57|79173	119.0144
C19orf60|55049	227.5534	C19orf60|55049	158.5309
C19orf61|56006	881.2352	C19orf61|56006	556.0205
C19orf62|29086	866.5083	C19orf62|29086	833.1009
C19orf63|284361	3084.6746	C19orf63|284361	1637.378
C19orf66|55337	444.4466	C19orf66|55337	470.7671
C19orf6|91304	1548.6936	C19orf6|91304	1195.258
C19orf70|125988	393.8242	C19orf70|125988	433.2868
C19orf71|100128569	5.7007	C19orf71|100128569	6.9735
C19orf73|55150	10.9264	C19orf73|55150	13.4821
C19orf76|199800	7.1259	C19orf76|199800	63.6913
C1D|10438	136.8171	C1D|10438	199.4421
C1GALT1C1|29071	351.0689	C1GALT1C1|29071	490.4695
C1GALT1|56913	136.8171	C1GALT1|56913	249.1864
C1QA|712	1733.0166	C1QA|712	1887.9591
C1QBP|708	1660.7363	C1QBP|708	1223.4031
C1QB|713	2063.1829	C1QB|713	2304.9744
C1QC|714	2276.9596	C1QC|714	1961.4133
C1QL1|10882	6.1758	C1QL1|10882	6.0437
lowly_expressed	lowly_expressed	C1QL2|165257	25.5695
C1QL3|389941	17.5772	C1QL3|389941	16.7364
C1QTNF1|114897	872.209	C1QTNF1|114897	976.755
C1QTNF2|114898	55.1069	C1QTNF2|114898	32.543
C1QTNF3|114899	1074.1093	C1QTNF3|114899	87.8661
C1QTNF6|114904	1715.4394	C1QTNF6|114904	123.6634
C1QTNF7|114905	54.1568	C1QTNF7|114905	97.1641
lowly_expressed	lowly_expressed	C1QTNF9B|387911	9.2236
lowly_expressed	lowly_expressed	C1QTNF9|338872	30.8926
C1RL|51279	958.6081	C1RL|51279	1529.7768
C1R|715	4480.7601	C1R|715	9080.8926
C1S|716	8086.0	C1S|716	12722.4547
C1orf101|257044	6.6508	C1orf101|257044	13.0172
C1orf103|55791	590.4988	C1orf103|55791	437.4709
C1orf104|284618	85.3777	C1orf104|284618	59.1678
C1orf106|55765	742.5178	C1orf106|55765	172.4779
C1orf107|27042	586.2233	C1orf107|27042	875.8717
C1orf109|54955	251.7815	C1orf109|54955	400.7438
C1orf112|55732	273.9335	C1orf112|55732	137.8336
C1orf113|79729	115.5629	C1orf113|79729	254.8675
lowly_expressed	lowly_expressed	C1orf114|57821	6.9735
C1orf115|79762	224.7031	C1orf115|79762	1955.3696
C1orf116|79098	1135.3919	C1orf116|79098	906.5551
C1orf122|127687	406.1805	C1orf122|127687	229.6653
C1orf123|54987	435.6295	C1orf123|54987	575.5463
C1orf124|83932	302.1378	C1orf124|83932	233.8447
C1orf126|200197	30.0665	C1orf126|200197	96.6295
C1orf127|148345	7.601	C1orf127|148345	6.0437
C1orf128|57095	934.4418	C1orf128|57095	1002.3245
lowly_expressed	lowly_expressed	C1orf130|400746	77.6383
C1orf131|128061	364.3705	C1orf131|128061	166.4342
C1orf133|574036	26.1283	C1orf133|574036	51.138999999999996
C1orf135|79000	163.4204	C1orf135|79000	22.7801
C1orf144|26099	2893.1116	C1orf144|26099	3128.3124
C1orf150|148823	5.2257	C1orf150|148823	7.9033
C1orf151|440574	905.4632	C1orf151|440574	648.0707
C1orf152|767846	8.076	C1orf152|767846	9.298
C1orf156|92342	171.0214	C1orf156|92342	144.119
C1orf159|54991	285.0356	C1orf159|54991	127.3826
C1orf162|128346	198.5748	C1orf162|128346	247.7917
C1orf163|65260	149.1686	C1orf163|65260	279.8698
C1orf168|199920	194.7743	C1orf168|199920	17.2013
C1orf170|84808	66.5083	C1orf170|84808	29.7536
C1orf172|126695	397.6247	C1orf172|126695	277.0804
C1orf173|127254	27.0784	C1orf173|127254	46.0251
C1orf174|339448	392.399	C1orf174|339448	276.1506
C1orf175|374977	19.1164	C1orf175|374977	41.3761
C1orf183|55924	22.3278	C1orf183|55924	104.1376
lowly_expressed	lowly_expressed	C1orf186|440712	16.2715
C1orf187|374946	6.1758	lowly_expressed	lowly_expressed
C1orf190|541468	15.9667	C1orf190|541468	54.3747
C1orf192|257177	17.5772	C1orf192|257177	31.1483
C1orf198|84886	2584.323	C1orf198|84886	5002.3245
C1orf201|90529	167.2209	C1orf201|90529	205.4858
C1orf203|84852	33.2779	C1orf203|84852	76.2901
C1orf204|284677	12.0475	C1orf204|284677	59.218999999999994
C1orf210|149466	170.0713	C1orf210|149466	208.2752
C1orf212|113444	412.3515	C1orf212|113444	579.7304
C1orf213|148898	27.5677	C1orf213|148898	56.9735
C1orf216|127703	410.4513	C1orf216|127703	388.6564
C1orf21|81563	1922.5653	C1orf21|81563	1967.457
C1orf220|400798	5.2257	C1orf220|400798	5.5788
C1orf226|400793	1534.4418	C1orf226|400793	876.8015
lowly_expressed	lowly_expressed	C1orf228|339541	10.2278
C1orf229|388759	9.0261	lowly_expressed	lowly_expressed
C1orf25|81627	481.7102	C1orf25|81627	448.6285
C1orf26|54823	84.5606	C1orf26|54823	161.3203
C1orf27|54953	757.2447	C1orf27|54953	656.4389
C1orf31|388753	497.8622	C1orf31|388753	150.6276
C1orf35|79169	313.0641	C1orf35|79169	157.6011
C1orf38|9473	452.2565	C1orf38|9473	531.8457
C1orf43|25912	6136.8171	C1orf43|25912	3358.9028
C1orf50|79078	119.2399	C1orf50|79078	141.3296
C1orf51|148523	41.3302	C1orf51|148523	69.735
C1orf52|148423	200.0	C1orf52|148423	323.5704
lowly_expressed	lowly_expressed	C1orf53|388722	10.6927
C1orf54|79630	141.0926	C1orf54|79630	96.2343
C1orf55|163859	742.9929	C1orf55|163859	950.2557
C1orf56|54964	230.13299999999998	C1orf56|54964	138.4333
C1orf57|84284	549.6437	C1orf57|84284	423.5239
C1orf58|148362	373.3064	C1orf58|148362	280.3161
C1orf59|113802	338.2423	C1orf59|113802	171.0832
lowly_expressed	lowly_expressed	C1orf61|10485	5.5788
C1orf63|57035	340.1425	C1orf63|57035	398.8842
lowly_expressed	lowly_expressed	C1orf64|149563	61.3668
C1orf66|51093	719.2399	C1orf66|51093	490.0046
C1orf69|200205	199.5249	C1orf69|200205	278.0102
lowly_expressed	lowly_expressed	C1orf70|339453	5.1139
C1orf74|148304	98.8124	C1orf74|148304	86.0065
C1orf77|26097	2401.9002	C1orf77|26097	1864.2492
C1orf83|127428	614.2518	C1orf83|127428	196.1878
C1orf84|149469	8.8266	C1orf84|149469	14.3003
C1orf85|112770	1634.2043	C1orf85|112770	617.8522
C1orf86|199990	249.8717	C1orf86|199990	222.5616
C1orf88|128344	48.4561	C1orf88|128344	156.6713
C1orf89|79363	56.056999999999995	C1orf89|79363	40.4463
C1orf91|56063	168.1093	C1orf91|56063	150.0697
C1orf93|127281	674.4798	C1orf93|127281	652.4547
lowly_expressed	lowly_expressed	C1orf95|375057	102.7429
C1orf96|126731	483.6105	C1orf96|126731	420.7345
C1orf97|84791	92.1615	C1orf97|84791	59.0423
C1orf9|51430	1645.1306	C1orf9|51430	1191.5388
C20orf103|24141	223.753	C20orf103|24141	30.2185
lowly_expressed	lowly_expressed	C20orf107|388799	5.5788
C20orf108|116151	2563.4204	C20orf108|116151	3145.0488
C20orf111|51526	670.3088	C20orf111|51526	860.9949
C20orf112|140688	1221.8527	C20orf112|140688	862.3896
lowly_expressed	lowly_expressed	C20orf114|92747	39.0516
C20orf117|140710	559.1449	C20orf117|140710	409.5769
C20orf118|140711	10.5986	C20orf118|140711	41.7945
C20orf11|54994	1777.6722	C20orf11|54994	1536.9596
C20orf12|55184	68.8836	C20orf12|55184	141.3296
C20orf132|140699	13.7767	C20orf132|140699	38.5914
C20orf134|170487	22.3278	C20orf134|170487	22.3152
C20orf135|140701	35.6295	C20orf135|140701	46.9549
C20orf151|140893	177.1971	C20orf151|140893	56.2529
C20orf160|140706	42.2803	C20orf160|140706	170.1534
lowly_expressed	lowly_expressed	C20orf165|128497	10.2278
C20orf177|63939	143.94299999999998	C20orf177|63939	124.5932
C20orf194|25943	226.6033	C20orf194|25943	1150.1627
C20orf196|149840	48.9311	C20orf196|149840	62.7615
lowly_expressed	lowly_expressed	C20orf197|284756	6.5086
C20orf199|441951	1251.7815	C20orf199|441951	1962.808
lowly_expressed	lowly_expressed	C20orf202|400831	6.5086
lowly_expressed	lowly_expressed	C20orf203|284805	5.5788
C20orf20|55257	426.6033	C20orf20|55257	209.6699
C20orf24|55969	1382.0665	C20orf24|55969	713.431
C20orf26|26074	9.5012	lowly_expressed	lowly_expressed
C20orf27|54976	464.13300000000004	C20orf27|54976	479.7768
C20orf29|55317	233.7292	C20orf29|55317	165.0395
C20orf30|29058	1981.9477	C20orf30|29058	2386.3319
C20orf3|57136	5445.1306	C20orf3|57136	2854.4863
C20orf43|51507	1966.7458	C20orf43|51507	2163.6448
C20orf46|55321	90.2613	C20orf46|55321	28.8238
C20orf4|25980	1386.2233	C20orf4|25980	1121.3389
C20orf54|113278	521.1401	C20orf54|113278	193.8633
C20orf72|92667	501.1876	C20orf72|92667	520.2232
C20orf7|79133	176.7221	C20orf7|79133	156.2064
C20orf94|128710	19.0024	C20orf94|128710	11.6225
C20orf96|140680	341.5677	C20orf96|140680	184.5653
C21orf119|84996	33.2542	C21orf119|84996	64.6211
C21orf122|728039	20.4276	C21orf122|728039	36.2622
lowly_expressed	lowly_expressed	C21orf125|284836	5.5788
lowly_expressed	lowly_expressed	C21orf130|284835	5.5788
C21orf15|54094	5.7007	C21orf15|54094	19.9907
C21orf29|54084	30.4038	lowly_expressed	lowly_expressed
C21orf2|755	260.3325	C21orf2|755	363.5518
C21orf33|8209	1666.9834	C21orf33|8209	1576.941
C21orf34|388815	17.1021	C21orf34|388815	108.3217
C21orf45|54069	480.7601	C21orf45|54069	158.5309
lowly_expressed	lowly_expressed	C21orf49|54067	11.1576
C21orf56|84221	219.9525	C21orf56|84221	122.2687
C21orf57|54059	83.1354	C21orf57|54059	125.523
C21orf58|54058	134.9169	C21orf58|54058	42.3059
C21orf59|56683	900.5083	C21orf59|56683	577.4059
C21orf63|59271	114.4893	C21orf63|59271	1038.5867
C21orf67|84536	37.5297	C21orf67|84536	62.7615
C21orf70|85395	114.4893	C21orf70|85395	128.7773
C21orf7|56911	48.9311	C21orf7|56911	52.0688
C21orf82|114036	14.2518	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C21orf88|114041	43.2357
C21orf91|54149	490.7363	C21orf91|54149	487.6801
C22orf13|83606	2906.1473	C22orf13|83606	1971.8782
C22orf23|84645	21.8527	C22orf23|84645	127.3826
C22orf25|128989	567.2209	C22orf25|128989	490.0046
C22orf26|55267	9.0261	C22orf26|55267	11.6225
C22orf27|150291	103.0879	C22orf27|150291	119.4793
C22orf28|51493	2025.6532	C22orf28|51493	1749.8838
C22orf29|79680	786.5511	C22orf29|79680	575.6346
C22orf30|253143	1477.4347	C22orf30|253143	1013.0172
C22orf32|91689	343.4679	C22orf32|91689	662.4826
lowly_expressed	lowly_expressed	C22orf34|348645	10.6927
C22orf36|388886	382.4228	C22orf36|388886	183.1706
C22orf39|128977	390.4988	C22orf39|128977	653.1799
C22orf40|150383	116.3895	C22orf40|150383	116.225
lowly_expressed	lowly_expressed	C22orf41|644186	6.5086
lowly_expressed	lowly_expressed	C22orf45|646023	6.9735
C22orf46|79640	519.2399	C22orf46|79640	643.4217
C22orf9|23313	4051.3064	C22orf9|23313	1853.5565
C2CD2L|9854	636.4466	C2CD2L|9854	319.3445
C2CD2|25966	664.6081	C2CD2|25966	2567.643
C2CD3|26005	720.6651	C2CD3|26005	778.7076
C2CD4A|145741	148.2185	C2CD4A|145741	16.7364
C2CD4B|388125	23.753	C2CD4B|388125	115.7601
C2CD4C|126567	5.2257	C2CD4C|126567	49.7443
C2CD4D|100191040	9.9762	C2CD4D|100191040	6.0437
C2orf15|150590	30.8029	C2orf15|150590	47.1269
C2orf16|84226	28.9786	C2orf16|84226	36.7271
C2orf18|54978	2551.5439	C2orf18|54978	1320.3161
C2orf24|27013	1247.981	C2orf24|27013	1401.2087
C2orf27A|29798	26.6033	C2orf27A|29798	12.5523
C2orf28|51374	1204.9406	C2orf28|51374	1455.4672
C2orf29|55571	935.3919	C2orf29|55571	678.2892
C2orf34|79823	55.1069	C2orf34|79823	69.735
C2orf3|6936	424.7031	C2orf3|6936	527.1967
lowly_expressed	lowly_expressed	C2orf40|84417	307.2989
C2orf42|54980	199.5249	C2orf42|54980	232.45
C2orf43|60526	283.6105	C2orf43|60526	250.5811
C2orf44|80304	206.1758	C2orf44|80304	217.1083
C2orf47|79568	332.4893	C2orf47|79568	274.291
C2orf48|348738	11.8765	lowly_expressed	lowly_expressed
C2orf49|79074	113.0641	C2orf49|79074	143.1892
C2orf50|130813	12.3515	C2orf50|130813	9.7629
C2orf54|79919	509.2637	C2orf54|79919	27.4291
C2orf55|343990	180.9976	C2orf55|343990	274.291
C2orf56|55471	226.1283	C2orf56|55471	228.7308
lowly_expressed	lowly_expressed	C2orf58|285154	16.2715
C2orf60|129450	147.7957	C2orf60|129450	192.9335
C2orf63|130162	53.6817	C2orf63|130162	91.5853
C2orf64|493753	327.3159	C2orf64|493753	372.3849
C2orf65|130951	38.4798	C2orf65|130951	22.7801
C2orf67|151050	343.3872	C2orf67|151050	465.0209
C2orf68|388969	471.73400000000004	C2orf68|388969	644.3515
C2orf69|205327	414.2518	C2orf69|205327	447.2338
lowly_expressed	lowly_expressed	C2orf71|388939	6.9735
C2orf72|257407	111.639	C2orf72|257407	152.0223
C2orf74|339804	333.9667	C2orf74|339804	347.7452
C2orf76|130355	120.6651	C2orf76|130355	44.1655
C2orf77|129881	58.4323	C2orf77|129881	232.9149
C2orf79|391356	170.5463	C2orf79|391356	258.9493
C2orf7|84279	226.1283	C2orf7|84279	228.2659
C2orf81|388963	50.1948	C2orf81|388963	39.4654
lowly_expressed	lowly_expressed	C2orf82|389084	6.9735
C2orf84|653140	5.2257	C2orf84|653140	18.596
C2orf86|51057	42.2803	C2orf86|51057	130.172
C2orf88|84281	8.5511	C2orf88|84281	348.2101
C2orf89|129293	19.0024	C2orf89|129293	66.9456
C2|717	816.6271	C2|717	460.251
C3AR1|719	361.0451	C3AR1|719	388.6564
C3orf10|55845	2137.7672	C3orf10|55845	2689.9117
C3orf14|57415	407.601	C3orf14|57415	162.2501
C3orf15|89876	12.8266	C3orf15|89876	149.2329
C3orf17|25871	685.0356	C3orf17|25871	989.7722
C3orf18|51161	64.133	C3orf18|51161	205.9507
C3orf19|51244	315.9145	C3orf19|51244	450.4881
C3orf1|51300	1048.4561	C3orf1|51300	880.5207
C3orf21|152002	478.8599	C3orf21|152002	218.503
C3orf23|285343	376.24699999999996	C3orf23|285343	437.9358
C3orf26|84319	455.5819	C3orf26|84319	340.3068
C3orf31|132001	103.5629	C3orf31|132001	200.8368
C3orf32|51066	8.5511	C3orf32|51066	9.298
C3orf33|285315	100.7126	C3orf33|285315	141.3296
C3orf34|84984	74.1093	C3orf34|84984	46.9549
lowly_expressed	lowly_expressed	C3orf35|339883	6.9735
C3orf36|80111	8.5511	lowly_expressed	lowly_expressed
C3orf37|56941	1309.7387	C3orf37|56941	1013.0172
C3orf38|285237	385.7482	C3orf38|285237	323.5704
C3orf39|84892	684.0855	C3orf39|84892	506.7411
C3orf42|84657	12.3515	C3orf42|84657	21.3854
C3orf47|339942	34.6793	C3orf47|339942	40.9112
C3orf52|79669	199.5249	C3orf52|79669	105.9972
C3orf54|389119	29.4537	C3orf54|389119	27.4291
C3orf55|152078	14.7268	C3orf55|152078	145.5137
C3orf57|165679	107.3634	C3orf57|165679	84.6118
C3orf58|205428	489.7862	C3orf58|205428	682.9382
C3orf59|151963	132.5416	C3orf59|151963	299.3956
C3orf62|375341	139.6675	C3orf62|375341	161.3203
C3orf63|23272	1770.266	C3orf63|23272	1951.0972
C3orf64|285203	407.1259	C3orf64|285203	1352.8591
C3orf67|200844	23.2779	C3orf67|200844	10.2278
C3orf70|285382	106.4133	C3orf70|285382	108.3217
C3orf71|646450	14.7696	C3orf71|646450	17.2013
C3orf75|54859	444.1805	C3orf75|54859	301.2552
C3|718	2707.3634	C3|718	24160.8554
C4A|720	7382.8979	C4A|720	11338.1079
lowly_expressed	lowly_expressed	C4BPA|722	66.4807
C4BPB|725	6.1758	C4BPB|725	10.6927
C4orf10|317648	201.7007	C4orf10|317648	283.0265
C4orf12|404201	5.7007	C4orf12|404201	36.2622
C4orf14|84273	497.3872	C4orf14|84273	729.4282
C4orf19|55286	68.8836	C4orf19|55286	207.0525
C4orf21|55345	112.11399999999999	C4orf21|55345	86.9363
C4orf23|152992	194.7743	C4orf23|152992	352.3942
C4orf27|54969	474.1093	C4orf27|54969	357.0432
C4orf29|80167	102.6128	C4orf29|80167	115.7601
C4orf31|79625	73.1591	C4orf31|79625	160.8554
C4orf32|132720	757.2447	C4orf32|132720	1029.7536
C4orf33|132321	189.0736	C4orf33|132321	134.3561
C4orf34|201895	1463.658	C4orf34|201895	793.1195
C4orf36|132989	5.7007	C4orf36|132989	9.7629
lowly_expressed	lowly_expressed	C4orf38|152641	15.8066
C4orf39|152756	9.0261	C4orf39|152756	31.1483
C4orf3|401152	1800.0	C4orf3|401152	3398.8842
C4orf41|60684	984.323	C4orf41|60684	1107.3919
C4orf42|92070	272.209	C4orf42|92070	287.3082
C4orf43|55319	354.3943	C4orf43|55319	330.5439
C4orf46|201725	214.2518	C4orf46|201725	141.7945
C4orf47|441054	8.5511	C4orf47|441054	10.2278
C4orf48|401115	29.9287	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	C4orf49|84709	50.6741
C4orf52|389203	181.9477	C4orf52|389203	362.1571
lowly_expressed	lowly_expressed	C4orf7|260436	1008.8331
C5AR1|728	243.2304	C5AR1|728	271.5016
C5orf13|9315	2383.848	C5orf13|9315	418.41
C5orf15|56951	1648.4561	C5orf15|56951	1534.1702
C5orf20|140947	6.1758	C5orf20|140947	13.947000000000001
C5orf22|55322	570.5463	C5orf22|55322	465.8298
C5orf23|79614	29.4537	C5orf23|79614	873.5472
C5orf24|134553	1454.1568	C5orf24|134553	1218.0381
C5orf25|375484	432.8029	C5orf25|375484	231.0553
lowly_expressed	lowly_expressed	C5orf27|202299	31.6132
C5orf28|64417	223.753	C5orf28|64417	342.1664
C5orf30|90355	706.4133	C5orf30|90355	318.4565
C5orf32|84418	638.0048	C5orf32|84418	800.0930000000001
C5orf33|133686	818.0523	C5orf33|133686	611.3436
C5orf34|375444	66.0333	C5orf34|375444	49.7443
C5orf35|133383	76.9596	C5orf35|133383	83.2171
C5orf36|285600	96.9121	C5orf36|285600	79.033
C5orf38|153571	83.1354	C5orf38|153571	40.4463
C5orf39|389289	10.4513	C5orf39|389289	39.9814
C5orf41|153222	191.4489	C5orf41|153222	583.9145
C5orf42|65250	611.4014	C5orf42|65250	593.2125
C5orf43|643155	1390.0238	C5orf43|643155	967.9219
C5orf44|80006	529.1449	C5orf44|80006	405.0395
C5orf45|51149	140.3658	C5orf45|51149	181.7899
C5orf46|389336	62.2328	C5orf46|389336	52.0688
C5orf49|134121	98.3373	C5orf49|134121	15.3417
C5orf4|10826	427.5534	C5orf4|10826	1914.9233
C5orf51|285636	1010.4513	C5orf51|285636	765.2255
C5orf53|492311	203.8005	C5orf53|492311	351.9293
C5orf54|63920	124.9406	C5orf54|63920	100.4184
C5orf55|116349	42.7553	C5orf55|116349	55.788000000000004
C5orf56|441108	31.3824	C5orf56|441108	70.7392
C5orf62|85027	486.9359	C5orf62|85027	1008.3682
C5|727	55.5819	C5|727	145.9786
C6orf105|84830	21.8527	C6orf105|84830	77.6383
C6orf106|64771	2527.3159	C6orf106|64771	3355.1836
C6orf108|10591	184.7981	C6orf108|10591	179.4514
C6orf114|85411	13.3017	C6orf114|85411	11.1576
C6orf115|58527	1964.3705	C6orf115|58527	307.2989
C6orf120|387263	451.0451	C6orf120|387263	879.205
lowly_expressed	lowly_expressed	C6orf122|401288	15.880999999999998
lowly_expressed	lowly_expressed	C6orf123|26238	25.1046
lowly_expressed	lowly_expressed	C6orf124|653483	26.9642
C6orf125|84300	590.6033	C6orf125|84300	367.20599999999996
C6orf126|389383	9.0261	lowly_expressed	lowly_expressed
C6orf129|154467	214.7268	C6orf129|154467	70.6648
C6orf130|221443	180.5131	C6orf130|221443	380.7066
C6orf132|647024	176.247	C6orf132|647024	285.9135
C6orf134|79969	279.3349	C6orf134|79969	258.4844
C6orf136|221545	202.8504	C6orf136|221545	174.3375
