gene_id	TCGA-E9-A1N6-01A-11R-A144-07	gene_id	TCGA-E9-A1N6-11A-32R-A144-07
ACAD11|84129	277.4347	ACAD11|84129	609.9489
ACAD8|27034	346.3183	ACAD8|27034	456.5318
ACAD9|28976	940.1425	ACAD9|28976	931.1901
ACADL|33	37.0546	ACADL|33	114.3654
ACADM|34	931.1164	ACADM|34	1096.2343
ACADSB|36	652.2565	ACADSB|36	1197.1176
ACADS|35	72.209	ACADS|35	655.974
ACADVL|37	4538.2423	ACADVL|37	6616.4389
ACAN|176	85.9857	lowly_expressed	lowly_expressed
ACAP1|9744	20.9026	ACAP1|9744	159.9256
ACAP2|23527	1347.7435	ACAP2|23527	1450.953
ACAP3|116983	667.4727	ACAP3|116983	557.4523
ACAT1|38	992.399	ACAT1|38	1432.8219
ACAT2|39	933.0309	ACAT2|39	342.9661
ACBD3|64746	2012.3515	ACBD3|64746	1616.4575
ACBD4|79777	50.8314	ACBD4|79777	334.728
ACBD5|91452	743.4679	ACBD5|91452	629.9396
ACBD6|84320	551.5439	ACBD6|84320	336.1227
ACBD7|414149	13.7767	ACBD7|414149	44.6304
lowly_expressed	lowly_expressed	ACCN1|40	6.5086
ACCN2|41	79.81	ACCN2|41	179.4514
lowly_expressed	lowly_expressed	ACCN3|9311	9.7629
ACCS|84680	167.2209	ACCS|84680	364.0167
ACD|65057	584.7981	ACD|65057	342.6313
lowly_expressed	lowly_expressed	ACE2|59272	29.2887
ACER2|340485	83.6105	ACER2|340485	125.523
ACER3|55331	166.7458	ACER3|55331	509.9954
ACE|1636	415.2019	ACE|1636	593.2125
ACHE|43	9.9762	ACHE|43	56.2529
ACIN1|22985	2612.3515	ACIN1|22985	3525.3371
ACLY|47	4945.8432	ACLY|47	2823.8029
ACMSD|130013	19.9525	lowly_expressed	lowly_expressed
ACN9|57001	48.9311	ACN9|57001	105.9972
ACO1|48	1861.2827	ACO1|48	2731.2878
ACO2|50	3741.753	ACO2|50	2708.6425
ACOT11|26027	91.2114	ACOT11|26027	51.6039
ACOT13|55856	506.9834	ACOT13|55856	414.2166
ACOT1|641371	534.4418	ACOT1|641371	606.2297
ACOT2|10965	319.2399	ACOT2|10965	402.6034
ACOT4|122970	219.0024	ACOT4|122970	84.1469
ACOT7|11332	788.5986	ACOT7|11332	271.5016
ACOT8|10005	338.7553	ACOT8|10005	190.2417
ACOT9|23597	548.2185	ACOT9|23597	574.6165
ACOX1|51	1107.8385	ACOX1|51	2525.5881
ACOX2|8309	167.696	ACOX2|8309	250.5811
ACOX3|8310	977.1971	ACOX3|8310	464.9
ACP1|52	1229.9287	ACP1|52	1179.9163
ACP2|53	1216.152	ACP2|53	685.2627
ACP5|54	1035.1544	ACP5|54	1278.4751
ACP6|51205	181.9477	ACP6|51205	201.7666
ACPL2|92370	634.2043	ACPL2|92370	272.4314
ACPP|55	34.2043	ACPP|55	14.4119
ACRBP|84519	17.1021	ACRBP|84519	24.6397
ACRC|93953	11.8765	ACRC|93953	14.4119
lowly_expressed	lowly_expressed	ACR|49	14.8768
lowly_expressed	lowly_expressed	ACSBG1|23205	13.0172
lowly_expressed	lowly_expressed	ACSBG2|81616	7.4384
ACSF2|80221	313.0641	ACSF2|80221	728.4984
ACSF3|197322	489.3112	ACSF3|197322	430.9623
ACSL1|2180	4233.7292	ACSL1|2180	6661.5528
ACSL3|2181	4025.6532	ACSL3|2181	2420.2696
ACSL4|2182	926.3658	ACSL4|2182	1747.5593
ACSL5|51703	144.8931	ACSL5|51703	841.934
lowly_expressed	lowly_expressed	ACSL6|23305	8.8331
ACSM1|116285	9.0261	ACSM1|116285	29.2887
ACSM3|6296	8.6366	ACSM3|6296	146.1878
