gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
ACADS|35	275.8088	ACADS|35	1245.2596
ACADVL|37	3555.6596	ACADVL|37	7741.06
ACAN|176	138.6763	ACAN|176	11.8122
ACAP1|9744	17.2381	ACAP1|9744	69.0084
ACAP2|23527	1257.3487	ACAP2|23527	1623.8732
ACAP3|116983	286.8901	ACAP3|116983	375.3
ACAT1|38	2038.464	ACAT1|38	3277.277
ACAT2|39	622.7131	ACAT2|39	265.7165
ACBD3|64746	2346.6907	ACBD3|64746	1298.4147
ACBD4|79777	232.5851	ACBD4|79777	289.4001
ACBD5|91452	973.0495	ACBD5|91452	1108.1753
ACBD6|84320	505.0492	ACBD6|84320	316.7547
ACBD7|414149	34.7334	ACBD7|414149	12.1231
ACCN2|41	155.1425	ACCN2|41	60.6155
ACCN3|9311	15.1798	ACCN3|9311	7.1495
ACCS|84680	151.5405	ACCS|84680	271.06
ACD|65057	262.4301	ACD|65057	207.9577
removed	removed	ACE2|59272	20.516
ACER2|340485	97.2535	ACER2|340485	300.5906
ACER3|55331	498.3598	ACER3|55331	898.6634
ACE|1636	827.6838	ACE|1636	1001.2434
ACIN1|22985	3503.4412	ACIN1|22985	2826.8573
ACLY|47	5468.8364	ACLY|47	2700.0311
ACMSD|130013	117.0644	removed	removed
ACN9|57001	27.5294	ACN9|57001	114.0814
ACO1|48	1303.1453	ACO1|48	7679.5151
ACO2|50	1760.6947	ACO2|50	3716.9381
ACOT11|26027	19.039	ACOT11|26027	32.8287
ACOT13|55856	747.6658	ACOT13|55856	860.0746
ACOT1|641371	1091.1764	ACOT1|641371	1727.0749
ACOT2|10965	618.4782	ACOT2|10965	897.42
ACOT4|122970	579.6617	ACOT4|122970	235.3124
ACOT6|641372	5.403	ACOT6|641372	13.0556
ACOT7|11332	186.7884	ACOT7|11332	213.553
ACOT8|10005	321.6826	ACOT8|10005	222.1604
ACOT9|23597	206.8566	ACOT9|23597	695.9901
ACOX1|51	1919.0841	ACOX1|51	3316.4439
ACOX2|8309	820.7371	ACOX2|8309	516.6304
ACOX3|8310	463.6264	ACOX3|8310	421.5107
ACP1|52	1487.8755	ACP1|52	1081.4423
ACP2|53	1921.9142	ACP2|53	970.1585
ACP5|54	1272.5285	ACP5|54	1217.594
ACP6|51205	637.8079	ACP6|51205	165.0606
ACPL2|92370	840.8053	ACPL2|92370	279.7638
ACPP|55	38.5927	ACPP|55	20.8269
ACRBP|84519	28.8158	ACRBP|84519	20.516
ACRC|93953	30.6168	ACRC|93953	45.073
removed	removed	ACR|49	6.8387
removed	removed	ACSBG1|23205	14.9207
ACSF2|80221	1003.4939	ACSF2|80221	1634.7529
ACSF3|197322	205.5702	ACSF3|197322	269.8166
ACSL1|2180	427.8639	ACSL1|2180	25866.3351
ACSL3|2181	3518.1064	ACSL3|2181	2333.8514
ACSL4|2182	434.296	ACSL4|2182	2437.0532
ACSL5|51703	244.9347	ACSL5|51703	1285.9807
ACSL6|23305	7.7185	removed	removed
ACSM1|116285	31.9033	removed	removed
removed	removed	ACSM2A|123876	10.258
removed	removed	ACSM2B|348158	6.217
ACSM3|6296	20.3846	ACSM3|6296	38.5173
ACSM5|54988	19.5536	ACSM5|54988	1607.709
ACSS1|84532	748.1829	ACSS1|84532	613.3043
ACSS2|55902	982.8263	ACSS2|55902	4442.6484
ACSS3|79611	36.0198	ACSS3|79611	1006.5278
ACTA2|59	5416.1292	ACTA2|59	8790.5129
ACTB|60	61484.2735	ACTB|60	47717.1278
ACTC1|70	8.4904	removed	removed
ACTG1|71	51290.667	ACTG1|71	32399.7513
ACTG2|72	77.4426	ACTG2|72	1818.4644
ACTL6A|86	1334.2767	ACTL6A|86	682.0019
ACTN1|87	3003.5377	ACTN1|87	6543.9851
ACTN4|81	6925.8867	ACTN4|81	7465.7227
ACTR10|55860	1310.6065	ACTR10|55860	1229.4063
ACTR1A|10121	2571.8145	ACTR1A|10121	2947.1557
ACTR1B|10120	1036.3414	ACTR1B|10120	1346.2854
ACTR2|10097	5810.2528	ACTR2|10097	5424.9301
ACTR3B|57180	178.8126	ACTR3B|57180	104.756
ACTR3C|653857	18.5245	ACTR3C|653857	25.4896
ACTR3|10096	3104.1358	ACTR3|10096	3074.2928
ACTR5|79913	182.4146	ACTR5|79913	149.829
ACTR6|64431	696.7261	ACTR6|64431	513.8328
ACTR8|93973	503.7628	ACTR8|93973	445.1352
ACVR1B|91	1103.7499	ACVR1B|91	818.1536
ACVR1C|130399	14.6652	ACVR1C|130399	2344.4203
ACVR1|90	960.1852	ACVR1|90	1042.8971
ACVR2A|92	274.0078	ACVR2A|92	548.337
ACVR2B|93	381.2954	ACVR2B|93	398.1971
ACVRL1|94	335.2415	ACVRL1|94	1484.613
ACY1|95	817.907	ACY1|95	565.0482
ACYP1|97	73.8406	ACYP1|97	44.4514
