gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
DNASE1|1773	127.1754	DNASE1|1773	18.0972
DNASE2B|58511	6.0241	lowly_expressed	lowly_expressed
DNASE2|1777	2256.0241	DNASE2|1777	395.5533
DND1|373863	114.2838	DND1|373863	39.4312
lowly_expressed	lowly_expressed	DNER|92737	5.1706
DNHD1|144132	180.7229	DNHD1|144132	112.2027
DNLZ|728489	71.9545	DNLZ|728489	56.3599
DNM1L|10059	1860.7764	DNM1L|10059	2899.6898
DNM1P35|100128285	10.0402	DNM1P35|100128285	5.1706
DNM1|1759	487.6171	DNM1|1759	222.3371
DNM2|1785	2436.6934	DNM2|1785	2785.3568
DNM3|26052	213.8554	DNM3|26052	33.6091
DNMBP|23268	1002.6205	DNMBP|23268	947.6577
DNMT1|1786	1062.9183	DNMT1|1786	370.7342
DNMT3A|1788	274.0964	DNMT3A|1788	990.1758
DNMT3B|1789	55.5556	DNMT3B|1789	18.6143
DNPEP|23549	2745.9839	DNPEP|23549	1748.1903
DNTTIP1|116092	527.4431	DNTTIP1|116092	643.2265
DNTTIP2|30836	969.2102	DNTTIP2|30836	1733.1954
DOC2A|8448	66.5395	lowly_expressed	lowly_expressed
DOC2B|8447	7.0281	DOC2B|8447	16.546
DOCK10|55619	743.9759	DOCK10|55619	104.4467
DOCK11|139818	417.0013	DOCK11|139818	258.5315
DOCK1|1793	1702.8112	DOCK1|1793	752.3268
DOCK2|1794	735.9438	DOCK2|1794	55.3257
DOCK3|1795	140.2276	DOCK3|1795	83.2472
DOCK4|9732	937.7510000000001	DOCK4|9732	1479.3175
DOCK5|80005	781.7938	DOCK5|80005	55.1344
DOCK6|57572	791.834	DOCK6|57572	549.121
DOCK7|85440	605.4217	DOCK7|85440	432.2647
DOCK8|81704	1608.3869	DOCK8|81704	182.5233
DOCK9|23348	1772.0884	DOCK9|23348	1272.4922
DOHH|83475	173.3601	DOHH|83475	204.757
DOK1|1796	623.1593	DOK1|1796	41.365
DOK2|9046	65.5957	DOK2|9046	36.1944
DOK3|79930	258.0321	DOK3|79930	31.5408
DOK4|55715	244.3106	DOK4|55715	151.4995
DOK5|55816	93.0388	DOK5|55816	1139.607
DOK6|220164	105.4217	DOK6|220164	24.302
lowly_expressed	lowly_expressed	DOK7|285489	423.9917
DOLK|22845	728.9157	DOLK|22845	271.4581
DOLPP1|57171	460.17400000000004	DOLPP1|57171	163.90900000000002
DOM3Z|1797	314.3775	DOM3Z|1797	122.4457
DONSON|29980	148.5107	DONSON|29980	177.6267
DOPEY1|23033	814.2838	DOPEY1|23033	814.1468
DOPEY2|9980	3375.502	DOPEY2|9980	2137.0217
DOT1L|84444	534.1365	DOT1L|84444	462.2544
DPAGT1|1798	902.2289	DPAGT1|1798	293.2265
DPCD|25911	390.656	DPCD|25911	122.2751
DPEP1|1800	134.2035	lowly_expressed	lowly_expressed
DPEP2|64174	67.6037	DPEP2|64174	23.7849
DPF2|5977	1347.7242	DPF2|5977	1119.9586
DPF3|8110	5.0201	DPF3|8110	1092.5543
DPH1|1801	1061.8942	DPH1|1801	770.7135
DPH2|1802	307.2289	DPH2|1802	721.8201
DPH3B|100132911	21.7537	DPH3B|100132911	10.3413
DPH3|285381	649.2637	DPH3|285381	1455.0155
DPH5|51611	231.9712	DPH5|51611	394.0951
DPM1|8813	697.1218	DPM1|8813	702.1717
DPM2|8818	1011.7135	DPM2|8818	167.5284
DPM3|54344	207.4967	DPM3|54344	237.84900000000002
DPP3|10072	631.1914	DPP3|10072	457.0838
DPP4|1803	405.9572	DPP4|1803	591.5202
lowly_expressed	lowly_expressed	DPP6|1804	6.7218
DPP7|29952	2369.4779	DPP7|29952	593.0714
DPP8|54878	745.3146	DPP8|54878	2181.4891
DPP9|91039	1582.664	DPP9|91039	2190.7963
DPRXP4|503645	5.0201	lowly_expressed	lowly_expressed
DPT|1805	1549.8661	DPT|1805	3476.7322
DPY19L1|23333	516.7336	DPY19L1|23333	305.5843
DPY19L2P1|554236	17.4029	lowly_expressed	lowly_expressed
DPY19L2P2|349152	10.7095	DPY19L2P2|349152	50.6722
DPY19L2|283417	29.7858	DPY19L2|283417	9.8242
DPY19L3|147991	631.5261	DPY19L3|147991	148.3971
DPY19L4|286148	1662.9853	DPY19L4|286148	740.4343
DPY30|84661	472.8012	DPY30|84661	374.6949
DPYD|1806	658.9692	DPYD|1806	399.6898
DPYSL2|1808	1896.5863	DPYSL2|1808	1423.9917
DPYSL3|1809	5438.4203	DPYSL3|1809	6801.9648
DPYSL4|10570	25.4351	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DPYSL5|56896	6.2048
DQX1|165545	7.0281	lowly_expressed	lowly_expressed
DR1|1810	884.8728	DR1|1810	1975.181
DRAM1|55332	576.9746	DRAM1|55332	182.0062
DRAM2|128338	1655.2878	DRAM2|128338	720.2689
DRAP1|10589	840.3614	DRAP1|10589	722.3371
lowly_expressed	lowly_expressed	DRD1|1812	13.4436
DRD2|1813	24.7657	lowly_expressed	lowly_expressed
DRD4|1815	16.3989	lowly_expressed	lowly_expressed
DRG1|4733	948.7952	DRG1|4733	2395.5533
DRG2|1819	752.6774	DRG2|1819	699.5863
DRP2|1821	23.0924	lowly_expressed	lowly_expressed
DSC1|1823	25.5556	lowly_expressed	lowly_expressed
DSC2|1824	783.1325	DSC2|1824	39.2968
DSC3|1825	38.4873	lowly_expressed	lowly_expressed
DSCAML1|57453	105.7564	DSCAML1|57453	7.2389
DSCC1|79075	31.7938	DSCC1|79075	82.213
DSCR3|10311	1005.0201	DSCR3|10311	1658.7384
DSEL|92126	314.257	DSEL|92126	202.1717
DSE|29940	1283.9424	DSE|29940	766.6287
DSG2|1829	1562.905	DSG2|1829	145.8118
DSG3|1830	69.9465	lowly_expressed	lowly_expressed
DSN1|79980	233.6011	DSN1|79980	87.3837
DSP|1832	15735.2744	DSP|1832	105.9979
DSTN|11034	9748.6613	DSTN|11034	2382.6267
DSTYK|25778	1056.8942	DSTYK|25778	1052.7404
DST|667	2124.8327	DST|667	18325.2327
DTD1|92675	408.6345	DTD1|92675	460.7032
DTL|51514	48.1928	DTL|51514	31.5408
DTNA|1837	82.9987	DTNA|1837	6606.515
DTNBP1|84062	197.1218	DTNBP1|84062	323.1644
DTNB|1838	546.8541	DTNB|1838	62.5646
DTWD1|56986	319.9465	DTWD1|56986	235.7808
DTWD2|285605	346.0509	DTWD2|285605	522.2337
DTX1|1840	61.5797	DTX1|1840	50.6722
DTX2|113878	457.162	DTX2|113878	242.5026
DTX3L|151636	3220.9806	DTX3L|151636	860.5016
DTX3|196403	1308.2329	DTX3|196403	119.4416
DTX4|23220	5682.0616	DTX4|23220	209.4105
DTYMK|1841	191.0977	DTYMK|1841	113.7539
DULLARD|23399	1266.7336	DULLARD|23399	8001.0341
DUOX1|53905	15.7296	DUOX1|53905	17.5801
DUOX2|50506	5.6894	lowly_expressed	lowly_expressed
DUOXA1|90527	5.6894	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	DUPD1|338599	557.9111
DUS1L|64118	617.4699	DUS1L|64118	969.4933
DUS2L|54920	160.3079	DUS2L|54920	154.6019
DUS3L|56931	214.1901	DUS3L|56931	173.2161
DUS4L|11062	180.5054	DUS4L|11062	135.4447
DUSP10|11221	681.0576	DUSP10|11221	1334.5398
DUSP11|8446	448.1258	DUSP11|8446	392.4509
DUSP12|11266	342.0348	DUSP12|11266	117.8904
DUSP13|51207	76.9746	DUSP13|51207	5926.576999999999
DUSP14|11072	359.7724	DUSP14|11072	276.6287
DUSP15|128853	72.9585	lowly_expressed	lowly_expressed
DUSP16|80824	1851.0710000000001	DUSP16|80824	1253.878
DUSP18|150290	118.4304	DUSP18|150290	29.9897
DUSP19|142679	58.9023	DUSP19|142679	133.4023
DUSP1|1843	7817.2691	DUSP1|1843	16397.6215
DUSP22|56940	577.9786	DUSP22|56940	1114.788
DUSP23|54935	382.8648	DUSP23|54935	230.6101
lowly_expressed	lowly_expressed	DUSP26|78986	7227.5078
DUSP27|92235	54.2169	DUSP27|92235	6319.0279
DUSP28|285193	112.4498	DUSP28|285193	764.2192
DUSP2|1844	69.9465	DUSP2|1844	554.2916
DUSP3|1845	2359.4378	DUSP3|1845	13067.7353
DUSP4|1846	10245.9839	DUSP4|1846	20.6825
DUSP5|1847	2795.5154	DUSP5|1847	291.6236
DUSP6|1848	1167.336	DUSP6|1848	793.1748
DUSP7|1849	533.4672	DUSP7|1849	582.7301
DUSP8|1850	234.6051	DUSP8|1850	558.9452
DUT|1854	689.4779	DUT|1854	493.7952
DVL1|1855	654.9531	DVL1|1855	5130.2999
DVL2|1856	511.7135	DVL2|1856	305.0672
DVL3|1857	2213.1861	DVL3|1857	1965.8738
DYM|54808	553.8822	DYM|54808	1731.1272
DYNC1H1|1778	10613.1191	DYNC1H1|1778	15463.8056
DYNC1I1|1780	35.4752	DYNC1I1|1780	174.7673
DYNC1I2|1781	2990.6292	DYNC1I2|1781	1602.8956
DYNC1LI1|51143	872.1553	DYNC1LI1|51143	1569.2865
DYNC1LI2|1783	2645.5823	DYNC1LI2|1783	2687.1768
DYNC2H1|79659	478.9157	DYNC2H1|79659	100.8273
DYNC2LI1|51626	323.6278	DYNC2LI1|51626	112.7198
DYNLL1|8655	2742.6372	DYNLL1|8655	857.8077
DYNLL2|140735	1063.5877	DYNLL2|140735	3745.605
DYNLRB1|83658	2738.9558	DYNLRB1|83658	1788.5212
DYNLRB2|83657	46.1847	lowly_expressed	lowly_expressed
DYNLT1|6993	1403.9491	DYNLT1|6993	789.0383
DYNLT3|6990	1122.8246	DYNLT3|6990	377.9731
DYRK1A|1859	2313.5877	DYRK1A|1859	3937.9524
DYRK1B|9149	532.7979	DYRK1B|9149	6216.6494
DYRK2|8445	611.4458	DYRK2|8445	3004.6536
DYRK3|8444	151.9411	DYRK3|8444	80.1448
DYRK4|8798	244.6452	DYRK4|8798	214.0641
lowly_expressed	lowly_expressed	DYSFIP1|116729	10729.0589
DYSF|8291	793.842	DYSF|8291	10349.5346
DYX1C1|161582	130.5221	lowly_expressed	lowly_expressed
DZIP1L|199221	65.26100000000001	DZIP1L|199221	18.6143
DZIP1|22873	229.8695	DZIP1|22873	126.8304
DZIP3|9666	278.7818	DZIP3|9666	1156.1272
E2F1|1869	54.2169	E2F1|1869	36.7115
E2F2|1870	16.0643	lowly_expressed	lowly_expressed
E2F3|1871	338.6881	E2F3|1871	363.4953
E2F4|1874	888.5542	E2F4|1874	916.2358
E2F5|1875	84.16	E2F5|1875	8.5109
E2F6|1876	245.3146	E2F6|1876	973.1127
E2F7|144455	8.3668	lowly_expressed	lowly_expressed
E2F8|79733	8.3668	E2F8|79733	839.1934
E4F1|1877	652.6104	E4F1|1877	337.6422
EAF1|85403	847.3896	EAF1|85403	451.9131
EAF2|55840	36.8139	EAF2|55840	46.5357
EAPP|55837	920.6827	EAPP|55837	660.2896
EARS2|124454	1086.3454	EARS2|124454	906.4116
EBAG9|9166	923.6948	EBAG9|9166	764.7363
EBF1|1879	353.079	EBF1|1879	410.5481
EBF2|64641	56.5596	EBF2|64641	172.6991
EBF3|253738	136.8809	EBF3|253738	546.0186
EBF4|57593	165.6627	EBF4|57593	19.6484
EBI3|10148	51.5395	lowly_expressed	lowly_expressed
EBNA1BP2|10969	768.4069999999999	EBNA1BP2|10969	552.7404
EBPL|84650	182.0616	EBPL|84650	92.0372
EBP|10682	326.3052	EBP|10682	160.8066
ECD|11319	609.1031	ECD|11319	490.6929
ECE1|1889	5289.1566	ECE1|1889	1574.9741
ECE2|9718	62.248999999999995	ECE2|9718	32.575
lowly_expressed	lowly_expressed	ECEL1|9427	98.759
ECH1|1891	2198.7952	ECH1|1891	17905.3775
ECHDC1|55862	323.9625	ECHDC1|55862	1238.8831
ECHDC2|55268	283.1325	ECHDC2|55268	908.4798
ECHDC3|79746	175.7028	ECHDC3|79746	685.1086
ECHS1|1892	2652.6104	ECHS1|1892	5702.1717
ECM1|1893	759.0361	ECM1|1893	574.9741
ECM2|1842	1019.7456	ECM2|1842	954.4984
ECSCR|641700	82.664	ECSCR|641700	187.1768
ECSIT|51295	474.5649	ECSIT|51295	2045.5016
ECT2L|345930	173.6948	ECT2L|345930	5.1706
ECT2|1894	226.9076	ECT2|1894	117.8904
EDA2R|60401	104.7523	EDA2R|60401	68.2523
EDARADD|128178	1362.7845	EDARADD|128178	19.1313
EDA|1896	56.8942	EDA|1896	244.0538
EDC3|80153	768.4069999999999	EDC3|80153	560.4964
EDC4|23644	864.6519	EDC4|23644	1069.8242
EDDM3B|64184	6.6934	lowly_expressed	lowly_expressed
EDEM1|9695	2200.4685	EDEM1|9695	414.1675
EDEM2|55741	892.5703	EDEM2|55741	156.1531
EDEM3|80267	4242.6372	EDEM3|80267	928.1282
EDF1|8721	2729.2503	EDF1|8721	2896.5874
EDIL3|10085	831.66	EDIL3|10085	35.1603
EDN1|1906	34.4712	EDN1|1906	81.696
EDN2|1907	50.8701	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	EDN3|1908	88.9349
EDNRA|1909	1407.6305	EDNRA|1909	254.9121
EDNRB|1910	400.6024	EDNRB|1910	488.1075
EEA1|8411	806.8942	EEA1|8411	2160.8066
EED|8726	240.9639	EED|8726	310.2378
EEF1A1P9|441032	3640.5622	EEF1A1P9|441032	1203.7229
EEF1A1|1915	57555.8902	EEF1A1|1915	21039.8139
EEF1A2|1917	1176.0375	EEF1A2|1917	58948.8108
EEF1B2|1933	1771.0843	EEF1B2|1933	6177.8697
EEF1D|1936	2864.7925	EEF1D|1936	6230.6101
EEF1E1|9521	276.4391	EEF1E1|9521	187.1768
EEF1G|1937	10861.7805	EEF1G|1937	29949.8449
EEF2K|29904	2007.3628	EEF2K|29904	3137.0217
EEF2|1938	36707.4967	EEF2|1938	83143.2265
EEFSEC|60678	608.0823	EEFSEC|60678	445.9049
EEPD1|80820	166.6667	EEPD1|80820	1146.8459
EFCAB2|84288	177.0415	EFCAB2|84288	226.9907
EFCAB4A|283229	377.1754	EFCAB4A|283229	33.092
EFCAB4B|84766	278.1124	EFCAB4B|84766	16.029
EFCAB6|64800	36.4793	lowly_expressed	lowly_expressed
EFCAB7|84455	111.1111	EFCAB7|84455	132.8852
EFEMP1|2202	1889.8929	EFEMP1|2202	2114.2709
EFEMP2|30008	1342.0348	EFEMP2|30008	950.3619
EFHA1|221154	772.7577	EFHA1|221154	1663.3919
EFHA2|286097	51.2048	EFHA2|286097	155.636
EFHC1|114327	196.7871	EFHC1|114327	50.6722
EFHC2|80258	19.0763	lowly_expressed	lowly_expressed
EFHD1|80303	9909.6386	EFHD1|80303	752.3268
EFHD2|79180	826.3052	EFHD2|79180	157.1872
EFNA1|1942	2689.759	EFNA1|1942	236.2978
EFNA3|1944	261.7738	EFNA3|1944	8.7901
EFNA4|1945	304.82599999999996	EFNA4|1945	24.302
EFNA5|1946	229.2503	EFNA5|1946	35.6774
EFNB1|1947	389.2236	EFNB1|1947	383.6608
EFNB2|1948	775.4351	EFNB2|1948	788.0041
EFNB3|1949	72.6238	EFNB3|1949	26.8873
EFR3A|23167	1995.6493	EFR3A|23167	3330.9204
EFR3B|22979	32.7979	EFR3B|22979	669.0796
EFS|10278	168.34	EFS|10278	141.1582
EFTUD1|79631	712.5167	EFTUD1|79631	717.1665
EFTUD2|9343	1518.7416	EFTUD2|9343	2322.5181
EGFL6|25975	176.0375	lowly_expressed	lowly_expressed
EGFL7|51162	355.087	EGFL7|51162	392.4509
EGFL8|80864	48.6379	EGFL8|80864	41.2823
EGFLAM|133584	240.6292	EGFLAM|133584	2186.1427
EGFR|1956	147.5837	EGFR|1956	855.212
EGF|1950	222.5569	EGF|1950	2049.6381
EGLN1|54583	1860.7764	EGLN1|54583	7946.7425
EGLN2|112398	1548.5274	EGLN2|112398	594.1055
EGLN3|112399	1232.9317	EGLN3|112399	531.0238
EGOT|100126791	83.3333	lowly_expressed	lowly_expressed
EGR1|1958	3379.8527	EGR1|1958	97190.2792
EGR2|1959	378.8487	EGR2|1959	1051.1892
EGR3|1960	238.6212	EGR3|1960	966.3909
EHBP1L1|254102	671.6867	EHBP1L1|254102	5825.2327
EHBP1|23301	679.7189	EHBP1|23301	832.9886
EHD1|10938	973.5609	EHD1|10938	1222.3371
EHD2|30846	2115.1272	EHD2|30846	2704.757
EHD3|30845	304.2169	EHD3|30845	118.9245
EHD4|30844	2245.6493	EHD4|30844	470.0103
EHF|26298	1550.2008	lowly_expressed	lowly_expressed
EHHADH|1962	80.656	EHHADH|1962	151.4995
EHMT1|79813	1143.9089999999999	EHMT1|79813	795.243
EHMT2|10919	836.6801	EHMT2|10919	337.1251
EI24|9538	2401.2718	EI24|9538	2608.0662
EID1|23741	3522.0884	EID1|23741	6324.7156
EID2B|126272	23.7617	EID2B|126272	44.4674
EID2|163126	296.5194	EID2|163126	249.2244
EID3|493861	20.0803	EID3|493861	12.9266
EIF1AD|84285	879.8527	EIF1AD|84285	641.6753
EIF1AX|1964	2651.6064	EIF1AX|1964	4119.4416
EIF1B|10289	569.2771	EIF1B|10289	1668.0455
EIF1|10209	7654.2838	EIF1|10209	31258.0145
EIF2AK1|27102	6116.1881	EIF2AK1|27102	2188.6194
EIF2AK2|5610	419.0094	EIF2AK2|5610	254.395
EIF2AK3|9451	2606.7604	EIF2AK3|9451	291.6236
EIF2AK4|440275	1137.5502	EIF2AK4|440275	1039.8139
EIF2A|83939	2146.2517	EIF2A|83939	2481.3857
EIF2B1|1967	862.7845	EIF2B1|1967	970.5274
EIF2B2|8892	422.6908	EIF2B2|8892	893.485
EIF2B3|8891	380.1874	EIF2B3|8891	1549.6381
EIF2B4|8890	589.3574	EIF2B4|8890	780.7653
EIF2B5|8893	1301.8742	EIF2B5|8893	1948.8108
EIF2C1|26523	833.668	EIF2C1|26523	924.5088
EIF2C2|27161	192.4364	EIF2C2|27161	693.8987
EIF2C3|192669	116.8005	EIF2C3|192669	191.3133
EIF2C4|192670	407.6305	EIF2C4|192670	978.2834
EIF2S1|1965	1563.5877	EIF2S1|1965	2363.4953
EIF2S2|8894	1720.5489	EIF2S2|8894	2161.8407
EIF2S3|1968	6326.3052	EIF2S3|1968	3485.0052
EIF3A|8661	5726.9076	EIF3A|8661	8502.0683
EIF3B|8662	2981.593	EIF3B|8662	4067.7353
EIF3CL|728689	14349.2637	EIF3CL|728689	14215.2275
EIF3C|8663	499.4645	EIF3C|8663	273.3971
EIF3D|8664	2583.3333	EIF3D|8664	2922.4405
EIF3E|3646	3803.5475	EIF3E|3646	6332.9886
EIF3F|8665	1453.1459	EIF3F|8665	3990.1758
EIF3G|8666	1343.3735	EIF3G|8666	4041.3289
EIF3H|8667	2323.9625	EIF3H|8667	4292.1406
EIF3I|8668	2309.9264	EIF3I|8668	4315.4447
EIF3J|8669	1783.8019	EIF3J|8669	4023.7849
EIF3K|27335	2325.9705	EIF3K|27335	6731.1272
EIF3L|51386	3633.1995	EIF3L|51386	11027.9214
EIF3M|10480	7631.3989	EIF3M|10480	1969.2037
EIF4A1|1973	5964.9933	EIF4A1|1973	3257.0631
EIF4A2|1974	5391.2316	EIF4A2|1974	18023.7849
EIF4A3|9775	1202.1419	EIF4A3|9775	848.5005
EIF4B|1975	6157.8347	EIF4B|1975	21588.8728
EIF4E1B|253314	103.7483	lowly_expressed	lowly_expressed
EIF4E2|9470	1309.5716	EIF4E2|9470	2118.9245
EIF4E3|317649	324.2972	EIF4E3|317649	3275.5946
EIF4EBP1|1978	213.5207	EIF4EBP1|1978	218.2006
EIF4EBP2|1979	3675.3681	EIF4EBP2|1979	6109.6174
EIF4EBP3|8637	579.1968	EIF4EBP3|8637	368.9038
EIF4ENIF1|56478	805.8902	EIF4ENIF1|56478	748.7073
EIF4E|1977	374.8327	EIF4E|1977	406.4116
EIF4G1|1981	8869.4779	EIF4G1|1981	17715.6153
EIF4G2|1982	14896.2517	EIF4G2|1982	29260.5998
EIF4G3|8672	2330.656	EIF4G3|8672	3398.6556
EIF4H|7458	5412.6506	EIF4H|7458	5249.7415
EIF5A2|56648	153.2798	EIF5A2|56648	62.5646
EIF5AL1|143244	801.8742	EIF5AL1|143244	1670.1138
EIF5A|1984	3645.2477	EIF5A|1984	6560.4964
EIF5B|9669	3547.1888	EIF5B|9669	4958.1179
EIF5|1983	6783.8019	EIF5|1983	9642.1923
EIF6|3692	1631.8608	EIF6|3692	550.1551
ELAC1|55520	81.3822	ELAC1|55520	55.5688
ELAC2|60528	586.3454	ELAC2|60528	2122.0269
lowly_expressed	lowly_expressed	ELANE|1991	5.6877
ELAVL1|1994	1700.8032	ELAVL1|1994	1310.7549
ELAVL2|1993	7.6975	lowly_expressed	lowly_expressed
ELF1|1997	1176.3722	ELF1|1997	763.1851
ELF2|1998	649.9331	ELF2|1998	1506.2048
ELF3|1999	13923.3601	lowly_expressed	lowly_expressed
ELF4|2000	428.7149	ELF4|2000	188.72799999999998
ELFN1|392617	68.6078	ELFN1|392617	18.6143
ELFN2|114794	6.6934	lowly_expressed	lowly_expressed
ELK1|2002	883.1995	ELK1|2002	843.3299
ELK3|2004	887.2155	ELK3|2004	539.8139
ELK4|2005	290.1606	ELK4|2005	271.4581
ELL2|22936	4892.905	ELL2|22936	343.8469
ELL3|80237	639.3775	ELL3|80237	62.3268
ELL|8178	609.1031	ELL|8178	762.668
ELMO1|9844	591.0308	ELMO1|9844	347.4664
ELMO2|63916	1658.2999	ELMO2|63916	1279.2141
ELMO3|79767	619.8126	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ELMOD1|55531	48.0869
ELMOD2|255520	313.5877	ELMOD2|255520	110.1344
ELMOD3|84173	401.9411	ELMOD3|84173	259.0486
ELN|2006	5815.5957	ELN|2006	1154.0848
ELOF1|84337	902.6104	ELOF1|84337	495.3464
ELOVL1|64834	1442.4364	ELOVL1|64834	377.9731
ELOVL2|54898	41.4993	ELOVL2|54898	59.4623
lowly_expressed	lowly_expressed	ELOVL3|83401	5.6877
ELOVL4|6785	35.8099	ELOVL4|6785	17.0631
ELOVL5|60481	13047.8581	ELOVL5|60481	442.0889
ELOVL6|79071	166.6667	ELOVL6|79071	32.575
ELOVL7|79993	134.8728	ELOVL7|79993	17.5801
ELP2P|100131454	6.6934	lowly_expressed	lowly_expressed
ELP2|55250	1625.5020000000002	ELP2|55250	1490.1758
ELP3|55140	784.1365	ELP3|55140	1293.1748
ELP4|26610	213.1861	ELP4|26610	299.3795
ELTD1|64123	791.4993	ELTD1|64123	839.7104
EMB|133418	1260.3748	EMB|133418	180.9721
EMCN|51705	533.4672	EMCN|51705	922.9576
EMD|2010	1093.7082	EMD|2010	1362.9783
EME1|146956	9.9665	EME1|146956	6.9648
EME2|197342	28.1124	EME2|197342	6.7218
EMG1|10436	433.2932	EMG1|10436	418.30400000000003
EMID1|129080	97.0549	EMID1|129080	23.2678
EMILIN1|11117	1217.8715	EMILIN1|11117	259.5657
EMILIN2|84034	258.7015	EMILIN2|84034	388.8314
EMILIN3|90187	7.5971	EMILIN3|90187	35.0
EML1|2009	556.5596	EML1|2009	1764.7363
EML2|24139	656.2517	EML2|24139	101.334
EML3|256364	609.1031	EML3|256364	147.88
EML4|27436	991.9679	EML4|27436	300.9307
EML5|161436	62.9183	EML5|161436	19.6484
lowly_expressed	lowly_expressed	EML6|400954	58.9452
EMP1|2012	2751.0040000000004	EMP1|2012	5448.2937
EMP2|2013	6738.9558	EMP2|2013	1127.1975
EMP3|2014	460.5087	EMP3|2014	291.1065
EMR1|2015	25.1004	lowly_expressed	lowly_expressed
EMR2|30817	234.6051	EMR2|30817	13.9607
EMX1|2016	123.494	lowly_expressed	lowly_expressed
EMX2OS|196047	18.0723	EMX2OS|196047	399.6898
EMX2|2018	11.3788	EMX2|2018	269.3899
EN1|2019	42.1687	EN1|2019	168.5626
lowly_expressed	lowly_expressed	EN2|2020	11.8925
ENAH|55740	4737.9518	ENAH|55740	4095.6567
lowly_expressed	lowly_expressed	ENAM|10117	380.5584
ENC1|8507	2350.656	ENC1|8507	400.7239
ENDOD1|23052	840.0268	ENDOD1|23052	4494.3123
ENDOG|2021	150.5087	ENDOG|2021	1355.0879
ENGASE|64772	233.6011	ENGASE|64772	471.5615
ENG|2022	3500.6693	ENG|2022	2720.2689
ENHO|375704	24.4311	ENHO|375704	7.2389
ENO1|2023	7572.2892	ENO1|2023	4225.9566
ENO2|2026	1056.5596	ENO2|2026	96.1737
ENO3|2027	48.1928	ENO3|2027	197500.5171
ENOPH1|58478	769.0763	ENOPH1|58478	550.1551
ENOSF1|55556	248.0221	ENOSF1|55556	157.2596
ENOX1|55068	70.2811	ENOX1|55068	44.9845
ENOX2|10495	419.6787	ENOX2|10495	311.272
ENPEP|2028	398.2597	ENPEP|2028	397.1044
ENPP1|5167	5368.8086	ENPP1|5167	470.5274
ENPP2|5168	247.99200000000002	ENPP2|5168	540.8480000000001
ENPP3|5169	9.3708	ENPP3|5169	5.6877
ENPP4|22875	1936.4123	ENPP4|22875	1665.9772
ENPP5|59084	4236.2784	ENPP5|59084	192.8645
ENPP6|133121	10.7095	ENPP6|133121	77.0424
ENSA|2029	4425.3681	ENSA|2029	7603.9297
ENTPD1|953	1807.5636	ENTPD1|953	875.9049
ENTPD2|954	48.8621	ENTPD2|954	24.819000000000003
ENTPD3|956	35.8099	ENTPD3|956	41.8821
ENTPD4|9583	656.6265	ENTPD4|9583	449.8449
ENTPD5|957	671.6365	ENTPD5|957	261.4685
ENTPD6|955	1631.1914	ENTPD6|955	638.0558
ENTPD7|57089	710.4819	ENTPD7|57089	51.8769
ENTPD8|377841	70.2811	lowly_expressed	lowly_expressed
ENY2|56943	541.8340000000001	ENY2|56943	597.7249
EOMES|8320	19.410999999999998	lowly_expressed	lowly_expressed
EP300|2033	3148.2597	EP300|2033	2961.7373
EP400NL|347918	128.8487	EP400NL|347918	71.8718
EP400|57634	1009.0361	EP400|57634	1349.5346
EPAS1|2034	15302.2088	EPAS1|2034	5177.8697
EPB41L1|2036	2657.2959	EPB41L1|2036	480.3516
EPB41L2|2037	2035.4752	EPB41L2|2037	1800.9307
EPB41L3|23136	1307.8983	EPB41L3|23136	683.5574
EPB41L4A|64097	359.1031	EPB41L4A|64097	198.0352
EPB41L4B|54566	1221.8876	EPB41L4B|54566	11.3754
EPB41L5|57669	894.913	EPB41L5|57669	391.4168
EPB41|2035	752.7108	EPB41|2035	1069.9845
EPB49|2039	660.6426	EPB49|2039	867.1148
EPC1|80314	434.73900000000003	EPC1|80314	1043.4333
EPC2|26122	775.7697	EPC2|26122	800.4137
EPCAM|4072	1621.4859	lowly_expressed	lowly_expressed
EPDR1|54749	97.3896	EPDR1|54749	3824.1986
EPHA10|284656	98.7282	lowly_expressed	lowly_expressed
EPHA1|2041	713.1861	lowly_expressed	lowly_expressed
EPHA2|1969	250.0	EPHA2|1969	234.7466
EPHA3|2042	102.4096	EPHA3|2042	231.1272
EPHA4|2043	206.158	EPHA4|2043	229.0589
lowly_expressed	lowly_expressed	EPHA7|2045	12.9266
EPHB1|2047	21.0843	EPHB1|2047	237.84900000000002
EPHB2|2048	547.5234	EPHB2|2048	50.6722
EPHB3|2049	787.4833	EPHB3|2049	60.4964
EPHB4|2050	2387.8849	EPHB4|2050	516.5459999999999
EPHB6|2051	67.6037	EPHB6|2051	63.5988
EPHX1|2052	6724.8996	EPHX1|2052	2878.4902
EPHX2|2053	1401.9411	EPHX2|2053	314.3744
EPHX3|79852	10.3748	lowly_expressed	lowly_expressed
EPHX4|253152	449.1299	EPHX4|253152	6.7218
EPM2AIP1|9852	1052.2088	EPM2AIP1|9852	1889.8656
EPM2A|7957	153.2798	EPM2A|7957	3607.5491
