gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
ACADVL|37	2294.7698	ACADVL|37	5732.3195
ACAN|176	66.7981	ACAN|176	6.0827
ACAP1|9744	123.3909	ACAP1|9744	131.3869
ACAP2|23527	772.353	ACAP2|23527	1638.6861
ACAP3|116983	460.6332	ACAP3|116983	466.4396
ACAT1|38	645.7149	ACAT1|38	960.665
ACAT2|39	455.8274	ACAT2|39	366.6626
ACBD3|64746	1073.4083	ACBD3|64746	1693.8362
ACBD4|79777	262.5536	ACBD4|79777	330.0892
ACBD5|91452	842.3982	ACBD5|91452	701.541
ACBD6|84320	580.7724	ACBD6|84320	382.8062
ACBD7|414149	26.4409	ACBD7|414149	199.1079
ACCN1|40	48.2431	lowly_expressed	lowly_expressed
ACCN2|41	61.2316	ACCN2|41	466.7478
ACCN3|9311	19.4828	ACCN3|9311	16.6261
ACCS|84680	221.2687	ACCS|84680	628.9538
ACD|65057	439.7541	ACD|65057	414.0308
lowly_expressed	lowly_expressed	ACE2|59272	20.2758
ACER2|340485	19.0189	ACER2|340485	90.0243
ACER3|55331	340.9486	ACER3|55331	304.1363
ACE|1636	764.931	ACE|1636	296.837
ACHE|43	6.4943	ACHE|43	26.764
ACIN1|22985	2986.4316	ACIN1|22985	4062.8548
ACLY|47	3806.1	ACLY|47	2323.1955
ACMSD|130013	6.9581	lowly_expressed	lowly_expressed
ACN9|57001	89.0641	ACN9|57001	186.5369
ACO1|48	556.1869	ACO1|48	650.8516
ACO2|50	2140.4708	ACO2|50	1601.8816
ACOT11|26027	102.9804	ACOT11|26027	64.2863
ACOT13|55856	1176.9732	ACOT13|55856	353.1468
ACOT1|641371	1611.0402	ACOT1|641371	313.4631
ACOT2|10965	655.9202	ACOT2|10965	249.7972
ACOT4|122970	676.7946	ACOT4|122970	36.4964
ACOT7|11332	409.1384	ACOT7|11332	139.9027
ACOT8|10005	264.6086	ACOT8|10005	206.8532
ACOT9|23597	468.0506	ACOT9|23597	261.1517
ACOX1|51	1503.4211	ACOX1|51	1356.0422
ACOX2|8309	73.7562	ACOX2|8309	261.9627
ACOX3|8310	871.6224	ACOX3|8310	886.4558
ACP1|52	1741.8532	ACP1|52	1500
ACP2|53	1953.3805	ACP2|53	534.0633
ACP5|54	916.1545	ACP5|54	324.8175
ACP6|51205	254.6677	ACP6|51205	332.1168
ACPL2|92370	407.2828	ACPL2|92370	388.0779
ACPP|55	38.5017	ACPP|55	12.1655
ACRBP|84519	27.3687	ACRBP|84519	10.5434
ACRC|93953	20.4105	ACRC|93953	17.8427
ACR|49	13.9163	ACR|49	12.571
lowly_expressed	lowly_expressed	ACSBG1|23205	11.3544
ACSF2|80221	1287.7189	ACSF2|80221	790.8151
ACSF3|197322	506.0884	ACSF3|197322	435.9286
ACSL1|2180	1125.3624	ACSL1|2180	925.7908
ACSL3|2181	2450.6552	ACSL3|2181	4992.2952
ACSL4|2182	912.4435	ACSL4|2182	1016.6261
ACSL5|51703	469.9061	ACSL5|51703	764.3958
ACSL6|23305	7.422	ACSL6|23305	9.3268
ACSM1|116285	36.6462	ACSM1|116285	62.4493
ACSM3|6296	90.0754	ACSM3|6296	276.9059
ACSM5|54988	8.3498	ACSM5|54988	21.0868
ACSS1|84532	1658.8194	ACSS1|84532	1129.3593
ACSS2|55902	974.1389	ACSS2|55902	1035.6853
ACSS3|79611	71.9007	ACSS3|79611	175.588
ACTA1|58	55.2012	lowly_expressed	lowly_expressed
ACTA2|59	14703.6205	ACTA2|59	43476.0665
ACTB|60	110127.3339	ACTB|60	61624.8986
ACTG1|71	80946.3064	ACTG1|71	50492.2952
ACTG2|72	930.5346	ACTG2|72	5523.5199
ACTL6A|86	995.0133	ACTL6A|86	862.5304
ACTN1|87	6893.6565	ACTN1|87	9197.0803
ACTN4|81	12872.3878	ACTN4|81	11350.3163
ACTR10|55860	908.2686	ACTR10|55860	1157.3398
ACTR1A|10121	4130.8129	ACTR1A|10121	1357.2587
ACTR1B|10120	818.2767	ACTR1B|10120	1355.6367
ACTR2|10097	6886.6984	ACTR2|10097	4093.2685
ACTR3B|57180	133.1323	ACTR3B|57180	536.9019
ACTR3C|653857	67.7258	ACTR3C|653857	48.6618
ACTR3|10096	3729.5605	ACTR3|10096	2597.7291
ACTR5|79913	226.3713	ACTR5|79913	304.5418
ACTR6|64431	500.9857	ACTR6|64431	819.9513
ACTR8|93973	364.6063	ACTR8|93973	603.8118
ACVR1B|91	1690.363	ACVR1B|91	1278.1833
lowly_expressed	lowly_expressed	ACVR1C|130399	38.5239
ACVR1|90	1168.9667	ACVR1|90	1165.8556
ACVR2A|92	423.9824	ACVR2A|92	1052.717
ACVR2B|93	132.6684	ACVR2B|93	418.897
ACVRL1|94	630.8709	ACVRL1|94	219.7891
ACY1|95	615.0992	ACY1|95	653.2928
ACY3|91703	6.4943	ACY3|91703	44.6067
ACYP1|97	182.767	ACYP1|97	82.3195
ACYP2|98	233.7933	ACYP2|98	158.9619
ADAL|161823	191.1168	ADAL|161823	157.7453
ADAM10|102	773.2808	ADAM10|102	1912.8143
ADAM11|4185	8.8136	ADAM11|4185	51.5004
ADAM12|8038	4273.2228	ADAM12|8038	189.3755
ADAM15|8751	3080.5984	ADAM15|8751	1961.8816
ADAM17|6868	446.2484	ADAM17|6868	932.279
ADAM19|8728	471.2977	ADAM19|8728	49.8783
ADAM22|53616	18.0912	ADAM22|53616	84.3471
ADAM23|8745	57.5206	ADAM23|8745	7.2993
